"ple0040","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No","1984","16-34 y.","4496","0.976579792423495","0.972201799822139","0.980957785024851","2"
"No","1984","66 and older","988","0.784567951182025","0.761966009321863","0.807169893042188","2"
"No","1984","35-65 y.","5509","0.844684654045462","0.835744190600344","0.853625117490579","2"
"Yes","1984","16-34 y.","88","0.0234202075765051","0.0190422149751495","0.0277982001778607","1"
"Yes","1984","35-65 y.","796","0.155315345954538","0.146374882509421","0.164255809399656","1"
"Yes","1984","66 and older","283","0.215432048817975","0.192830106957812","0.238033990678138","1"
"No","1985","66 and older","861","0.798425190133914","0.774696041013448","0.822154339254379","2"
"No","1985","16-34 y.","4072","0.974437962966446","0.969643147687665","0.979232778245228","2"
"No","1985","35-65 y.","5030","0.84399038697107","0.834601540251809","0.853379233690331","2"
"Yes","1985","16-34 y.","90","0.0255620370335536","0.020767221754772","0.0303568523123352","1"
"Yes","1985","35-65 y.","708","0.15600961302893","0.146620766309669","0.165398459748191","1"
"Yes","1985","66 and older","237","0.201574809866086","0.177845660745621","0.225303958986552","1"
"No","1986","66 and older","6","","","","2"
"No","1986","16-34 y.","419","0.991522653907291","0.982785717294561","1.00025959052002","2"
"No","1986","35-65 y.","44","0.955245604359221","0.89549469110851","1.01499651760993","2"
"Yes","1986","16-34 y.","4","","","","1"
"Yes","1986","35-65 y.","2","","","","1"
"Yes","1986","66 and older","2","","","","1"
"No","1987","66 and older","820","0.771813221483431","0.746738085268906","0.796888357697957","2"
"No","1987","16-34 y.","3928","0.975547787005885","0.9707757647103","0.980319809301471","2"
"No","1987","35-65 y.","4709","0.854786087793055","0.845341860093821","0.864230315492288","2"
"Yes","1987","16-34 y.","96","0.0244522129941148","0.0196801906985292","0.0292242352897003","1"
"Yes","1987","35-65 y.","637","0.145213912206945","0.135769684507712","0.154658139906179","1"
"Yes","1987","66 and older","256","0.228186778516569","0.203111642302043","0.253261914731094","1"
"No","1988","66 and older","744","0.723007454314398","0.69580946181462","0.750205446814177","2"
"No","1988","16-34 y.","3742","0.974192911260689","0.969179828332575","0.979205994188803","2"
"No","1988","35-65 y.","4436","0.847209631690918","0.837324663031078","0.857094600350759","2"
"Yes","1988","16-34 y.","101","0.0258070887393108","0.020794005811197","0.0308201716674246","1"
"Yes","1988","35-65 y.","653","0.152790368309082","0.142905399649241","0.162675336968922","1"
"Yes","1988","66 and older","296","0.276992545685602","0.249794553185823","0.30419053818538","1"
"No","1989","66 and older","701","0.697053646139942","0.668755412047307","0.725351880232577","2"
"No","1989","16-34 y.","3673","0.974215533602755","0.969152277640863","0.979278789564648","2"
"No","1989","35-65 y.","4254","0.846232581449549","0.836114882292042","0.856350280607056","2"
"Yes","1989","16-34 y.","91","0.0257844663972447","0.0207212104353524","0.030847722359137","1"
"Yes","1989","35-65 y.","629","0.153767418550451","0.143649719392944","0.163885117707958","1"
"Yes","1989","66 and older","312","0.302946353860058","0.274648119767423","0.331244587952693","1"
"No","1990","66 and older","","","","","2"
"No","1990","16-34 y.","","","","","2"
"No","1990","35-65 y.","","","","","2"
"Yes","1990","16-34 y.","","","","","1"
"Yes","1990","35-65 y.","","","","","1"
"Yes","1990","66 and older","","","","","1"
"No","1991","16-34 y.","3515","0.971639877445161","0.966227840734588","0.977051914155734","2"
"No","1991","66 and older","720","0.681313118012181","0.653222191320076","0.709404044704286","2"
"No","1991","35-65 y.","4128","0.850317275309479","0.840162052542604","0.860472498076353","2"
"Yes","1991","35-65 y.","613","0.149682724690521","0.139527501923647","0.159837947457396","1"
"Yes","1991","66 and older","337","0.318686881987819","0.290595955295714","0.346777808679924","1"
"Yes","1991","16-34 y.","99","0.0283601225548387","0.0229480858442659","0.0337721592654115","1"
"No","1992","16-34 y.","4852","0.976819461251824","0.972633021284921","0.981005901218728","2"
"No","1992","66 and older","1006","0.687739167900029","0.663770631970726","0.711707703829332","2"
"No","1992","35-65 y.","5973","0.85682418737821","0.848505491978835","0.865142882777586","2"
"Yes","1992","35-65 y.","837","0.14317581262179","0.134857117222414","0.151494508021165","1"
"Yes","1992","66 and older","430","0.312260832099971","0.288292296170668","0.336229368029275","1"
"Yes","1992","16-34 y.","111","0.0231805387481756","0.0189940987812718","0.0273669787150795","1"
"No","1993","16-34 y.","","","","","2"
"No","1993","66 and older","","","","","2"
"No","1993","35-65 y.","","","","","2"
"Yes","1993","35-65 y.","","","","","1"
"Yes","1993","66 and older","","","","","1"
"Yes","1993","16-34 y.","","","","","1"
"No","1994","16-34 y.","4698","0.978894816000087","0.974827756230107","0.982961875770067","2"
"No","1994","66 and older","1057","0.696295065016009","0.672874727753749","0.719715402278269","2"
"No","1994","35-65 y.","5748","0.864253568600342","0.855938948671041","0.872568188529643","2"
"Yes","1994","35-65 y.","771","0.135746431399658","0.127431811470357","0.144061051328959","1"
"Yes","1994","66 and older","424","0.303704934983991","0.280284597721731","0.327125272246251","1"
"Yes","1994","16-34 y.","100","0.0211051839999131","0.0170381242299331","0.0251722437698931","1"
"No","1995","16-34 y.","4818","0.979001725592201","0.974998220899098","0.983005230285304","2"
"No","1995","66 and older","1065","0.674352458656202","0.650770890876","0.697934026436404","2"
"No","1995","35-65 y.","5964","0.862545113174477","0.854342413032727","0.870747813316227","2"
"Yes","1995","35-65 y.","805","0.137454886825523","0.129252186683773","0.145657586967273","1"
"Yes","1995","66 and older","452","0.325647541343798","0.302065973563596","0.349229109123999","1"
"Yes","1995","16-34 y.","109","0.0209982744077993","0.0169947697146962","0.0250017791009023","1"
"No","1996","16-34 y.","4662","0.977699688886264","0.973511125586001","0.981888252186527","2"
"No","1996","66 and older","1111","0.687663142471761","0.664731449880826","0.710594835062696","2"
"No","1996","35-65 y.","5930","0.859119363245769","0.850814388156225","0.867424338335312","2"
"Yes","1996","35-65 y.","811","0.140880636754231","0.132575661664688","0.149185611843775","1"
"Yes","1996","66 and older","458","0.312336857528239","0.289405164937304","0.335268550119174","1"
"Yes","1996","16-34 y.","112","0.0223003111137359","0.0181117478134733","0.0264888744139985","1"
"No","1997","66 and older","1144","0.698508989164995","0.675888325644372","0.721129652685619","2"
"No","1997","16-34 y.","4510","0.976901422483554","0.972569854929081","0.981232990038026","2"
"No","1997","35-65 y.","5815","0.855433580102753","0.846969389445112","0.863897770760395","2"
"Yes","1997","35-65 y.","816","0.144566419897247","0.136102229239605","0.153030610554888","1"
"Yes","1997","66 and older","437","0.301491010835005","0.278870347314381","0.324111674355629","1"
"Yes","1997","16-34 y.","110","0.0230985775164461","0.0187670099619736","0.0274301450709186","1"
"No","1998","66 and older","1325","0.684461187184914","0.663312815198798","0.70560955917103","2"
"No","1998","16-34 y.","4751","0.976430798824638","0.972166635994014","0.980694961655262","2"
"No","1998","35-65 y.","6562","0.865518890932159","0.857790962505602","0.873246819358716","2"
"Yes","1998","35-65 y.","925","0.134481109067841","0.126753180641284","0.142209037494398","1"
"Yes","1998","16-34 y.","111","0.023569201175362","0.0193050383447381","0.0278333640059859","1"
"Yes","1998","66 and older","530","0.315538812815086","0.294390440828971","0.336687184801202","1"
"No","1999","66 and older","1301","0.6743228276713","0.652822541179336","0.695823114163264","2"
"No","1999","16-34 y.","4504","0.977024513566671","0.972700953953908","0.981348073179433","2"
"No","1999","35-65 y.","6402","0.866459302542468","0.858652451576343","0.874266153508592","2"
"Yes","1999","35-65 y.","891","0.133540697457533","0.125733846491408","0.141347548423657","1"
"Yes","1999","16-34 y.","109","0.0229754864333294","0.018651926820567","0.0272990460460918","1"
"Yes","1999","66 and older","524","0.3256771723287","0.304176885836736","0.347177458820664","1"
"No","2000","66 and older","2722","0.737645354508022","0.723291021682712","0.751999687333333","2"
"No","2000","16-34 y.","6963","0.976038124331551","0.972486635813957","0.979589612849146","2"
"No","2000","35-65 y.","11846","0.875490539887914","0.869909763883825","0.881071315892003","2"
"Yes","2000","35-65 y.","1599","0.124509460112086","0.118928684107997","0.130090236116175","1"
"Yes","2000","16-34 y.","160","0.0239618756684489","0.0204103871508545","0.0275133641860434","1"
"Yes","2000","66 and older","886","0.262354645491978","0.248000312666667","0.276708978317288","1"
"No","2001","66 and older","2593","0.744722992925937","0.730099336734179","0.759346649117695","2"
"No","2001","16-34 y.","6155","0.978509934377823","0.974925155325451","0.982094713430194","2"
"No","2001","35-65 y.","10811","0.871149129431915","0.865220543222984","0.877077715640845","2"
"Yes","2001","35-65 y.","1457","0.128850870568086","0.122922284359155","0.134779456777016","1"
"Yes","2001","16-34 y.","131","0.0214900656221775","0.017905286569806","0.0250748446745491","1"
"Yes","2001","66 and older","822","0.255277007074063","0.240653350882305","0.269900663265821","1"
"No","2002","16-34 y.","6024","0.974289685238594","0.970336050585709","0.978243319891479","2"
"No","2002","66 and older","2703","0.730744915859112","0.716267198719024","0.7452226329992","2"
"No","2002","35-65 y.","11720","0.865048548840227","0.859233291020779","0.870863806659676","2"
"Yes","2002","35-65 y.","1541","0.134951451159773","0.129136193340324","0.140766708979221","1"
"Yes","2002","66 and older","903","0.269255084140888","0.2547773670008","0.283732801280976","1"
"Yes","2002","16-34 y.","132","0.025710314761406","0.0217566801085208","0.0296639494142911","1"
"No","2003","16-34 y.","5744","0.975628122432047","0.97168273472122","0.979573510142874","2"
"No","2003","66 and older","2734","0.730624059845342","0.716255431635687","0.744992688054997","2"
"No","2003","35-65 y.","11185","0.86957968403154","0.863711143010076","0.875448225053005","2"
"Yes","2003","35-65 y.","1465","0.13042031596846","0.124551774946995","0.136288856989924","1"
"Yes","2003","66 and older","928","0.269375940154658","0.255007311945003","0.283744568364313","1"
"Yes","2003","16-34 y.","124","0.0243718775679531","0.0204264898571264","0.0283172652787797","1"
"No","2004","16-34 y.","5506","0.973179157684786","0.968961642259833","0.977396673109738","2"
"No","2004","66 and older","2818","0.726791503157457","0.712593588910552","0.740989417404363","2"
"No","2004","35-65 y.","10779","0.864795604325604","0.858733172590152","0.870858036061056","2"
"Yes","2004","35-65 y.","1442","0.135204395674396","0.129141963938944","0.141266827409848","1"
"Yes","2004","66 and older","966","0.273208496842543","0.259010582595637","0.287406411089448","1"
"Yes","2004","16-34 y.","131","0.0268208423152144","0.0226033268902617","0.0310383577401671","1"
"No","2005","16-34 y.","5202","0.974294313101541","0.970039338162709","0.978549288040372","2"
"No","2005","66 and older","2809","0.726654705085972","0.712445182344166","0.740864227827777","2"
"No","2005","35-65 y.","10191","0.868301369625491","0.862144892852748","0.874457846398234","2"
"Yes","2005","35-65 y.","1399","0.131698630374509","0.125542153601766","0.137855107147252","1"
"Yes","2005","66 and older","970","0.273345294914028","0.259135772172223","0.287554817655834","1"
"Yes","2005","16-34 y.","112","0.0257056868984595","0.0214507119596278","0.0299606618372913","1"
"No","2006","66 and older","3303","0.718888274887332","0.70569948869248","0.732077061082184","2"
"No","2006","16-34 y.","5032","0.972830638677011","0.968384388267341","0.977276889086681","2"
"No","2006","35-65 y.","10932","0.869062455243855","0.863127946170178","0.874996964317531","2"
"Yes","2006","35-65 y.","1480","0.130937544756146","0.125003035682469","0.136872053829822","1"
"Yes","2006","66 and older","1160","0.281111725112668","0.267922938917816","0.29430051130752","1"
"Yes","2006","16-34 y.","104","0.027169361322989","0.0227231109133193","0.0316156117326587","1"
"No","2007","66 and older","3257","0.727848535208074","0.714649790753824","0.741047279662324","2"
"No","2007","16-34 y.","4619","0.975561198053081","0.971153411891953","0.979968984214209","2"
"No","2007","35-65 y.","10064","0.867211121557759","0.860993541114874","0.873428702000644","2"
"Yes","2007","35-65 y.","1379","0.132788878442241","0.126571297999356","0.139006458885126","1"
"Yes","2007","16-34 y.","95","0.024438801946919","0.0200310157857912","0.0288465881080467","1"
"Yes","2007","66 and older","1111","0.272151464791926","0.258952720337676","0.285350209246176","1"
"No","2008","66 and older","3248","0.732177971609497","0.718963813547414","0.745392129671581","2"
"No","2008","16-34 y.","4277","0.976944282426878","0.972488451560791","0.981400113292965","2"
"No","2008","35-65 y.","9374","0.866281613885103","0.859823718684693","0.872739509085512","2"
"Yes","2008","35-65 y.","1296","0.133718386114897","0.127260490914488","0.140176281315307","1"
"Yes","2008","16-34 y.","81","0.0230557175731222","0.0185998867070352","0.0275115484392091","1"
"Yes","2008","66 and older","1066","0.267822028390503","0.254607870328419","0.281036186452586","1"
"No","2009","66 and older","3160","0.740039988113887","0.72674497178489","0.753335004442884","2"
"No","2009","16-34 y.","3915","0.977221468490946","0.972593267770198","0.981849669211693","2"
"No","2009","35-65 y.","8619","0.861474258757416","0.854658410477708","0.868290107037124","2"
"Yes","2009","35-65 y.","1249","0.138525741242584","0.131709892962876","0.145341589522292","1"
"Yes","2009","16-34 y.","77","0.0227785315090544","0.0181503307883068","0.0274067322298021","1"
"Yes","2009","66 and older","1021","0.259960011886113","0.246664995557116","0.27325502821511","1"
"No","2010","66 and older","3056","0.741805586299759","0.728312163259981","0.755299009339538","2"
"No","2010","16-34 y.","6453","0.974270319514711","0.970444785420202","0.978095853609221","2"
"No","2010","35-65 y.","12016","0.863189879427244","0.857367508617122","0.869012250237367","2"
"Yes","2010","35-65 y.","1366","0.136810120572756","0.130987749762633","0.142632491382878","1"
"Yes","2010","16-34 y.","127","0.0257296804852885","0.0219041463907792","0.0295552145797978","1"
"Yes","2010","66 and older","985","0.258194413700241","0.244700990660462","0.271687836740019","1"
"No","2011","66 and older","3931","0.750197078515884","0.738364796950469","0.7620293600813","2"
"No","2011","16-34 y.","6669","0.97319352787549","0.969356546838324","0.977030508912657","2"
"No","2011","35-65 y.","14626","0.864465196885812","0.859226634768327","0.869703759003297","2"
"Yes","2011","35-65 y.","1775","0.135534803114188","0.130296240996703","0.140773365231673","1"
"Yes","2011","16-34 y.","138","0.0268064721245099","0.0229694910873433","0.0306434531616765","1"
"Yes","2011","66 and older","1211","0.249802921484116","0.2379706399187","0.261635203049531","1"
"No","2012","66 and older","3971","0.753259550117369","0.741568890758335","0.764950209476403","2"
"No","2012","16-34 y.","6210","0.971472904692647","0.967375780818239","0.975570028567056","2"
"No","2012","35-65 y.","14174","0.853567509565027","0.848102086677397","0.859032932452657","2"
"Yes","2012","35-65 y.","1900","0.146432490434973","0.140967067547343","0.151897913322603","1"
"Yes","2012","16-34 y.","132","0.0285270953073525","0.0244299714329438","0.0326242191817613","1"
"Yes","2012","66 and older","1253","0.246740449882631","0.235049790523597","0.258431109241665","1"
"No","2013","16-34 y.","7712","0.972750154640352","0.969153358611152","0.976346950669551","2"
"No","2013","35-65 y.","15745","0.853618166934563","0.848413662372852","0.858822671496275","2"
"No","2013","66 and older","3901","0.761237955366397","0.749498218575116","0.772977692157679","2"
"Yes","2013","35-65 y.","1976","0.146381833065437","0.141177328503725","0.151586337627148","1"
"Yes","2013","66 and older","1165","0.238762044633603","0.227022307842321","0.250501781424884","1"
"Yes","2013","16-34 y.","159","0.0272498453596481","0.0236530493304485","0.0308466413888477","1"
"No","2014","16-34 y.","6416","0.968386545360411","0.964157000914634","0.972616089806188","2"
"No","2014","35-65 y.","13754","0.848693134083781","0.843067319464709","0.854318948702853","2"
"No","2014","66 and older","3768","0.749216799248067","0.737194797248175","0.76123880124796","2"
"Yes","2014","35-65 y.","1832","0.151306865916219","0.145681051297147","0.156932680535291","1"
"Yes","2014","66 and older","1226","0.250783200751933","0.23876119875204","0.262805202751826","1"
"Yes","2014","16-34 y.","158","0.031613454639589","0.0273839101938121","0.0358429990853659","1"
"No","2015","16-34 y.","6569","0.970987899039628","0.966971994972238","0.975003803107018","2"
"No","2015","35-65 y.","13544","0.852446947364932","0.846810869464511","0.858083025265353","2"
"No","2015","66 and older","3734","0.753614040549488","0.741552587997192","0.765675493101784","2"
"Yes","2015","35-65 y.","1667","0.147553052635068","0.141916974734647","0.153189130535489","1"
"Yes","2015","66 and older","1169","0.246385959450512","0.234324506898216","0.258447412002808","1"
"Yes","2015","16-34 y.","141","0.0290121009603719","0.024996196892982","0.0330280050277618","1"
"No","2016","16-34 y.","5547","0.970528264835763","0.966126128299132","0.974930401372395","2"
"No","2016","35-65 y.","12402","0.858232308798347","0.852439425556557","0.864025192040137","2"
"No","2016","66 and older","3598","0.747525885501977","0.735168850331284","0.75988292067267","2"
"Yes","2016","35-65 y.","1526","0.141767691201653","0.135974807959863","0.147560574443443","1"
"Yes","2016","66 and older","1150","0.252474114498023","0.24011707932733","0.264831149668716","1"
"Yes","2016","16-34 y.","123","0.0294717351642368","0.0250695986276052","0.0338738717008683","1"
"No","2017","16-34 y.","6085","0.969443995421074","0.965169857114929","0.973718133727218","2"
"No","2017","35-65 y.","13637","0.854595695153032","0.849033114334327","0.860158275971737","2"
"No","2017","66 and older","3846","0.76543971742783","0.753698433932089","0.777181000923571","2"
"Yes","2017","35-65 y.","1790","0.145404304846968","0.139841724028263","0.150966885665673","1"
"Yes","2017","66 and older","1157","0.23456028257217","0.222818999076429","0.24630156606791","1"
"Yes","2017","16-34 y.","144","0.0305560045789265","0.0262818662727823","0.0348301428850707","1"
"No","2018","16-34 y.","5889","0.970740557919588","0.966488902265414","0.974992213573762","2"
"No","2018","35-65 y.","12893","0.860722598144804","0.855117315997058","0.866327880292551","2"
"No","2018","66 and older","3804","0.754937979225116","0.743061996582614","0.766813961867618","2"
"Yes","2018","35-65 y.","1764","0.139277401855196","0.133672119707449","0.144882684002942","1"
"Yes","2018","66 and older","1235","0.245062020774884","0.233186038132382","0.256938003417386","1"
"Yes","2018","16-34 y.","147","0.0292594420804122","0.025007786426238","0.0335110977345864","1"
"No","2019","16-34 y.","5288","0.96607728586795","0.96126446665052","0.97089010508538","2"
"No","2019","35-65 y.","13438","0.862410915503472","0.856924648960998","0.867897182045946","2"
"No","2019","66 and older","4021","0.759005111048712","0.747402944224642","0.770607277872782","2"
