"ple0040","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","higher education","717","0.895649091057817","0.874303801764727","0.916994380350906","2"
"No","1984","higher vocational","572","0.852583788052907","0.82551638795909","0.879651188146723","2"
"No","1984","general elemantary","3138","0.879179231598138","0.868299029653864","0.890059433542412","2"
"No","1984","inadequately","948","0.898359721451672","0.87974245587818","0.916976987025163","2"
"No","1984","in school","184","0.98988066207959","0.975497343880496","1.00426398027868","2"
"No","1984","middle vocational","5093","0.872869695813714","0.864216495643203","0.881522895984226","2"
"No","1984","vocational + Abi","286","0.903018966029011","0.870129279256078","0.935908652801945","2"
"Yes","1984","in school","2","","","","1"
"Yes","1984","inadequately","64","0.101640278548328","0.0830230129748368","0.12025754412182","1"
"Yes","1984","general elemantary","309","0.120820768401862","0.109940566457588","0.131700970346136","1"
"Yes","1984","middle vocational","600","0.127130304186286","0.118477104015774","0.135783504356797","1"
"Yes","1984","vocational + Abi","25","","","","1"
"Yes","1984","higher vocational","87","0.147416211947093","0.120348811853277","0.17448361204091","1"
"Yes","1984","higher education","71","0.104350908942183","0.0830056196490938","0.125696198235273","1"
"No","1985","higher education","687","0.894801397331664","0.872902072248077","0.916700722415252","2"
"No","1985","higher vocational","531","0.838522698943614","0.809558241418497","0.867487156468731","2"
"No","1985","vocational + Abi","259","0.90927181263679","0.875629405941728","0.942914219331851","2"
"No","1985","general elemantary","2791","0.888677721633135","0.877513394118133","0.899842049148137","2"
"No","1985","middle vocational","4622","0.873610581939755","0.864537970322762","0.882683193556749","2"
"No","1985","inadequately","784","0.865957171606134","0.842972046817364","0.888942296394904","2"
"No","1985","in school","183","0.997115795766139","0.989367164714304","1.00486442681797","2"
"Yes","1985","in school","1","","","","1"
"Yes","1985","inadequately","60","0.134042828393866","0.111057703605096","0.157027953182636","1"
"Yes","1985","general elemantary","258","0.111322278366865","0.100157950851863","0.122486605881867","1"
"Yes","1985","middle vocational","531","0.126389418060245","0.117316806443251","0.135462029677238","1"
"Yes","1985","vocational + Abi","21","","","","1"
"Yes","1985","higher vocational","89","0.161477301056386","0.132512843531269","0.190441758581503","1"
"Yes","1985","higher education","67","0.105198602668336","0.0832992775847483","0.127097927751923","1"
"No","1986","higher education","16","","","","2"
"No","1986","higher vocational","8","","","","2"
"No","1986","general elemantary","198","0.992857899371381","0.981187395060321","1.00452840368244","2"
"No","1986","vocational + Abi","10","","","","2"
"No","1986","inadequately","31","0.918643871314767","0.825370032874487","1.01191770975505","2"
"No","1986","in school","89","0.987684785585767","0.964899367225754","1.01047020394578","2"
"No","1986","middle vocational","115","0.977042591673736","0.9500201078962","1.00406507545127","2"
"Yes","1986","in school","1","","","","1"
"Yes","1986","inadequately","2","","","","1"
"Yes","1986","general elemantary","2","","","","1"
"Yes","1986","middle vocational","3","","","","1"
"Yes","1986","vocational + Abi","","","","","1"
