"ple0040","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","(0) in school","2","","",""
"Yes","1984","16-34 y.","(1a) inadequately completed","12","","",""
"Yes","1984","16-34 y.","(1b) general elementary school","16","","",""
"Yes","1984","16-34 y.","(1c) basic vocational qualification","32","0.0288779897239278","0.0197430571238891","0.0380129223239664"
"Yes","1984","16-34 y.","(2b) intermediate general qualification","5","","",""
"Yes","1984","16-34 y.","(2a) intermediate vocational","10","","",""
"Yes","1984","16-34 y.","(2c_gen) general maturity certificate","4","","",""
"Yes","1984","16-34 y.","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1984","16-34 y.","(3a) lower tertiary education","2","","",""
"Yes","1984","16-34 y.","(3b) higher tertiary education","2","","",""
"Yes","1984","35-65 y.","(0) in school","","","",""
"Yes","1984","35-65 y.","(1a) inadequately completed","53","0.0914093577412906","0.0709203581657004","0.111898357316881"
"Yes","1984","35-65 y.","(1b) general elementary school","186","0.150051659121416","0.132448167326419","0.167655150916413"
"Yes","1984","35-65 y.","(1c) basic vocational qualification","370","0.170226864358871","0.155426281366843","0.185027447350898"
"Yes","1984","35-65 y.","(2b) intermediate general qualification","6","","",""
"Yes","1984","35-65 y.","(2a) intermediate vocational","78","0.139048548131813","0.111725427748552","0.166371668515073"
"Yes","1984","35-65 y.","(2c_gen) general maturity certificate","4","","",""
"Yes","1984","35-65 y.","(2c_voc) vocational maturity certificate","35","0.211093640103777","0.154108019673068","0.268079260534485"
"Yes","1984","35-65 y.","(3a) lower tertiary education","24","","",""
"Yes","1984","35-65 y.","(3b) higher tertiary education","32","0.118939438030553","0.0827869197189369","0.155091956342169"
"Yes","1984","66 and older","(0) in school","","","",""
"Yes","1984","66 and older","(1a) inadequately completed","4","","",""
"Yes","1984","66 and older","(1b) general elementary school","94","0.184601182384021","0.150001126238938","0.219201238529104"
"Yes","1984","66 and older","(1c) basic vocational qualification","122","0.246825857598877","0.208254004820894","0.28539771037686"
"Yes","1984","66 and older","(2b) intermediate general qualification","7","","",""
"Yes","1984","66 and older","(2a) intermediate vocational","28","","",""
"Yes","1984","66 and older","(2c_gen) general maturity certificate","3","","",""
"Yes","1984","66 and older","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1984","66 and older","(3a) lower tertiary education","3","","",""
"Yes","1984","66 and older","(3b) higher tertiary education","8","","",""
"No","1984","16-34 y.","(0) in school","185","0.989890170538847","0.975552034107513","1.00422830697018"
"No","1984","16-34 y.","(1a) inadequately completed","317","0.916973423687806","0.887158268010253","0.94678857936536"
"No","1984","16-34 y.","(1b) general elementary school","917","0.973297884625402","0.962953539710878","0.983642229539926"
"No","1984","16-34 y.","(1c) basic vocational qualification","1259","0.971122010276072","0.961987077676033","0.980256942876111"
"No","1984","16-34 y.","(2b) intermediate general qualification","356","0.983348616431907","0.970148632331322","0.996548600532492"
"No","1984","16-34 y.","(2a) intermediate vocational","632","0.981192202159275","0.970684044138541","0.991700360180009"
"No","1984","16-34 y.","(2c_gen) general maturity certificate","349","0.987383121803273","0.975739729161304","0.999026514445242"
"No","1984","16-34 y.","(2c_voc) vocational maturity certificate","216","0.995204581656939","0.986013054862758","1.00439610845112"
"No","1984","16-34 y.","(3a) lower tertiary education","66","0.97250263237923","0.93363531314507","1.01136995161339"
"No","1984","16-34 y.","(3b) higher tertiary education","174","0.984810543670035","0.966741331529194","1.00287975581088"
"No","1984","35-65 y.","(0) in school","","","",""
"No","1984","35-65 y.","(1a) inadequately completed","707","0.908590642258709","0.888101642683119","0.9290796418343"
"No","1984","35-65 y.","(1b) general elementary school","1395","0.849948340878584","0.832344849083587","0.86755183267358"
"No","1984","35-65 y.","(1c) basic vocational qualification","2107","0.829773135641129","0.814972552649102","0.844573718633157"
"No","1984","35-65 y.","(2b) intermediate general qualification","75","0.91405647284055","0.853018699456832","0.975094246224267"
"No","1984","35-65 y.","(2a) intermediate vocational","538","0.860951451868187","0.833628331484927","0.888274572251448"
"No","1984","35-65 y.","(2c_gen) general maturity certificate","48","0.961688161495062","0.909517054632488","1.01385926835764"
"No","1984","35-65 y.","(2c_voc) vocational maturity certificate","162","0.788906359896223","0.731920739465515","0.845891980326932"
"No","1984","35-65 y.","(3a) lower tertiary education","149","0.845959982641835","0.792168101925298","0.899751863358372"
"No","1984","35-65 y.","(3b) higher tertiary education","276","0.881060561969447","0.844908043657831","0.917213080281063"
"No","1984","66 and older","(0) in school","","","",""
"No","1984","66 and older","(1a) inadequately completed","14","","",""
"No","1984","66 and older","(1b) general elementary school","389","0.815398817615979","0.780798761470896","0.849998873761062"
"No","1984","66 and older","(1c) basic vocational qualification","358","0.753174142401123","0.71460228962314","0.791745995179106"
"No","1984","66 and older","(2b) intermediate general qualification","25","","",""
"No","1984","66 and older","(2a) intermediate vocational","118","0.806999257853429","0.742983377800434","0.871015137906423"
"No","1984","66 and older","(2c_gen) general maturity certificate","4","","",""
"No","1984","66 and older","(2c_voc) vocational maturity certificate","27","","",""
"No","1984","66 and older","(3a) lower tertiary education","20","","",""
"No","1984","66 and older","(3b) higher tertiary education","32","0.820836638948545","0.701994335028092","0.939678942868997"
"Yes","1985","16-34 y.","(0) in school","1","","",""
"Yes","1985","16-34 y.","(1a) inadequately completed","15","","",""
"Yes","1985","16-34 y.","(1b) general elementary school","21","","",""
"Yes","1985","16-34 y.","(1c) basic vocational qualification","22","","",""
"Yes","1985","16-34 y.","(2b) intermediate general qualification","5","","",""
"Yes","1985","16-34 y.","(2a) intermediate vocational","12","","",""
"Yes","1985","16-34 y.","(2c_gen) general maturity certificate","4","","",""
"Yes","1985","16-34 y.","(2c_voc) vocational maturity certificate","2","","",""
"Yes","1985","16-34 y.","(3a) lower tertiary education","1","","",""
"Yes","1985","16-34 y.","(3b) higher tertiary education","4","","",""
"Yes","1985","35-65 y.","(0) in school","","","",""
"Yes","1985","35-65 y.","(1a) inadequately completed","44","0.107376095585645","0.0835023867672389","0.131249804404052"
"Yes","1985","35-65 y.","(1b) general elementary school","164","0.150750841766373","0.132147177750114","0.169354505782633"
"Yes","1985","35-65 y.","(1c) basic vocational qualification","328","0.170813864456021","0.155280612279122","0.186347116632919"
"Yes","1985","35-65 y.","(2b) intermediate general qualification","6","","",""
"Yes","1985","35-65 y.","(2a) intermediate vocational","76","0.142038572455497","0.114035998270637","0.170041146640357"
"Yes","1985","35-65 y.","(2c_gen) general maturity certificate","5","","",""
"Yes","1985","35-65 y.","(2c_voc) vocational maturity certificate","29","","",""
"Yes","1985","35-65 y.","(3a) lower tertiary education","25","","",""
"Yes","1985","35-65 y.","(3b) higher tertiary education","27","","",""
"Yes","1985","66 and older","(0) in school","","","",""
"Yes","1985","66 and older","(1a) inadequately completed","5","","",""
"Yes","1985","66 and older","(1b) general elementary school","60","0.140920996258749","0.106433305382941","0.175408687134557"
"Yes","1985","66 and older","(1c) basic vocational qualification","114","0.2481051444848","0.207090426197583","0.289119862772017"
"Yes","1985","66 and older","(2b) intermediate general qualification","5","","",""
"Yes","1985","66 and older","(2a) intermediate vocational","28","","",""
"Yes","1985","66 and older","(2c_gen) general maturity certificate","3","","",""
"Yes","1985","66 and older","(2c_voc) vocational maturity certificate","10","","",""
"Yes","1985","66 and older","(3a) lower tertiary education","4","","",""
"Yes","1985","66 and older","(3b) higher tertiary education","6","","",""
"No","1985","16-34 y.","(0) in school","183","0.997115795766139","0.989367164714304","1.00486442681797"
"No","1985","16-34 y.","(1a) inadequately completed","235","0.862164153319003","0.819432061112161","0.904896245525845"
"No","1985","16-34 y.","(1b) general elementary school","774","0.960775090570012","0.947280603893689","0.974269577246336"
"No","1985","16-34 y.","(1c) basic vocational qualification","1098","0.977577709417922","0.968906998379568","0.986248420456275"
"No","1985","16-34 y.","(2b) intermediate general qualification","362","0.982333476312309","0.9688556429944","0.995811309630219"
"No","1985","16-34 y.","(2a) intermediate vocational","591","0.977993912997546","0.96628466717433","0.989703158820762"
"No","1985","16-34 y.","(2c_gen) general maturity certificate","315","0.984175786468711","0.970481161143201","0.99787041179422"
"No","1985","16-34 y.","(2c_voc) vocational maturity certificate","201","0.98713646644135","0.971635141794436","1.00263779108826"
"No","1985","16-34 y.","(3a) lower tertiary education","62","0.989999487897568","0.96542941634963","1.01456955944551"
"No","1985","16-34 y.","(3b) higher tertiary education","173","0.975020497311815","0.952029372207545","0.998011622416086"
"No","1985","35-65 y.","(0) in school","","","",""
"No","1985","35-65 y.","(1a) inadequately completed","602","0.892623904414355","0.868750195595948","0.916497613232761"
"No","1985","35-65 y.","(1b) general elementary school","1257","0.849249158233626","0.830645494217367","0.867852822249886"
"No","1985","35-65 y.","(1c) basic vocational qualification","1927","0.829186135543979","0.813652883367081","0.844719387720878"
"No","1985","35-65 y.","(2b) intermediate general qualification","71","0.913115195848716","0.85020262582069","0.976027765876742"
"No","1985","35-65 y.","(2a) intermediate vocational","521","0.857961427544503","0.829958853359643","0.885964001729363"
"No","1985","35-65 y.","(2c_gen) general maturity certificate","43","0.959601808877411","0.903901967157889","1.01530165059693"
"No","1985","35-65 y.","(2c_voc) vocational maturity certificate","146","0.796291210599714","0.736619304377102","0.855963116822327"
"No","1985","35-65 y.","(3a) lower tertiary education","136","0.826765745409569","0.76830783650685","0.885223654312289"
"No","1985","35-65 y.","(3b) higher tertiary education","272","0.890240118341649","0.854808752620784","0.925671484062514"
"No","1985","66 and older","(0) in school","","","",""
"No","1985","66 and older","(1a) inadequately completed","11","","",""
"No","1985","66 and older","(1b) general elementary school","331","0.859079003741251","0.824591312865443","0.89356669461706"
"No","1985","66 and older","(1c) basic vocational qualification","312","0.7518948555152","0.710880137227983","0.792909573802417"
"No","1985","66 and older","(2b) intermediate general qualification","22","","",""
"No","1985","66 and older","(2a) intermediate vocational","110","0.797499202844874","0.730451014871326","0.864547390818421"
"No","1985","66 and older","(2c_gen) general maturity certificate","4","","",""
"No","1985","66 and older","(2c_voc) vocational maturity certificate","27","","",""
"No","1985","66 and older","(3a) lower tertiary education","19","","",""
"No","1985","66 and older","(3b) higher tertiary education","25","","",""
"Yes","1986","16-34 y.","(0) in school","1","","",""
"Yes","1986","16-34 y.","(1a) inadequately completed","2","","",""
"Yes","1986","16-34 y.","(1b) general elementary school","","","",""
"Yes","1986","16-34 y.","(1c) basic vocational qualification","1","","",""
"Yes","1986","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","1986","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","1986","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","1986","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","1986","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","1986","35-65 y.","(0) in school","","","",""
"Yes","1986","35-65 y.","(1a) inadequately completed","","","",""
"Yes","1986","35-65 y.","(1b) general elementary school","","","",""
"Yes","1986","35-65 y.","(1c) basic vocational qualification","1","","",""
"Yes","1986","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","1986","35-65 y.","(2a) intermediate vocational","1","","",""
"Yes","1986","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","1986","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","1986","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","1986","66 and older","(0) in school","","","",""
"Yes","1986","66 and older","(1a) inadequately completed","","","",""
"Yes","1986","66 and older","(1b) general elementary school","1","","",""
"Yes","1986","66 and older","(1c) basic vocational qualification","","","",""
"Yes","1986","66 and older","(2b) intermediate general qualification","1","","",""
"Yes","1986","66 and older","(2a) intermediate vocational","","","",""
"Yes","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","1986","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","66 and older","(3a) lower tertiary education","","","",""
"Yes","1986","66 and older","(3b) higher tertiary education","","","",""
"No","1986","16-34 y.","(0) in school","89","0.987684785585767","0.964899367225754","1.01047020394578"
"No","1986","16-34 y.","(1a) inadequately completed","26","","",""
"No","1986","16-34 y.","(1b) general elementary school","130","1","1","1"
"No","1986","16-34 y.","(1c) basic vocational qualification","54","0.986554932586342","0.956117439880126","1.01699242529256"
"No","1986","16-34 y.","(2b) intermediate general qualification","51","1","1","1"
"No","1986","16-34 y.","(2a) intermediate vocational","33","1","1","1"
"No","1986","16-34 y.","(2c_gen) general maturity certificate","11","","",""
"No","1986","16-34 y.","(2c_voc) vocational maturity certificate","12","","",""
"No","1986","16-34 y.","(3a) lower tertiary education","4","","",""
"No","1986","16-34 y.","(3b) higher tertiary education","8","","",""
"No","1986","35-65 y.","(0) in school","","","",""
"No","1986","35-65 y.","(1a) inadequately completed","7","","",""
"No","1986","35-65 y.","(1b) general elementary school","13","","",""
"No","1986","35-65 y.","(1c) basic vocational qualification","15","","",""
"No","1986","35-65 y.","(2b) intermediate general qualification","","","",""
"No","1986","35-65 y.","(2a) intermediate vocational","4","","",""
"No","1986","35-65 y.","(2c_gen) general maturity certificate","","","",""
"No","1986","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"No","1986","35-65 y.","(3a) lower tertiary education","1","","",""
"No","1986","35-65 y.","(3b) higher tertiary education","3","","",""
"No","1986","66 and older","(0) in school","","","",""
"No","1986","66 and older","(1a) inadequately completed","","","",""
"No","1986","66 and older","(1b) general elementary school","5","","",""
"No","1986","66 and older","(1c) basic vocational qualification","","","",""
"No","1986","66 and older","(2b) intermediate general qualification","","","",""
"No","1986","66 and older","(2a) intermediate vocational","1","","",""
"No","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"No","1986","66 and older","(2c_voc) vocational maturity certificate","","","",""
"No","1986","66 and older","(3a) lower tertiary education","","","",""
"No","1986","66 and older","(3b) higher tertiary education","","","",""
"Yes","1987","16-34 y.","(0) in school","4","","",""
"Yes","1987","16-34 y.","(1a) inadequately completed","17","","",""
"Yes","1987","16-34 y.","(1b) general elementary school","17","","",""
"Yes","1987","16-34 y.","(1c) basic vocational qualification","27","","",""
"Yes","1987","16-34 y.","(2b) intermediate general qualification","4","","",""
"Yes","1987","16-34 y.","(2a) intermediate vocational","11","","",""
"Yes","1987","16-34 y.","(2c_gen) general maturity certificate","5","","",""
"Yes","1987","16-34 y.","(2c_voc) vocational maturity certificate","4","","",""
"Yes","1987","16-34 y.","(3a) lower tertiary education","1","","",""
"Yes","1987","16-34 y.","(3b) higher tertiary education","2","","",""
"Yes","1987","35-65 y.","(0) in school","","","",""
"Yes","1987","35-65 y.","(1a) inadequately completed","47","0.119807233219648","0.0936484430187234","0.145966023420572"
"Yes","1987","35-65 y.","(1b) general elementary school","138","0.13621205344151","0.117339588824973","0.155084518058047"
"Yes","1987","35-65 y.","(1c) basic vocational qualification","310","0.16918057098291","0.153240245348417","0.185120896617403"
"Yes","1987","35-65 y.","(2b) intermediate general qualification","9","","",""
"Yes","1987","35-65 y.","(2a) intermediate vocational","66","0.129503239932863","0.101719509489639","0.157286970376087"
"Yes","1987","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"Yes","1987","35-65 y.","(2c_voc) vocational maturity certificate","23","","",""
"Yes","1987","35-65 y.","(3a) lower tertiary education","18","","",""
"Yes","1987","35-65 y.","(3b) higher tertiary education","19","","",""
"Yes","1987","66 and older","(0) in school","","","",""
"Yes","1987","66 and older","(1a) inadequately completed","5","","",""
"Yes","1987","66 and older","(1b) general elementary school","69","0.166168784678845","0.128889935196575","0.203447634161115"
"Yes","1987","66 and older","(1c) basic vocational qualification","103","0.246066218523963","0.204169725321383","0.287962711726544"
"Yes","1987","66 and older","(2b) intermediate general qualification","8","","",""
"Yes","1987","66 and older","(2a) intermediate vocational","32","0.237351798352193","0.165846697191582","0.308856899512804"
"Yes","1987","66 and older","(2c_gen) general maturity certificate","3","","",""
"Yes","1987","66 and older","(2c_voc) vocational maturity certificate","15","","",""
"Yes","1987","66 and older","(3a) lower tertiary education","9","","",""
"Yes","1987","66 and older","(3b) higher tertiary education","11","","",""
"No","1987","16-34 y.","(0) in school","186","0.985595654703349","0.968653546839565","1.00253776256713"
"No","1987","16-34 y.","(1a) inadequately completed","188","0.855872625447772","0.807794340594109","0.903950910301436"
"No","1987","16-34 y.","(1b) general elementary school","762","0.965981831064382","0.953252097674717","0.978711564454046"
"No","1987","16-34 y.","(1c) basic vocational qualification","1007","0.973454964222019","0.963656964760596","0.983252963683442"
"No","1987","16-34 y.","(2b) intermediate general qualification","329","0.989787546422601","0.978989081682111","1.00058601116309"
"No","1987","16-34 y.","(2a) intermediate vocational","619","0.98366725573318","0.97376961912242","0.99356489234394"
"No","1987","16-34 y.","(2c_gen) general maturity certificate","320","0.985173955255882","0.972034555534433","0.998313354977331"
"No","1987","16-34 y.","(2c_voc) vocational maturity certificate","208","0.981130416675293","0.962814667579834","0.999446165770751"
"No","1987","16-34 y.","(3a) lower tertiary education","69","0.988335388084435","0.963182584984732","1.01348819118414"
"No","1987","16-34 y.","(3b) higher tertiary education","147","0.983463244530818","0.962986581863178","1.00393990719846"
"No","1987","35-65 y.","(0) in school","","","",""
"No","1987","35-65 y.","(1a) inadequately completed","545","0.880192766780352","0.854033976579428","0.906351556981277"
"No","1987","35-65 y.","(1b) general elementary school","1131","0.86378794655849","0.844915481941954","0.882660411175027"
"No","1987","35-65 y.","(1c) basic vocational qualification","1815","0.83081942901709","0.814879103382597","0.846759754651583"
"No","1987","35-65 y.","(2b) intermediate general qualification","62","0.864150938943632","0.784453926734234","0.943847951153031"
"No","1987","35-65 y.","(2a) intermediate vocational","495","0.870496760067137","0.842713029623913","0.898280490510361"
"No","1987","35-65 y.","(2c_gen) general maturity certificate","47","0.948151943722003","0.886695376443353","1.00960851100065"
"No","1987","35-65 y.","(2c_voc) vocational maturity certificate","133","0.839441350956708","0.781831357767213","0.897051344146203"
"No","1987","35-65 y.","(3a) lower tertiary education","133","0.877750270766693","0.825502344679772","0.929998196853613"
"No","1987","35-65 y.","(3b) higher tertiary education","297","0.936031564495051","0.909052141244993","0.96301098774511"
"No","1987","66 and older","(0) in school","","","",""
"No","1987","66 and older","(1a) inadequately completed","15","","",""
"No","1987","66 and older","(1b) general elementary school","314","0.833831215321155","0.796552365838885","0.871110064803425"
"No","1987","66 and older","(1c) basic vocational qualification","303","0.753933781476037","0.712037288273456","0.795830274678617"
"No","1987","66 and older","(2b) intermediate general qualification","21","","",""
"No","1987","66 and older","(2a) intermediate vocational","104","0.762648201647807","0.691143100487196","0.834153302808418"
"No","1987","66 and older","(2c_gen) general maturity certificate","4","","",""
"No","1987","66 and older","(2c_voc) vocational maturity certificate","22","","",""
"No","1987","66 and older","(3a) lower tertiary education","18","","",""
"No","1987","66 and older","(3b) higher tertiary education","19","","",""
"Yes","1988","16-34 y.","(0) in school","1","","",""
"Yes","1988","16-34 y.","(1a) inadequately completed","18","","",""
"Yes","1988","16-34 y.","(1b) general elementary school","19","","",""
"Yes","1988","16-34 y.","(1c) basic vocational qualification","31","0.0291750152503169","0.0186595967924299","0.039690433708204"
"Yes","1988","16-34 y.","(2b) intermediate general qualification","4","","",""
"Yes","1988","16-34 y.","(2a) intermediate vocational","10","","",""
"Yes","1988","16-34 y.","(2c_gen) general maturity certificate","1","","",""
"Yes","1988","16-34 y.","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1988","16-34 y.","(3a) lower tertiary education","1","","",""
"Yes","1988","16-34 y.","(3b) higher tertiary education","3","","",""
"Yes","1988","35-65 y.","(0) in school","","","",""
"Yes","1988","35-65 y.","(1a) inadequately completed","51","0.133462107123529","0.104937180384563","0.161987033862495"
"Yes","1988","35-65 y.","(1b) general elementary school","155","0.16396852159647","0.143072385290504","0.184864657902435"
"Yes","1988","35-65 y.","(1c) basic vocational qualification","312","0.172316078592631","0.155867410475506","0.188764746709756"
"Yes","1988","35-65 y.","(2b) intermediate general qualification","12","","",""
"Yes","1988","35-65 y.","(2a) intermediate vocational","59","0.121102235737268","0.0938862660535729","0.148318205420964"
"Yes","1988","35-65 y.","(2c_gen) general maturity certificate","5","","",""
"Yes","1988","35-65 y.","(2c_voc) vocational maturity certificate","23","","",""
"Yes","1988","35-65 y.","(3a) lower tertiary education","14","","",""
"Yes","1988","35-65 y.","(3b) higher tertiary education","18","","",""
"Yes","1988","66 and older","(0) in school","","","",""
"Yes","1988","66 and older","(1a) inadequately completed","2","","",""
"Yes","1988","66 and older","(1b) general elementary school","74","0.200518935583425","0.158927407348939","0.242110463817912"
"Yes","1988","66 and older","(1c) basic vocational qualification","136","0.316273827284496","0.270984767064627","0.361562887504366"
"Yes","1988","66 and older","(2b) intermediate general qualification","6","","",""
"Yes","1988","66 and older","(2a) intermediate vocational","36","0.287396892688348","0.209603752076973","0.365190033299722"
"Yes","1988","66 and older","(2c_gen) general maturity certificate","3","","",""
"Yes","1988","66 and older","(2c_voc) vocational maturity certificate","19","","",""
"Yes","1988","66 and older","(3a) lower tertiary education","8","","",""
"Yes","1988","66 and older","(3b) higher tertiary education","11","","",""
"No","1988","16-34 y.","(0) in school","162","0.988938022487514","0.972881362464748","1.00499468251028"
"No","1988","16-34 y.","(1a) inadequately completed","168","0.836957319079123","0.783869616820418","0.890045021337829"
"No","1988","16-34 y.","(1b) general elementary school","748","0.97052795510782","0.958558908208042","0.982497002007598"
"No","1988","16-34 y.","(1c) basic vocational qualification","953","0.970824984749683","0.960309566291796","0.98134040320757"
"No","1988","16-34 y.","(2b) intermediate general qualification","325","0.983597069867527","0.969871844865195","0.99732229486986"
"No","1988","16-34 y.","(2a) intermediate vocational","581","0.986445456769713","0.977122936580422","0.995767976959003"
"No","1988","16-34 y.","(2c_gen) general maturity certificate","297","0.999647053749254","0.99751441355301","1.0017796939455"
"No","1988","16-34 y.","(2c_voc) vocational maturity certificate","194","0.959674639558786","0.932410974902514","0.986938304215057"
"No","1988","16-34 y.","(3a) lower tertiary education","68","0.984748112229469","0.95583146581558","1.01366475864336"
"No","1988","16-34 y.","(3b) higher tertiary education","131","0.978311723731268","0.953648670561988","1.00297477690055"
"No","1988","35-65 y.","(0) in school","","","",""
"No","1988","35-65 y.","(1a) inadequately completed","495","0.866537892876471","0.838012966137505","0.895062819615437"
"No","1988","35-65 y.","(1b) general elementary school","1051","0.83603147840353","0.815135342097565","0.856927614709496"
"No","1988","35-65 y.","(1c) basic vocational qualification","1713","0.827683921407369","0.811235253290244","0.844132589524494"
"No","1988","35-65 y.","(2b) intermediate general qualification","56","0.816369796559568","0.724344090828602","0.908395502290533"
