"ple0040","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","no migration background","West Germany","7647","0.872226181400796","0.865188554997715","0.879263807803877","2"
"No","1984","direct migration background","West Germany","3226","0.928788688570995","0.920131413980499","0.937445963161492","2"
"No","1984","no migration background","East Germany","","","","","2"
"No","1984","direct migration background","East Germany","","","","","2"
"No","1984","indirect migration background","West Germany","120","0.91732932170284","0.869245253250844","0.965413390154836","2"
"No","1984","indirect migration background","East Germany","","","","","2"
"Yes","1984","no migration background","West Germany","997","0.127773818599204","0.120736192196123","0.134811445002285","1"
"Yes","1984","no migration background","East Germany","","","","","1"
"Yes","1984","direct migration background","West Germany","164","0.0712113114290047","0.0625540368385084","0.0798685860195009","1"
"Yes","1984","direct migration background","East Germany","","","","","1"
"Yes","1984","indirect migration background","West Germany","6","","","","1"
"Yes","1984","indirect migration background","East Germany","","","","","1"
"No","1985","no migration background","West Germany","7042","0.875428102702103","0.868159820536586","0.882696384867621","2"
"No","1985","no migration background","East Germany","","","","","2"
"No","1985","direct migration background","West Germany","2785","0.918160481247063","0.908229833861097","0.92809112863303","2"
"No","1985","direct migration background","East Germany","","","","","2"
"No","1985","indirect migration background","West Germany","136","0.933594626893569","0.892496756609937","0.974692497177201","2"
"No","1985","indirect migration background","East Germany","","","","","2"
"Yes","1985","no migration background","West Germany","888","0.124571897297896","0.117303615132379","0.131840179463414","1"
"Yes","1985","no migration background","East Germany","","","","","1"
"Yes","1985","direct migration background","West Germany","142","0.0818395187529365","0.0719088713669697","0.0917701661389033","1"
"Yes","1985","direct migration background","East Germany","","","","","1"
"Yes","1985","indirect migration background","West Germany","5","","","","1"
"Yes","1985","indirect migration background","East Germany","","","","","1"
"No","1986","no migration background","East Germany","","","","","2"
"No","1986","no migration background","West Germany","323","0.983666021630835","0.969989963310476","0.997342079951194","2"
"No","1986","direct migration background","East Germany","","","","","2"
"No","1986","direct migration background","West Germany","126","0.99622060988334","0.985548879285974","1.00689234048071","2"
"No","1986","indirect migration background","West Germany","20","","","","2"
"No","1986","indirect migration background","East Germany","","","","","2"
"Yes","1986","no migration background","West Germany","7","","","","1"
"Yes","1986","no migration background","East Germany","","","","","1"
"Yes","1986","direct migration background","West Germany","1","","","","1"
"Yes","1986","direct migration background","East Germany","","","","","1"
"Yes","1986","indirect migration background","West Germany","","","","","1"
"Yes","1986","indirect migration background","East Germany","","","","","1"
"No","1987","no migration background","West Germany","6646","0.876787408921031","0.869327376463531","0.88424744137853","2"
"No","1987","no migration background","East Germany","","","","","2"
"No","1987","direct migration background","East Germany","","","","","2"
"No","1987","direct migration background","West Germany","2646","0.903699868928663","0.892802179165635","0.914597558691691","2"
"No","1987","indirect migration background","West Germany","165","0.889504803381471","0.842922676368273","0.936086930394669","2"
"No","1987","indirect migration background","East Germany","","","","","2"
"Yes","1987","no migration background","West Germany","811","0.123212591078969","0.11575255862147","0.130672623536469","1"
"Yes","1987","no migration background","East Germany","","","","","1"
"Yes","1987","direct migration background","West Germany","169","0.0963001310713369","0.0854024413083089","0.107197820834365","1"
"Yes","1987","direct migration background","East Germany","","","","","1"
"Yes","1987","indirect migration background","West Germany","9","","","","1"
"Yes","1987","indirect migration background","East Germany","","","","","1"
"No","1988","no migration background","West Germany","6234","0.863605371354969","0.855606416120557","0.871604326589381","2"
"No","1988","no migration background","East Germany","","","","","2"
"No","1988","direct migration background","West Germany","2477","0.888251556245858","0.876316825217323","0.900186287274393","2"
"No","1988","direct migration background","East Germany","","","","","2"
"No","1988","indirect migration background","West Germany","211","0.896004002892413","0.855939574950682","0.936068430834143","2"
"No","1988","indirect migration background","East Germany","","","","","2"
"Yes","1988","no migration background","West Germany","838","0.136394628645031","0.128395673410619","0.144393583879443","1"
"Yes","1988","no migration background","East Germany","","","","","1"
"Yes","1988","direct migration background","West Germany","200","0.111748443754142","0.0998137127256073","0.123683174782677","1"
"Yes","1988","direct migration background","East Germany","","","","","1"
"Yes","1988","indirect migration background","West Germany","12","","","","1"
"Yes","1988","indirect migration background","East Germany","","","","","1"
"No","1989","no migration background","West Germany","5968","0.857056924850666","0.848739588776879","0.865374260924454","2"
"No","1989","no migration background","East Germany","","","","","2"
"No","1989","direct migration background","West Germany","2410","0.894953863387235","0.883161455785333","0.906746270989138","2"
"No","1989","direct migration background","East Germany","","","","","2"
"No","1989","indirect migration background","West Germany","250","0.908630746884134","0.87360759973625","0.943653894032018","2"
"No","1989","indirect migration background","East Germany","","","","","2"
"Yes","1989","no migration background","West Germany","835","0.142943075149334","0.134625739075546","0.151260411223121","1"
"Yes","1989","no migration background","East Germany","","","","","1"
"Yes","1989","direct migration background","West Germany","187","0.105046136612765","0.093253729010862","0.116838544214667","1"
"Yes","1989","direct migration background","East Germany","","","","","1"
"Yes","1989","indirect migration background","West Germany","10","","","","1"
"Yes","1989","indirect migration background","East Germany","","","","","1"
"No","1990","no migration background","West Germany","","","","","2"
"No","1990","no migration background","East Germany","","","","","2"
"No","1990","direct migration background","West Germany","","","","","2"
"No","1990","direct migration background","East Germany","","","","","2"
"No","1990","indirect migration background","West Germany","","","","","2"
"No","1990","indirect migration background","East Germany","","","","","2"
"Yes","1990","no migration background","West Germany","","","","","1"
"Yes","1990","no migration background","East Germany","","","","","1"
"Yes","1990","direct migration background","West Germany","","","","","1"
"Yes","1990","direct migration background","East Germany","","","","","1"
"Yes","1990","indirect migration background","West Germany","","","","","1"
"Yes","1990","indirect migration background","East Germany","","","","","1"
"No","1991","no migration background","West Germany","5750","0.853658549837195","0.845120436059984","0.862196663614406","2"
"No","1991","no migration background","East Germany","","","","","2"
"No","1991","direct migration background","West Germany","2274","0.882887569271611","0.870234703305829","0.895540435237393","2"
"No","1991","direct migration background","East Germany","","","","","2"
"No","1991","indirect migration background","West Germany","339","0.943551003612572","0.919303374976667","0.967798632248478","2"
"No","1991","indirect migration background","East Germany","","","","","2"
