"ple0040","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","lower secondary degree","43","0.0265002975148675","0.019151380502248","0.033849214527487"
"Yes","1984","16-34 y.","secondary school degree","15","","",""
"Yes","1984","16-34 y.","college entrance qualification","8","","",""
"Yes","1984","16-34 y.","Other degree","6","","",""
"Yes","1984","16-34 y.","no degree/no degree yet","14","","",""
"Yes","1984","35-65 y.","lower secondary degree","512","0.166876003923949","0.154140856021851","0.179611151826048"
"Yes","1984","35-65 y.","secondary school degree","93","0.13730410484041","0.112672762197638","0.161935447483181"
"Yes","1984","35-65 y.","college entrance qualification","68","0.140079398809024","0.110419372611683","0.169739425006364"
"Yes","1984","35-65 y.","Other degree","62","0.0940906056649613","0.0751735710855649","0.113007640244358"
"Yes","1984","35-65 y.","no degree/no degree yet","53","0.0913468809165103","0.0708776424828544","0.111816119350166"
"Yes","1984","66 and older","lower secondary degree","215","0.213360204972816","0.187525459078753","0.239194950866879"
"Yes","1984","66 and older","secondary school degree","35","0.197565824495505","0.139719866736817","0.255411782254194"
"Yes","1984","66 and older","college entrance qualification","26","","",""
"Yes","1984","66 and older","Other degree","2","","",""
"Yes","1984","66 and older","no degree/no degree yet","4","","",""
"No","1984","16-34 y.","lower secondary degree","1792","0.973499702485133","0.966150785472513","0.980848619497752"
"No","1984","16-34 y.","secondary school degree","1003","0.982229157717736","0.974113296361801","0.990345019073671"
"No","1984","16-34 y.","college entrance qualification","659","0.98680240220678","0.978141807455338","0.995462996958222"
"No","1984","16-34 y.","Other degree","515","0.956106110245001","0.938515362107427","0.973696858382576"
"No","1984","16-34 y.","no degree/no degree yet","502","0.962388918279692","0.945973329694642","0.978804506864743"
"No","1984","35-65 y.","lower secondary degree","2781","0.83312399607605","0.820388848173952","0.845859143978149"
"No","1984","35-65 y.","secondary school degree","657","0.86269589515959","0.838064552516819","0.887327237802362"
"No","1984","35-65 y.","college entrance qualification","458","0.859920601190976","0.830260574993636","0.889580627388317"
"No","1984","35-65 y.","Other degree","853","0.905909394335039","0.886992359755642","0.924826428914435"
"No","1984","35-65 y.","no degree/no degree yet","708","0.90865311908349","0.888183880649834","0.929122357517146"
"No","1984","66 and older","lower secondary degree","751","0.786639795027184","0.760805049133121","0.812474540921247"
"No","1984","66 and older","secondary school degree","147","0.802434175504495","0.744588217745806","0.860280133263183"
"No","1984","66 and older","college entrance qualification","70","0.739978708814023","0.652232867614914","0.827724550013132"
"No","1984","66 and older","Other degree","5","","",""
"No","1984","66 and older","no degree/no degree yet","14","","",""
"Yes","1985","16-34 y.","lower secondary degree","38","0.0259253183352861","0.0181941165669446","0.0336565201036277"
"Yes","1985","16-34 y.","secondary school degree","17","","",""
"Yes","1985","16-34 y.","college entrance qualification","11","","",""
"Yes","1985","16-34 y.","Other degree","5","","",""
"Yes","1985","16-34 y.","no degree/no degree yet","16","","",""
"Yes","1985","35-65 y.","lower secondary degree","459","0.168979486584761","0.155552141153485","0.182406832016036"
"Yes","1985","35-65 y.","secondary school degree","89","0.136978126321452","0.111967976522068","0.161988276120836"
"Yes","1985","35-65 y.","college entrance qualification","62","0.139125302165032","0.108790852454782","0.169459751875283"
"Yes","1985","35-65 y.","Other degree","50","0.0807428573081052","0.0620156343182457","0.0994700802979646"
"Yes","1985","35-65 y.","no degree/no degree yet","44","0.106202901713575","0.0824810684116051","0.129924735015545"
"Yes","1985","66 and older","lower secondary degree","173","0.194097601095061","0.167010816858111","0.221184385332011"
"Yes","1985","66 and older","secondary school degree","34","0.199639770245656","0.13937395726702","0.259905583224293"
"Yes","1985","66 and older","college entrance qualification","21","","",""
"Yes","1985","66 and older","Other degree","2","","",""
"Yes","1985","66 and older","no degree/no degree yet","5","","",""
"No","1985","16-34 y.","lower secondary degree","1585","0.974074681664714","0.966343479896372","0.981805883433055"
"No","1985","16-34 y.","secondary school degree","961","0.979837268723962","0.971028193437828","0.988646344010096"
"No","1985","16-34 y.","college entrance qualification","633","0.982304933938062","0.972122434044157","0.992487433831966"
"No","1985","16-34 y.","Other degree","395","0.952803990943279","0.932022700267362","0.973585281619197"
"No","1985","16-34 y.","no degree/no degree yet","414","0.950073957675056","0.929488707924024","0.970659207426088"
"No","1985","35-65 y.","lower secondary degree","2533","0.831020513415239","0.817593167983964","0.844447858846515"
"No","1985","35-65 y.","secondary school degree","637","0.863021873678548","0.838011723879164","0.888032023477932"
"No","1985","35-65 y.","college entrance qualification","438","0.860874697834968","0.830540248124717","0.891209147545218"
"No","1985","35-65 y.","Other degree","763","0.919257142691895","0.900529919702035","0.937984365681754"
"No","1985","35-65 y.","no degree/no degree yet","604","0.893797098286425","0.870075264984455","0.917518931588395"
"No","1985","66 and older","lower secondary degree","646","0.805902398904939","0.778815614667989","0.832989183141889"
"No","1985","66 and older","secondary school degree","135","0.800360229754344","0.740094416775707","0.86062604273298"
"No","1985","66 and older","college entrance qualification","64","0.773161354164895","0.68413220556106","0.86219050276873"
"No","1985","66 and older","Other degree","5","","",""
"No","1985","66 and older","no degree/no degree yet","11","","",""
"Yes","1986","16-34 y.","lower secondary degree","1","","",""
"Yes","1986","16-34 y.","secondary school degree","","","",""
"Yes","1986","16-34 y.","college entrance qualification","","","",""
"Yes","1986","16-34 y.","Other degree","","","",""
"Yes","1986","16-34 y.","no degree/no degree yet","3","","",""
"Yes","1986","35-65 y.","lower secondary degree","1","","",""
"Yes","1986","35-65 y.","secondary school degree","1","","",""
"Yes","1986","35-65 y.","college entrance qualification","","","",""
"Yes","1986","35-65 y.","Other degree","","","",""
"Yes","1986","35-65 y.","no degree/no degree yet","","","",""
"Yes","1986","66 and older","lower secondary degree","1","","",""
"Yes","1986","66 and older","secondary school degree","1","","",""
"Yes","1986","66 and older","college entrance qualification","","","",""
"Yes","1986","66 and older","Other degree","","","",""
"Yes","1986","66 and older","no degree/no degree yet","","","",""
"No","1986","16-34 y.","lower secondary degree","171","0.995909969799322","0.986371973161944","1.0054479664367"
"No","1986","16-34 y.","secondary school degree","85","1","1","1"
"No","1986","16-34 y.","college entrance qualification","30","1","1","1"
"No","1986","16-34 y.","Other degree","17","","",""
"No","1986","16-34 y.","no degree/no degree yet","115","0.97617986928734","0.948666480747557","1.00369325782712"
