"ple0040","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Not Working","higher vocational","144","0.758622842515544","0.697126022242585","0.820119662788504","2"
"No","1984","Not Working","higher education","125","0.784268689475458","0.719927765381937","0.848609613568978","2"
"No","1984","Not Working","general elemantary","1517","0.841939270317149","0.824842835261054","0.859035705373244","2"
"No","1984","Not Working","inadequately","347","0.877684307625931","0.844654013051846","0.910714602200017","2"
"No","1984","Not Working","in school","175","0.989263740918767","0.974081216263289","1.00444626557424","2"
"No","1984","Not Working","middle vocational","1542","0.796890754084722","0.778690384981209","0.815091123188234","2"
"No","1984","Not Working","vocational + Abi","68","0.830508418657021","0.748802848115239","0.912213989198802","2"
"No","1984","Full Time","higher vocational","334","0.91065822320017","0.88139604449347","0.93992040190687","2"
"No","1984","Full Time","higher education","435","0.923761107898229","0.899666311670375","0.947855904126083","2"
"No","1984","Full Time","inadequately","488","0.929747009846129","0.907609543573552","0.951884476118706","2"
"No","1984","Full Time","general elemantary","1104","0.936711848255462","0.922664013182993","0.950759683327932","2"
"No","1984","Full Time","in school","1","","","","2"
"No","1984","Full Time","middle vocational","2748","0.920260633046525","0.91047872595468","0.930042540138369","2"
"No","1984","Full Time","vocational + Abi","169","0.931784635262732","0.894851136516374","0.96871813400909","2"
"No","1984","Part Time","in school","8","","","","2"
"No","1984","Part Time","inadequately","113","0.873365213440384","0.814352901162429","0.932377525718338","2"
"No","1984","Part Time","general elemantary","517","0.93680827605854","0.9163624763356","0.957254075781481","2"
"No","1984","Part Time","middle vocational","803","0.916266068116014","0.897860466866047","0.934671669365981","2"
"No","1984","Part Time","vocational + Abi","49","0.951253808173768","0.892154614746111","1.01035300160142","2"
"No","1984","Part Time","higher vocational","94","0.848205634136375","0.780532760932512","0.915878507340237","2"
"No","1984","Part Time","higher education","157","0.939759484425144","0.903455121696846","0.976063847153442","2"
"Yes","1984","Full Time","in school","","","","","1"
"Yes","1984","Full Time","inadequately","24","","","","1"
"Yes","1984","Full Time","general elemantary","50","0.0632881517445375","0.0492403166720684","0.0773359868170066","1"
"Yes","1984","Full Time","middle vocational","198","0.0797393669534754","0.0699574598616311","0.0895212740453197","1"
"Yes","1984","Full Time","vocational + Abi","10","","","","1"
