"ple0040","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","770","0.144270024666629","0.135448304210648","0.15309174512261"
"Yes","1984","secondary school degree","143","0.0886605633649623","0.0760441441660464","0.101276982563878"
"Yes","1984","college entrance qualification","102","0.090877382346011","0.0751860157786234","0.106568748913399"
"Yes","1984","Other degree","70","0.0825484829563542","0.0683493758477815","0.0967475900649269"
"Yes","1984","no degree/no degree yet","71","0.06231287103945","0.0491475617899839","0.0754781802889162"
"No","1984","lower secondary degree","5324","0.855729975333371","0.84690825487739","0.864551695789352"
"No","1984","secondary school degree","1807","0.911339436635038","0.898723017436122","0.923955855833954"
"No","1984","college entrance qualification","1187","0.909122617653989","0.893431251086601","0.924813984221377"
"No","1984","Other degree","1373","0.917451517043646","0.903252409935073","0.931650624152218"
"No","1984","no degree/no degree yet","1224","0.93768712896055","0.924521819711084","0.950852438210016"
"Yes","1985","lower secondary degree","670","0.141747853382184","0.132474133610179","0.151021573154188"
"Yes","1985","secondary school degree","140","0.0902063756902804","0.0772325139958312","0.10318023738473"
"Yes","1985","college entrance qualification","94","0.0891331314600675","0.0732030064227518","0.105063256497383"
"Yes","1985","Other degree","57","0.0774058753444263","0.0624103915757091","0.0924013591131434"
"Yes","1985","no degree/no degree yet","65","0.0819572569498241","0.0657030947887038","0.0982114191109444"
"No","1985","lower secondary degree","4764","0.858252146617816","0.848978426845811","0.867525866389821"
"No","1985","secondary school degree","1733","0.90979362430972","0.89681976261527","0.922767486004169"
"No","1985","college entrance qualification","1135","0.910866868539933","0.894936743502617","0.926796993577248"
"No","1985","Other degree","1163","0.922594124655574","0.907598640886856","0.937589608424291"
"No","1985","no degree/no degree yet","1029","0.918042743050176","0.901788580889056","0.934296905211296"
"Yes","1986","lower secondary degree","3","","",""
"Yes","1986","secondary school degree","2","","",""
"Yes","1986","college entrance qualification","","","",""
"Yes","1986","Other degree","","","",""
"Yes","1986","no degree/no degree yet","3","","",""
"No","1986","lower secondary degree","199","0.989283131963464","0.975083841285774","1.00348242264115"
"No","1986","secondary school degree","90","0.982018883526537","0.954865595650989","1.00917217140208"
"No","1986","college entrance qualification","34","1","1","1"
"No","1986","Other degree","22","","",""
"No","1986","no degree/no degree yet","122","0.97676143722605","0.950350003964084","1.00317287048802"
"Yes","1987","lower secondary degree","612","0.142195368012765","0.132594180437146","0.151796555588385"
"Yes","1987","secondary school degree","136","0.0928495942860948","0.0795417266649698","0.10615746190722"
"Yes","1987","college entrance qualification","91","0.0848487229734973","0.0692823237372221","0.100415122209773"
"Yes","1987","Other degree","68","0.0915651434377719","0.0748304695456073","0.108299817329936"
"Yes","1987","no degree/no degree yet","73","0.0925372532150171","0.0745676680363475","0.110506838393687"
"No","1987","lower secondary degree","4471","0.857804631987235","0.848203444411615","0.867405819562854"
"No","1987","secondary school degree","1691","0.907150405713905","0.89384253809278","0.92045827333503"
"No","1987","college entrance qualification","1140","0.915151277026503","0.899584877790227","0.930717676262778"
"No","1987","Other degree","1073","0.908434856562228","0.891700182670063","0.925169530454393"
"No","1987","no degree/no degree yet","926","0.907462746784983","0.889493161606313","0.925432331963653"
"Yes","1988","lower secondary degree","653","0.160282054409587","0.149976248153016","0.170587860666158"
"Yes","1988","secondary school degree","133","0.0977890488963093","0.0839161388180107","0.111661958974608"
"Yes","1988","college entrance qualification","89","0.092046275795531","0.0755166079908973","0.108575943600165"
"Yes","1988","Other degree","91","0.119285103738576","0.0998643098356377","0.138705897641515"
"Yes","1988","no degree/no degree yet","72","0.0893388870879656","0.0707863276493481","0.107891446526583"
"No","1988","lower secondary degree","4215","0.839717945590413","0.829412139333842","0.850023751846984"
"No","1988","secondary school degree","1628","0.902210951103691","0.888338041025392","0.916083861181989"
"No","1988","college entrance qualification","1086","0.907953724204469","0.891424056399835","0.924483392009103"
"No","1988","Other degree","979","0.880714896261424","0.861294102358485","0.900135690164362"
"No","1988","no degree/no degree yet","836","0.910661112912034","0.892108553473417","0.929213672350652"
"Yes","1989","lower secondary degree","649","0.170383361125765","0.159574813293818","0.181191908957713"
"Yes","1989","secondary school degree","126","0.0978282675425758","0.0837309862186525","0.111925548866499"
"Yes","1989","college entrance qualification","90","0.0906510020502735","0.0744064002957285","0.106895603804819"
"Yes","1989","Other degree","77","0.101252515661928","0.0828209529328793","0.119684078390977"
"Yes","1989","no degree/no degree yet","77","0.0994855253318587","0.0797657595017919","0.119205291161925"
"No","1989","lower secondary degree","3999","0.829616638874235","0.818808091042287","0.840425186706182"
"No","1989","secondary school degree","1580","0.902171732457424","0.888074451133501","0.916269013781348"
"No","1989","college entrance qualification","1110","0.909348997949726","0.893104396195181","0.925593599704271"
"No","1989","Other degree","952","0.898747484338072","0.880315921609023","0.917179047067121"
"No","1989","no degree/no degree yet","808","0.900514474668141","0.880794708838074","0.920234240498208"
"Yes","1990","lower secondary degree","","","",""
"Yes","1990","secondary school degree","","","",""
"Yes","1990","college entrance qualification","","","",""
"Yes","1990","Other degree","","","",""
"Yes","1990","no degree/no degree yet","","","",""
"No","1990","lower secondary degree","","","",""
"No","1990","secondary school degree","","","",""
"No","1990","college entrance qualification","","","",""
"No","1990","Other degree","","","",""
"No","1990","no degree/no degree yet","","","",""
"Yes","1991","lower secondary degree","646","0.178235439677365","0.166982119663439","0.189488759691291"
"Yes","1991","secondary school degree","129","0.100503171845701","0.0861978750693277","0.114808468622073"
"Yes","1991","college entrance qualification","93","0.0911664825340328","0.0751387456294281","0.107194219438637"
"Yes","1991","Other degree","88","0.112059935451269","0.0924006850081822","0.131719185894355"
"Yes","1991","no degree/no degree yet","83","0.111865800745761","0.0903181391211675","0.133413462370354"
"No","1991","lower secondary degree","3797","0.821764560322635","0.810511240308709","0.833017880336561"
"No","1991","secondary school degree","1568","0.899496828154299","0.885191531377926","0.913802124930672"
"No","1991","college entrance qualification","1146","0.908833517465967","0.892805780561363","0.924861254370572"
"No","1991","Other degree","901","0.887940064548731","0.868280814105645","0.907599314991818"
"No","1991","no degree/no degree yet","739","0.888134199254239","0.866586537629646","0.909681860878832"
"Yes","1992","lower secondary degree","825","0.175669296668996","0.165857286456861","0.18548130688113"
"Yes","1992","secondary school degree","227","0.0877556952064694","0.0784912818753019","0.0970201085376369"
"Yes","1992","college entrance qualification","117","0.0891231652643625","0.0757279920221409","0.102518338506584"
"Yes","1992","Other degree","109","0.136214063117086","0.114803717797163","0.157624408437009"
"Yes","1992","no degree/no degree yet","89","0.125183053738519","0.102988290319371","0.147377817157668"
"No","1992","lower secondary degree","4953","0.824330703331004","0.81451869311887","0.834142713543139"
"No","1992","secondary school degree","3356","0.912244304793531","0.902979891462363","0.921508718124698"
"No","1992","college entrance qualification","1621","0.910876834735637","0.897481661493416","0.924272007977859"
"No","1992","Other degree","877","0.863785936882914","0.842375591562991","0.885196282202837"
"No","1992","no degree/no degree yet","765","0.874816946261481","0.852622182842332","0.897011709680629"
"Yes","1993","lower secondary degree","","","",""
"Yes","1993","secondary school degree","","","",""
"Yes","1993","college entrance qualification","","","",""
"Yes","1993","Other degree","","","",""
"Yes","1993","no degree/no degree yet","","","",""
"No","1993","lower secondary degree","","","",""
"No","1993","secondary school degree","","","",""
"No","1993","college entrance qualification","","","",""
"No","1993","Other degree","","","",""
"No","1993","no degree/no degree yet","","","",""
"Yes","1994","lower secondary degree","778","0.173504014389116","0.163441099970098","0.183566928808135"
"Yes","1994","secondary school degree","211","0.0870269170006921","0.0776925728624965","0.0963612611388877"
"Yes","1994","college entrance qualification","107","0.0870561514733356","0.0740864033576322","0.100025899589039"
"Yes","1994","Other degree","112","0.141892201156107","0.11899323626118","0.164791166051035"
"Yes","1994","no degree/no degree yet","70","0.089769985770671","0.0702167936883085","0.109323177853034"
"No","1994","lower secondary degree","4662","0.826495985610884","0.816433071191865","0.836558900029902"
"No","1994","secondary school degree","3292","0.912973082999308","0.903638738861112","0.922307427137503"
"No","1994","college entrance qualification","1708","0.912943848526664","0.899974100410961","0.925913596642368"
"No","1994","Other degree","780","0.858107798843893","0.835208833948965","0.88100676373882"
"No","1994","no degree/no degree yet","751","0.910230014229329","0.890676822146967","0.929783206311692"
"Yes","1995","lower secondary degree","807","0.187314624282318","0.1768558526824","0.197773395882236"
"Yes","1995","secondary school degree","225","0.0921395677746986","0.082637530569753","0.101641604979644"
"Yes","1995","college entrance qualification","114","0.0892051357618365","0.076408616384308","0.102001655139365"
"Yes","1995","Other degree","118","0.0905046815171762","0.0740791269486387","0.106930236085714"
"Yes","1995","no degree/no degree yet","78","0.0982201561289288","0.0782830656072784","0.118157246650579"
"No","1995","lower secondary degree","4539","0.812685375717682","0.802226604117764","0.8231441473176"
"No","1995","secondary school degree","3334","0.907860432225301","0.898358395020356","0.917362469430247"
"No","1995","college entrance qualification","1792","0.910794864238164","0.897998344860635","0.923591383615692"
"No","1995","Other degree","1054","0.909495318482824","0.893069763914286","0.925920873051361"
"No","1995","no degree/no degree yet","778","0.901779843871071","0.881842753349421","0.921716934392721"
"Yes","1996","lower secondary degree","838","0.195340245414345","0.184638308293548","0.206042182535142"
"Yes","1996","secondary school degree","225","0.0890838810265654","0.0797577213110154","0.0984100407421153"
"Yes","1996","college entrance qualification","109","0.0809224239391517","0.0687143384675266","0.0931305094107767"
"Yes","1996","Other degree","115","0.0991491575831665","0.0814637230058553","0.116834592160478"
"Yes","1996","no degree/no degree yet","73","0.105993862685889","0.0850391632707489","0.12694856210103"
"No","1996","lower secondary degree","4434","0.804659754585655","0.793957817464858","0.815361691706452"
"No","1996","secondary school degree","3359","0.910916118973435","0.901589959257885","0.920242278688985"
"No","1996","college entrance qualification","1808","0.919077576060848","0.906869490589223","0.931285661532473"
"No","1996","Other degree","982","0.900850842416833","0.883165407839522","0.918536276994145"
"No","1996","no degree/no degree yet","756","0.894006137314111","0.87305143789897","0.914960836729251"
"Yes","1997","lower secondary degree","825","0.199665993596528","0.18872487388437","0.210607113308686"
"Yes","1997","secondary school degree","226","0.0876674351255725","0.0783432570928853","0.0969916131582596"
"Yes","1997","college entrance qualification","105","0.0729916370455919","0.0614075540945785","0.0845757199966053"
"Yes","1997","Other degree","114","0.119164792501409","0.0992823690829356","0.139047215919883"
"Yes","1997","no degree/no degree yet","75","0.104142906996345","0.0832111513807273","0.125074662611963"
"No","1997","lower secondary degree","4303","0.800334006403472","0.789392886691314","0.81127512611563"
"No","1997","secondary school degree","3308","0.912332564874428","0.90300838684174","0.921656742907115"
"No","1997","college entrance qualification","1832","0.927008362954408","0.915424280003395","0.938592445905421"
"No","1997","Other degree","906","0.880835207498591","0.860952784080117","0.900717630917064"
"No","1997","no degree/no degree yet","743","0.895857093003655","0.874925337388037","0.916788848619273"
"Yes","1998","lower secondary degree","921","0.199118961795528","0.188641132785388","0.209596790805668"
"Yes","1998","secondary school degree","245","0.0826993600022688","0.0740127788985997","0.0913859411059379"
"Yes","1998","college entrance qualification","136","0.0767618954130037","0.0656629514309211","0.0878608393950862"
"Yes","1998","Other degree","113","0.114586605967703","0.0947952056943904","0.134378006241016"
"Yes","1998","no degree/no degree yet","81","0.122083945356531","0.0995244384057149","0.144643452307346"
"No","1998","lower secondary degree","4659","0.800881038204472","0.790403209194332","0.811358867214611"
"No","1998","secondary school degree","3617","0.917300639997731","0.908614058894062","0.9259872211014"
"No","1998","college entrance qualification","2074","0.923238104586996","0.912139160604914","0.934337048569079"
"No","1998","Other degree","882","0.885413394032297","0.865621993758984","0.90520479430561"
"No","1998","no degree/no degree yet","728","0.877916054643469","0.855356547692654","0.900475561594285"
"Yes","1999","lower secondary degree","923","0.202903719430148","0.192284986771164","0.213522452089133"
"Yes","1999","secondary school degree","257","0.0900548448538212","0.0810219255791449","0.0990877641284975"
"Yes","1999","college entrance qualification","131","0.0750029129269939","0.0640732302362768","0.0859325956177111"
"Yes","1999","Other degree","107","0.125179135398432","0.10392229114308","0.146435979653785"
"Yes","1999","no degree/no degree yet","83","0.118849522515061","0.0961099626945654","0.141589082335557"
"No","1999","lower secondary degree","4587","0.797096280569852","0.786477547910867","0.807715013228836"
"No","1999","secondary school degree","3601","0.909945155146179","0.900912235871503","0.918978074420855"
"No","1999","college entrance qualification","2100","0.924997087073006","0.914067404382289","0.935926769763723"
"No","1999","Other degree","824","0.874820864601568","0.853564020346215","0.89607770885692"
"No","1999","no degree/no degree yet","695","0.881150477484939","0.858410917664443","0.903890037305435"
"Yes","2000","lower secondary degree","1651","0.180540751321788","0.172983462309133","0.188098040334443"
"Yes","2000","secondary school degree","473","0.0819424860080264","0.0755080587975333","0.0883769132185196"
"Yes","2000","college entrance qualification","282","0.0728466279307803","0.0654474196188226","0.0802458362427381"
"Yes","2000","Other degree","160","0.0985194644033128","0.0836303804336985","0.113408548372927"
"Yes","2000","no degree/no degree yet","70","0.0918400485720962","0.0731985914626728","0.11048150568152"
"No","2000","lower secondary degree","8300","0.819459248678212","0.811901959665557","0.827016537690867"
"No","2000","secondary school degree","6507","0.918057513991973","0.91162308678148","0.924491941202467"
"No","2000","college entrance qualification","4457","0.92715337206922","0.919754163757262","0.934552580381177"
"No","2000","Other degree","1379","0.901480535596687","0.886591451627073","0.916369619566301"
"No","2000","no degree/no degree yet","852","0.908159951427904","0.889518494318481","0.926801408537327"
"Yes","2001","lower secondary degree","1432","0.17842604404637","0.17040057716359","0.18645151092915"
"Yes","2001","secondary school degree","466","0.0892971628352512","0.0823263478965342","0.0962679777739682"
"Yes","2001","college entrance qualification","292","0.0799538937030309","0.0719842025209365","0.0879235848851254"
"Yes","2001","Other degree","154","0.115014897814683","0.0980899712027886","0.131939824426578"
"Yes","2001","no degree/no degree yet","54","0.078408737507572","0.0605565919834312","0.0962608830317127"
"No","2001","lower secondary degree","7311","0.82157395595363","0.81354848907085","0.82959942283641"
"No","2001","secondary school degree","5963","0.910702837164749","0.903732022226032","0.917673652103466"
"No","2001","college entrance qualification","4157","0.920046106296969","0.912076415114875","0.928015797479064"
"No","2001","Other degree","1211","0.884985102185317","0.868060175573422","0.901910028797211"
"No","2001","no degree/no degree yet","817","0.921591262492428","0.903739116968287","0.939443408016569"
"Yes","2002","lower secondary degree","1498","0.195092669482387","0.186582876261972","0.203602462702803"
"Yes","2002","secondary school degree","501","0.0924655072163395","0.0855151203768034","0.0994158940558757"
"Yes","2002","college entrance qualification","346","0.0787155504703733","0.0716561255146415","0.0857749754261052"
"Yes","2002","Other degree","166","0.128303072420114","0.11026882731049","0.146337317529737"
"Yes","2002","no degree/no degree yet","50","0.0848477792955837","0.0667230271743157","0.102972531416852"
