"ple0040","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","no migration background","Urban Area","5322","0.870268453751864","0.86178268725308","0.878754220250649","2"
"No","1985","no migration background","Rural Area","1720","0.891211027103448","0.877235909911094","0.905186144295802","2"
"No","1985","direct migration background","Urban Area","2455","0.917538567545541","0.906928758353156","0.928148376737927","2"
"No","1985","direct migration background","Rural Area","330","0.92202559243045","0.893732131595369","0.950319053265531","2"
"No","1985","indirect migration background","Urban Area","119","0.920990386077684","0.873511035872567","0.968469736282801","2"
"No","1985","indirect migration background","Rural Area","17","","","","2"
"Yes","1985","no migration background","Urban Area","701","0.129731546248136","0.121245779749351","0.13821731274692","1"
"Yes","1985","no migration background","Rural Area","187","0.108788972896552","0.0948138557041984","0.122764090088906","1"
"Yes","1985","direct migration background","Urban Area","127","0.0824614324544588","0.0718516232620732","0.0930712416468444","1"
"Yes","1985","direct migration background","Rural Area","15","","","","1"
"Yes","1985","indirect migration background","Urban Area","5","","","","1"
"Yes","1985","indirect migration background","Rural Area","","","","","1"
"No","1986","no migration background","Rural Area","62","0.968152291548889","0.92546463182749","1.01083995127029","2"
"No","1986","no migration background","Urban Area","261","0.987778169610515","0.974549292193274","1.00100704702776","2"
"No","1986","direct migration background","Rural Area","15","","","","2"
"No","1986","direct migration background","Urban Area","111","0.995291466291918","0.982613281960091","1.00796965062374","2"
"No","1986","indirect migration background","Urban Area","17","","","","2"
"No","1986","indirect migration background","Rural Area","3","","","","2"
"Yes","1986","no migration background","Urban Area","4","","","","1"
"Yes","1986","no migration background","Rural Area","3","","","","1"
"Yes","1986","direct migration background","Urban Area","1","","","","1"
"Yes","1986","direct migration background","Rural Area","","","","","1"
"Yes","1986","indirect migration background","Urban Area","","","","","1"
"Yes","1986","indirect migration background","Rural Area","","","","","1"
"No","1987","no migration background","Urban Area","5052","0.872457393474663","0.863789936078803","0.881124850870523","2"
"No","1987","no migration background","Rural Area","1594","0.89046171726313","0.875899738048546","0.905023696477715","2"
"No","1987","direct migration background","Rural Area","343","0.917281848057843","0.888866936980945","0.945696759134741","2"
"No","1987","direct migration background","Urban Area","2303","0.901438742793275","0.889645532606724","0.913231952979826","2"
"No","1987","indirect migration background","Urban Area","144","0.86984286828189","0.81652696592869","0.92315877063509","2"
"No","1987","indirect migration background","Rural Area","21","","","","2"
"Yes","1987","no migration background","Urban Area","638","0.127542606525337","0.118875149129477","0.136210063921197","1"
"Yes","1987","no migration background","Rural Area","173","0.10953828273687","0.0949763035222854","0.124100261951454","1"
"Yes","1987","direct migration background","Urban Area","151","0.0985612572067251","0.0867680470201743","0.110354467393276","1"
"Yes","1987","direct migration background","Rural Area","18","","","","1"
"Yes","1987","indirect migration background","Urban Area","9","","","","1"
"Yes","1987","indirect migration background","Rural Area","","","","","1"
"No","1988","no migration background","Urban Area","4752","0.856394699986699","0.847059349943225","0.865730050030174","2"
"No","1988","no migration background","Rural Area","1482","0.886812565253877","0.871530234950591","0.902094895557162","2"
"No","1988","direct migration background","Urban Area","2166","0.889209079103604","0.876505365398794","0.901912792808415","2"
"No","1988","direct migration background","Rural Area","311","0.882387677931545","0.847735129528978","0.917040226334113","2"
"No","1988","indirect migration background","Urban Area","182","0.87747687120682","0.831337241544469","0.92361650086917","2"
"No","1988","indirect migration background","Rural Area","29","","","","2"
"Yes","1988","no migration background","Urban Area","669","0.143605300013301","0.134269949969826","0.152940650056776","1"
"Yes","1988","no migration background","Rural Area","169","0.113187434746123","0.0979051044428376","0.128469765049409","1"
"Yes","1988","direct migration background","Urban Area","179","0.110790920896396","0.0980872071915853","0.123494634601206","1"
"Yes","1988","direct migration background","Rural Area","21","","","","1"
"Yes","1988","indirect migration background","Urban Area","12","","","","1"
"Yes","1988","indirect migration background","Rural Area","","","","","1"
"No","1989","no migration background","Urban Area","4586","0.854675622574142","0.845129694315906","0.864221550832378","2"
"No","1989","no migration background","Rural Area","1382","0.86492319890657","0.847999599011676","0.881846798801464","2"
"No","1989","direct migration background","Urban Area","2116","0.895013999931284","0.882437178924311","0.907590820938258","2"
"No","1989","direct migration background","Rural Area","294","0.894605640024401","0.860696457854486","0.928514822194316","2"
"No","1989","indirect migration background","Urban Area","218","0.892855170472663","0.852707829583999","0.933002511361328","2"
"No","1989","indirect migration background","Rural Area","32","1","1","1","2"
"Yes","1989","no migration background","Urban Area","650","0.145324377425858","0.135778449167622","0.154870305684094","1"
"Yes","1989","no migration background","Rural Area","185","0.13507680109343","0.118153201198536","0.152000400988325","1"
"Yes","1989","direct migration background","Urban Area","166","0.104986000068716","0.0924091790617423","0.117562821075689","1"
"Yes","1989","direct migration background","Rural Area","21","","","","1"
"Yes","1989","indirect migration background","Urban Area","10","","","","1"
"Yes","1989","indirect migration background","Rural Area","","","","","1"
"No","1990","no migration background","Urban Area","","","","","2"
"No","1990","no migration background","Rural Area","","","","","2"
"No","1990","direct migration background","Urban Area","","","","","2"
"No","1990","direct migration background","Rural Area","","","","","2"
"No","1990","indirect migration background","Urban Area","","","","","2"
"No","1990","indirect migration background","Rural Area","","","","","2"
"Yes","1990","no migration background","Urban Area","","","","","1"
"Yes","1990","no migration background","Rural Area","","","","","1"
"Yes","1990","direct migration background","Urban Area","","","","","1"
"Yes","1990","direct migration background","Rural Area","","","","","1"
"Yes","1990","indirect migration background","Urban Area","","","","","1"
"Yes","1990","indirect migration background","Rural Area","","","","","1"
"No","1991","no migration background","Urban Area","4349","0.849793533309771","0.839883654712721","0.859703411906822","2"
"No","1991","no migration background","Rural Area","1401","0.865682724515784","0.848921920756765","0.882443528274803","2"
"No","1991","direct migration background","Urban Area","1984","0.882052301807456","0.868487605210359","0.895616998404554","2"
"No","1991","direct migration background","Rural Area","290","0.887654386690434","0.852444156618621","0.922864616762246","2"
"No","1991","indirect migration background","Urban Area","297","0.934537229515129","0.906824272249385","0.962250186780872","2"
"No","1991","indirect migration background","Rural Area","42","1","1","1","2"
"Yes","1991","no migration background","Urban Area","644","0.150206466690228","0.140296588093178","0.160116345287279","1"
"Yes","1991","no migration background","Rural Area","189","0.134317275484216","0.117556471725197","0.151078079243235","1"
"Yes","1991","direct migration background","Urban Area","188","0.117947698192544","0.104383001595446","0.131512394789641","1"
"Yes","1991","direct migration background","Rural Area","19","","","","1"
"Yes","1991","indirect migration background","Urban Area","9","","","","1"
"Yes","1991","indirect migration background","Rural Area","","","","","1"
"No","1992","no migration background","Urban Area","5490","0.853071292913299","0.844284284746512","0.861858301080086","2"
"No","1992","no migration background","Rural Area","3565","0.882828116432929","0.872775222040896","0.892881010824962","2"
"No","1992","direct migration background","Urban Area","1927","0.871583865776637","0.857369526857022","0.885798204696252","2"
"No","1992","direct migration background","Rural Area","349","0.860116799289621","0.825691535003727","0.894542063575515","2"
"No","1992","indirect migration background","Urban Area","339","0.933664613484118","0.907629311807055","0.959699915161181","2"
"No","1992","indirect migration background","Rural Area","56","1","1","1","2"
"Yes","1992","no migration background","Urban Area","746","0.146928707086701","0.138141698919914","0.155715715253488","1"
"Yes","1992","direct migration background","Urban Area","201","0.128416134223363","0.114201795303748","0.142630473142978","1"
"Yes","1992","direct migration background","Rural Area","41","0.139883200710379","0.105457936424485","0.174308464996273","1"
"Yes","1992","indirect migration background","Urban Area","12","","","","1"
"Yes","1992","no migration background","Rural Area","367","0.117171883567071","0.107118989175038","0.127224777959104","1"
"Yes","1992","indirect migration background","Rural Area","","","","","1"
"No","1993","no migration background","Urban Area","","","","","2"
"No","1993","no migration background","Rural Area","","","","","2"
"No","1993","direct migration background","Urban Area","","","","","2"
"No","1993","direct migration background","Rural Area","","","","","2"
"No","1993","indirect migration background","Urban Area","","","","","2"
"No","1993","indirect migration background","Rural Area","","","","","2"
"Yes","1993","no migration background","Urban Area","","","","","1"
"Yes","1993","no migration background","Rural Area","","","","","1"
"Yes","1993","direct migration background","Urban Area","","","","","1"
"Yes","1993","direct migration background","Rural Area","","","","","1"
"Yes","1993","indirect migration background","Urban Area","","","","","1"
"Yes","1993","indirect migration background","Rural Area","","","","","1"
"No","1994","no migration background","Urban Area","5438","0.857629403080433","0.848887016366036","0.86637178979483","2"
"No","1994","no migration background","Rural Area","3498","0.889485085126907","0.879558151395818","0.899412018857997","2"
