"ple0040","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Schleswig-Holstein","Part Time","58","0.926268583021797","0.861736962177751","0.990800203865843","2"
"No","1984","Hamburg","Not Working","99","0.844618440881169","0.778975931144752","0.910260950617586","2"
"No","1984","Lower Saxony","Full Time","462","0.923181531313593","0.899769113099759","0.946593949527428","2"
"No","1984","Bremen","Part Time","21","","","","2"
"No","1984","Hamburg","Part Time","38","0.902035435670723","0.811043591375802","0.993027279965644","2"
"No","1984","North Rhine-Westphalia","Part Time","446","0.89295559996367","0.865411897458655","0.920499302468685","2"
"No","1984","Hesse","Full Time","554","0.910397040396994","0.887370380497234","0.933423700296754","2"
"No","1984","Bremen","Not Working","55","0.742599878717235","0.640904614913517","0.844295142520953","2"
"No","1984","Hesse","Part Time","186","0.947800496347549","0.916660991109602","0.978940001585497","2"
"No","1984","Hesse","Not Working","390","0.809836483999986","0.77397473689234","0.845698231107631","2"
"No","1984","North Rhine-Westphalia","Full Time","1327","0.896544254289276","0.880836009229875","0.912252499348676","2"
"No","1984","Bremen","Full Time","37","0.961294845133235","0.899965404423527","1.02262428584294","2"
"No","1984","Lower Saxony","Part Time","184","0.923996898090379","0.886991430745996","0.961002365434762","2"
"No","1984","Rhineland-Palatinate,Saarland","Full Time","355","0.9367242614975","0.912148787014121","0.961299735980879","2"
"No","1984","Lower Saxony","Not Working","464","0.84799853089644","0.817632894260494","0.878364167532386","2"
"No","1984","Rhineland-Palatinate,Saarland","Not Working","307","0.836267246876841","0.798201434337931","0.87433305941575","2"
"No","1984","Schleswig-Holstein","Full Time","169","0.962184704511608","0.933842316425408","0.990527092597808","2"
"No","1984","Rhineland-Palatinate,Saarland","Part Time","106","0.943481802890975","0.900905319962981","0.986058285818969","2"
"No","1984","North Rhine-Westphalia","Not Working","1106","0.792141887294509","0.770276702701716","0.814007071887303","2"
"No","1984","Schleswig-Holstein","Not Working","133","0.884612798098497","0.833313622374298","0.935911973822697","2"
"No","1984","Hamburg","Full Time","142","0.944824414913906","0.908039796053707","0.981609033774105","2"
"No","1984","Baden-Württemberg","Full Time","1112","0.941187448727654","0.927688941724761","0.954685955730548","2"
"No","1984","Baden-Württemberg","Part Time","315","0.929237483342007","0.901818998780657","0.956655967903356","2"
"No","1984","Baden-Württemberg","Not Working","678","0.875579064865309","0.852020065896626","0.899138063833991","2"
"No","1984","Bavaria","Full Time","956","0.934607409842976","0.919330765055554","0.949884054630399","2"
"No","1984","Bavaria","Part Time","330","0.925431602092014","0.898066565753742","0.952796638430286","2"
"No","1984","Bavaria","Not Working","610","0.814587992531474","0.78637674724887","0.842799237814078","2"
"No","1984","Berlin","Full Time","192","0.900350984431607","0.859839246753302","0.940862722109911","2"
"No","1984","Berlin","Part Time","63","0.910470767316671","0.842611515185182","0.97833001944816","2"
"No","1984","Brandenburg","Full Time","","","","","2"
"No","1984","Brandenburg","Part Time","","","","","2"
"No","1984","Brandenburg","Not Working","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","1984","Saxony","Full Time","","","","","2"
"No","1984","Berlin","Not Working","98","0.705559230508826","0.627208666725929","0.783909794291722","2"
"No","1984","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","1984","Saxony","Part Time","","","","","2"
"No","1984","Saxony","Not Working","","","","","2"
"No","1984","Saxony-Anhalt","Full Time","","","","","2"
"No","1984","Saxony-Anhalt","Part Time","","","","","2"
"No","1984","Saxony-Anhalt","Not Working","","","","","2"
"No","1984","Thuringia","Full Time","","","","","2"
"No","1984","Thuringia","Part Time","","","","","2"
"No","1984","Thuringia","Not Working","","","","","2"
"Yes","1984","Schleswig-Holstein","Full Time","5","","","","1"
"Yes","1984","Schleswig-Holstein","Part Time","5","","","","1"
"Yes","1984","Schleswig-Holstein","Not Working","16","","","","1"
"Yes","1984","Hamburg","Full Time","6","","","","1"
"Yes","1984","Hamburg","Part Time","3","","","","1"
"Yes","1984","Hamburg","Not Working","18","","","","1"
"Yes","1984","Lower Saxony","Full Time","35","0.0768184686864064","0.0534060504725718","0.100230886900241","1"
"Yes","1984","Lower Saxony","Part Time","13","","","","1"
"Yes","1984","Lower Saxony","Not Working","73","0.15200146910356","0.121635832467614","0.182367105739506","1"
"Yes","1984","Bremen","Full Time","1","","","","1"
"Yes","1984","Bremen","Part Time","2","","","","1"
"Yes","1984","Bremen","Not Working","16","","","","1"
"Yes","1984","North Rhine-Westphalia","Full Time","117","0.103455745710724","0.0877475006513237","0.119163990770125","1"
"Yes","1984","North Rhine-Westphalia","Part Time","38","0.10704440003633","0.0795006975313149","0.134588102541346","1"
"Yes","1984","North Rhine-Westphalia","Not Working","217","0.207858112705491","0.185992928112697","0.229723297298284","1"
"Yes","1984","Hesse","Full Time","37","0.0896029596030057","0.0665762997032458","0.112629619502766","1"
"Yes","1984","Hesse","Part Time","10","","","","1"
"Yes","1984","Hesse","Not Working","70","0.190163516000014","0.154301768892369","0.22602526310766","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Full Time","22","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Part Time","7","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Not Working","56","0.163732753123159","0.12566694058425","0.201798565662069","1"
"Yes","1984","Baden-Württemberg","Full Time","55","0.0588125512723459","0.0453140442694524","0.0723110582752394","1"
"Yes","1984","Baden-Württemberg","Part Time","21","","","","1"
"Yes","1984","Baden-Württemberg","Not Working","76","0.124420935134691","0.100861936166008","0.147979934103374","1"
"Yes","1984","Bavaria","Full Time","50","0.0653925901570236","0.0501159453696012","0.080669234944446","1"
"Yes","1984","Bavaria","Part Time","24","","","","1"
"Yes","1984","Bavaria","Not Working","119","0.185412007468526","0.157200762185922","0.21362325275113","1"
"Yes","1984","Berlin","Full Time","18","","","","1"
"Yes","1984","Berlin","Part Time","5","","","","1"
"Yes","1984","Berlin","Not Working","32","0.294440769491175","0.216090205708278","0.372791333274071","1"
"Yes","1984","Brandenburg","Full Time","","","","","1"
"Yes","1984","Brandenburg","Part Time","","","","","1"
"Yes","1984","Brandenburg","Not Working","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","1984","Saxony","Full Time","","","","","1"
"Yes","1984","Saxony","Part Time","","","","","1"
"Yes","1984","Saxony","Not Working","","","","","1"
"Yes","1984","Saxony-Anhalt","Full Time","","","","","1"
"Yes","1984","Saxony-Anhalt","Part Time","","","","","1"
"Yes","1984","Saxony-Anhalt","Not Working","","","","","1"
"Yes","1984","Thuringia","Full Time","","","","","1"
"Yes","1984","Thuringia","Part Time","","","","","1"
"Yes","1984","Thuringia","Not Working","","","","","1"
"No","1985","Bremen","Not Working","49","0.757982289034113","0.653859806013389","0.862104772054838","2"
"No","1985","Bremen","Part Time","22","","","","2"
"No","1985","Schleswig-Holstein","Part Time","57","0.873224629822298","0.791709441528914","0.954739818115681","2"
"No","1985","Schleswig-Holstein","Full Time","145","0.937074160335728","0.898596924385899","0.975551396285557","2"
"No","1985","Hesse","Full Time","493","0.929518558757508","0.907476628094857","0.95156048942016","2"
"No","1985","Schleswig-Holstein","Not Working","114","0.848638559360847","0.787728183803472","0.909548934918222","2"
"No","1985","Hamburg","Full Time","124","0.955339778514534","0.919832631214656","0.990846925814412","2"
"No","1985","Hamburg","Part Time","39","0.916411042983354","0.832707651324928","1.00011443464178","2"
"No","1985","Hamburg","Not Working","95","0.893136387911929","0.834323978067558","0.951948797756299","2"
"No","1985","Lower Saxony","Full Time","409","0.921602938721265","0.896487338013775","0.946718539428754","2"
"No","1985","Lower Saxony","Part Time","169","0.916083045328658","0.876021152970667","0.95614493768665","2"
"No","1985","Lower Saxony","Not Working","416","0.85470559191639","0.823147331399936","0.886263852432844","2"
"No","1985","Bremen","Full Time","26","","","","2"
"No","1985","North Rhine-Westphalia","Full Time","1194","0.904254274366164","0.888216141345673","0.920292407386655","2"
"No","1985","North Rhine-Westphalia","Part Time","437","0.906069657922835","0.879723251742253","0.932416064103418","2"
"No","1985","North Rhine-Westphalia","Not Working","987","0.800488823669972","0.777589829256925","0.823387818083019","2"
"No","1985","Hesse","Part Time","177","0.926197714690747","0.889119555476965","0.963275873904529","2"
"No","1985","Hesse","Not Working","355","0.798947613732016","0.760753918760851","0.837141308703181","2"
"No","1985","Rhineland-Palatinate,Saarland","Full Time","310","0.92450807994999","0.89617587016725","0.952840289732731","2"
"No","1985","Rhineland-Palatinate,Saarland","Part Time","101","0.95849346861063","0.92034244091068","0.99664449631058","2"
"No","1985","Rhineland-Palatinate,Saarland","Not Working","283","0.838680039420306","0.799054398365239","0.878305680475372","2"
"No","1985","Baden-Württemberg","Full Time","988","0.940861400491722","0.926469883128913","0.955252917854531","2"
"No","1985","Baden-Württemberg","Part Time","323","0.942251737014265","0.917493265040882","0.967010208987649","2"
"No","1985","Baden-Württemberg","Not Working","602","0.871485320776034","0.846201251864175","0.896769389687893","2"
"No","1985","Bavaria","Full Time","843","0.941800491497948","0.926349622392591","0.957251360603304","2"
"No","1985","Bavaria","Part Time","348","0.941924084040848","0.917929808401172","0.965918359680524","2"
"No","1985","Bavaria","Not Working","540","0.793846048478126","0.762912525662931","0.824779571293321","2"
"No","1985","Berlin","Full Time","150","0.898585218671213","0.85252389826839","0.944646539074037","2"
"No","1985","Berlin","Part Time","73","0.930694474546042","0.874690088134146","0.986698860957937","2"
"No","1985","Brandenburg","Full Time","","","","","2"
"No","1985","Brandenburg","Part Time","","","","","2"
"No","1985","Brandenburg","Not Working","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","1985","Saxony","Full Time","","","","","2"
"No","1985","Berlin","Not Working","94","0.718521590692689","0.638720168536889","0.79832301284849","2"
"No","1985","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","1985","Saxony","Part Time","","","","","2"
"No","1985","Saxony","Not Working","","","","","2"
"No","1985","Saxony-Anhalt","Full Time","","","","","2"
"No","1985","Saxony-Anhalt","Part Time","","","","","2"
"No","1985","Saxony-Anhalt","Not Working","","","","","2"
"No","1985","Thuringia","Full Time","","","","","2"
"No","1985","Thuringia","Part Time","","","","","2"
"No","1985","Thuringia","Not Working","","","","","2"
"Yes","1985","Schleswig-Holstein","Full Time","8","","","","1"
"Yes","1985","Schleswig-Holstein","Part Time","7","","","","1"
"Yes","1985","Schleswig-Holstein","Not Working","19","","","","1"
"Yes","1985","Hamburg","Full Time","6","","","","1"
"Yes","1985","Hamburg","Part Time","3","","","","1"
"Yes","1985","Hamburg","Not Working","11","","","","1"
"Yes","1985","Lower Saxony","Full Time","31","0.0783970612787354","0.0532814605712457","0.103512661986225","1"
"Yes","1985","Lower Saxony","Part Time","15","","","","1"
"Yes","1985","Lower Saxony","Not Working","63","0.14529440808361","0.113736147567156","0.176852668600064","1"
"Yes","1985","Bremen","Full Time","1","","","","1"
"Yes","1985","Bremen","Part Time","1","","","","1"
"Yes","1985","Bremen","Not Working","16","","","","1"
"Yes","1985","North Rhine-Westphalia","Full Time","99","0.095745725633836","0.0797075926133448","0.111783858654327","1"
"Yes","1985","North Rhine-Westphalia","Part Time","34","0.0939303420771646","0.0675839358965824","0.120276748257747","1"
"Yes","1985","North Rhine-Westphalia","Not Working","183","0.199511176330028","0.176612181916981","0.222410170743075","1"
"Yes","1985","Hesse","Full Time","25","","","","1"
"Yes","1985","Hesse","Part Time","14","","","","1"
"Yes","1985","Hesse","Not Working","68","0.201052386267984","0.162858691296819","0.239246081239149","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Full Time","24","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Part Time","4","","","","1"
"Yes","1985","Rhineland-Palatinate,Saarland","Not Working","48","0.161319960579694","0.121694319524628","0.200945601634761","1"
"Yes","1985","Baden-Württemberg","Full Time","44","0.0591385995082776","0.0447470821454687","0.0735301168710866","1"
"Yes","1985","Baden-Württemberg","Part Time","18","","","","1"
"Yes","1985","Baden-Württemberg","Not Working","71","0.128514679223966","0.103230610312107","0.153798748135825","1"
"Yes","1985","Bavaria","Full Time","39","0.0581995085020523","0.0427486393966957","0.0736503776074089","1"
"Yes","1985","Bavaria","Part Time","17","","","","1"
