"ple0040","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","191","0.163761761635975","0.143866169805293","0.183657353466658"
"Yes","1984","(Married) couple without C. ","463","0.200809598268705","0.185665241847022","0.215953954690388"
"Yes","1984","Single parent ","46","0.0982792495581737","0.0739892709597","0.122569228156647"
"Yes","1984","Couple + C. LE 16 ","124","0.0501184435454286","0.0424040760094457","0.0578328110814116"
"Yes","1984","Couple + C. GT 16 ","177","0.10091565895456","0.0876479788121137","0.114183339097006"
"Yes","1984","Couple + C. LE and GT 16","83","0.0521891355979694","0.0416167127766749","0.0627615584192639"
"No","1984","1-pers.-HH","1138","0.836238238364025","0.816342646533342","0.856133830194707"
"No","1984","(Married) couple without C. ","2225","0.799190401731295","0.784046045309612","0.814334758152978"
"No","1984","Single parent ","531","0.901720750441826","0.877430771843353","0.9260107290403"
"No","1984","Couple + C. LE 16 ","2949","0.949881556454571","0.942167188918589","0.957595923990554"
"No","1984","Couple + C. GT 16 ","1803","0.89908434104544","0.885816660902994","0.912352021187886"
"No","1984","Couple + C. LE and GT 16","1617","0.947810864402031","0.937238441580736","0.958383287223325"
"Yes","1985","1-pers.-HH","148","0.140563566975514","0.120647736312843","0.160479397638185"
"Yes","1985","(Married) couple without C. ","435","0.206032819131607","0.18991191405611","0.222153724207105"
"Yes","1985","Single parent ","36","0.0798411093796573","0.0570012117423105","0.102681007017004"
"Yes","1985","Couple + C. LE 16 ","106","0.0495117065439176","0.0412739621029071","0.0577494509849282"
"Yes","1985","Couple + C. GT 16 ","182","0.102044738971299","0.0888310072118712","0.115258470730728"
"Yes","1985","Couple + C. LE and GT 16","64","0.0519421614119945","0.040632712855639","0.0632516099683499"
"No","1985","1-pers.-HH","1022","0.859436433024486","0.839520602361815","0.879352263687157"
"No","1985","(Married) couple without C. ","1983","0.793967180868392","0.777846275792895","0.81008808594389"
"No","1985","Single parent ","505","0.920158890620343","0.897318992982996","0.942998788257689"
"No","1985","Couple + C. LE 16 ","2558","0.950488293456082","0.942250549015072","0.958726037897093"
"No","1985","Couple + C. GT 16 ","1834","0.897955261028701","0.884741529269272","0.911168992788129"
"No","1985","Couple + C. LE and GT 16","1415","0.948057838588006","0.93674839003165","0.959367287144361"
"Yes","1986","1-pers.-HH","","","",""
"Yes","1986","(Married) couple without C. ","2","","",""
"Yes","1986","Single parent ","","","",""
"Yes","1986","Couple + C. LE 16 ","1","","",""
"Yes","1986","Couple + C. GT 16 ","2","","",""
"Yes","1986","Couple + C. LE and GT 16","1","","",""
"No","1986","1-pers.-HH","1","","",""
"No","1986","(Married) couple without C. ","110","0.984484126512216","0.961594876984211","1.00737337604022"
"No","1986","Single parent ","31","1","1","1"
"No","1986","Couple + C. LE 16 ","45","0.973921217349523","0.927866433727885","1.01997600097116"
"No","1986","Couple + C. GT 16 ","114","0.984965954401223","0.962821364720683","1.00711054408176"
"No","1986","Couple + C. LE and GT 16","119","0.987127395526601","0.966958724459214","1.00729606659399"
"Yes","1987","1-pers.-HH","140","0.143916730255078","0.123276967157968","0.164556493352189"
"Yes","1987","(Married) couple without C. ","395","0.194786134414596","0.17875695428542","0.210815314543772"
"Yes","1987","Single parent ","33","0.0715433186411317","0.0494126470691546","0.0936739902131088"
"Yes","1987","Couple + C. LE 16 ","87","0.0442726364077134","0.0359612814558158","0.0525839913596109"
"Yes","1987","Couple + C. GT 16 ","195","0.103580414433014","0.090670133438323","0.116490695427705"
"Yes","1987","Couple + C. LE and GT 16","76","0.0754736662089358","0.0608533525765876","0.090093979841284"
"No","1987","1-pers.-HH","971","0.856083269744922","0.835443506647811","0.876723032842033"
"No","1987","(Married) couple without C. ","1950","0.805213865585404","0.789184685456228","0.82124304571458"
"No","1987","Single parent ","488","0.928456681358868","0.906326009786891","0.950587352930845"
"No","1987","Couple + C. LE 16 ","2266","0.955727363592287","0.947416008640389","0.964038718544184"
"No","1987","Couple + C. GT 16 ","1945","0.896419585566986","0.883509304572295","0.909329866561677"
"No","1987","Couple + C. LE and GT 16","1178","0.924526333791064","0.909906020158716","0.939146647423412"
"Yes","1988","1-pers.-HH","157","0.164786416980732","0.142463554758619","0.187109279202845"
"Yes","1988","(Married) couple without C. ","431","0.217195756848249","0.20027430189239","0.234117211804108"
"Yes","1988","Single parent ","35","0.0754751164503145","0.052549332191975","0.0984009007086541"
"Yes","1988","Couple + C. LE 16 ","78","0.0397752135894592","0.0316493639838215","0.0479010631950969"
"Yes","1988","Couple + C. GT 16 ","230","0.115646262444518","0.102292007871148","0.129000517017888"
"Yes","1988","Couple + C. LE and GT 16","59","0.0662129930107594","0.0513833144897646","0.0810426715317542"
"No","1988","1-pers.-HH","904","0.835213583019268","0.812890720797155","0.857536445241381"
"No","1988","(Married) couple without C. ","1850","0.782804243151751","0.765882788195892","0.79972569810761"
"No","1988","Single parent ","475","0.924524883549686","0.901599099291346","0.947450667808025"
"No","1988","Couple + C. LE 16 ","2144","0.960224786410541","0.952098936804903","0.968350636016178"
"No","1988","Couple + C. GT 16 ","1973","0.884353737555482","0.870999482982112","0.897707992128852"
"No","1988","Couple + C. LE and GT 16","1021","0.933787006989241","0.918957328468246","0.948616685510235"
"Yes","1989","1-pers.-HH","171","0.182718853519647","0.159455486128994","0.205982220910299"
"Yes","1989","(Married) couple without C. ","445","0.229180366986974","0.211825048640494","0.246535685333455"
"Yes","1989","Single parent ","35","0.0841476223005393","0.0591032151939395","0.109192029407139"
"Yes","1989","Couple + C. LE 16 ","67","0.0414853077993106","0.0330287423920485","0.0499418732065727"
"Yes","1989","Couple + C. GT 16 ","209","0.106818958631485","0.0937229260191741","0.119914991243796"
"Yes","1989","Couple + C. LE and GT 16","56","0.0565382953248722","0.0421369484148642","0.0709396422348802"
"No","1989","1-pers.-HH","889","0.817281146480353","0.7940177790897","0.840544513871005"
