"ple0040","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","West Germany","346","0.0771895270994627","0.0702315585419296","0.0841474956569959"
"Yes","1984","Full Time","East Germany","","","",""
"Yes","1984","Part Time","West Germany","128","0.0801332061753876","0.0678442163256701","0.092422196025105"
"Yes","1984","Part Time","East Germany","","","",""
"Yes","1984","Not Working","West Germany","693","0.178934431089956","0.167897385928631","0.189971476251282"
"Yes","1984","Not Working","East Germany","","","",""
"No","1984","Full Time","West Germany","5306","0.922810472900537","0.915852504343004","0.92976844145807"
"No","1984","Full Time","East Germany","","","",""
"No","1984","Part Time","West Germany","1747","0.919866793824612","0.907577803974895","0.93215578367433"
"No","1984","Part Time","East Germany","","","",""
"No","1984","Not Working","West Germany","3940","0.821065568910044","0.810028523748718","0.832102614071369"
"No","1984","Not Working","East Germany","","","",""
"Yes","1985","Full Time","West Germany","292","0.0740789667057188","0.0668006720549894","0.0813572613564483"
"Yes","1985","Full Time","East Germany","","","",""
"Yes","1985","Part Time","West Germany","119","0.0741331784810166","0.0622429761702641","0.0860233807917691"
"Yes","1985","Part Time","East Germany","","","",""
"Yes","1985","Not Working","West Germany","624","0.180032279613947","0.16835538934308","0.191709169884813"
"Yes","1985","Not Working","East Germany","","","",""
"No","1985","Full Time","West Germany","4682","0.925921033294281","0.918642738643552","0.933199327945011"
"No","1985","Full Time","East Germany","","","",""
"No","1985","Part Time","West Germany","1746","0.925866821518983","0.913976619208231","0.937757023829736"
"No","1985","Part Time","East Germany","","","",""
"No","1985","Not Working","West Germany","3535","0.819967720386053","0.808290830115187","0.83164461065692"
"No","1985","Not Working","East Germany","","","",""
"Yes","1986","Full Time","West Germany","3","","",""
"Yes","1986","Full Time","East Germany","","","",""
"Yes","1986","Part Time","West Germany","","","",""
"Yes","1986","Part Time","East Germany","","","",""
"Yes","1986","Not Working","West Germany","5","","",""
"Yes","1986","Not Working","East Germany","","","",""
"No","1986","Full Time","West Germany","140","0.980717074344954","0.958177879188112","1.0032562695018"
"No","1986","Full Time","East Germany","","","",""
"No","1986","Part Time","West Germany","82","1","1","1"
"No","1986","Part Time","East Germany","","","",""
"No","1986","Not Working","West Germany","247","0.983338686424477","0.967535160164079","0.999142212684875"
"No","1986","Not Working","East Germany","","","",""
"Yes","1987","Full Time","West Germany","287","0.0691589328223769","0.0620395132000946","0.0762783524446593"
"Yes","1987","Full Time","East Germany","","","",""
"Yes","1987","Part Time","West Germany","98","0.0638296700279874","0.0525525494507911","0.0751067906051838"
"Yes","1987","Part Time","East Germany","","","",""
"Yes","1987","Not Working","West Germany","604","0.194581328519719","0.181931048928633","0.207231608110804"
"Yes","1987","Not Working","East Germany","","","",""
"No","1987","Full Time","West Germany","4592","0.930841067177623","0.923721647555341","0.937960486799905"
"No","1987","Full Time","East Germany","","","",""
"No","1987","Part Time","West Germany","1707","0.936170329972013","0.924893209394816","0.947447450549209"
"No","1987","Part Time","East Germany","","","",""
"No","1987","Not Working","West Germany","3158","0.805418671480281","0.792768391889196","0.818068951071367"
"No","1987","Not Working","East Germany","","","",""
"Yes","1988","Full Time","West Germany","290","0.0697946674926257","0.0624217916575844","0.0771675433276669"
"Yes","1988","Full Time","East Germany","","","",""
"Yes","1988","Part Time","West Germany","106","0.0684735952068838","0.056936928469962","0.0800102619438057"
"Yes","1988","Part Time","East Germany","","","",""
"Yes","1988","Not Working","West Germany","654","0.225605146158661","0.211841983425644","0.239368308891677"
"Yes","1988","Not Working","East Germany","","","",""
"No","1988","Full Time","West Germany","4298","0.930205332507374","0.922832456672333","0.937578208342416"
"No","1988","Full Time","East Germany","","","",""
"No","1988","Part Time","West Germany","1735","0.931526404793116","0.919989738056194","0.943063071530038"
"No","1988","Part Time","East Germany","","","",""
"No","1988","Not Working","West Germany","2889","0.774394853841339","0.760631691108323","0.788158016574356"
"No","1988","Not Working","East Germany","","","",""
"Yes","1989","Full Time","West Germany","251","0.06333648035394","0.0562569511145904","0.0704160095932896"
"Yes","1989","Full Time","East Germany","","","",""
"Yes","1989","Part Time","West Germany","108","0.0760027339395441","0.0634387604836937","0.0885667073953946"
"Yes","1989","Part Time","East Germany","","","",""
