"plh0206i06","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"2 on scale 1-7 ","2005","1-pers.-HH","West Germany","63","0.0259599493587627","0.0193556262833465","0.0325642724341789","2"
"2 on scale 1-7 ","2005","Single parent ","West Germany","32","0.0395950776048561","0.0260054474591208","0.0531847077505914","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","37","0.0637028709487877","0.0455328802752008","0.0818728616223747","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","69","0.0265749808037412","0.0203783776037102","0.0327715840037722","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","44","0.0492786041368765","0.0361865053349895","0.0623707029387635","2"
"3 on scale 1-7 ","2005","1-pers.-HH","East Germany","32","0.0608538915959211","0.0434762176065304","0.0782315655853118","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","292","0.0535394195879062","0.0474514310379293","0.0596274081378832","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","77","0.0502928329803019","0.0400679713786892","0.0605176945819146","3"
"3 on scale 1-7 ","2005","Single parent ","West Germany","49","0.0578014091111358","0.0415384231363832","0.0740643950858884","3"
"3 on scale 1-7 ","2005","Single parent ","East Germany","24","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","171","0.0523449701787039","0.0443857267152921","0.0603042136421158","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","37","0.0669339919365429","0.0483410589743872","0.0855269248986987","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","149","0.0681539286922935","0.0584447276896949","0.0778631296948922","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","69","0.0537319553887068","0.0400931337055053","0.0673707770719083","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","87","0.0740573297947111","0.0599892398311307","0.0881254197582916","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","East Germany","28","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","West Germany","115","0.0491203442806115","0.0401443728547767","0.0580963157064463","3"
"4 on scale 1-7","2005","Single parent ","East Germany","47","0.150758878320237","0.110602445390165","0.190915311250308","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","West Germany","233","0.159468871327716","0.139800249756654","0.179137492898779","4"
"4 on scale 1-7","2005","1-pers.-HH","East Germany","121","0.179212282997135","0.151333090143489","0.207091475850781","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","West Germany","479","0.166231317642065","0.152927129192448","0.179535506091683","4"
"4 on scale 1-7","2005","Single parent ","West Germany","138","0.186106363739609","0.158984202873241","0.213228524605977","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","East Germany","104","0.164900809043162","0.137291929593441","0.192509688492883","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","West Germany","443","0.196597846101878","0.181286201906892","0.211909490296864","4"
"4 on scale 1-7","2005","1-pers.-HH","West Germany","356","0.164163455789685","0.148778831204704","0.179548080374665","4"
"4 on scale 1-7","2005","(Married) couple without C. ","West Germany","795","0.149525698203242","0.139881319630308","0.159170076776175","4"
"4 on scale 1-7","2005","(Married) couple without C. ","East Germany","278","0.149647232266792","0.13295772788485","0.166336736648735","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","East Germany","188","0.192131341941027","0.168301403011613","0.215961280870441","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","East Germany","77","0.19877009721859","0.158270773159962","0.239269421277217","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","West Germany","701","0.240955539843007","0.225672447388438","0.256238632297575","5"
"5 on scale 1-7","2005","(Married) couple without C. ","West Germany","1157","0.216410165935014","0.20527314700525","0.227547184864779","5"
"5 on scale 1-7","2005","(Married) couple without C. ","East Germany","370","0.220231872429822","0.200843901668204","0.23961984319144","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","East Germany","176","0.23720162111874","0.205554656398249","0.26884858583923","5"
"5 on scale 1-7","2005","Single parent ","East Germany","68","0.193642797846571","0.149295967906524","0.237989627786619","5"
"5 on scale 1-7","2005","1-pers.-HH","East Germany","157","0.197467086024732","0.168529675147354","0.22640449690211","5"
"5 on scale 1-7","2005","1-pers.-HH","West Germany","478","0.211036288270125","0.194089200972004","0.227983375568245","5"
"5 on scale 1-7","2005","Single parent ","West Germany","172","0.220028413677017","0.191158956097651","0.248897871256382","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","West Germany","597","0.221097380777473","0.205109189476176","0.237085572078771","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","East Germany","231","0.21857751808522","0.193579870702174","0.243575165468267","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","West Germany","319","0.2247140169036","0.202290428615005","0.247137605192196","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","East Germany","70","0.180411206398492","0.14138795639796","0.219434456399025","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","West Germany","359","0.283974875001026","0.259749910311407","0.308199839690645","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","East Germany","85","0.201653948981952","0.160935368306397","0.242372529657507","6"
"6 on scale 1-7","2005","Single parent ","East Germany","67","0.218611786350211","0.172227766282033","0.264995806418389","6"
"6 on scale 1-7","2005","1-pers.-HH","East Germany","176","0.23343803579389","0.202688375030713","0.264187696557067","6"
"6 on scale 1-7","2005","1-pers.-HH","West Germany","582","0.260062258164512","0.241843270698384","0.278281245630639","6"
