"plh0206i06","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","12","","",""
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","45","0.0325936941815892","0.0244267155542019","0.0407606728089765"
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","5","","",""
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","43","0.0168436668915608","0.0116374631639553","0.0220498706191663"
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","3","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","10","","",""
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","3","","",""
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","2","","",""
"1 Strongly disagree","2005","Part Time","(0) in school","","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","16","","",""
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","32","0.0293636807497084","0.0193182922475831","0.0394090692518337"
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","6","","",""
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","27","","",""
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","6","","",""
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","7","","",""
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","5","","",""
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","2","","",""
"1 Strongly disagree","2005","Not Working","(0) in school","22","","",""
"1 Strongly disagree","2005","Not Working","(1a) inadequately completed","11","","",""
"1 Strongly disagree","2005","Not Working","(1b) general elementary school","67","0.0742590764702464","0.0591053768587031","0.0894127760817898"
"1 Strongly disagree","2005","Not Working","(1c) basic vocational qualification","104","0.050269739820876","0.0421779425573791","0.0583615370843728"
"1 Strongly disagree","2005","Not Working","(2b) intermediate general qualification","5","","",""
"1 Strongly disagree","2005","Not Working","(2a) intermediate vocational","31","0.0307021485166228","0.0206660903574122","0.0407382066758335"
"1 Strongly disagree","2005","Not Working","(2c_gen) general maturity certificate","4","","",""
"1 Strongly disagree","2005","Not Working","(2c_voc) vocational maturity certificate","8","","",""
"1 Strongly disagree","2005","Not Working","(3a) lower tertiary education","9","","",""
"1 Strongly disagree","2005","Not Working","(3b) higher tertiary education","2","","",""
"2 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"2 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","1","","",""
"2 on scale 1-7 ","2005","Full Time","(1b) general elementary school","13","","",""
"2 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","59","0.0240325102516319","0.0169887038217748","0.031076316681489"
"2 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","10","","",""
"2 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","79","0.0331396273269014","0.0258978154845998","0.0403814391692031"
"2 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","6","","",""
"2 on scale 1-7 ","2005","Full Time","(2c_voc) vocational maturity certificate","19","","",""
"2 on scale 1-7 ","2005","Full Time","(3a) lower tertiary education","19","","",""
"2 on scale 1-7 ","2005","Full Time","(3b) higher tertiary education","22","","",""
"2 on scale 1-7 ","2005","Part Time","(0) in school","3","","",""
"2 on scale 1-7 ","2005","Part Time","(1a) inadequately completed","1","","",""
"2 on scale 1-7 ","2005","Part Time","(1b) general elementary school","10","","",""
"2 on scale 1-7 ","2005","Part Time","(1c) basic vocational qualification","30","0.0285396926365612","0.0186320485265555","0.0384473367465669"
"2 on scale 1-7 ","2005","Part Time","(2b) intermediate general qualification","10","","",""
"2 on scale 1-7 ","2005","Part Time","(2a) intermediate vocational","51","0.0370925887530056","0.0268818777751064","0.0473032997309047"
"2 on scale 1-7 ","2005","Part Time","(2c_gen) general maturity certificate","6","","",""
"2 on scale 1-7 ","2005","Part Time","(2c_voc) vocational maturity certificate","10","","",""
"2 on scale 1-7 ","2005","Part Time","(3a) lower tertiary education","10","","",""
"2 on scale 1-7 ","2005","Part Time","(3b) higher tertiary education","11","","",""
"2 on scale 1-7 ","2005","Not Working","(0) in school","21","","",""
