"plh0184","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","general elemantary","Female","275","0.16423799943756","0.145667547111782","0.182808451763338"
"Often","2007","general elemantary","Male","141","0.238551453384936","0.206796874458801","0.270306032311072"
"Often","2007","higher education","Female","384","0.187538274088224","0.170362209280873","0.204714338895575"
"Often","2007","higher education","Male","492","0.236543006126511","0.219583750585844","0.253502261667178"
"Often","2007","higher vocational","Female","133","0.209692237935172","0.178079094929187","0.241305380941157"
"Often","2007","higher vocational","Male","193","0.181166006232054","0.155974959709704","0.206357052754404"
"Often","2007","in school","Female","42","0.282490732153439","0.216720753920587","0.348260710386291"
"Often","2007","in school","Male","29","","",""
"Often","2007","inadequately","Female","29","","",""
"Often","2007","inadequately","Male","16","","",""
"Often","2007","middle vocational","Female","1112","0.200875004244499","0.190225270953454","0.211524737535545"
"Often","2007","middle vocational","Male","1020","0.218774194922039","0.207211755743452","0.230336634100626"
"Often","2007","vocational + Abi","Female","168","0.212615283084902","0.182391244750859","0.242839321418945"
"Often","2007","vocational + Abi","Male","117","0.262177446619145","0.22233015644479","0.302024736793501"
"Rarely","2007","general elemantary","Female","369","0.245896113094139","0.224311922370396","0.267480303817882"
"Rarely","2007","general elemantary","Male","171","0.216599459084076","0.185908132453132","0.24729078571502"
"Rarely","2007","higher education","Female","431","0.197313192952953","0.179801489998238","0.214824895907669"
"Rarely","2007","higher education","Male","545","0.214181568297849","0.19780919674196","0.230553939853738"
"Rarely","2007","higher vocational","Female","134","0.211291414027279","0.179590076660486","0.242992751394071"
"Rarely","2007","higher vocational","Male","167","0.216490093348119","0.189552972010588","0.24342721468565"
"Rarely","2007","in school","Female","38","0.212226222654569","0.152493526110179","0.271958919198959"
"Rarely","2007","in school","Male","46","0.313645691725156","0.242198620794653","0.385092762655659"
"Rarely","2007","inadequately","Female","22","","",""
"Rarely","2007","inadequately","Male","16","","",""
"Rarely","2007","middle vocational","Female","1117","0.19945942807022","0.188837890666846","0.210080965473594"
"Rarely","2007","middle vocational","Male","1188","0.236731266928275","0.224842695507149","0.248619838349402"
"Rarely","2007","vocational + Abi","Female","121","0.158038113606896","0.131092449219919","0.184983777993873"
"Rarely","2007","vocational + Abi","Male","79","0.157118349905732","0.12414812431078","0.190088575500684"
"Sometimes","2007","general elemantary","Female","582","0.377706659192751","0.353405933339634","0.402007385045868"
"Sometimes","2007","general elemantary","Male","277","0.403614329816468","0.367059738557089","0.440168921075847"
"Sometimes","2007","higher education","Female","881","0.449675172258964","0.427785650908811","0.471564693609117"
"Sometimes","2007","higher education","Male","1037","0.410319790987743","0.390689400088935","0.429950181886552"
"Sometimes","2007","higher vocational","Female","264","0.439364779828389","0.400823051688197","0.477906507968582"
"Sometimes","2007","higher vocational","Male","401","0.449796747670809","0.417259586786729","0.482333908554889"
"Sometimes","2007","in school","Female","71","0.353963584481408","0.284105024346077","0.423822144616738"
"Sometimes","2007","in school","Male","66","0.3646104081446","0.290492157080321","0.438728659208879"
"Sometimes","2007","inadequately","Female","53","0.382504812690327","0.301419202677322","0.463590422703332"
"Sometimes","2007","inadequately","Male","28","","",""
"Sometimes","2007","middle vocational","Female","2324","0.42835534280535","0.41520207710853","0.44150860850217"
"Sometimes","2007","middle vocational","Male","1929","0.395166434620361","0.381493205525625","0.408839663715097"
"Sometimes","2007","vocational + Abi","Female","308","0.482364961875408","0.445453480838986","0.519276442911831"
"Sometimes","2007","vocational + Abi","Male","198","0.42675762223964","0.381946589582909","0.47156865489637"
"Very often","2007","general elemantary","Female","94","0.0620714211171522","0.0499772787348838","0.0741655634994207"
"Very often","2007","general elemantary","Male","34","0.0442315486926483","0.028912300156973","0.0595507972283236"
"Very often","2007","higher education","Female","129","0.078634461239354","0.0667904258274505","0.0904784966512574"
"Very often","2007","higher education","Male","104","0.0516149091476237","0.0427853426455077","0.0604444756497397"
"Very often","2007","higher vocational","Female","47","0.0618828961915099","0.0431721021890938","0.0805936901939259"
"Very often","2007","higher vocational","Male","50","0.0555169091208977","0.0405400875512466","0.0704937306905487"
"Very often","2007","in school","Female","15","","",""
"Very often","2007","in school","Male","5","","",""
"Very often","2007","inadequately","Female","15","","",""
"Very often","2007","inadequately","Male","8","","",""
"Very often","2007","middle vocational","Female","311","0.0551136430612817","0.0490478474394816","0.0611794386830818"
"Very often","2007","middle vocational","Male","258","0.0530868513285219","0.0468162140324154","0.0593574886246284"
"Very often","2007","vocational + Abi","Female","50","0.052376590321763","0.0359196814902465","0.0688334991532795"
"Very often","2007","vocational + Abi","Male","28","","",""
"Very rare","2007","general elemantary","Female","209","0.150087807158398","0.132185702804257","0.167989911512538"
"Very rare","2007","general elemantary","Male","69","0.0970032090218709","0.0749520613269118","0.11905435671683"
"Very rare","2007","higher education","Female","159","0.0868388994605043","0.0744478493314507","0.0992299495895579"
"Very rare","2007","higher education","Male","234","0.0873407254402735","0.0760733653912749","0.0986080854892721"
"Very rare","2007","higher vocational","Female","59","0.0777686720176501","0.0569716739315526","0.0985656701037476"
"Very rare","2007","higher vocational","Male","87","0.0970302436281208","0.0776704784244616","0.11639000883178"
"Very rare","2007","in school","Female","14","","",""
"Very rare","2007","in school","Male","16","","",""
"Very rare","2007","inadequately","Female","19","","",""
"Very rare","2007","inadequately","Male","12","","",""
"Very rare","2007","middle vocational","Female","573","0.116196581818649","0.107678477798593","0.124714685838704"
"Very rare","2007","middle vocational","Male","516","0.0962412522008021","0.0879928465051367","0.104489657896467"
"Very rare","2007","vocational + Abi","Female","57","0.0946050511110312","0.0729859338348818","0.116224168387181"
"Very rare","2007","vocational + Abi","Male","46","0.0928291006057969","0.0665378169376384","0.119120384273955"
"Often","2008","general elemantary","Female","240","0.171028763517057","0.151276826563172","0.190780700470941"
"Often","2008","general elemantary","Male","107","0.17929181574194","0.149456142422972","0.209127489060907"
"Often","2008","higher education","Female","332","0.19223433144864","0.174520390038914","0.209948272858366"
"Often","2008","higher education","Male","390","0.182800946019709","0.166998430485709","0.198603461553709"
"Often","2008","higher vocational","Female","111","0.194532350011924","0.162455617256865","0.226609082766983"
"Often","2008","higher vocational","Male","190","0.218242393435297","0.190158766520885","0.24632602034971"
"Often","2008","in school","Female","47","0.303752449744489","0.237123298536536","0.370381600952441"
"Often","2008","in school","Male","29","","",""
"Often","2008","inadequately","Female","29","","",""
"Often","2008","inadequately","Male","10","","",""
"Often","2008","middle vocational","Female","946","0.192666730138162","0.181887949905874","0.20344551037045"
"Often","2008","middle vocational","Male","808","0.179355676007435","0.168290554830808","0.190420797184062"
"Often","2008","vocational + Abi","Female","143","0.217460561904942","0.185941120353208","0.248980003456675"
"Often","2008","vocational + Abi","Male","108","0.248835776795026","0.208484929853712","0.289186623736339"
"Rarely","2008","general elemantary","Female","354","0.236391424474677","0.214104166543014","0.25867868240634"
"Rarely","2008","general elemantary","Male","162","0.233828430187875","0.200907439060185","0.266749421315565"
"Rarely","2008","higher education","Female","453","0.240526555558652","0.221313570495209","0.259739540622095"
"Rarely","2008","higher education","Male","632","0.268309320658873","0.250193637343285","0.286425003974462"
"Rarely","2008","higher vocational","Female","123","0.194819382590476","0.162724714020468","0.226914051160483"
"Rarely","2008","higher vocational","Male","186","0.200915826020167","0.173673077747344","0.228158574292991"
"Rarely","2008","in school","Female","41","0.161641733290752","0.108306509576248","0.214976957005256"
"Rarely","2008","in school","Male","47","0.34991966025576","0.278224255924923","0.421615064586596"
"Rarely","2008","inadequately","Female","29","","",""
"Rarely","2008","inadequately","Male","20","","",""
"Rarely","2008","middle vocational","Female","1219","0.238717419862198","0.227066644441883","0.250368195282513"
"Rarely","2008","middle vocational","Male","1162","0.243097213368648","0.230725462411913","0.255468964325382"
"Rarely","2008","vocational + Abi","Female","140","0.199158126315698","0.168643535784519","0.229672716846876"
"Rarely","2008","vocational + Abi","Male","97","0.194657238395956","0.157703833977616","0.231610642814295"
"Sometimes","2008","general elemantary","Female","552","0.40825911128815","0.382475774909129","0.434042447667172"
"Sometimes","2008","general elemantary","Male","270","0.427708337873694","0.389227564126264","0.466189111621124"
"Sometimes","2008","higher education","Female","858","0.430619834961108","0.408360857247084","0.452878812675133"
"Sometimes","2008","higher education","Male","966","0.4151878354953","0.395041150871553","0.435334520119048"
"Sometimes","2008","higher vocational","Female","271","0.457541678338091","0.417170755560001","0.497912601116181"
"Sometimes","2008","higher vocational","Male","343","0.42465110575212","0.391044136382514","0.458258075121726"
"Sometimes","2008","in school","Female","70","0.397802115311521","0.326889140732851","0.468715089890191"
"Sometimes","2008","in school","Male","73","0.401574904519439","0.327884352204779","0.475265456834098"
"Sometimes","2008","inadequately","Female","39","0.368510984095888","0.279566916173973","0.457455052017803"
"Sometimes","2008","inadequately","Male","28","","",""
"Sometimes","2008","middle vocational","Female","2242","0.425003046090825","0.411492633182681","0.438513458998969"
"Sometimes","2008","middle vocational","Male","1941","0.431635005271347","0.417349581864747","0.445920428677948"
"Sometimes","2008","vocational + Abi","Female","284","0.461337428102836","0.423248137036935","0.499426719168737"
"Sometimes","2008","vocational + Abi","Male","186","0.436861898324233","0.390569643315324","0.483154153333142"
"Very often","2008","general elemantary","Female","65","0.0418215345853291","0.0313205851504451","0.0523224840202132"
"Very often","2008","general elemantary","Male","23","","",""
"Very often","2008","higher education","Female","84","0.0413077912159767","0.032362126470728","0.0502534559612255"
"Very often","2008","higher education","Male","62","0.0340332761136906","0.0266200705949228","0.0414464816324583"
"Very often","2008","higher vocational","Female","38","0.0681309421220825","0.0477126317567481","0.0885492524874169"
"Very often","2008","higher vocational","Male","42","0.0608475160056674","0.0445943840358434","0.0771006479754913"
"Very often","2008","in school","Female","10","","",""
"Very often","2008","in school","Male","3","","",""
"Very often","2008","inadequately","Female","5","","",""
"Very often","2008","inadequately","Male","3","","",""
"Very often","2008","middle vocational","Female","237","0.0436648526231142","0.0380800106771211","0.0492496945691072"
"Very often","2008","middle vocational","Male","209","0.0454946755344942","0.0394844524752569","0.0515048985937315"
"Very often","2008","vocational + Abi","Female","37","0.0361280305023086","0.0218697562806982","0.050386304723919"
"Very often","2008","vocational + Abi","Male","15","","",""
"Very rare","2008","general elemantary","Female","185","0.142499166134787","0.124162143592141","0.160836188677434"
"Very rare","2008","general elemantary","Male","73","0.112472513742595","0.0878985430999047","0.137046484385286"
"Very rare","2008","higher education","Female","174","0.0953114868156224","0.0821113268917228","0.108511646739522"
"Very rare","2008","higher education","Male","248","0.0996686217124268","0.0874209510898753","0.111916292334978"
"Very rare","2008","higher vocational","Female","42","0.0849756469374267","0.0623795346504925","0.107571759224361"
"Very rare","2008","higher vocational","Male","70","0.0953431587867478","0.0753751718827679","0.115311145690728"
"Very rare","2008","in school","Female","15","","",""
"Very rare","2008","in school","Male","18","","",""
"Very rare","2008","inadequately","Female","11","","",""
"Very rare","2008","inadequately","Male","12","","",""
"Very rare","2008","middle vocational","Female","499","0.0999479512857009","0.0917508445622683","0.108145058009133"
"Very rare","2008","middle vocational","Male","498","0.100417429818075","0.0917488851073388","0.109085974528812"
"Very rare","2008","vocational + Abi","Female","54","0.0859158531742164","0.0645034759271857","0.107328230421247"
"Very rare","2008","vocational + Abi","Male","35","0.080377981007036","0.0550032163233864","0.105752745690686"
"Often","2009","general elemantary","Female","215","0.166929090353485","0.146198125048667","0.187660055658302"
"Often","2009","general elemantary","Male","101","0.193400886197138","0.160659256889784","0.226142515504491"
"Often","2009","higher education","Female","351","0.179473789981223","0.161991769376782","0.196955810585663"
"Often","2009","higher education","Male","336","0.165733471476884","0.150145825426815","0.181321117526953"
"Often","2009","higher vocational","Female","104","0.207160601110558","0.173229027196775","0.24109217502434"
"Often","2009","higher vocational","Male","140","0.168068660272922","0.141827205894998","0.194310114650845"
"Often","2009","in school","Female","29","","",""
"Often","2009","in school","Male","28","","",""
"Often","2009","inadequately","Female","22","","",""
"Often","2009","inadequately","Male","17","","",""
"Often","2009","middle vocational","Female","877","0.193526176367527","0.182346525844852","0.204705826890202"
"Often","2009","middle vocational","Male","810","0.191747285071973","0.179955950636619","0.203538619507327"
"Often","2009","vocational + Abi","Female","140","0.226418773436946","0.193179721949371","0.25965782492452"
"Often","2009","vocational + Abi","Male","100","0.225340171074621","0.184032886797951","0.26664745535129"
"Rarely","2009","general elemantary","Female","355","0.289521240102131","0.264308021376008","0.314734458828254"
"Rarely","2009","general elemantary","Male","128","0.223443700159691","0.188912416901378","0.257974983418004"
"Rarely","2009","higher education","Female","443","0.236680352484444","0.217317059986143","0.256043644982744"
"Rarely","2009","higher education","Male","644","0.287706949462649","0.268729950147053","0.306683948778244"
