"plh0184","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","West Germany","Female","1609","0.19353963234499","0.184970834958996","0.202108429730984"
"Often","2007","West Germany","Male","1517","0.220106526934984","0.210653867449261","0.229559186420707"
"Often","2007","East Germany","Female","574","0.214213130998503","0.198461108862233","0.229965153134772"
"Often","2007","East Germany","Male","521","0.227463302241136","0.210747976075976","0.244178628406297"
"Rarely","2007","West Germany","Female","1725","0.203391316973704","0.194660957516483","0.212121676430926"
"Rarely","2007","West Germany","Male","1761","0.228440839567415","0.218862474186249","0.238019204948581"
"Rarely","2007","East Germany","Female","553","0.213626332520841","0.197890027725123","0.229362637316558"
"Rarely","2007","East Germany","Male","486","0.197974948652534","0.182085870089048","0.21386402721602"
"Sometimes","2007","West Germany","Female","3419","0.425393466177919","0.414670273964883","0.436116658390955"
"Sometimes","2007","West Germany","Male","2953","0.401013140806063","0.38983144020177","0.412194841410356"
"Sometimes","2007","East Germany","Female","1116","0.411923908871139","0.393027201104634","0.430820616637643"
"Sometimes","2007","East Germany","Male","1065","0.434386760291548","0.414621720211118","0.454151800371977"
"Very often","2007","West Germany","Female","526","0.0596336359463452","0.0544974872165638","0.0647697846761267"
"Very often","2007","West Germany","Male","358","0.0522345482175791","0.0471582249790129","0.0573108714561453"
"Very often","2007","East Germany","Female","151","0.0724982104398201","0.0625422787831731","0.0824541420964672"
"Very often","2007","East Germany","Male","138","0.0585770441222397","0.0492131661710274","0.0679409220734519"
"Very rare","2007","West Germany","Female","887","0.118041948557041","0.11104376140143","0.125040135712652"
"Very rare","2007","West Germany","Male","791","0.0982049444739595","0.0914154019579801","0.104994486989939"
"Very rare","2007","East Germany","Female","212","0.0877384171696981","0.0768762751667897","0.0986005591726064"
"Very rare","2007","East Germany","Male","206","0.0815979446925419","0.0706821424424027","0.0925137469426812"
"Often","2008","West Germany","Female","1418","0.19173858625936","0.182927332224872","0.200549840293848"
"Often","2008","West Germany","Male","1219","0.183633401912677","0.174513545200816","0.192753258624538"
"Often","2008","East Germany","Female","460","0.195394247063695","0.179785886796617","0.211002607330773"
"Often","2008","East Germany","Male","451","0.197011797909873","0.180788586637775","0.213235009181971"
"Rarely","2008","West Germany","Female","1844","0.234879484225023","0.225391051017264","0.244367917432781"
"Rarely","2008","West Germany","Male","1823","0.251125613962803","0.240911056511038","0.261340171414569"
"Rarely","2008","East Germany","Female","553","0.225418899872963","0.208969940097479","0.241867859648446"
"Rarely","2008","East Germany","Male","532","0.213346395359601","0.196636622446029","0.230056168273172"
"Sometimes","2008","West Germany","Female","3254","0.422215408389681","0.411160451429739","0.433270365349624"
"Sometimes","2008","West Germany","Male","2844","0.416367005810506","0.404755791715622","0.427978219905389"
"Sometimes","2008","East Germany","Female","1131","0.441228548055083","0.42168251024817","0.460774585861997"
"Sometimes","2008","East Germany","Male","1030","0.470966354061997","0.450606591335504","0.49132611678849"
"Very often","2008","West Germany","Female","368","0.043795031334258","0.0392147204360746","0.0483753422324414"
"Very often","2008","West Germany","Male","276","0.0453258943035979","0.040426184893967","0.0502256037132287"
"Very often","2008","East Germany","Female","121","0.0489594733055139","0.0404651710971403","0.0574537755138875"
"Very often","2008","East Germany","Male","89","0.0337605123072464","0.0263936419068687","0.0411273827076241"
"Very rare","2008","West Germany","Female","784","0.107371489791678","0.100442229023572","0.114300750559784"
"Very rare","2008","West Germany","Male","762","0.103548084010416","0.0963717260236837","0.110724441997148"
"Very rare","2008","East Germany","Female","214","0.0889988317027456","0.0777899716352058","0.100207691770285"
"Very rare","2008","East Germany","Male","207","0.0849149403612825","0.0735449810264165","0.0962848996961485"
"Often","2009","West Germany","Female","1322","0.190162521410853","0.181023475279151","0.199301567542555"
"Often","2009","West Germany","Male","1154","0.186271142408541","0.176752903771471","0.195789381045612"
"Often","2009","East Germany","Female","457","0.199711582244299","0.183582227953722","0.215840936534876"
"Often","2009","East Germany","Male","411","0.186223747488549","0.169908497350705","0.202538997626393"
"Rarely","2009","West Germany","Female","1768","0.24249907995667","0.232517803145497","0.252480356767844"
"Rarely","2009","West Germany","Male","1725","0.258101191626614","0.247402977585668","0.26879940566756"
"Rarely","2009","East Germany","Female","581","0.249410177537338","0.231953945306533","0.266866409768143"
"Rarely","2009","East Germany","Male","541","0.250380755377547","0.232223736885004","0.26853777387009"
"Sometimes","2009","West Germany","Female","2941","0.410414553669635","0.39895878529918","0.421870322040091"
"Sometimes","2009","West Germany","Male","2568","0.410805100531814","0.398777158013668","0.422833043049961"
"Sometimes","2009","East Germany","Female","1015","0.423095743264778","0.403163173664443","0.443028312865114"
"Sometimes","2009","East Germany","Male","933","0.442039006406744","0.421224988875876","0.462853023937612"
"Very often","2009","West Germany","Female","313","0.0425713171806582","0.0378696570614736","0.0472729772998427"
"Very often","2009","West Germany","Male","272","0.0436166097848633","0.038623329939606","0.0486098896301206"
"Very often","2009","East Germany","Female","96","0.0373670525989818","0.0297151951241772","0.0450189100737863"
"Very often","2009","East Germany","Male","54","0.0220973743231761","0.0159365072027276","0.0282582414436246"
"Very rare","2009","West Germany","Female","739","0.114352527782183","0.106941254998968","0.121763800565398"
