"plh0184","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Often","2007","Full Time","(Married) couple without C. ","532","0.226278854365885","0.209496799039376","0.243060909692393"
"Often","2007","Full Time","1-pers.-HH","257","0.250397686647299","0.224630690436728","0.276164682857869"
"Often","2007","Full Time","Couple + C. GT 16 ","402","0.25021652650237","0.229039446372256","0.271393606632483"
"Often","2007","Full Time","Couple + C. LE 16 ","448","0.25834842753851","0.237816541572617","0.278880313504403"
"Often","2007","Full Time","Couple + C. LE and GT 16","142","0.237932891606449","0.20279041300524","0.273075370207658"
"Often","2007","Full Time","Single parent ","81","0.274578817358042","0.226858086774289","0.322299547941794"
"Often","2007","Not Working","(Married) couple without C. ","491","0.130965415870514","0.120206427408507","0.14172440433252"
"Often","2007","Not Working","1-pers.-HH","224","0.137399651105783","0.120504371750274","0.154294930461292"
"Often","2007","Not Working","Couple + C. GT 16 ","183","0.203401578696786","0.17853991221462","0.228263245178953"
"Often","2007","Not Working","Couple + C. LE 16 ","157","0.262176366189688","0.228075083649636","0.296277648729739"
"Often","2007","Not Working","Couple + C. LE and GT 16","95","0.256561281578655","0.211194158683048","0.301928404474262"
"Often","2007","Not Working","Single parent ","92","0.25910666155884","0.214995791873365","0.303217531244314"
"Often","2007","Part Time","(Married) couple without C. ","209","0.188588789120124","0.166529421320616","0.210648156919632"
"Often","2007","Part Time","1-pers.-HH","93","0.185043661738001","0.150339638084592","0.21974768539141"
"Often","2007","Part Time","Couple + C. GT 16 ","189","0.205395939410421","0.179305007421891","0.231486871398951"
"Often","2007","Part Time","Couple + C. LE 16 ","339","0.325631605919087","0.299140033511374","0.3521231783268"
"Often","2007","Part Time","Couple + C. LE and GT 16","103","0.264796290575936","0.222749030551903","0.306843550599968"
"Often","2007","Part Time","Single parent ","96","0.245777757224367","0.20243171572029","0.289123798728443"
"Rarely","2007","Full Time","(Married) couple without C. ","500","0.203177277428929","0.187039290732812","0.219315264125046"
"Rarely","2007","Full Time","1-pers.-HH","237","0.203694699104744","0.179741537454608","0.227647860754879"
"Rarely","2007","Full Time","Couple + C. GT 16 ","303","0.201987057568607","0.182357663604353","0.221616451532861"
"Rarely","2007","Full Time","Couple + C. LE 16 ","312","0.179158185790498","0.161170552086228","0.197145819494767"
"Rarely","2007","Full Time","Couple + C. LE and GT 16","90","0.149537475515866","0.120106059878278","0.178968891153454"
"Rarely","2007","Full Time","Single parent ","74","0.194581474070324","0.152252279557695","0.236910668582953"
"Rarely","2007","Not Working","(Married) couple without C. ","1087","0.279238876033286","0.264931558491082","0.29354619357549"
"Rarely","2007","Not Working","1-pers.-HH","431","0.262269534212154","0.240682621811775","0.283856446612533"
"Rarely","2007","Not Working","Couple + C. GT 16 ","237","0.222674344118876","0.196978082360354","0.248370605877399"
"Rarely","2007","Not Working","Couple + C. LE 16 ","113","0.1706081661625","0.141442127519968","0.199774204805032"
"Rarely","2007","Not Working","Couple + C. LE and GT 16","72","0.174341424244279","0.134929863403219","0.213752985085339"
"Rarely","2007","Not Working","Single parent ","79","0.20050198688589","0.1601934976804","0.240810476091381"
"Rarely","2007","Part Time","(Married) couple without C. ","274","0.215904123764192","0.192701896439752","0.239106351088631"
"Rarely","2007","Part Time","1-pers.-HH","107","0.222166439311824","0.185016499125945","0.259316379497702"
"Rarely","2007","Part Time","Couple + C. GT 16 ","190","0.189492154919355","0.164182133968104","0.214802175870606"
"Rarely","2007","Part Time","Couple + C. LE 16 ","170","0.128709483447173","0.109778088127791","0.147640878766555"
"Rarely","2007","Part Time","Couple + C. LE and GT 16","59","0.0982634136454084","0.0698963961597769","0.12663043113104"
"Rarely","2007","Part Time","Single parent ","58","0.14091936119989","0.105890115574161","0.175948606825619"
"Sometimes","2007","Full Time","(Married) couple without C. ","1042","0.438702739638539","0.418800013631291","0.458605465645787"
"Sometimes","2007","Full Time","1-pers.-HH","417","0.397503564350463","0.368397671044303","0.426609457656624"
"Sometimes","2007","Full Time","Couple + C. GT 16 ","698","0.42219073367124","0.398042423117687","0.446339044224794"
"Sometimes","2007","Full Time","Couple + C. LE 16 ","757","0.422783048318679","0.39961154063232","0.445954556005039"
