"plh0184","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Often","2007","Rural Area","West Germany","739","0.20616443305431","0.193083140344976","0.219245725763643"
"Often","2007","Rural Area","East Germany","686","0.211634320330458","0.197666221223762","0.225602419437153"
"Often","2007","Urban Area","West Germany","2387","0.206461102771116","0.199180130481142","0.21374207506109"
"Often","2007","Urban Area","East Germany","409","0.237588443749048","0.217573444715918","0.257603442782178"
"Rarely","2007","Rural Area","West Germany","848","0.212664183988527","0.199432787120619","0.225895580856434"
"Rarely","2007","Rural Area","East Germany","691","0.212742871947213","0.198748087498882","0.226737656395544"
"Rarely","2007","Urban Area","West Germany","2638","0.21640617807292","0.208998766491844","0.223813589653996"
"Rarely","2007","Urban Area","East Germany","348","0.193266777040852","0.174697638552764","0.211835915528939"
"Sometimes","2007","Rural Area","West Germany","1538","0.424979838722197","0.408995148846954","0.440964528597441"
"Sometimes","2007","Rural Area","East Germany","1434","0.426182980033499","0.409272140528116","0.443093819538883"
"Sometimes","2007","Urban Area","West Germany","4834","0.410004899031742","0.401157718837862","0.418852079225623"
"Sometimes","2007","Urban Area","East Germany","747","0.4171695487549","0.393980891641207","0.440358205868593"
"Very often","2007","Rural Area","West Germany","203","0.0543431295248544","0.0470128990695103","0.0616733599801985"
"Very often","2007","Rural Area","East Germany","189","0.0617539653073608","0.0535226128588717","0.0699853177558498"
"Very often","2007","Urban Area","West Germany","681","0.0565956488460357","0.0524391601265966","0.0607521375654748"
"Very often","2007","Urban Area","East Germany","100","0.0727670868645908","0.0605516192763161","0.0849825544528654"
"Very rare","2007","Rural Area","West Germany","346","0.101848414710112","0.092068603478484","0.11162822594174"
"Very rare","2007","Rural Area","East Germany","285","0.0876858623814686","0.0780138377173064","0.0973578870456309"
"Very rare","2007","Urban Area","West Germany","1332","0.110532171278186","0.104891956787014","0.116172385769358"
"Very rare","2007","Urban Area","East Germany","133","0.0792081435906096","0.0665078478518803","0.0919084393293389"
"Often","2008","Rural Area","West Germany","608","0.181466113876057","0.168600113777773","0.19433211397434"
"Often","2008","Rural Area","East Germany","573","0.195284771566606","0.18135245943682","0.209217083696391"
"Often","2008","Urban Area","West Germany","2029","0.189855916906603","0.182574745496545","0.197137088316661"
"Often","2008","Urban Area","East Germany","338","0.19784468802715","0.178783781930111","0.21690559412419"
"Rarely","2008","Rural Area","West Germany","866","0.242213253383581","0.227911150312296","0.256515356454866"
"Rarely","2008","Rural Area","East Germany","713","0.228316521526197","0.213564342735438","0.243068700316955"
"Rarely","2008","Urban Area","West Germany","2801","0.242878720584517","0.23491739263493","0.250840048534104"
"Rarely","2008","Urban Area","East Germany","372","0.203405530976315","0.184145714915591","0.222665347037039"
"Sometimes","2008","Rural Area","West Germany","1505","0.438438725743669","0.421874143856411","0.455003307630927"
"Sometimes","2008","Rural Area","East Germany","1370","0.440953965966035","0.423504252160328","0.458403679771741"
"Sometimes","2008","Urban Area","West Germany","4593","0.413322964023737","0.404180729314578","0.422465198732895"
"Sometimes","2008","Urban Area","East Germany","791","0.483167089780977","0.459257294063324","0.507076885498631"
"Very often","2008","Rural Area","West Germany","152","0.0424802652781067","0.0357474774880034","0.0492130530682099"
"Very often","2008","Rural Area","East Germany","151","0.0407560025717153","0.0338069078402433","0.0477050973031874"
"Very often","2008","Urban Area","West Germany","492","0.0451881629271801","0.0413317876071634","0.0490445382471967"
"Very often","2008","Urban Area","East Germany","59","0.0424618971366253","0.0328140627002135","0.0521097315730371"
"Very rare","2008","Rural Area","West Germany","316","0.0954016417185865","0.0855947072996235","0.10520857613755"
"Very rare","2008","Rural Area","East Germany","303","0.0946887383694478","0.0843987230116572","0.104978753727238"
"Very rare","2008","Urban Area","West Germany","1230","0.108754235557963","0.102974208332084","0.114534262783842"
"Very rare","2008","Urban Area","East Germany","118","0.0731207940789316","0.0606646354056619","0.0855769527522013"
"Often","2009","Rural Area","West Germany","585","0.178662889888785","0.165543297596958","0.191782482180612"
"Often","2009","Rural Area","East Germany","543","0.180948947559667","0.167077904320112","0.194819990799223"
"Often","2009","Urban Area","West Germany","1891","0.191383753324963","0.183762473058957","0.199005033590969"
"Often","2009","Urban Area","East Germany","325","0.214372093263337","0.194187713102783","0.23455647342389"
"Rarely","2009","Rural Area","West Germany","824","0.242219580300057","0.227546585887315","0.256892574712799"
"Rarely","2009","Rural Area","East Germany","747","0.257459135698459","0.241705168331516","0.273213103065403"
"Rarely","2009","Urban Area","West Germany","2669","0.252633254977865","0.244215111741325","0.261051398214405"
"Rarely","2009","Urban Area","East Germany","375","0.236584128819467","0.215681724813165","0.257486532825769"
"Sometimes","2009","Rural Area","West Germany","1423","0.439769794986827","0.422770206926493","0.456769383047162"
