"plh0184","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Schleswig-Holstein","1-pers.-HH","19","","",""
"Very rare","2007","Schleswig-Holstein","(Married) couple without C. ","57","0.175555189527064","0.128676500205144","0.222433878848985"
"Very rare","2007","Schleswig-Holstein","Single parent ","5","","",""
"Very rare","2007","Schleswig-Holstein","Couple + C. LE 16 ","13","","",""
"Very rare","2007","Schleswig-Holstein","Couple + C. GT 16 ","13","","",""
"Very rare","2007","Schleswig-Holstein","Couple + C. LE and GT 16","6","","",""
"Very rare","2007","Hamburg","1-pers.-HH","10","","",""
"Very rare","2007","Hamburg","(Married) couple without C. ","10","","",""
"Very rare","2007","Hamburg","Single parent ","","","",""
"Very rare","2007","Hamburg","Couple + C. LE 16 ","1","","",""
"Very rare","2007","Hamburg","Couple + C. GT 16 ","1","","",""
"Very rare","2007","Hamburg","Couple + C. LE and GT 16","1","","",""
"Very rare","2007","Lower Saxony","1-pers.-HH","39","0.171153342149028","0.123894512177666","0.218412172120391"
"Very rare","2007","Lower Saxony","(Married) couple without C. ","84","0.135928843026449","0.11003651363333","0.161821172419568"
"Very rare","2007","Lower Saxony","Single parent ","8","","",""
"Very rare","2007","Lower Saxony","Couple + C. LE 16 ","12","","",""
"Very rare","2007","Lower Saxony","Couple + C. GT 16 ","28","","",""
"Very rare","2007","Lower Saxony","Couple + C. LE and GT 16","3","","",""
"Very rare","2007","Bremen","1-pers.-HH","4","","",""
"Very rare","2007","Bremen","(Married) couple without C. ","6","","",""
"Very rare","2007","Bremen","Single parent ","1","","",""
"Very rare","2007","Bremen","Couple + C. LE 16 ","","","",""
"Very rare","2007","Bremen","Couple + C. GT 16 ","2","","",""
"Very rare","2007","Bremen","Couple + C. LE and GT 16","","","",""
"Very rare","2007","North Rhine-Westphalia","1-pers.-HH","102","0.165078859776209","0.135373082205671","0.194784637346747"
"Very rare","2007","North Rhine-Westphalia","(Married) couple without C. ","229","0.139912383726668","0.12261488631107","0.157209881142266"
"Very rare","2007","North Rhine-Westphalia","Single parent ","9","","",""
"Very rare","2007","North Rhine-Westphalia","Couple + C. LE 16 ","66","0.0678226041132574","0.0504206739611329","0.0852245342653819"
"Very rare","2007","North Rhine-Westphalia","Couple + C. GT 16 ","89","0.113224327665225","0.089883931536259","0.136564723794191"
"Very rare","2007","North Rhine-Westphalia","Couple + C. LE and GT 16","24","","",""
"Very rare","2007","Hesse","1-pers.-HH","31","0.156004540096528","0.105589487246654","0.206419592946402"
"Very rare","2007","Hesse","(Married) couple without C. ","61","0.117497866811841","0.0903883784830698","0.144607355140612"
"Very rare","2007","Hesse","Single parent ","5","","",""
"Very rare","2007","Hesse","Couple + C. LE 16 ","21","","",""
"Very rare","2007","Hesse","Couple + C. GT 16 ","16","","",""
"Very rare","2007","Hesse","Couple + C. LE and GT 16","7","","",""
