"plh0184","year","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","Female","2183","0.197380079657168","0.189863737429927","0.204896421884409"
"Often","2007","Male","2038","0.221518599391793","0.213295170874243","0.229742027909343"
"Rarely","2007","Female","2278","0.205292641882801","0.197665001180834","0.212920282584768"
"Rarely","2007","Male","2247","0.222593162610763","0.214355503980257","0.230830821241269"
"Sometimes","2007","Female","4535","0.422891271168645","0.413562099156262","0.432220443181029"
"Sometimes","2007","Male","4018","0.407418932324538","0.397688812422227","0.41714905222685"
"Very often","2007","Female","677","0.0620234453039105","0.0574685976714635","0.0665782929363576"
"Very often","2007","Male","496","0.0534519380931277","0.0489976657570053","0.0579062104292501"
"Very rare","2007","Female","1099","0.112412561987475","0.106447528101656","0.118377595873295"
"Very rare","2007","Male","997","0.0950173675797783","0.0892104545413715","0.100824280618185"
"Often","2008","Female","1878","0.192397028074422","0.184727345419731","0.200066710729114"
"Often","2008","Male","1670","0.186180695852349","0.178240924581093","0.194120467123604"
"Rarely","2008","Female","2397","0.233175484684109","0.224947969370388","0.24140299999783"
"Rarely","2008","Male","2355","0.243932317052348","0.235172567665472","0.252692066439225"
"Sometimes","2008","Female","4385","0.425639972883324","0.416019585326375","0.435260360440272"
"Sometimes","2008","Male","3874","0.42676291492698","0.416674169832974","0.436851660020986"
"Very often","2008","Female","489","0.0447252282883371","0.0407034354350792","0.048747021141595"
"Very often","2008","Male","365","0.0431238046453556","0.0389803452855804","0.0472672640051308"
"Very rare","2008","Female","998","0.104062286069808","0.0981212135835388","0.110003358556077"
"Very rare","2008","Male","969","0.100000267522967","0.0938810140313032","0.106119521014631"
"Often","2009","Female","1779","0.191928344855939","0.183985289452108","0.19987140025977"
"Often","2009","Male","1565","0.186262201266983","0.178040716285489","0.194483686248477"
"Rarely","2009","Female","2349","0.243777088166282","0.235117156711864","0.252437019620699"
"Rarely","2009","Male","2266","0.256644716683652","0.247420913283213","0.265868520084091"
"Sometimes","2009","Female","3956","0.412759574011348","0.402829564911604","0.422689583111093"
"Sometimes","2009","Male","3501","0.416697436121421","0.406286182788032","0.42710868945481"
"Very often","2009","Female","409","0.0416089385160918","0.0375812322394615","0.045636644792722"
"Very often","2009","Male","326","0.0395569651960704","0.0354407985840695","0.0436731318080713"
"Very rare","2009","Female","950","0.109926054450339","0.103617113529832","0.116234995370846"
"Very rare","2009","Male","956","0.100838680731873","0.0944798386037649","0.107197522859981"
"Often","2010","Female","1497","0.163321354616656","0.155574165038981","0.17106854419433"
"Often","2010","Male","1307","0.173724140137247","0.165394253284746","0.182054026989747"
"Rarely","2010","Female","2213","0.255655044648067","0.246512698457288","0.264797390838847"
"Rarely","2010","Male","2166","0.269682332803677","0.259925055765971","0.279439609841383"
"Sometimes","2010","Female","3835","0.43874832242026","0.428348404420308","0.449148240420211"
"Sometimes","2010","Male","3371","0.423015247171568","0.412153325576006","0.433877168767129"
"Very often","2010","Female","283","0.030447047000249","0.0268462245301314","0.0340478694703666"
"Very often","2010","Male","215","0.0276133500090998","0.0240106713474424","0.0312160286707572"
