"plh0184","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","Rural Area","1425","0.208275382201966","0.198734671715465","0.217816092688467"
"Often","2007","Urban Area","2796","0.209485505014356","0.202648484360752","0.21632252566796"
"Rarely","2007","Rural Area","1539","0.212694551392997","0.203080100542723","0.222309002243271"
"Rarely","2007","Urban Area","2986","0.214157901985405","0.207265514566221","0.221050289404588"
"Sometimes","2007","Rural Area","2972","0.425444157271627","0.413828010858625","0.437060303684629"
"Sometimes","2007","Urban Area","5581","0.410701032463445","0.402435597339959","0.418966467586931"
"Very often","2007","Rural Area","392","0.0572031331572361","0.0517468908783898","0.0626593754360824"
"Very often","2007","Urban Area","781","0.0581669020235688","0.0542344817621749","0.0620993222849628"
"Very rare","2007","Rural Area","631","0.0963827759761744","0.0894490505727943","0.103316501379554"
"Very rare","2007","Urban Area","1465","0.107488658513225","0.102284827594325","0.112692489432126"
"Often","2008","Rural Area","1181","0.186664211534509","0.177233141485537","0.196095281583481"
"Often","2008","Urban Area","2367","0.190630472834769","0.183831820125299","0.19742912554424"
"Rarely","2008","Rural Area","1579","0.236985786943232","0.226693237468641","0.247278336417824"
"Rarely","2008","Urban Area","3173","0.239051574637623","0.231669529682984","0.246433619592262"
"Sometimes","2008","Rural Area","2875","0.439384871498424","0.427371899752849","0.451397843243999"
"Sometimes","2008","Urban Area","5384","0.420094741664697","0.411551839829136","0.428637643500258"
"Very often","2008","Rural Area","303","0.0418316577116294","0.0369858191044928","0.046677496318766"
"Very often","2008","Urban Area","551","0.044923836249401","0.0413386585131164","0.0485090139856857"
"Very rare","2008","Rural Area","619","0.0951334723122052","0.0880319012840668","0.102235043340344"
"Very rare","2008","Urban Area","1348","0.10529937461351","0.0999868000778403","0.110611949149179"
"Often","2009","Rural Area","1128","0.179518333597753","0.169991391257326","0.18904527593818"
"Often","2009","Urban Area","2216","0.193666819088506","0.186543717770416","0.200789920406596"
"Rarely","2009","Rural Area","1571","0.247922228119962","0.237203239700332","0.258641216539591"
"Rarely","2009","Urban Area","3044","0.251039350826228","0.243223349076632","0.258855352575824"
"Sometimes","2009","Rural Area","2689","0.440139273942117","0.427816747608916","0.452461800275318"
"Sometimes","2009","Urban Area","4768","0.402804710745227","0.393963948660752","0.411645472829703"
"Very often","2009","Rural Area","231","0.0339462004091258","0.0294508770815695","0.038441523736682"
"Very often","2009","Urban Area","504","0.0437161955811369","0.0400306751196083","0.0474017160426654"
"Very rare","2009","Rural Area","615","0.0984739639310426","0.0910776635769983","0.105870264285087"
"Very rare","2009","Urban Area","1291","0.108772923758902","0.103160650176312","0.114385197341492"
"Often","2010","Rural Area","926","0.165678617495645","0.155991009935028","0.175366225056263"
"Often","2010","Urban Area","1878","0.169709059860276","0.16270532679121","0.176712792929342"
"Rarely","2010","Rural Area","1533","0.271145549564673","0.259562090593742","0.282729008535603"
