"plh0184","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","1-pers.-HH","no migration background","437","0.149159194492048","0.136073296601564","0.162245092382532"
"Very rare","2007","1-pers.-HH","direct migration background","33","0.137493335879037","0.0911377350244491","0.183848936733625"
"Very rare","2007","1-pers.-HH","indirect migration background","9","","",""
"Very rare","2007","(Married) couple without C. ","no migration background","790","0.119268478882667","0.111432668396167","0.127104289369166"
"Very rare","2007","(Married) couple without C. ","direct migration background","90","0.10899385465683","0.0853618145239271","0.132625894789734"
"Very rare","2007","(Married) couple without C. ","indirect migration background","9","","",""
"Very rare","2007","Single parent ","no migration background","76","0.0814794776122946","0.0636065627607183","0.099352392463871"
"Very rare","2007","Single parent ","direct migration background","10","","",""
"Very rare","2007","Single parent ","indirect migration background","3","","",""
"Very rare","2007","Couple + C. LE 16 ","no migration background","165","0.0497775922647284","0.0418932901013557","0.0576618944281012"
"Very rare","2007","Couple + C. LE 16 ","direct migration background","52","0.0986335155530014","0.0720698276292128","0.12519720347679"
"Very rare","2007","Couple + C. LE 16 ","indirect migration background","15","","",""
"Very rare","2007","Couple + C. GT 16 ","no migration background","234","0.0765408460748625","0.0670557016525283","0.0860259904971967"
"Very rare","2007","Couple + C. GT 16 ","direct migration background","38","0.143463075299232","0.106473303119123","0.180452847479341"
"Very rare","2007","Couple + C. GT 16 ","indirect migration background","18","","",""
"Very rare","2007","Couple + C. LE and GT 16","no migration background","64","0.0534992206528479","0.0397634517929077","0.0672349895127882"
"Very rare","2007","Couple + C. LE and GT 16","direct migration background","13","","",""
"Very rare","2007","Couple + C. LE and GT 16","indirect migration background","5","","",""
"Rarely","2007","1-pers.-HH","no migration background","711","0.240566311621362","0.224865695636422","0.256266927606303"
"Rarely","2007","1-pers.-HH","direct migration background","51","0.217746932308996","0.16219107923875","0.273302785379243"
"Rarely","2007","1-pers.-HH","indirect migration background","13","","",""
"Rarely","2007","(Married) couple without C. ","no migration background","1656","0.24146875003922","0.231121700713941","0.2518157993645"
"Rarely","2007","(Married) couple without C. ","direct migration background","179","0.281522515513411","0.247417126431674","0.315627904595148"
"Rarely","2007","(Married) couple without C. ","indirect migration background","26","","",""
"Rarely","2007","Single parent ","no migration background","172","0.182125429404166","0.156910631984211","0.207340226824122"
"Rarely","2007","Single parent ","direct migration background","23","","",""
"Rarely","2007","Single parent ","indirect migration background","16","","",""
"Rarely","2007","Couple + C. LE 16 ","no migration background","455","0.151887167970803","0.138875857418503","0.164898478523104"
"Rarely","2007","Couple + C. LE 16 ","direct migration background","106","0.192494391988321","0.157370128650065","0.227618655326578"
"Rarely","2007","Couple + C. LE 16 ","indirect migration background","34","0.189471925785107","0.132222873170481","0.246720978399733"
"Rarely","2007","Couple + C. GT 16 ","no migration background","606","0.203518334938873","0.189154244358284","0.217882425519461"
"Rarely","2007","Couple + C. GT 16 ","direct migration background","84","0.210133666249505","0.167144090017581","0.253123242481429"
"Rarely","2007","Couple + C. GT 16 ","indirect migration background","40","0.200229113525077","0.140425107681743","0.260033119368411"
