"plh0184","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","16-34 y.","Full Time","107","0.0444673606664424","0.0353486931486671","0.0535860281842178"
"Very rare","2007","16-34 y.","Part Time","94","0.0684741403502965","0.0553749413634475","0.0815733393371456"
"Very rare","2007","16-34 y.","Not Working","110","0.0833222530425086","0.0684693578245545","0.0981751482604628"
"Very rare","2007","35-65 y.","Full Time","404","0.0662341673347737","0.0598630022437768","0.0726053324257707"
"Very rare","2007","35-65 y.","Part Time","261","0.0859292904985276","0.0760187350748593","0.0958398459221959"
"Very rare","2007","35-65 y.","Not Working","266","0.0992588776610885","0.0876214192553399","0.110896336066837"
"Very rare","2007","66 and older","Full Time","7","","",""
"Very rare","2007","66 and older","Part Time","34","0.23199105032699","0.17595873089529","0.28802336975869"
"Very rare","2007","66 and older","Not Working","813","0.202839727664043","0.190552178170338","0.215127277157747"
"Rarely","2007","16-34 y.","Full Time","380","0.18761739655296","0.170346900920897","0.204887892185023"
"Rarely","2007","16-34 y.","Part Time","258","0.167890077974376","0.148504138477632","0.18727601747112"
"Rarely","2007","16-34 y.","Not Working","284","0.203805509121331","0.182156410724805","0.225454607517856"
"Rarely","2007","35-65 y.","Full Time","1155","0.196516999292294","0.186337011963836","0.206696986620753"
"Rarely","2007","35-65 y.","Part Time","581","0.178127804795458","0.164597565198377","0.191658044392538"
"Rarely","2007","35-65 y.","Not Working","579","0.210798497486596","0.194923956604621","0.226673038368571"
"Rarely","2007","66 and older","Full Time","18","","",""
"Rarely","2007","66 and older","Part Time","45","0.181366901091791","0.130217151668366","0.232516650515215"
"Rarely","2007","66 and older","Not Working","1225","0.289643937812903","0.275783204278783","0.303504671347023"
"Sometimes","2007","16-34 y.","Full Time","825","0.447251022932592","0.425255839598461","0.469246206266722"
"Sometimes","2007","16-34 y.","Part Time","614","0.429482498406098","0.403808636047181","0.455156360765015"
"Sometimes","2007","16-34 y.","Not Working","541","0.386111895453623","0.359946730898125","0.412277060009121"
"Sometimes","2007","35-65 y.","Full Time","2533","0.42142643680909","0.408776189678738","0.434076683939442"
"Sometimes","2007","35-65 y.","Part Time","1374","0.440975709533786","0.42341831134544","0.458533107722131"
"Sometimes","2007","35-65 y.","Not Working","1044","0.421676187882093","0.402456402129956","0.44089597363423"
"Sometimes","2007","66 and older","Full Time","16","","",""
"Sometimes","2007","66 and older","Part Time","104","0.429091996311199","0.363390067864477","0.49479392475792"
"Sometimes","2007","66 and older","Not Working","1502","0.377504409234653","0.362691338338105","0.392317480131201"
