"ple0012","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Urban Area","7149","0.966641764060775","0.962546816382727","0.970736711738823","2"
"No","2009","Employed","Rural Area","3713","0.964110548614918","0.958241637544143","0.969979459685692","2"
"No","2009","Not Employed","Rural Area","2038","0.86649003828329","0.852885286148938","0.880094790417642","2"
"No","2009","Not Employed","Urban Area","3912","0.867234758542468","0.857297465600507","0.87717205148443","2"
"Yes","2009","Not Employed","Urban Area","567","0.132765241457532","0.12282794851557","0.142702534399494","1"
"Yes","2009","Not Employed","Rural Area","363","0.133509961716709","0.119905209582357","0.147114713851062","1"
"Yes","2009","Employed","Urban Area","238","0.0333582359392251","0.0292632882611768","0.0374531836172735","1"
"Yes","2009","Employed","Rural Area","146","0.0358894513850824","0.0300205403143076","0.0417583624558571","1"
"No","2010","Not Employed","Rural Area","","","","","2"
"No","2010","Not Employed","Urban Area","","","","","2"
"No","2010","Employed","Urban Area","","","","","2"
"No","2010","Employed","Rural Area","","","","","2"
"Yes","2010","Not Employed","Urban Area","","","","","1"
"Yes","2010","Not Employed","Rural Area","","","","","1"
"Yes","2010","Employed","Urban Area","","","","","1"
"Yes","2010","Employed","Rural Area","","","","","1"
"No","2011","Not Employed","Rural Area","2373","0.841434000335786","0.827983455790441","0.854884544881131","2"
"No","2011","Employed","Rural Area","4246","0.959145475389904","0.953316938656473","0.964974012123334","2"
"No","2011","Not Employed","Urban Area","4609","0.857919022904865","0.848531104647318","0.867306941162412","2"
"No","2011","Employed","Urban Area","7959","0.957938359283841","0.953615549286455","0.962261169281227","2"
"Yes","2011","Not Employed","Rural Area","460","0.158565999664214","0.145115455118869","0.172016544209559","1"
"Yes","2011","Employed","Urban Area","324","0.0420616407161587","0.0377388307187726","0.0463844507135448","1"
"Yes","2011","Employed","Rural Area","185","0.0408545246100962","0.0350259878766657","0.0466830613435267","1"
"Yes","2011","Not Employed","Urban Area","704","0.142080977095135","0.132693058837588","0.151468895352683","1"
"No","2012","Not Employed","Rural Area","","","","","2"
"No","2012","Employed","Rural Area","","","","","2"
"No","2012","Not Employed","Urban Area","","","","","2"
"No","2012","Employed","Urban Area","","","","","2"
"Yes","2012","Not Employed","Rural Area","","","","","1"
"Yes","2012","Employed","Urban Area","","","","","1"
"Yes","2012","Employed","Rural Area","","","","","1"
"Yes","2012","Not Employed","Urban Area","","","","","1"
"No","2013","Not Employed","Rural Area","2167","0.827017882177089","0.812587213653545","0.841448550700633","2"
"No","2013","Employed","Rural Area","3843","0.951385852703305","0.944760009266738","0.958011696139873","2"
