"ple0012","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","West Germany","213","0.105642594251156","0.0927038081113466","0.118581380390965"
"Yes","2009","1-pers.-HH","East Germany","102","0.108048722524148","0.0857116362014332","0.130385808846863"
"Yes","2009","(Married) couple without C. ","West Germany","442","0.0883135804591476","0.0803410070315889","0.0962861538867062"
"Yes","2009","(Married) couple without C. ","East Germany","256","0.14827760495392","0.131928401779677","0.164626808128163"
"Yes","2009","Single parent ","West Germany","20","","",""
"Yes","2009","Single parent ","East Germany","8","","",""
"Yes","2009","Couple + C. LE 16 ","West Germany","46","0.0171041805783622","0.0117573692935852","0.0224509918631392"
"Yes","2009","Couple + C. LE 16 ","East Germany","10","","",""
"Yes","2009","Couple + C. GT 16 ","West Germany","115","0.0454026562127148","0.0369458311968984","0.0538594812285312"
"Yes","2009","Couple + C. GT 16 ","East Germany","43","0.0425394951172451","0.0288671830716168","0.0562118071628734"
"Yes","2009","Couple + C. LE and GT 16","West Germany","22","","",""
"Yes","2009","Couple + C. LE and GT 16","East Germany","3","","",""
"No","2009","1-pers.-HH","West Germany","1955","0.894357405748844","0.881418619609035","0.907296191888654"
"No","2009","1-pers.-HH","East Germany","640","0.891951277475852","0.869614191153137","0.914288363798567"
"No","2009","(Married) couple without C. ","West Germany","4424","0.911686419540852","0.903713846113294","0.919658992968411"
"No","2009","(Married) couple without C. ","East Germany","1559","0.85172239504608","0.835373191871837","0.868071598220323"
"No","2009","Single parent ","West Germany","708","0.978198117093071","0.967589889857882","0.988806344328259"
"No","2009","Single parent ","East Germany","260","0.981615009610247","0.965531419639485","0.997698599581008"
"No","2009","Couple + C. LE 16 ","West Germany","2213","0.982895819421638","0.977549008136861","0.988242630706415"
"No","2009","Couple + C. LE 16 ","East Germany","591","0.990848518329364","0.98323544182157","0.998461594837157"
"No","2009","Couple + C. GT 16 ","West Germany","2213","0.954597343787285","0.946140518771469","0.963054168803102"
"No","2009","Couple + C. GT 16 ","East Germany","794","0.957460504882755","0.943788192837127","0.971132816928383"
"No","2009","Couple + C. LE and GT 16","West Germany","937","0.974807891602064","0.964889744077406","0.984726039126722"
"No","2009","Couple + C. LE and GT 16","East Germany","219","0.9947504827844","0.985244689511496","1.0042562760573"
"Yes","2010","1-pers.-HH","West Germany","","","",""
"Yes","2010","1-pers.-HH","East Germany","","","",""
"Yes","2010","(Married) couple without C. ","West Germany","","","",""
"Yes","2010","(Married) couple without C. ","East Germany","","","",""
"Yes","2010","Single parent ","West Germany","","","",""
"Yes","2010","Single parent ","East Germany","","","",""
"Yes","2010","Couple + C. LE 16 ","West Germany","","","",""
"Yes","2010","Couple + C. LE 16 ","East Germany","","","",""
"Yes","2010","Couple + C. GT 16 ","West Germany","","","",""
"Yes","2010","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2010","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","2010","Couple + C. LE and GT 16","East Germany","","","",""
"No","2010","1-pers.-HH","West Germany","","","",""
"No","2010","1-pers.-HH","East Germany","","","",""
"No","2010","(Married) couple without C. ","West Germany","","","",""
"No","2010","(Married) couple without C. ","East Germany","","","",""
"No","2010","Single parent ","West Germany","","","",""
"No","2010","Single parent ","East Germany","","","",""
"No","2010","Couple + C. LE 16 ","West Germany","","","",""
"No","2010","Couple + C. LE 16 ","East Germany","","","",""
"No","2010","Couple + C. GT 16 ","West Germany","","","",""
"No","2010","Couple + C. GT 16 ","East Germany","","","",""
"No","2010","Couple + C. LE and GT 16","West Germany","","","",""
"No","2010","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","2011","1-pers.-HH","West Germany","252","0.0931691559886549","0.0821458879094623","0.104192424067848"
"Yes","2011","1-pers.-HH","East Germany","131","0.121997427420458","0.100650889635937","0.143343965204978"
"Yes","2011","(Married) couple without C. ","West Germany","628","0.100959463139546","0.0933791271044973","0.108539799174594"
"Yes","2011","(Married) couple without C. ","East Germany","316","0.152893434094598","0.137416202387324","0.168370665801872"
"Yes","2011","Single parent ","West Germany","36","0.0463528275576623","0.0325009566919536","0.0602046984233709"
"Yes","2011","Single parent ","East Germany","10","","",""
"Yes","2011","Couple + C. LE 16 ","West Germany","48","0.0200011126802101","0.0144573463253457","0.0255448790350744"
"Yes","2011","Couple + C. LE 16 ","East Germany","15","","",""
"Yes","2011","Couple + C. GT 16 ","West Germany","126","0.0517684392276278","0.043073038418324","0.0604638400369317"
"Yes","2011","Couple + C. GT 16 ","East Germany","41","0.0390113266445075","0.0247390623856881","0.0532835909033268"
"Yes","2011","Couple + C. LE and GT 16","West Germany","26","","",""
"Yes","2011","Couple + C. LE and GT 16","East Germany","6","","",""
"No","2011","1-pers.-HH","West Germany","2419","0.906830844011345","0.895807575932152","0.917854112090538"
"No","2011","1-pers.-HH","East Germany","772","0.878002572579543","0.856656034795022","0.899349110364063"
"No","2011","(Married) couple without C. ","West Germany","5440","0.899040536860454","0.891460200825406","0.906620872895503"
"No","2011","(Married) couple without C. ","East Germany","1761","0.847106565905402","0.831629334198128","0.862583797612676"
"No","2011","Single parent ","West Germany","849","0.953647172442338","0.939795301576629","0.967499043308046"
"No","2011","Single parent ","East Germany","279","0.947479169708905","0.921760423278601","0.97319791613921"
"No","2011","Couple + C. LE 16 ","West Germany","2402","0.97999888731979","0.974455120964926","0.985542653674654"
"No","2011","Couple + C. LE 16 ","East Germany","652","0.977845544843691","0.966675604806625","0.989015484880756"
"No","2011","Couple + C. GT 16 ","West Germany","2368","0.948231560772372","0.939536159963068","0.956926961581676"
"No","2011","Couple + C. GT 16 ","East Germany","666","0.960988673355493","0.946716409096673","0.975260937614312"
"No","2011","Couple + C. LE and GT 16","West Germany","1011","0.972861981564104","0.962972502955982","0.982751460172226"
"No","2011","Couple + C. LE and GT 16","East Germany","191","0.968875328792926","0.944625911183259","0.993124746402593"
"Yes","2012","1-pers.-HH","West Germany","","","",""
"Yes","2012","1-pers.-HH","East Germany","","","",""
"Yes","2012","(Married) couple without C. ","West Germany","","","",""
"Yes","2012","(Married) couple without C. ","East Germany","","","",""
"Yes","2012","Single parent ","West Germany","","","",""
"Yes","2012","Single parent ","East Germany","","","",""
"Yes","2012","Couple + C. LE 16 ","West Germany","","","",""
"Yes","2012","Couple + C. LE 16 ","East Germany","","","",""
"Yes","2012","Couple + C. GT 16 ","West Germany","","","",""
"Yes","2012","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2012","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","2012","Couple + C. LE and GT 16","East Germany","","","",""
"No","2012","1-pers.-HH","West Germany","","","",""
"No","2012","1-pers.-HH","East Germany","","","",""
