"ple0012","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","Urban Area","700","0.0761868520747208","0.070965678596392","0.0814080255530497"
"Yes","2009","no migration background","Rural Area","487","0.0754183601842684","0.0686370860469546","0.0821996343215821"
"Yes","2009","direct migration background","Urban Area","98","0.0655263017035123","0.0523312290393881","0.0787213743676365"
"Yes","2009","direct migration background","Rural Area","22","","",""
"Yes","2009","indirect migration background","Urban Area","7","","",""
"Yes","2009","indirect migration background","Rural Area","","","",""
"No","2009","no migration background","Urban Area","9218","0.923813147925279","0.91859197444695","0.929034321403608"
"No","2009","no migration background","Rural Area","5338","0.924581639815732","0.917800365678418","0.931362913953045"
"No","2009","direct migration background","Urban Area","1253","0.934473698296488","0.921278625632363","0.947668770960612"
"No","2009","direct migration background","Rural Area","295","0.922092485828284","0.892587502399136","0.951597469257432"
"No","2009","indirect migration background","Urban Area","590","0.979216593159627","0.967773098347113","0.99066008797214"
"No","2009","indirect migration background","Rural Area","118","1","1","1"
"Yes","2010","no migration background","Urban Area","","","",""
"Yes","2010","no migration background","Rural Area","","","",""
"Yes","2010","direct migration background","Urban Area","","","",""
"Yes","2010","direct migration background","Rural Area","","","",""
"Yes","2010","indirect migration background","Urban Area","","","",""
"Yes","2010","indirect migration background","Rural Area","","","",""
"No","2010","no migration background","Urban Area","","","",""
"No","2010","no migration background","Rural Area","","","",""
"No","2010","direct migration background","Urban Area","","","",""
"No","2010","direct migration background","Rural Area","","","",""
"No","2010","indirect migration background","Urban Area","","","",""
"No","2010","indirect migration background","Rural Area","","","",""
"Yes","2011","no migration background","Urban Area","893","0.0835694205990247","0.0784853416952292","0.0886534995028201"
"Yes","2011","no migration background","Rural Area","608","0.0875722080539373","0.0807828926259819","0.0943615234818927"
"Yes","2011","direct migration background","Urban Area","125","0.0846546471586294","0.0708100521623806","0.0984992421548783"
"Yes","2011","direct migration background","Rural Area","35","0.0897189661300298","0.0637998893633313","0.115638042896728"
"Yes","2011","indirect migration background","Urban Area","10","","",""
"Yes","2011","indirect migration background","Rural Area","2","","",""
"No","2011","no migration background","Urban Area","10489","0.916430579400975","0.91134650049718","0.921514658304771"
"No","2011","no migration background","Rural Area","6051","0.912427791946063","0.905638476518107","0.919217107374018"
"No","2011","direct migration background","Urban Area","1428","0.915345352841371","0.901500757845122","0.92918994783762"
"No","2011","direct migration background","Rural Area","432","0.91028103386997","0.884361957103272","0.936200110636669"
"No","2011","indirect migration background","Urban Area","651","0.970994217396647","0.958200463954091","0.983787970839203"
"No","2011","indirect migration background","Rural Area","136","0.995247682474489","0.983773365038317","1.00672199991066"
"Yes","2012","no migration background","Urban Area","","","",""
"Yes","2012","no migration background","Rural Area","","","",""
"Yes","2012","direct migration background","Urban Area","","","",""
"Yes","2012","direct migration background","Rural Area","","","",""
"Yes","2012","indirect migration background","Urban Area","","","",""
"Yes","2012","indirect migration background","Rural Area","","","",""
"No","2012","no migration background","Urban Area","","","",""
"No","2012","no migration background","Rural Area","","","",""
