"ple0012","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","East Germany","Male","1974","0.910251797776784","0.898297458573857","0.922206136979711","2"
"No","2009","East Germany","Female","2158","0.90857405662957","0.896963210943582","0.920184902315558","2"
"No","2009","West Germany","Female","6719","0.937810206069571","0.932198722765567","0.943421689373575","2"
"No","2009","West Germany","Male","5961","0.926390337839519","0.920016514865524","0.932764160813513","2"
"Yes","2009","West Germany","Male","487","0.0736096621604815","0.0672358391864874","0.0799834851344755","1"
"Yes","2009","West Germany","Female","396","0.062189793930429","0.0565783106264251","0.0678012772344329","1"
"Yes","2009","East Germany","Male","222","0.089748202223216","0.0777938630202892","0.101702541426143","1"
"Yes","2009","East Germany","Female","209","0.0914259433704298","0.079815097684442","0.103036789056418","1"
"No","2010","West Germany","Female","","","","","2"
"No","2010","West Germany","Male","","","","","2"
"No","2010","East Germany","Male","","","","","2"
"No","2010","East Germany","Female","","","","","2"
"Yes","2010","West Germany","Male","","","","","1"
"Yes","2010","West Germany","Female","","","","","1"
"Yes","2010","East Germany","Male","","","","","1"
"Yes","2010","East Germany","Female","","","","","1"
"No","2011","West Germany","Female","7929","0.929093135047024","0.92361437457231","0.934571895521738","2"
"No","2011","East Germany","Female","2333","0.890171737276639","0.878129916291389","0.90221355826189","2"
"No","2011","West Germany","Male","6860","0.91712273373038","0.910881998268244","0.923363469192516","2"
"No","2011","East Germany","Male","2065","0.891307275641297","0.878701527997903","0.903913023284691","2"
"Yes","2011","West Germany","Female","502","0.0709068649529759","0.0654281044782621","0.0763856254276897","1"
"Yes","2011","East Germany","Male","277","0.108692724358703","0.0960869767153091","0.121298472002097","1"
"Yes","2011","East Germany","Female","257","0.109828262723361","0.0977864417381101","0.121870083708611","1"
"Yes","2011","West Germany","Male","637","0.08287726626962","0.0766365308074837","0.0891180017317564","1"
"No","2012","West Germany","Female","","","","","2"
"No","2012","East Germany","Female","","","","","2"
"No","2012","West Germany","Male","","","","","2"
"No","2012","East Germany","Male","","","","","2"
"Yes","2012","West Germany","Female","","","","","1"
"Yes","2012","East Germany","Male","","","","","1"
"Yes","2012","East Germany","Female","","","","","1"
"Yes","2012","West Germany","Male","","","","","1"
"No","2013","West Germany","Female","7239","0.926415582165059","0.920595540293514","0.932235624036605","2"
"No","2013","East Germany","Female","2094","0.87428009669025","0.860921278604944","0.887638914775556","2"
"No","2013","West Germany","Male","6101","0.90510090821966","0.898113461237081","0.912088355202239","2"
"No","2013","East Germany","Male","1831","0.880084907573819","0.866243206393188","0.89392660875445","2"
"Yes","2013","West Germany","Female","492","0.0735844178349406","0.0677643759633954","0.0794044597064857","1"
"Yes","2013","West Germany","Male","657","0.0948990917803403","0.0879116447977614","0.101886538762919","1"
"Yes","2013","East Germany","Male","285","0.119915092426181","0.10607339124555","0.133756793606812","1"
"Yes","2013","East Germany","Female","272","0.12571990330975","0.112361085224444","0.139078721395056","1"
"No","2014","West Germany","Female","","","","","2"
"No","2014","East Germany","Female","","","","","2"
"No","2014","West Germany","Male","","","","","2"
"No","2014","East Germany","Male","","","","","2"
"Yes","2014","West Germany","Female","","","","","1"
"Yes","2014","East Germany","Female","","","","","1"
"Yes","2014","West Germany","Male","","","","","1"
"Yes","2014","East Germany","Male","","","","","1"
"No","2015","West Germany","Male","8388","0.908685398953952","0.902766999379658","0.914603798528246","2"
"No","2015","West Germany","Female","10206","0.934795817328929","0.930135076399593","0.939456558258265","2"
"No","2015","East Germany","Female","2597","0.88210356078566","0.870313532664978","0.893893588906341","2"
"No","2015","East Germany","Male","2134","0.887096777814424","0.874480000582902","0.899713555045946","2"
"Yes","2015","West Germany","Female","573","0.0652041826710713","0.0605434417417354","0.0698649236004071","1"
"Yes","2015","East Germany","Female","277","0.11789643921434","0.106106411093659","0.129686467335021","1"
"Yes","2015","West Germany","Male","712","0.0913146010460479","0.0853962014717536","0.0972330006203422","1"
"Yes","2015","East Germany","Male","283","0.112903222185576","0.100286444954054","0.125519999417098","1"
"No","2016","East Germany","Female","","","","","2"
"No","2016","West Germany","Male","","","","","2"
