"m11124","year","sex","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","Male","5344","0.861861051596533","0.853122335409128","0.870599767783939"
"Not disabled","1984","Female","5784","0.909731424304624","0.902604089105213","0.916858759504035"
"Disabled","1984","Male","645","0.138138948403467","0.129400232216061","0.146877664590872"
"Disabled","1984","Female","426","0.0902685756953758","0.0831412404959649","0.0973959108947867"
"Not disabled","1985","Male","4866","0.863780274860681","0.854661636168811","0.872898913552551"
"Not disabled","1985","Female","5245","0.914051003602201","0.906715819965669","0.921386187238734"
"Disabled","1985","Male","570","0.136219725139319","0.127101086447449","0.145338363831189"
"Disabled","1985","Female","364","0.0859489963977986","0.0786138127612661","0.093284180034331"
"Not disabled","1986","Male","5262","0.999643269045679","0.999133233335286","1.00015330475607"
"Not disabled","1986","Female","5373","0.999747683411736","0.999323165344936","1.00017220147854"
"Disabled","1986","Male","4","","",""
"Disabled","1986","Female","4","","",""
"Not disabled","1987","Male","4650","0.866631174289157","0.85738009454394","0.875882254034374"
"Not disabled","1987","Female","4919","0.909685409304594","0.901951855391982","0.917418963217207"
"Disabled","1987","Male","538","0.133368825710843","0.124117745965626","0.14261990545606"
"Disabled","1987","Female","358","0.0903145906954058","0.0825810367827932","0.0980481446080185"
"Not disabled","1988","Male","4366","0.855281364644126","0.845465665319579","0.865097063968673"
"Not disabled","1988","Female","4658","0.897908390703654","0.889552907088251","0.906263874319057"
"Disabled","1988","Male","569","0.144718635355874","0.134902936031327","0.154534334680421"
"Disabled","1988","Female","386","0.102091609296346","0.0937361256809427","0.110447092911749"
"Not disabled","1989","Male","4208","0.85085218758651","0.840734322146941","0.860970053026078"
"Not disabled","1989","Female","4512","0.891908371880879","0.883219073021491","0.900597670740268"
"Disabled","1989","Male","554","0.14914781241349","0.139029946973922","0.159265677853059"
"Disabled","1989","Female","393","0.108091628119121","0.0994023292597324","0.116780926978509"
"Not disabled","1990","Male","","","",""
"Not disabled","1990","Female","","","",""
"Disabled","1990","Male","","","",""
"Disabled","1990","Female","","","",""
"Not disabled","1991","Male","6069","0.878422804466078","0.870562453952059","0.886283154980096"
"Not disabled","1991","Female","6595","0.912750781952227","0.906133331794564","0.91936823210989"
"Disabled","1991","Male","571","0.121577195533922","0.113716845019904","0.129437546047941"
"Disabled","1991","Female","391","0.0872492180477732","0.0806317678901102","0.0938666682054362"
"Not disabled","1992","Male","5752","0.86213005923626","0.85371043654813","0.870549681924389"
"Not disabled","1992","Female","6340","0.896229068951523","0.889007190496285","0.903450947406762"
"Disabled","1992","Male","689","0.13786994076374","0.129450318075611","0.14628956345187"
"Disabled","1992","Female","510","0.103770931048477","0.0965490525932383","0.110992809503716"
"Not disabled","1993","Male","","","",""
"Not disabled","1993","Female","","","",""
"Disabled","1993","Male","","","",""
"Disabled","1993","Female","","","",""
"Not disabled","1994","Male","5569","0.867943706609312","0.8595281472402","0.876359265978425"
"Not disabled","1994","Female","6153","0.894384583963848","0.887006539878892","0.901762628048803"
"Disabled","1994","Male","648","0.132056293390688","0.123640734021576","0.1404718527598"
"Disabled","1994","Female","513","0.105615416036152","0.0982373719511967","0.112993460121108"
"Not disabled","1995","Male","5697","0.86345103474108","0.855020147684854","0.871881921797305"
"Not disabled","1995","Female","6317","0.884789693479007","0.877244834446276","0.892334552511738"
"Disabled","1995","Male","675","0.13654896525892","0.128118078202695","0.144979852315146"
"Disabled","1995","Female","562","0.115210306520993","0.107665447488262","0.122755165553724"
"Not disabled","1996","Male","5618","0.856352777721746","0.84768933111951","0.865016224323982"
"Not disabled","1996","Female","6210","0.887200735997337","0.879670695293916","0.894730776700758"
"Disabled","1996","Male","678","0.143647222278254","0.134983775676018","0.15231066888049"
"Disabled","1996","Female","570","0.112799264002663","0.105269223299242","0.120329304706084"
"Not disabled","1997","Male","5547","0.858897109102694","0.850237251253024","0.867556966952364"
"Not disabled","1997","Female","6078","0.888023001113078","0.880440546866815","0.895605455359342"
