"m11124","year","sex","n","percent","lower_confidence","upper_confidence"
"Disabled","1997","Male","661","0.141102890897306","0.132443033047636","0.149762748746976"
"Disabled","1997","Female","566","0.111976998886922","0.104394544640658","0.119559453133185"
"Not disabled","1998","Male","6124","0.862146620956787","0.854008732653356","0.870284509260218"
"Not disabled","1998","Female","6722","0.884206686267528","0.876908400142174","0.891504972392882"
"Disabled","1998","Male","770","0.137853379043213","0.129715490739782","0.145991267346644"
"Disabled","1998","Female","662","0.115793313732472","0.108495027607118","0.123091599857826"
"Not disabled","1999","Male","5897","0.858886363815007","0.850508897260421","0.867263830369593"
"Not disabled","1999","Female","6437","0.876755059265523","0.869113216952336","0.884396901578711"
"Disabled","1999","Male","737","0.141113636184993","0.132736169630407","0.149491102739579"
"Disabled","1999","Female","671","0.123244940734477","0.11560309842129","0.130886783047664"
"Not disabled","2000","Male","10287","0.869712039816466","0.863593147431229","0.875830932201703"
"Not disabled","2000","Female","11477","0.897878347918931","0.892587519737591","0.90316917610027"
"Disabled","2000","Male","1339","0.130287960183534","0.124169067798297","0.136406852568771"
"Disabled","2000","Female","1106","0.102121652081069","0.0968308238997303","0.107412480262408"
"Not disabled","2001","Male","9365","0.871242482984973","0.864853471794449","0.877631494175498"
"Not disabled","2001","Female","10416","0.894996840874368","0.889380271851529","0.900613409897207"
"Disabled","2001","Male","1192","0.128757517015027","0.122368505824502","0.135146528205551"
"Disabled","2001","Female","1028","0.105003159125632","0.0993865901027927","0.110619728148471"
"Not disabled","2002","Male","9874","0.86255030417896","0.856160935535247","0.868939672822673"
"Not disabled","2002","Female","10845","0.885462201263736","0.879752843889654","0.891171558637817"
"Disabled","2002","Male","1282","0.13744969582104","0.131060327177327","0.143839064464753"
"Disabled","2002","Female","1107","0.114537798736264","0.108828441362183","0.120247156110345"
"Not disabled","2003","Male","9454","0.864217028523258","0.857730589586916","0.870703467459601"
"Not disabled","2003","Female","10457","0.886470394968454","0.880682601143597","0.892258188793312"
"Disabled","2003","Male","1260","0.135782971476742","0.129296532540399","0.142269410413084"
"Disabled","2003","Female","1084","0.113529605031546","0.107741811206688","0.119317398856403"
"Not disabled","2004","Male","9157","0.861079319857571","0.854435029289473","0.86772361042567"
"Not disabled","2004","Female","10169","0.879074226888936","0.873058757525018","0.885089696252853"
"Disabled","2004","Male","1252","0.138920680142429","0.13227638957433","0.145564970710527"
"Disabled","2004","Female","1116","0.120925773111064","0.114910303747147","0.126941242474982"
"Not disabled","2005","Male","8685","0.861322845532207","0.854524509131379","0.868121181933036"
"Not disabled","2005","Female","9768","0.884822008322873","0.878814062607504","0.890829954038241"
"Disabled","2005","Male","1243","0.138677154467793","0.131878818066964","0.145475490868621"
"Disabled","2005","Female","1078","0.115177991677127","0.109170045961759","0.121185937392496"
"Not disabled","2006","Male","9133","0.858413701151698","0.851744490618614","0.865082911684781"
"Not disabled","2006","Female","10337","0.879083397378653","0.873133924700162","0.885032870057144"
"Disabled","2006","Male","1364","0.141586298848302","0.134917088315219","0.148255509381386"
"Disabled","2006","Female","1199","0.120916602621347","0.114967129942856","0.126866075299838"
"Not disabled","2007","Male","8526","0.858233817862049","0.851327151025541","0.865140484698557"
"Not disabled","2007","Female","9635","0.880136421583232","0.87400675998231","0.886266083184154"
"Disabled","2007","Male","1272","0.141766182137951","0.134859515301443","0.148672848974459"
"Disabled","2007","Female","1151","0.119863578416768","0.113733916815846","0.12599324001769"
"Not disabled","2008","Male","8030","0.861867702138369","0.854831301804982","0.868904102471756"
"Not disabled","2008","Female","9084","0.879572323163234","0.873242585998396","0.885902060328071"
"Disabled","2008","Male","1207","0.138132297861631","0.131095897528244","0.145168698195018"
"Disabled","2008","Female","1072","0.120427676836766","0.114097939671929","0.126757414001604"
"Not disabled","2009","Male","7477","0.863803538263899","0.856564445880923","0.871042630646875"
"Not disabled","2009","Female","8444","0.878697406004803","0.872119489035978","0.885275322973628"
"Disabled","2009","Male","1147","0.136196461736101","0.128957369353125","0.143435554119077"
"Disabled","2009","Female","1019","0.121302593995197","0.114724677026372","0.127880510964022"
"Not disabled","2010","Male","9742","0.863744914719984","0.857312019466128","0.87017780997384"
"Not disabled","2010","Female","12000","0.87994326971697","0.87437229448461","0.885514244949329"
"Disabled","2010","Male","1183","0.136255085280016","0.12982219002616","0.142687980533872"
"Disabled","2010","Female","1076","0.12005673028303","0.114485755050671","0.12562770551539"
"Not disabled","2011","Male","11403","0.869797096631268","0.863987792707405","0.875606400555131"
"Not disabled","2011","Female","14143","0.876979963418827","0.871819885140163","0.882140041697491"
"Disabled","2011","Male","1488","0.130202903368732","0.124393599444869","0.136012207292595"
"Disabled","2011","Female","1422","0.123020036581173","0.117859958302509","0.128180114859837"
"Not disabled","2012","Male","11033","0.861515735514103","0.855480109366568","0.867551361661638"
"Not disabled","2012","Female","13632","0.87619323578273","0.870942722227739","0.88144374933772"
"Disabled","2012","Male","1548","0.138484264485897","0.132448638338362","0.144519890633432"
"Disabled","2012","Female","1484","0.12380676421727","0.11855625066228","0.129057277772261"
"Not disabled","2013","Male","12432","0.861810198429115","0.856099029780519","0.86752136707771"
"Not disabled","2013","Female","15206","0.87467429593445","0.869650994912619","0.87969759695628"
"Disabled","2013","Male","1594","0.138189801570885","0.13247863292229","0.143900970219481"
"Disabled","2013","Female","1482","0.12532570406555","0.12030240304372","0.130349005087381"
"Not disabled","2014","Male","10950","0.857080734227447","0.850937620814575","0.86322384764032"
"Not disabled","2014","Female","13223","0.866949111202251","0.861457889367958","0.872440333036545"
"Disabled","2014","Male","1519","0.142919265772553","0.13677615235968","0.149062379185425"
"Disabled","2014","Female","1472","0.133050888797749","0.127559666963455","0.138542110632042"
"Not disabled","2015","Male","10995","0.860973429946532","0.854876805175719","0.867070054717344"
"Not disabled","2015","Female","13136","0.872411449291474","0.866986859903563","0.877836038679384"
"Disabled","2015","Male","1376","0.139026570053468","0.132929945282656","0.145123194824281"
"Disabled","2015","Female","1395","0.127588550708526","0.122163961320616","0.133013140096437"
"Not disabled","2016","Male","9856","0.858104375613623","0.851632147147737","0.86457660407951"
"Not disabled","2016","Female","11904","0.875346474936299","0.869712632194215","0.880980317678384"
"Disabled","2016","Male","1310","0.141895624386377","0.13542339592049","0.148367852852263"
"Disabled","2016","Female","1302","0.124653525063701","0.119019682321616","0.130287367805785"
"Not disabled","2017","Male","10879","0.863415836736557","0.857350693507222","0.869480979965892"
"Not disabled","2017","Female","12915","0.874641256824651","0.869223563286437","0.880058950362865"
"Disabled","2017","Male","1436","0.136584163263443","0.130519020034108","0.142649306492778"
"Disabled","2017","Female","1435","0.125358743175349","0.119941049637135","0.130776436713563"
"Not disabled","2018","Male","10396","0.860379356783516","0.854140326122232","0.8666183874448"
"Not disabled","2018","Female","12396","0.876427141289331","0.870951889377932","0.881902393200729"
"Disabled","2018","Male","1459","0.139620643216484","0.1333816125552","0.145859673877768"
"Disabled","2018","Female","1482","0.123572858710669","0.118097606799271","0.129048110622068"
"Not disabled","2019","Male","10887","0.864737795911578","0.858702355522487","0.870773236300669"
"Not disabled","2019","Female","12086","0.87688189158514","0.871335191767323","0.882428591402958"
"Disabled","2019","Male","1448","0.135262204088422","0.129226763699331","0.141297644477513"
"Disabled","2019","Female","1394","0.12311810841486","0.117571408597042","0.128664808232677"
