"m11124","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1985","Urban Area","Female","305","0.0932604355369718","0.0847193760602065","0.101801495013737","1"
"Disabled","1985","Rural Area","Female","59","0.0619336001538284","0.0480389016637396","0.0758282986439172","1"
"Disabled","1985","Urban Area","Male","460","0.140683256658268","0.130315040063542","0.151051473252994","1"
"Disabled","1985","Rural Area","Male","110","0.121820980696037","0.102631263787533","0.141010697604541","1"
"Not disabled","1985","Urban Area","Male","3860","0.859316743341732","0.848948526747006","0.869684959936458","0"
"Not disabled","1985","Urban Area","Female","4148","0.906739564463028","0.898198504986263","0.915280623939793","0"
"Not disabled","1985","Rural Area","Male","1006","0.878179019303963","0.858989302395459","0.897368736212467","0"
"Not disabled","1985","Rural Area","Female","1097","0.938066399846172","0.924171701356083","0.95196109833626","0"
"Disabled","1986","Urban Area","Female","2","","","","1"
"Disabled","1986","Rural Area","Female","2","","","","1"
"Disabled","1986","Urban Area","Male","3","","","","1"
"Disabled","1986","Rural Area","Male","1","","","","1"
"Not disabled","1986","Urban Area","Male","4193","0.999688202927407","0.999154009363161","1.00022239649165","0"
"Not disabled","1986","Urban Area","Female","4260","0.999829180738482","0.999436831610022","1.00022152986694","0"
"Not disabled","1986","Rural Area","Male","1069","0.999495501750892","0.998150024200683","1.0008409793011","0"
"Not disabled","1986","Rural Area","Female","1113","0.999479342327282","0.99814036351493","1.00081832113963","0"
"Disabled","1987","Urban Area","Female","296","0.0979506704959035","0.0889287516928014","0.106972589299006","1"
"Disabled","1987","Rural Area","Female","62","0.0648266917449122","0.0503223754615147","0.0793310080283097","1"
"Disabled","1987","Urban Area","Male","434","0.13526500369604","0.124852085424162","0.145677921967918","1"
"Disabled","1987","Rural Area","Male","104","0.126992275734392","0.106794872420924","0.14718967904786","1"
"Not disabled","1987","Urban Area","Female","3874","0.902049329504096","0.893027410700994","0.911071248307199","0"
"Not disabled","1987","Rural Area","Male","940","0.873007724265608","0.85281032095214","0.893205127579076","0"
"Not disabled","1987","Rural Area","Female","1045","0.935173308255088","0.92066899197169","0.949677624538485","0"
"Not disabled","1987","Urban Area","Male","3710","0.86473499630396","0.854322078032082","0.875147914575838","0"
"Disabled","1988","Urban Area","Female","324","0.111308539680267","0.101577634132434","0.121039445228099","1"
"Disabled","1988","Rural Area","Female","62","0.0705745617748287","0.0549412808933997","0.0862078426562577","1"
"Disabled","1988","Urban Area","Male","460","0.14781962659928","0.136749914180053","0.158889339018506","1"
"Disabled","1988","Rural Area","Male","109","0.134200051240669","0.112923817527838","0.155476284953501","1"
"Not disabled","1988","Urban Area","Female","3689","0.888691460319734","0.878960554771901","0.898422365867566","0"
"Not disabled","1988","Rural Area","Male","877","0.865799948759331","0.844523715046499","0.887076182472162","0"
"Not disabled","1988","Rural Area","Female","969","0.929425438225171","0.913792157343742","0.9450587191066","0"
"Not disabled","1988","Urban Area","Male","3489","0.85218037340072","0.841110660981494","0.863250085819947","0"
"Disabled","1989","Urban Area","Male","444","0.150430478909026","0.139086427117268","0.161774530700783","1"
"Disabled","1989","Urban Area","Female","323","0.11311347659069","0.103222337617531","0.12300461556385","1"
"Disabled","1989","Rural Area","Female","70","0.0901753266419542","0.0721126442718866","0.108238009012022","1"
"Disabled","1989","Rural Area","Male","110","0.144752348540012","0.122342864571208","0.167161832508817","1"
"Not disabled","1989","Urban Area","Female","3616","0.88688652340931","0.87699538443615","0.896777662382469","0"
"Not disabled","1989","Urban Area","Male","3371","0.849569521090974","0.838225469299217","0.860913572882732","0"
"Not disabled","1989","Rural Area","Male","837","0.855247651459988","0.832838167491183","0.877657135428792","0"
"Not disabled","1989","Rural Area","Female","896","0.909824673358046","0.891761990987978","0.927887355728113","0"
"Disabled","1990","Rural Area","Female","","","","","1"
"Disabled","1990","Urban Area","Male","","","","","1"
"Disabled","1990","Urban Area","Female","","","","","1"
"Disabled","1990","Rural Area","Male","","","","","1"
"Not disabled","1990","Urban Area","Female","","","","","0"
"Not disabled","1990","Rural Area","Female","","","","","0"
"Not disabled","1990","Urban Area","Male","","","","","0"
"Not disabled","1990","Rural Area","Male","","","","","0"
"Disabled","1991","Rural Area","Female","63","0.04474190314583","0.0364553123477841","0.053028493943876","1"
"Disabled","1991","Urban Area","Male","453","0.135589071262995","0.125417779430399","0.145760363095591","1"
"Disabled","1991","Urban Area","Female","328","0.106869594195912","0.0978887348884936","0.115850453503331","1"
"Disabled","1991","Rural Area","Male","118","0.0926192808843106","0.0806327907979096","0.104605770970712","1"
"Not disabled","1991","Urban Area","Female","4218","0.893130405804088","0.884149546496669","0.902111265111506","0"
"Not disabled","1991","Rural Area","Female","2328","0.95525809685417","0.946971506056124","0.963544687652216","0"
"Not disabled","1991","Urban Area","Male","3899","0.864410928737005","0.854239636904409","0.874582220569601","0"
"Not disabled","1991","Rural Area","Male","2129","0.907380719115689","0.895394229029288","0.91936720920209","0"
"Disabled","1992","Urban Area","Male","492","0.146292163166459","0.135692322956246","0.156892003376671","1"
