"m11124","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","16-34 y.","4523","0.978626136436461","0.974448502762388","0.982803770110534"
"Not disabled","1984","35-65 y.","5601","0.858735378458392","0.850148487761553","0.867322269155231"
"Not disabled","1984","66 and older","1004","0.794614904875182","0.772440303884651","0.816789505865712"
"Disabled","1984","16-34 y.","81","0.0213738635635388","0.0171962298894661","0.0255514972376115"
"Disabled","1984","35-65 y.","719","0.141264621541608","0.132677730844769","0.149851512238447"
"Disabled","1984","66 and older","271","0.205385095124818","0.183210494134288","0.227559696115349"
"Not disabled","1985","16-34 y.","4105","0.979340534884422","0.975027943536989","0.983653126231855"
"Not disabled","1985","35-65 y.","5119","0.859132080492133","0.850140207023113","0.868123953961152"
"Not disabled","1985","66 and older","887","0.807995321410945","0.78488657842536","0.831104064396529"
"Disabled","1985","16-34 y.","74","0.0206594651155782","0.0163468737681455","0.0249720564630109"
"Disabled","1985","35-65 y.","631","0.140867919507867","0.131876046038848","0.149859792976887"
"Disabled","1985","66 and older","229","0.192004678589055","0.168895935603471","0.21511342157464"
"Not disabled","1986","16-34 y.","4094","0.999536080621274","0.998876781330033","1.00019537991252"
"Not disabled","1986","35-65 y.","5496","0.999831578512815","0.999488567631878","1.00017458939375"
"Not disabled","1986","66 and older","1045","0.999638690138983","0.998487528825899","1.00078985145207"
"Disabled","1986","16-34 y.","4","","",""
"Disabled","1986","35-65 y.","2","","",""
"Disabled","1986","66 and older","2","","",""
"Not disabled","1987","16-34 y.","3955","0.980082945675097","0.975769884064052","0.984396007286143"
"Not disabled","1987","35-65 y.","4777","0.866207190758965","0.857090125036264","0.875324256481667"
"Not disabled","1987","66 and older","837","0.786466235998683","0.762003105637488","0.810929366359877"
"Disabled","1987","16-34 y.","76","0.0199170543249026","0.0156039927138567","0.0242301159359485"
"Disabled","1987","35-65 y.","579","0.133792809241034","0.124675743518333","0.142909874963736"
"Disabled","1987","66 and older","241","0.213533764001317","0.189070633640123","0.237996894362512"
"Not disabled","1988","16-34 y.","3764","0.978621534975609","0.974050835767611","0.983192234183607"
"Not disabled","1988","35-65 y.","4492","0.860364427336623","0.850837740911115","0.86989111376213"
"Not disabled","1988","66 and older","768","0.742891830519526","0.716419298662747","0.769364362376304"
"Disabled","1988","16-34 y.","83","0.0213784650243909","0.0168077658163928","0.0259491642323889"
"Disabled","1988","35-65 y.","593","0.139635572663377","0.13010888623787","0.149162259088885"
"Disabled","1988","66 and older","279","0.257108169480474","0.230635637623696","0.283580701337252"
"Not disabled","1989","16-34 y.","3688","0.979275305712912","0.974722960757699","0.983827650668125"
"Not disabled","1989","35-65 y.","4309","0.858555299717584","0.848782078257348","0.868328521177821"
"Not disabled","1989","66 and older","723","0.715903738318686","0.688240991964977","0.743566484672396"
"Disabled","1989","16-34 y.","74","0.0207246942870877","0.0161723493318748","0.0252770392423006"
"Disabled","1989","35-65 y.","575","0.141444700282416","0.131671478822179","0.151217921742652"
"Disabled","1989","66 and older","298","0.284096261681314","0.256433515327604","0.311759008035023"
"Not disabled","1990","16-34 y.","","","",""
"Not disabled","1990","35-65 y.","","","",""
"Not disabled","1990","66 and older","","","",""
"Disabled","1990","16-34 y.","","","",""
"Disabled","1990","35-65 y.","","","",""
"Disabled","1990","66 and older","","","",""
"Not disabled","1991","16-34 y.","5081","0.981930196133372","0.978296789074267","0.985563603192478"
"Not disabled","1991","35-65 y.","6429","0.891472859331614","0.884181092941885","0.898764625721342"
"Not disabled","1991","66 and older","1154","0.757398816813794","0.735508326657832","0.779289306969755"
"Disabled","1991","16-34 y.","82","0.0180698038666277","0.0144363968075223","0.021703210925733"
"Disabled","1991","35-65 y.","561","0.108527140668386","0.101235374278658","0.115818907058115"
"Disabled","1991","66 and older","319","0.242601183186206","0.220710693030245","0.264491673342167"
