"m11124","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1985","Hamburg","Urban Area","18","","","","1"
"Disabled","1985","Schleswig-Holstein","Urban Area","14","","","","1"
"Disabled","1985","Hamburg","Rural Area","1","","","","1"
"Disabled","1985","Schleswig-Holstein","Rural Area","12","","","","1"
"Disabled","1985","Lower Saxony","Urban Area","58","0.112402337719371","0.0866744248744723","0.138130250564271","1"
"Disabled","1985","Lower Saxony","Rural Area","40","0.0892838935619931","0.0648219528794857","0.1137458342445","1"
"Disabled","1985","Bremen","Urban Area","17","","","","1"
"Disabled","1985","Bremen","Rural Area","","","","","1"
"Disabled","1985","North Rhine-Westphalia","Urban Area","289","0.134258538442075","0.121835182161368","0.146681894722781","1"
"Disabled","1985","Baden-Württemberg","Urban Area","109","0.082817341354616","0.0699340385239655","0.0957006441852665","1"
"Disabled","1985","North Rhine-Westphalia","Rural Area","6","","","","1"
"Disabled","1985","Baden-Württemberg","Rural Area","17","","","","1"
"Disabled","1985","Bavaria","Urban Area","87","0.114131461592597","0.09454097770514","0.133721945480054","1"
"Disabled","1985","Bavaria","Rural Area","67","0.0942837503088582","0.0751389395558893","0.113428561061827","1"
"Disabled","1985","Hesse","Urban Area","72","0.103803538077156","0.0846782273473037","0.122928848807009","1"
"Disabled","1985","Rhineland-Palatinate,Saarland","Urban Area","56","0.111514205562951","0.0869739040980439","0.136054507027858","1"
"Disabled","1985","Hesse","Rural Area","16","","","","1"
"Disabled","1985","Rhineland-Palatinate,Saarland","Rural Area","10","","","","1"
"Disabled","1985","Berlin","Urban Area","45","0.160043622347069","0.122429649129685","0.197657595564453","1"
"Disabled","1985","Berlin","Rural Area","","","","","1"
"Disabled","1985","Brandenburg","Urban Area","","","","","1"
"Disabled","1985","Saxony","Urban Area","","","","","1"
"Disabled","1985","Brandenburg","Rural Area","","","","","1"
"Disabled","1985","Saxony","Rural Area","","","","","1"
"Disabled","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
