"m11124","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","16-34 y.","West Germany","4523","0.978626136436461","0.974448502762388","0.982803770110534"
"Not disabled","1984","16-34 y.","East Germany","","","",""
"Not disabled","1984","35-65 y.","West Germany","5601","0.858735378458392","0.850148487761553","0.867322269155231"
"Not disabled","1984","35-65 y.","East Germany","","","",""
"Not disabled","1984","66 and older","West Germany","1004","0.794614904875182","0.772440303884651","0.816789505865712"
"Not disabled","1984","66 and older","East Germany","","","",""
"Disabled","1984","16-34 y.","West Germany","81","0.0213738635635388","0.0171962298894661","0.0255514972376115"
"Disabled","1984","16-34 y.","East Germany","","","",""
"Disabled","1984","35-65 y.","West Germany","719","0.141264621541608","0.132677730844769","0.149851512238447"
"Disabled","1984","35-65 y.","East Germany","","","",""
"Disabled","1984","66 and older","West Germany","271","0.205385095124818","0.183210494134288","0.227559696115349"
"Disabled","1984","66 and older","East Germany","","","",""
"Not disabled","1985","16-34 y.","West Germany","4105","0.979340534884422","0.975027943536989","0.983653126231855"
"Not disabled","1985","16-34 y.","East Germany","","","",""
"Not disabled","1985","35-65 y.","West Germany","5119","0.859132080492133","0.850140207023113","0.868123953961152"
"Not disabled","1985","35-65 y.","East Germany","","","",""
"Not disabled","1985","66 and older","West Germany","887","0.807995321410945","0.78488657842536","0.831104064396529"
"Not disabled","1985","66 and older","East Germany","","","",""
"Disabled","1985","16-34 y.","West Germany","74","0.0206594651155782","0.0163468737681455","0.0249720564630109"
"Disabled","1985","16-34 y.","East Germany","","","",""
"Disabled","1985","35-65 y.","West Germany","631","0.140867919507867","0.131876046038848","0.149859792976887"
"Disabled","1985","35-65 y.","East Germany","","","",""
"Disabled","1985","66 and older","West Germany","229","0.192004678589055","0.168895935603471","0.21511342157464"
"Disabled","1985","66 and older","East Germany","","","",""
"Not disabled","1986","16-34 y.","West Germany","4094","0.999536080621274","0.998876781330033","1.00019537991252"
"Not disabled","1986","16-34 y.","East Germany","","","",""
"Not disabled","1986","35-65 y.","West Germany","5496","0.999831578512815","0.999488567631878","1.00017458939375"
"Not disabled","1986","35-65 y.","East Germany","","","",""
