"m11124","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Schleswig-Holstein","East Germany","","","","","1"
"Disabled","1984","Hamburg","East Germany","","","","","1"
"Disabled","1984","Schleswig-Holstein","West Germany","22","","","","1"
"Disabled","1984","Hamburg","West Germany","24","","","","1"
"Disabled","1984","Lower Saxony","West Germany","113","0.105921856426691","0.0887518268909327","0.123091885962448","1"
"Disabled","1984","Lower Saxony","East Germany","","","","","1"
"Disabled","1984","Bremen","West Germany","18","","","","1"
"Disabled","1984","Bremen","East Germany","","","","","1"
"Disabled","1984","North Rhine-Westphalia","West Germany","339","0.141269738719724","0.129308059091094","0.153231418348355","1"
"Disabled","1984","Baden-Württemberg","West Germany","148","0.084036981371065","0.0726237307410016","0.0954502320011284","1"
"Disabled","1984","Baden-Württemberg","East Germany","","","","","1"
"Disabled","1984","North Rhine-Westphalia","East Germany","","","","","1"
"Disabled","1984","Bavaria","West Germany","177","0.105256290131793","0.0921371584418235","0.118375421821762","1"
"Disabled","1984","Hesse","West Germany","101","0.108368641033906","0.0911158506785503","0.125621431389261","1"
"Disabled","1984","Bavaria","East Germany","","","","","1"
"Disabled","1984","Hesse","East Germany","","","","","1"
"Disabled","1984","Rhineland-Palatinate,Saarland","West Germany","75","0.100351982596905","0.0801644796489267","0.120539485544883","1"
"Disabled","1984","Berlin","West Germany","54","0.169573779959814","0.133294633801265","0.205852926118363","1"
"Disabled","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Disabled","1984","Berlin","East Germany","","","","","1"
"Disabled","1984","Brandenburg","West Germany","","","","","1"
"Disabled","1984","Brandenburg","East Germany","","","","","1"
"Disabled","1984","Saxony","West Germany","","","","","1"
"Disabled","1984","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Disabled","1984","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Disabled","1984","Saxony","East Germany","","","","","1"
"Disabled","1984","Saxony-Anhalt","West Germany","","","","","1"
"Disabled","1984","Saxony-Anhalt","East Germany","","","","","1"
"Disabled","1984","Thuringia","West Germany","","","","","1"
"Disabled","1984","Thuringia","East Germany","","","","","1"
"Not disabled","1984","Schleswig-Holstein","West Germany","363","0.935214625708725","0.910627268123776","0.959801983293674","0"
"Not disabled","1984","Schleswig-Holstein","East Germany","","","","","0"
"Not disabled","1984","Hamburg","West Germany","286","0.908322848745924","0.876199714074215","0.940445983417632","0"
"Not disabled","1984","Hamburg","East Germany","","","","","0"
"Not disabled","1984","Lower Saxony","West Germany","1121","0.89407814357331","0.876908114037552","0.911248173109067","0"
"Not disabled","1984","Lower Saxony","East Germany","","","","","0"
"Not disabled","1984","Bremen","West Germany","114","0.82930090833876","0.765116018373893","0.893485798303627","0"
"Not disabled","1984","Bremen","East Germany","","","","","0"
"Not disabled","1984","North Rhine-Westphalia","West Germany","2918","0.858730261280276","0.846768581651645","0.870691940908906","0"
"Not disabled","1984","North Rhine-Westphalia","East Germany","","","","","0"
"Not disabled","1984","Hesse","West Germany","1146","0.891631358966095","0.874378568610739","0.90888414932145","0"
"Not disabled","1984","Hesse","East Germany","","","","","0"
"Not disabled","1984","Rhineland-Palatinate,Saarland","West Germany","776","0.899648017403095","0.879460514455117","0.919835520351073","0"
"Not disabled","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Not disabled","1984","Baden-Württemberg","West Germany","2122","0.915963018628935","0.904549767998872","0.927376269258998","0"
"Not disabled","1984","Baden-Württemberg","East Germany","","","","","0"
"Not disabled","1984","Bavaria","West Germany","1925","0.894743709868207","0.881624578178238","0.907862841558177","0"
"Not disabled","1984","Bavaria","East Germany","","","","","0"
"Not disabled","1984","Berlin","West Germany","357","0.830426220040186","0.794147073881637","0.866705366198735","0"
"Not disabled","1984","Berlin","East Germany","","","","","0"
"Not disabled","1984","Brandenburg","West Germany","","","","","0"
"Not disabled","1984","Brandenburg","East Germany","","","","","0"
"Not disabled","1984","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Not disabled","1984","Mecklenburg-Western Pomerania","East Germany","","","","","0"
"Not disabled","1984","Saxony","West Germany","","","","","0"
"Not disabled","1984","Saxony","East Germany","","","","","0"
"Not disabled","1984","Saxony-Anhalt","West Germany","","","","","0"
"Not disabled","1984","Saxony-Anhalt","East Germany","","","","","0"
"Not disabled","1984","Thuringia","West Germany","","","","","0"
"Not disabled","1984","Thuringia","East Germany","","","","","0"
"Disabled","1985","Schleswig-Holstein","East Germany","","","","","1"
"Disabled","1985","Hamburg","West Germany","19","","","","1"
"Disabled","1985","Hamburg","East Germany","","","","","1"
"Disabled","1985","Schleswig-Holstein","West Germany","26","","","","1"
"Disabled","1985","Lower Saxony","West Germany","98","0.100896488824261","0.0831056139619039","0.118687363686618","1"
"Disabled","1985","Lower Saxony","East Germany","","","","","1"
"Disabled","1985","Bremen","West Germany","17","","","","1"
"Disabled","1985","Bremen","East Germany","","","","","1"
"Disabled","1985","North Rhine-Westphalia","West Germany","295","0.132785831710342","0.120573416286564","0.144998247134121","1"
"Disabled","1985","Baden-Württemberg","West Germany","126","0.0819864695514808","0.070127903696308","0.0938450354066536","1"
"Disabled","1985","North Rhine-Westphalia","East Germany","","","","","1"
"Disabled","1985","Baden-Württemberg","East Germany","","","","","1"
"Disabled","1985","Bavaria","West Germany","154","0.104257402530185","0.0905417078544752","0.117973097205894","1"
"Disabled","1985","Bavaria","East Germany","","","","","1"
"Disabled","1985","Hesse","East Germany","","","","","1"
"Disabled","1985","Hesse","West Germany","88","0.10711478631501","0.0890912785927052","0.125138294037315","1"
"Disabled","1985","Rhineland-Palatinate,Saarland","West Germany","66","0.104374281352959","0.0828067981691159","0.125941764536801","1"
"Disabled","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Disabled","1985","Berlin","West Germany","45","0.160043622347069","0.122429649129685","0.197657595564453","1"
"Disabled","1985","Berlin","East Germany","","","","","1"
"Disabled","1985","Brandenburg","West Germany","","","","","1"
"Disabled","1985","Saxony","West Germany","","","","","1"
