"m11124","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Full Time","Male","239","0.0746141739962532","0.0664953861226981","0.0827329618698083","1"
"Disabled","1984","Part Time","Male","64","0.119121368262594","0.0941611243595219","0.144081612165666","1"
"Disabled","1984","Full Time","Female","64","0.0520619253202215","0.0413331194391003","0.0627907312013426","1"
"Disabled","1984","Part Time","Female","51","0.0477280696660293","0.035857273047548","0.0595988662845106","1"
"Disabled","1984","Not Working","Male","342","0.291805109382919","0.267262924331011","0.316347294434826","1"
"Disabled","1984","Not Working","Female","311","0.118485541654275","0.107498899419649","0.129472183888901","1"
"Not disabled","1984","Full Time","Male","3785","0.925385826003747","0.917267038130192","0.933504613877302","0"
"Not disabled","1984","Full Time","Female","1583","0.947938074679779","0.937209268798657","0.9586668805609","0"
"Not disabled","1984","Part Time","Male","583","0.880878631737406","0.855918387834334","0.905838875640478","0"
"Not disabled","1984","Part Time","Female","1188","0.952271930333971","0.940401133715489","0.964142726952452","0"
"Not disabled","1984","Not Working","Male","976","0.708194890617081","0.683652705565174","0.732737075668988","0"
"Not disabled","1984","Not Working","Female","3013","0.881514458345725","0.870527816111099","0.892501100580351","0"
"Disabled","1985","Full Time","Male","195","0.0692398712316781","0.0608713178026616","0.0776084246606946","1"
"Disabled","1985","Full Time","Female","59","0.0590641045349357","0.046904867501226","0.0712233415686453","1"
"Disabled","1985","Part Time","Male","49","0.0886622130209456","0.0671704310051775","0.110153995036714","1"
"Disabled","1985","Part Time","Female","51","0.0496364275124242","0.0372911086216409","0.0619817464032075","1"
"Disabled","1985","Not Working","Male","326","0.300673508838155","0.275036950441245","0.326310067235066","1"
"Disabled","1985","Not Working","Female","254","0.108772685792277","0.0975864029080351","0.119958968676519","1"
"Not disabled","1985","Full Time","Male","3340","0.930760128768322","0.922391575339305","0.939128682197338","0"
"Not disabled","1985","Full Time","Female","1385","0.940935895465064","0.928776658431355","0.953095132498774","0"
"Not disabled","1985","Part Time","Male","623","0.911337786979054","0.889846004963286","0.932829568994823","0"
"Not disabled","1985","Part Time","Female","1138","0.950363572487576","0.938018253596792","0.962708891378359","0"
"Not disabled","1985","Not Working","Male","903","0.699326491161844","0.673689932764934","0.724963049558755","0"
"Not disabled","1985","Not Working","Female","2722","0.891227314207723","0.880041031323481","0.902413597091965","0"
"Disabled","1986","Full Time","Female","","","","","1"
"Disabled","1986","Full Time","Male","3","","","","1"
"Disabled","1986","Part Time","Female","","","","","1"
"Disabled","1986","Part Time","Male","","","","","1"
"Disabled","1986","Not Working","Male","1","","","","1"
"Disabled","1986","Not Working","Female","4","","","","1"
"Not disabled","1986","Full Time","Male","3448","0.999605918377814","0.998943727624784","1.00026810913084","0"
"Not disabled","1986","Full Time","Female","1414","1","1","1","0"
"Not disabled","1986","Part Time","Male","631","1","1","1","0"
