"m11124","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Not disabled","1985","Urban Area","8008","0.884454529190759","0.877765112572774","0.891143945808744"
"Not disabled","1985","Rural Area","2103","0.909654525111973","0.897866654176226","0.921442396047721"
"Disabled","1985","Urban Area","765","0.115545470809241","0.108856054191256","0.122234887427226"
"Disabled","1985","Rural Area","169","0.0903454748880266","0.0785576039522795","0.102133345823774"
"Not disabled","1986","Urban Area","8453","0.999762568509808","0.999434222422048","1.00009091459757"
"Not disabled","1986","Rural Area","2182","0.999486982682107","0.998537522066868","1.00043644329734"
"Disabled","1986","Urban Area","5","","",""
"Disabled","1986","Rural Area","3","","",""
"Not disabled","1987","Urban Area","7584","0.884370831864921","0.877497077844329","0.891244585885513"
"Not disabled","1987","Rural Area","1985","0.905836688929515","0.893494457095231","0.918178920763799"
"Disabled","1987","Urban Area","730","0.115629168135079","0.108755414114487","0.122502922155671"
"Disabled","1987","Rural Area","166","0.0941633110704848","0.0818210792362009","0.106505542904769"
"Not disabled","1988","Urban Area","7178","0.87132862341366","0.863973855571249","0.878683391256071"
"Not disabled","1988","Rural Area","1846","0.899040356316569","0.885892388270669","0.912188324362469"
"Disabled","1988","Urban Area","784","0.12867137658634","0.121316608743928","0.136026144428751"
"Disabled","1988","Rural Area","171","0.100959643683431","0.0878116756375309","0.114107611729331"
"Not disabled","1989","Urban Area","6987","0.869203621456444","0.861698740358199","0.87670850255469"
"Not disabled","1989","Rural Area","1733","0.883414395428089","0.869033189452567","0.897795601403611"
"Disabled","1989","Urban Area","767","0.130796378543556","0.12329149744531","0.138301259641801"
"Disabled","1989","Rural Area","180","0.116585604571911","0.102204398596389","0.130966810547433"
"Not disabled","1990","Urban Area","","","",""
"Not disabled","1990","Rural Area","","","",""
"Disabled","1990","Urban Area","","","",""
"Disabled","1990","Rural Area","","","",""
"Not disabled","1991","Urban Area","8117","0.879538773480213","0.872775561099454","0.886301985860971"
"Not disabled","1991","Rural Area","4457","0.932308497476465","0.925078641978451","0.939538352974479"
"Disabled","1991","Urban Area","781","0.120461226519787","0.113698014139029","0.127224438900546"
"Disabled","1991","Rural Area","181","0.0676915025235349","0.0604616470255212","0.0749213580215486"
"Not disabled","1992","Urban Area","7913","0.869017467296097","0.861964054463627","0.876070880128566"
"Not disabled","1992","Rural Area","4069","0.90417773950375","0.895464634867141","0.912890844140359"
"Disabled","1992","Urban Area","876","0.130982532703903","0.123929119871433","0.138035945536373"
"Disabled","1992","Rural Area","315","0.0958222604962501","0.0871091558596408","0.104535365132859"
"Not disabled","1993","Urban Area","","","",""
"Not disabled","1993","Rural Area","","","",""
"Disabled","1993","Urban Area","","","",""
"Disabled","1993","Rural Area","","","",""
"Not disabled","1994","Urban Area","7754","0.871814571956799","0.864749277665733","0.878879866247865"
"Not disabled","1994","Rural Area","3968","0.904840958089955","0.896053055998536","0.913628860181374"
"Disabled","1994","Urban Area","846","0.128185428043201","0.121120133752135","0.135250722334267"
"Disabled","1994","Rural Area","315","0.0951590419100453","0.0863711398186265","0.103946944001464"
"Not disabled","1995","Urban Area","7919","0.867180103501884","0.860092158908003","0.874268048095765"
"Not disabled","1995","Rural Area","4095","0.891545523019101","0.882403199832545","0.900687846205657"
"Disabled","1995","Urban Area","888","0.132819896498116","0.125731951904235","0.139907841091997"
"Disabled","1995","Rural Area","349","0.108454476980899","0.0993121537943428","0.117596800167454"
"Not disabled","1996","Urban Area","7785","0.867911557131938","0.860781235056274","0.875041879207603"
"Not disabled","1996","Rural Area","4042","0.88303280978955","0.873550774305654","0.892514845273447"
"Disabled","1996","Urban Area","877","0.132088442868062","0.124958120792397","0.139218764943726"
"Disabled","1996","Rural Area","371","0.11696719021045","0.107485154726553","0.126449225694346"
"Not disabled","1997","Urban Area","7660","0.870286175600819","0.863149344112355","0.877423007089283"
"Not disabled","1997","Rural Area","3964","0.882928522515318","0.873360070066264","0.892496974964372"
"Disabled","1997","Urban Area","854","0.129713824399181","0.122576992910717","0.136850655887645"
"Disabled","1997","Rural Area","373","0.117071477484682","0.107503025035628","0.126639929933736"
"Not disabled","1998","Urban Area","8419","0.868758729697773","0.861940299598372","0.875577159797173"
"Not disabled","1998","Rural Area","4427","0.88476556736426","0.8757857132836","0.893745421444919"
"Disabled","1998","Urban Area","1002","0.131241270302227","0.124422840202827","0.138059700401628"
"Disabled","1998","Rural Area","430","0.11523443263574","0.106254578555081","0.1242142867164"
"Not disabled","1999","Urban Area","8050","0.862074948228379","0.854961659124646","0.869188237332113"
"Not disabled","1999","Rural Area","4284","0.882229672831588","0.873029075720607","0.89143026994257"
"Disabled","1999","Urban Area","977","0.137925051771621","0.130811762667887","0.145038340875354"
"Disabled","1999","Rural Area","431","0.117770327168412","0.10856973005743","0.126970924279393"
"Not disabled","2000","Urban Area","14236","0.879301489374995","0.874241590159803","0.884361388590187"
"Not disabled","2000","Rural Area","7528","0.895325881718951","0.888733959719217","0.901917803718686"
"Disabled","2000","Urban Area","1688","0.120698510625005","0.115638611409813","0.125758409840196"
"Disabled","2000","Rural Area","757","0.104674118281049","0.0980821962813143","0.111266040280783"
"Not disabled","2001","Urban Area","12932","0.876115715726389","0.870753393181661","0.881478038271117"
"Not disabled","2001","Rural Area","6849","0.900024997114415","0.893236689617599","0.90681330461123"
"Disabled","2001","Urban Area","1568","0.123884284273611","0.118521961728883","0.129246606818339"
"Disabled","2001","Rural Area","652","0.0999750028855853","0.0931866953887697","0.106763310382401"
"Not disabled","2002","Urban Area","13798","0.86907441734728","0.863757891726427","0.874390942968133"
"Not disabled","2002","Rural Area","6921","0.886056119031935","0.878933103846864","0.893179134217006"
"Disabled","2002","Urban Area","1666","0.13092558265272","0.125609057031867","0.136242108273573"
"Disabled","2002","Rural Area","723","0.113943880968065","0.106820865782994","0.121066896153136"
"Not disabled","2003","Urban Area","13293","0.869353779693903","0.863946288460359","0.874761270927446"
"Not disabled","2003","Rural Area","6618","0.889778424192089","0.882611185281693","0.896945663102486"
"Disabled","2003","Urban Area","1628","0.130646220306097","0.125238729072554","0.136053711539641"
"Disabled","2003","Rural Area","716","0.110221575807911","0.103054336897514","0.117388814718307"
"Not disabled","2004","Urban Area","12874","0.864722306967357","0.85915825732166","0.870286356613055"
"Not disabled","2004","Rural Area","6452","0.882821253524936","0.875381185124003","0.890261321925868"
"Disabled","2004","Urban Area","1641","0.135277693032643","0.129713643386945","0.14084174267834"
"Disabled","2004","Rural Area","727","0.117178746475064","0.109738678074131","0.124618814875997"
"Not disabled","2005","Urban Area","12312","0.868879079370232","0.863269687216981","0.874488471523483"
"Not disabled","2005","Rural Area","6141","0.883490516023345","0.875901081726601","0.89107995032009"
"Disabled","2005","Urban Area","1597","0.131120920629768","0.125511528476517","0.136730312783019"
"Disabled","2005","Rural Area","724","0.116509483976655","0.10892004967991","0.124098918273399"
"Not disabled","2006","Urban Area","12867","0.863426478206809","0.857861462479617","0.868991493934002"
"Not disabled","2006","Rural Area","6603","0.881318479753207","0.873952776369584","0.888684183136831"
"Disabled","2006","Urban Area","1760","0.136573521793191","0.131008506065998","0.142138537520383"
"Disabled","2006","Rural Area","803","0.118681520246793","0.111315816863169","0.126047223630416"
"Not disabled","2007","Urban Area","11963","0.863953189401881","0.858195703501126","0.869710675302636"
"Not disabled","2007","Rural Area","6198","0.881479834231903","0.873887903985359","0.889071764478447"
"Disabled","2007","Urban Area","1658","0.136046810598119","0.130289324697364","0.141804296498874"
"Disabled","2007","Rural Area","765","0.118520165768097","0.110928235521553","0.126112096014641"
"Not disabled","2008","Urban Area","11293","0.866940714554475","0.861065366306103","0.872816062802846"
"Not disabled","2008","Rural Area","5821","0.879692325866657","0.871817504959408","0.887567146773905"
"Disabled","2008","Urban Area","1544","0.133059285445525","0.127183937197154","0.138934633693897"
"Disabled","2008","Rural Area","735","0.120307674133343","0.112432853226095","0.128182495040592"
"Not disabled","2009","Urban Area","10395","0.866264836787488","0.860135543881198","0.872394129693778"
"Not disabled","2009","Rural Area","5526","0.882539540248832","0.874551616068771","0.890527464428894"
"Disabled","2009","Urban Area","1451","0.133735163212512","0.127605870306222","0.139864456118802"
"Disabled","2009","Rural Area","715","0.117460459751168","0.109472535571106","0.125448383931229"
"Not disabled","2010","Urban Area","14265","0.868671882928195","0.863402329495639","0.873941436360752"
"Not disabled","2010","Rural Area","7477","0.879493320518913","0.872455139485087","0.886531501552739"
"Disabled","2010","Urban Area","1517","0.131328117071805","0.126058563639248","0.136597670504361"
"Disabled","2010","Rural Area","742","0.120506679481087","0.113468498447261","0.127544860514913"
"Not disabled","2011","Urban Area","16504","0.870733452883722","0.865886532685971","0.875580373081472"
"Not disabled","2011","Rural Area","9042","0.879428164699251","0.873062165561123","0.885794163837378"
"Disabled","2011","Urban Area","1901","0.129266547116278","0.124419626918528","0.134113467314029"
"Disabled","2011","Rural Area","1009","0.120571835300749","0.114205836162622","0.126937834438877"
"Not disabled","2012","Urban Area","15778","0.868022738523861","0.8630405394315","0.873004937616221"
"Not disabled","2012","Rural Area","8887","0.871252219564726","0.864677368788524","0.877827070340928"
"Disabled","2012","Urban Area","1951","0.131977261476139","0.126995062383779","0.136959460568499"
"Disabled","2012","Rural Area","1081","0.128747780435274","0.122172929659072","0.135322631211476"
"Not disabled","2013","Urban Area","18364","0.866720947276562","0.862056085552454","0.87138580900067"
"Not disabled","2013","Rural Area","9274","0.872047220055262","0.865603138507869","0.878491301602656"
"Disabled","2013","Urban Area","2028","0.133279052723438","0.12861419099933","0.137943914447546"
"Disabled","2013","Rural Area","1048","0.127952779944738","0.121508698397344","0.134396861492131"
"Not disabled","2014","Urban Area","15942","0.862880022399514","0.857835632790273","0.867924412008755"
"Not disabled","2014","Rural Area","8231","0.860539171254361","0.853499192212475","0.867579150296248"
"Disabled","2014","Urban Area","1920","0.137119977600486","0.132075587991245","0.142164367209727"
"Disabled","2014","Rural Area","1071","0.139460828745639","0.132420849703752","0.146500807787525"
"Not disabled","2015","Urban Area","15940","0.866180832754644","0.861169030643157","0.871192634866131"
"Not disabled","2015","Rural Area","8191","0.868211781690133","0.86129034604286","0.875133217337406"
"Disabled","2015","Urban Area","1787","0.133819167245356","0.128807365133869","0.138830969356843"
"Disabled","2015","Rural Area","984","0.131788218309867","0.124866782662594","0.13870965395714"
"Not disabled","2016","Urban Area","14305","0.866570522708379","0.861299694402541","0.871841351014216"
"Not disabled","2016","Rural Area","7455","0.867667285975335","0.860414035457691","0.874920536492979"
"Disabled","2016","Urban Area","1683","0.133429477291621","0.128158648985784","0.138700305597458"
"Disabled","2016","Rural Area","929","0.132332714024665","0.125079463507021","0.139585964542309"
"Not disabled","2017","Urban Area","15414","0.869657424005913","0.864630993280782","0.874683854731044"
"Not disabled","2017","Rural Area","8380","0.868016356478191","0.861184853598699","0.874847859357683"
"Disabled","2017","Urban Area","1821","0.130342575994087","0.125316145268956","0.135369006719218"
"Disabled","2017","Rural Area","1050","0.131983643521809","0.125152140642317","0.138815146401301"
"Not disabled","2018","Urban Area","14835","0.870798463797653","0.865711220347817","0.875885707247489"
"Not disabled","2018","Rural Area","7957","0.863687426024178","0.856611580489803","0.870763271558554"
"Disabled","2018","Urban Area","1865","0.129201536202347","0.124114292752511","0.134288779652183"
"Disabled","2018","Rural Area","1076","0.136312573975821","0.129236728441446","0.143388419510197"
"Not disabled","2019","Urban Area","13831","0.876738322266367","0.871553530871673","0.881923113661062"
"Not disabled","2019","Rural Area","7841","0.8625645916287","0.855396107138117","0.869733076119283"
"Disabled","2019","Urban Area","1612","0.123261677733633","0.118076886338938","0.128446469128327"
"Disabled","2019","Rural Area","1021","0.1374354083713","0.130266923880717","0.144603892861884"
