"m11124","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Schleswig-Holstein","Female","7","","","","1"
"Disabled","1984","Hamburg","Female","14","","","","1"
"Disabled","1984","Schleswig-Holstein","Male","15","","","","1"
"Disabled","1984","Hamburg","Male","10","","","","1"
"Disabled","1984","Lower Saxony","Male","67","0.132872136264634","0.105734664496757","0.160009608032512","1"
"Disabled","1984","Lower Saxony","Female","46","0.0826825624347791","0.0612283278800032","0.104136796989555","1"
"Disabled","1984","Bremen","Male","8","","","","1"
"Disabled","1984","Bremen","Female","10","","","","1"
"Disabled","1984","North Rhine-Westphalia","Male","204","0.166895427357652","0.14870393602342","0.185086918691883","1"
"Disabled","1984","Baden-Württemberg","Male","94","0.10829268445159","0.0901742948611829","0.126411074041997","1"
"Disabled","1984","Baden-Württemberg","Female","54","0.0628866135249307","0.0487946717397488","0.0769785553101126","1"
"Disabled","1984","North Rhine-Westphalia","Female","135","0.11820295800852","0.102592063084172","0.133813852932869","1"
"Disabled","1984","Bavaria","Male","106","0.132547528679842","0.111499609203227","0.153595448156458","1"
"Disabled","1984","Hesse","Male","65","0.144540363262467","0.117060339702913","0.172020386822022","1"
"Disabled","1984","Bavaria","Female","71","0.0818635450767644","0.0656989123465597","0.098028177806969","1"
"Disabled","1984","Hesse","Female","36","0.0722266601131473","0.0518175737146672","0.0926357465116274","1"
"Disabled","1984","Rhineland-Palatinate,Saarland","Male","45","0.123496736297423","0.0919187397777308","0.155074732817116","1"
"Disabled","1984","Berlin","Male","31","0.195315386208964","0.140095364514918","0.250535407903011","1"
"Disabled","1984","Rhineland-Palatinate,Saarland","Female","30","0.0793793545627615","0.0539463679358829","0.10481234118964","1"
"Disabled","1984","Berlin","Female","23","","","","1"
"Disabled","1984","Brandenburg","Male","","","","","1"
"Disabled","1984","Brandenburg","Female","","","","","1"
"Disabled","1984","Saxony","Male","","","","","1"
"Disabled","1984","Mecklenburg-Western Pomerania","Male","","","","","1"
"Disabled","1984","Mecklenburg-Western Pomerania","Female","","","","","1"
"Disabled","1984","Saxony","Female","","","","","1"
"Disabled","1984","Saxony-Anhalt","Male","","","","","1"
"Disabled","1984","Saxony-Anhalt","Female","","","","","1"
"Disabled","1984","Thuringia","Male","","","","","1"
"Disabled","1984","Thuringia","Female","","","","","1"
"Not disabled","1984","Schleswig-Holstein","Male","173","0.91093928391794","0.870224046332496","0.951654521503385","0"
"Not disabled","1984","Schleswig-Holstein","Female","190","0.95731681469556","0.929089391626678","0.985544237764442","0"
"Not disabled","1984","Hamburg","Male","142","0.913975154109981","0.869398707740163","0.958551600479799","0"
"Not disabled","1984","Hamburg","Female","144","0.903374507781427","0.857306511541015","0.949442504021839","0"
"Not disabled","1984","Lower Saxony","Male","534","0.867127863735366","0.839990391967488","0.894265335503243","0"
"Not disabled","1984","Lower Saxony","Female","587","0.917317437565221","0.895863203010445","0.938771672119997","0"
"Not disabled","1984","Bremen","Male","55","0.841259050857646","0.751021525367886","0.931496576347406","0"
"Not disabled","1984","Bremen","Female","59","0.819489182165452","0.728739152629244","0.91023921170166","0"
"Not disabled","1984","North Rhine-Westphalia","Male","1410","0.833104572642348","0.814913081308117","0.85129606397658","0"
"Not disabled","1984","North Rhine-Westphalia","Female","1508","0.88179704199148","0.866186147067131","0.897407936915828","0"
"Not disabled","1984","Hesse","Male","564","0.855459636737533","0.827979613177978","0.882939660297087","0"
"Not disabled","1984","Hesse","Female","582","0.927773339886853","0.907364253488373","0.948182426285333","0"
"Not disabled","1984","Rhineland-Palatinate,Saarland","Male","372","0.876503263702577","0.844925267182884","0.908081260222269","0"
"Not disabled","1984","Rhineland-Palatinate,Saarland","Female","404","0.920620645437239","0.89518765881036","0.946053632064117","0"
"Not disabled","1984","Baden-Württemberg","Male","1036","0.89170731554841","0.873588925958003","0.909825705138817","0"
"Not disabled","1984","Baden-Württemberg","Female","1086","0.937113386475069","0.923021444689887","0.951205328260251","0"
