"m11124","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","16-34 y.","no migration background","3039","0.976933578572564","0.971655205360144","0.982211951784985"
"Not disabled","1984","16-34 y.","direct migration background","1385","0.995087480588243","0.991418513989109","0.998756447187378"
"Not disabled","1984","16-34 y.","indirect migration background","99","0.944225731414988","0.899690587232476","0.9887608755975"
"Not disabled","1984","35-65 y.","no migration background","3734","0.853767145091153","0.843229375766651","0.864304914415654"
"Not disabled","1984","35-65 y.","direct migration background","1848","0.896058176931321","0.882615716572416","0.909500637290226"
"Not disabled","1984","35-65 y.","indirect migration background","19","","",""
"Not disabled","1984","66 and older","no migration background","969","0.791541676369419","0.768886829767856","0.814196522970981"
"Not disabled","1984","66 and older","direct migration background","31","0.939637973403644","0.860738109372706","1.01853783743458"
"Not disabled","1984","66 and older","indirect migration background","4","","",""
"Disabled","1984","16-34 y.","no migration background","68","0.0230664214274356","0.0177880482150149","0.0283447946398564"
"Disabled","1984","16-34 y.","direct migration background","10","","",""
"Disabled","1984","16-34 y.","indirect migration background","3","","",""
"Disabled","1984","35-65 y.","no migration background","585","0.146232854908847","0.135695085584345","0.156770624233349"
"Disabled","1984","35-65 y.","direct migration background","132","0.103941823068679","0.0904993627097744","0.117384283427584"
"Disabled","1984","35-65 y.","indirect migration background","2","","",""
"Disabled","1984","66 and older","no migration background","266","0.208458323630581","0.185803477029019","0.231113170232144"
"Disabled","1984","66 and older","direct migration background","4","","",""
"Disabled","1984","66 and older","indirect migration background","1","","",""
"Not disabled","1985","16-34 y.","no migration background","2842","0.977670763932752","0.972297869972487","0.983043657893016"
"Not disabled","1985","16-34 y.","direct migration background","1144","0.992939459414877","0.988106492754687","0.997772426075067"
"Not disabled","1985","16-34 y.","indirect migration background","119","0.991938007332062","0.976004225338577","1.00787178932555"
"Not disabled","1985","35-65 y.","no migration background","3463","0.854704936166339","0.843767789089355","0.865642083243323"
"Not disabled","1985","35-65 y.","direct migration background","1640","0.893168215884739","0.878670762488425","0.907665669281052"
"Not disabled","1985","35-65 y.","indirect migration background","16","","",""
"Not disabled","1985","66 and older","no migration background","850","0.805474991111036","0.781801642004267","0.829148340217806"
"Not disabled","1985","66 and older","direct migration background","33","0.896556331300353","0.798429454280718","0.994683208319988"
"Not disabled","1985","66 and older","indirect migration background","4","","",""
"Disabled","1985","16-34 y.","no migration background","63","0.0223292360672483","0.0169563421069839","0.0277021300275126"
"Disabled","1985","16-34 y.","direct migration background","9","","",""
"Disabled","1985","16-34 y.","indirect migration background","2","","",""
"Disabled","1985","35-65 y.","no migration background","525","0.145295063833661","0.134357916756677","0.156232210910645"
"Disabled","1985","35-65 y.","direct migration background","104","0.106831784115261","0.0923343307189477","0.121329237511575"
"Disabled","1985","35-65 y.","indirect migration background","2","","",""
"Disabled","1985","66 and older","no migration background","224","0.194525008888963","0.170851659782194","0.218198357995733"
"Disabled","1985","66 and older","direct migration background","4","","",""
"Disabled","1985","66 and older","indirect migration background","1","","",""
"Not disabled","1986","16-34 y.","no migration background","2857","0.999508971949468","0.998697055062989","1.00032088883595"
"Not disabled","1986","16-34 y.","direct migration background","1107","0.999729554873305","0.998761368298017","1.00069774144859"
"Not disabled","1986","16-34 y.","indirect migration background","130","1","1","1"
"Not disabled","1986","35-65 y.","no migration background","3776","0.999807495486219","0.999365115198287","1.00024987577415"
"Not disabled","1986","35-65 y.","direct migration background","1698","1","1","1"
"Not disabled","1986","35-65 y.","indirect migration background","22","","",""
"Not disabled","1986","66 and older","no migration background","991","0.99962200215411","0.998412975062557","1.00083102924566"
"Not disabled","1986","66 and older","direct migration background","50","1","1","1"
"Not disabled","1986","66 and older","indirect migration background","4","","",""
"Disabled","1986","16-34 y.","no migration background","3","","",""
"Disabled","1986","16-34 y.","direct migration background","1","","",""
"Disabled","1986","16-34 y.","indirect migration background","","","",""
"Disabled","1986","35-65 y.","no migration background","2","","",""
