"m11124","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","inadequately","West Germany","60","0.0990899343760175","0.0807359781316567","0.117443890620378","1"
"Disabled","1984","inadequately","East Germany","","","","","1"
"Disabled","1984","higher education","West Germany","64","0.0943290634789972","0.0739730149682234","0.114685111989771","1"
"Disabled","1984","higher education","East Germany","","","","","1"
"Disabled","1984","in school","East Germany","","","","","1"
"Disabled","1984","general elemantary","West Germany","280","0.110550705415662","0.100099245647578","0.121002165183747","1"
"Disabled","1984","higher vocational","East Germany","","","","","1"
"Disabled","1984","general elemantary","East Germany","","","","","1"
"Disabled","1984","in school","West Germany","2","","","","1"
"Disabled","1984","higher vocational","West Germany","82","0.138272965029616","0.111938189541496","0.164607740517735","1"
"Disabled","1984","middle vocational","West Germany","554","0.118003325447342","0.109632605653399","0.126374045241285","1"
"Disabled","1984","middle vocational","East Germany","","","","","1"
"Disabled","1984","vocational + Abi","West Germany","21","","","","1"
"Disabled","1984","vocational + Abi","East Germany","","","","","1"
"Not disabled","1984","in school","West Germany","185","0.989938684862288","0.975634641705545","1.00424272801903","0"
"Not disabled","1984","in school","East Germany","","","","","0"
"Not disabled","1984","inadequately","West Germany","958","0.900910065623982","0.882556109379622","0.919264021868343","0"
"Not disabled","1984","inadequately","East Germany","","","","","0"
"Not disabled","1984","general elemantary","West Germany","3178","0.889449294584338","0.878997834816253","0.899900754352422","0"
"Not disabled","1984","general elemantary","East Germany","","","","","0"
"Not disabled","1984","middle vocational","West Germany","5152","0.881996674552658","0.873625954758715","0.890367394346601","0"
"Not disabled","1984","middle vocational","East Germany","","","","","0"
"Not disabled","1984","vocational + Abi","West Germany","290","0.920464067636043","0.890392712160011","0.950535423112075","0"
"Not disabled","1984","vocational + Abi","East Germany","","","","","0"
"Not disabled","1984","higher vocational","West Germany","578","0.861727034970384","0.835392259482265","0.888061810458504","0"
"Not disabled","1984","higher vocational","East Germany","","","","","0"
"Not disabled","1984","higher education","West Germany","728","0.905670936521003","0.885314888010229","0.926026985031777","0"
"Not disabled","1984","higher education","East Germany","","","","","0"
"Disabled","1985","general elemantary","West Germany","228","0.0995353019751451","0.0889382776654356","0.110132326284855","1"
"Disabled","1985","general elemantary","East Germany","","","","","1"
"Disabled","1985","inadequately","East Germany","","","","","1"
"Disabled","1985","inadequately","West Germany","54","0.129990498424991","0.107329412797391","0.152651584052592","1"
"Disabled","1985","in school","East Germany","","","","","1"
"Disabled","1985","in school","West Germany","1","","","","1"
"Disabled","1985","higher vocational","East Germany","","","","","1"
"Disabled","1985","higher education","West Germany","56","0.0894816005099995","0.0690942007926451","0.109869000227354","1"
"Disabled","1985","higher vocational","West Germany","82","0.149056748328733","0.121023180947174","0.177090315710292","1"
"Disabled","1985","higher education","East Germany","","","","","1"
"Disabled","1985","middle vocational","West Germany","487","0.116374634032151","0.107641132778885","0.125108135285418","1"
"Disabled","1985","middle vocational","East Germany","","","","","1"
"Disabled","1985","vocational + Abi","West Germany","20","","","","1"
"Disabled","1985","vocational + Abi","East Germany","","","","","1"
"Not disabled","1985","in school","West Germany","186","0.997142235879674","0.989491221231984","1.00479325052736","0"
"Not disabled","1985","in school","East Germany","","","","","0"
"Not disabled","1985","inadequately","West Germany","792","0.870009501575009","0.847348415947408","0.892670587202609","0"
"Not disabled","1985","inadequately","East Germany","","","","","0"
"Not disabled","1985","general elemantary","West Germany","2838","0.900464698024855","0.889867673715145","0.911061722334565","0"
"Not disabled","1985","general elemantary","East Germany","","","","","0"
"Not disabled","1985","middle vocational","West Germany","4692","0.883625365967849","0.874891864714582","0.892358867221115","0"
"Not disabled","1985","middle vocational","East Germany","","","","","0"
"Not disabled","1985","vocational + Abi","West Germany","259","0.910340852304275","0.876817664606804","0.943864040001747","0"
"Not disabled","1985","vocational + Abi","East Germany","","","","","0"
"Not disabled","1985","higher vocational","West Germany","538","0.850943251671267","0.822909684289708","0.878976819052826","0"
"Not disabled","1985","higher vocational","East Germany","","","","","0"
"Not disabled","1985","higher education","West Germany","697","0.910518399490001","0.890130999772646","0.930905799207355","0"
"Not disabled","1985","higher education","East Germany","","","","","0"
"Disabled","1986","in school","East Germany","","","","","1"
"Disabled","1986","inadequately","West Germany","2","","","","1"
"Disabled","1986","higher education","East Germany","","","","","1"
"Disabled","1986","inadequately","East Germany","","","","","1"
"Disabled","1986","higher vocational","East Germany","","","","","1"
"Disabled","1986","general elemantary","West Germany","2","","","","1"
"Disabled","1986","general elemantary","East Germany","","","","","1"
"Disabled","1986","higher education","West Germany","","","","","1"
"Disabled","1986","in school","West Germany","1","","","","1"
"Disabled","1986","higher vocational","West Germany","","","","","1"
"Disabled","1986","middle vocational","West Germany","3","","","","1"
"Disabled","1986","middle vocational","East Germany","","","","","1"
"Disabled","1986","vocational + Abi","West Germany","","","","","1"
"Disabled","1986","vocational + Abi","East Germany","","","","","1"
"Not disabled","1986","in school","West Germany","187","0.996232743790825","0.987475606650439","1.00498988093121","0"
"Not disabled","1986","in school","East Germany","","","","","0"
"Not disabled","1986","inadequately","West Germany","788","0.997155673318889","0.993441982318275","1.0008693643195","0"
"Not disabled","1986","inadequately","East Germany","","","","","0"
"Not disabled","1986","general elemantary","West Germany","2922","0.999763115140586","0.999205317576133","1.00032091270504","0"
"Not disabled","1986","general elemantary","East Germany","","","","","0"
"Not disabled","1986","middle vocational","West Germany","5012","0.999782103317816","0.999373604682258","1.00019060195337","0"
"Not disabled","1986","middle vocational","East Germany","","","","","0"
"Not disabled","1986","vocational + Abi","West Germany","278","1","1","1","0"
"Not disabled","1986","vocational + Abi","East Germany","","","","","0"
"Not disabled","1986","higher vocational","West Germany","583","1","1","1","0"
"Not disabled","1986","higher vocational","East Germany","","","","","0"
"Not disabled","1986","higher education","West Germany","751","1","1","1","0"
"Not disabled","1986","higher education","East Germany","","","","","0"
"Disabled","1987","inadequately","West Germany","59","0.142197059788298","0.117317698614456","0.167076420962139","1"
"Disabled","1987","in school","East Germany","","","","","1"
"Disabled","1987","higher education","East Germany","","","","","1"
"Disabled","1987","inadequately","East Germany","","","","","1"
"Disabled","1987","higher vocational","East Germany","","","","","1"
"Disabled","1987","general elemantary","East Germany","","","","","1"
"Disabled","1987","higher education","West Germany","54","0.0863339274860254","0.066111956388619","0.106555898583432","1"
"Disabled","1987","general elemantary","West Germany","214","0.101877214879752","0.090764068566077","0.112990361193427","1"
"Disabled","1987","in school","West Germany","3","","","","1"
"Disabled","1987","higher vocational","West Germany","73","0.146624376913483","0.117508507167107","0.175740246659859","1"
"Disabled","1987","middle vocational","West Germany","465","0.116922931367835","0.107982286136741","0.12586357659893","1"
"Disabled","1987","middle vocational","East Germany","","","","","1"
"Disabled","1987","vocational + Abi","West Germany","20","","","","1"
"Disabled","1987","vocational + Abi","East Germany","","","","","1"
"Not disabled","1987","in school","West Germany","187","0.990508719540238","0.976721939543189","1.00429549953729","0"
"Not disabled","1987","in school","East Germany","","","","","0"
"Not disabled","1987","inadequately","West Germany","698","0.857802940211702","0.832923579037861","0.882682301385544","0"
"Not disabled","1987","inadequately","East Germany","","","","","0"
"Not disabled","1987","general elemantary","West Germany","2632","0.898122785120248","0.887009638806573","0.909235931433923","0"
"Not disabled","1987","general elemantary","East Germany","","","","","0"
"Not disabled","1987","middle vocational","West Germany","4497","0.883077068632165","0.87413642340107","0.892017713863259","0"
"Not disabled","1987","middle vocational","East Germany","","","","","0"
"Not disabled","1987","vocational + Abi","West Germany","258","0.917686523504359","0.885378652345617","0.949994394663101","0"
"Not disabled","1987","vocational + Abi","East Germany","","","","","0"
"Not disabled","1987","higher vocational","West Germany","494","0.853375623086517","0.824259753340141","0.882491492832893","0"
"Not disabled","1987","higher vocational","East Germany","","","","","0"
"Not disabled","1987","higher education","West Germany","687","0.913666072513975","0.893444101416568","0.933888043611381","0"
"Not disabled","1987","higher education","East Germany","","","","","0"
"Disabled","1988","inadequately","West Germany","64","0.151005706757882","0.124443176300059","0.177568237215705","1"
"Disabled","1988","in school","East Germany","","","","","1"
"Disabled","1988","higher vocational","East Germany","","","","","1"
"Disabled","1988","higher education","East Germany","","","","","1"
"Disabled","1988","inadequately","East Germany","","","","","1"
"Disabled","1988","general elemantary","West Germany","231","0.118668624757215","0.106528511578297","0.130808737936133","1"
"Disabled","1988","general elemantary","East Germany","","","","","1"
"Disabled","1988","higher education","West Germany","53","0.0909472156219281","0.0696467878451404","0.112247643398716","1"
"Disabled","1988","in school","West Germany","1","","","","1"
"Disabled","1988","middle vocational","West Germany","503","0.129344904883793","0.119787500100713","0.138902309666873","1"
"Disabled","1988","higher vocational","West Germany","69","0.145016330907188","0.115290015979086","0.17474264583529","1"
"Disabled","1988","middle vocational","East Germany","","","","","1"
"Disabled","1988","vocational + Abi","West Germany","24","","","","1"
"Disabled","1988","vocational + Abi","East Germany","","","","","1"
"Not disabled","1988","in school","West Germany","162","0.988938022487514","0.972881362464748","1.00499468251028","0"
"Not disabled","1988","in school","East Germany","","","","","0"
"Not disabled","1988","inadequately","West Germany","634","0.848994293242118","0.822431762784295","0.875556823699941","0"
"Not disabled","1988","inadequately","East Germany","","","","","0"
"Not disabled","1988","general elemantary","West Germany","2495","0.881331375242785","0.869191262063867","0.893471488421703","0"
"Not disabled","1988","general elemantary","East Germany","","","","","0"
"Not disabled","1988","middle vocational","West Germany","4233","0.870655095116207","0.861097690333127","0.880212499899287","0"
"Not disabled","1988","middle vocational","East Germany","","","","","0"
"Not disabled","1988","vocational + Abi","West Germany","247","0.898644143268229","0.862712114048235","0.934576172488223","0"
