"m11124","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Not Employed","Full Time","","","","","1"
"Disabled","1984","Not Employed","Not Working","653","0.168767664821012","0.157993059812393","0.17954226982963","1"
"Disabled","1984","Not Employed","Part Time","","","","","1"
"Disabled","1984","Employed","Full Time","303","0.0681103119704645","0.0615532852246292","0.0746673387162998","1"
"Disabled","1984","Employed","Part Time","115","0.0719142200303093","0.0602547531439468","0.0835736869166718","1"
"Disabled","1984","Employed","Not Working","","","","","1"
"Not disabled","1984","Not Employed","Full Time","","","","","0"
"Not disabled","1984","Not Employed","Part Time","","","","","0"
"Not disabled","1984","Not Employed","Not Working","3989","0.831232335178988","0.82045773017037","0.842006940187607","0"
"Not disabled","1984","Employed","Full Time","5368","0.931889688029535","0.9253326612837","0.938446714775371","0"
"Not disabled","1984","Employed","Part Time","1771","0.928085779969691","0.916426313083328","0.939745246856053","0"
"Not disabled","1984","Employed","Not Working","","","","","0"
"Disabled","1985","Not Employed","Full Time","","","","","1"
"Disabled","1985","Not Employed","Part Time","","","","","1"
"Disabled","1985","Not Employed","Not Working","580","0.166458887842243","0.155200347254158","0.177717428430328","1"
"Disabled","1985","Employed","Full Time","254","0.066261787892249","0.0593526928181288","0.0731708829663692","1"
"Disabled","1985","Employed","Part Time","100","0.0631840647995429","0.0521304119741817","0.074237717624904","1"
"Disabled","1985","Employed","Not Working","","","","","1"
"Not disabled","1985","Not Employed","Full Time","","","","","0"
"Not disabled","1985","Not Employed","Part Time","","","","","0"
"Not disabled","1985","Not Employed","Not Working","3625","0.833541112157757","0.822282571569672","0.844799652745842","0"
"Not disabled","1985","Employed","Full Time","4725","0.933738212107751","0.926829117033631","0.940647307181871","0"
"Not disabled","1985","Employed","Part Time","1761","0.936815935200457","0.925762282375096","0.947869588025818","0"
"Not disabled","1985","Employed","Not Working","","","","","0"
"Disabled","1986","Not Employed","Part Time","","","","","1"
"Disabled","1986","Not Employed","Full Time","","","","","1"
"Disabled","1986","Employed","Full Time","3","","","","1"
"Disabled","1986","Not Employed","Not Working","5","","","","1"
"Disabled","1986","Employed","Part Time","","","","","1"
"Disabled","1986","Employed","Not Working","","","","","1"
"Not disabled","1986","Not Employed","Full Time","","","","","0"
"Not disabled","1986","Not Employed","Part Time","","","","","0"
"Not disabled","1986","Not Employed","Not Working","3940","0.999561972989129","0.998909023034449","1.00021492294381","0"
"Not disabled","1986","Employed","Full Time","4862","0.999722296232319","0.999254089942421","1.00019050252222","0"
"Not disabled","1986","Employed","Part Time","1833","1","1","1","0"
"Not disabled","1986","Employed","Not Working","","","","","0"
"Disabled","1987","Not Employed","Full Time","","","","","1"
"Disabled","1987","Not Employed","Part Time","","","","","1"
"Disabled","1987","Employed","Full Time","249","0.0617108963957431","0.054964432735284","0.0684573600562022","1"
"Disabled","1987","Not Employed","Not Working","564","0.18187153674694","0.169564875043345","0.194178198450536","1"
"Disabled","1987","Employed","Part Time","83","0.0557454295408974","0.0451582810261068","0.0663325780556881","1"
"Disabled","1987","Employed","Not Working","","","","","1"
"Not disabled","1987","Not Employed","Full Time","","","","","0"
"Not disabled","1987","Not Employed","Part Time","","","","","0"
"Not disabled","1987","Not Employed","Not Working","3210","0.81812846325306","0.805821801549464","0.830435124956655","0"
"Not disabled","1987","Employed","Full Time","4638","0.938289103604257","0.931542639943798","0.945035567264716","0"
