"m11124","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","indirect migration background","higher vocational","","","","","1"
"Disabled","1984","indirect migration background","higher education","","","","","1"
"Disabled","1984","indirect migration background","general elemantary","1","","","","1"
"Disabled","1984","indirect migration background","inadequately","1","","","","1"
"Disabled","1984","indirect migration background","in school","","","","","1"
"Disabled","1984","indirect migration background","middle vocational","3","","","","1"
"Disabled","1984","indirect migration background","vocational + Abi","","","","","1"
"Disabled","1984","no migration background","higher vocational","77","0.142862983745811","0.114955890382992","0.170770077108629","1"
"Disabled","1984","no migration background","higher education","57","0.0967574762418285","0.0743222926487914","0.119192659834866","1"
"Disabled","1984","no migration background","inadequately","15","","","","1"
"Disabled","1984","no migration background","general elemantary","252","0.118004739890677","0.104922126024079","0.131087353757275","1"
"Disabled","1984","no migration background","in school","2","","","","1"
"Disabled","1984","no migration background","middle vocational","495","0.120085801222023","0.110714516923321","0.129457085520724","1"
"Disabled","1984","no migration background","vocational + Abi","17","","","","1"
"Disabled","1984","direct migration background","in school","","","","","1"
"Disabled","1984","direct migration background","inadequately","44","0.0497724710059368","0.0358477436403212","0.0636971983715524","1"
"Disabled","1984","direct migration background","general elemantary","27","","","","1"
"Disabled","1984","direct migration background","middle vocational","56","0.089118434693634","0.0717186365527847","0.106518232834483","1"
"Disabled","1984","direct migration background","vocational + Abi","4","","","","1"
"Disabled","1984","direct migration background","higher vocational","5","","","","1"
"Disabled","1984","direct migration background","higher education","7","","","","1"
"Not disabled","1984","no migration background","in school","156","0.989530176097594","0.973659195619126","1.00540115657606","0"
"Not disabled","1984","no migration background","inadequately","62","0.801458699693947","0.712360540155409","0.890556859232485","0"
"Not disabled","1984","no migration background","general elemantary","2084","0.881995260109323","0.868912646242725","0.895077873975921","0"
"Not disabled","1984","no migration background","middle vocational","4127","0.879914198777977","0.870542914479276","0.889285483076679","0"
"Not disabled","1984","no migration background","vocational + Abi","168","0.910935949707392","0.869891223000155","0.951980676414628","0"
"Not disabled","1984","no migration background","higher vocational","527","0.857137016254189","0.829229922891371","0.885044109617008","0"
"Not disabled","1984","no migration background","higher education","610","0.903242523758171","0.880807340165134","0.925677707351209","0"
"Not disabled","1984","direct migration background","in school","21","","","","0"
"Not disabled","1984","direct migration background","inadequately","893","0.950227528994063","0.936302801628448","0.964152256359679","0"
"Not disabled","1984","direct migration background","general elemantary","1042","0.954444792387956","0.941944975244258","0.966944609531655","0"
"Not disabled","1984","direct migration background","middle vocational","974","0.910881565306366","0.893481767165517","0.928281363447215","0"
"Not disabled","1984","direct migration background","vocational + Abi","121","0.972321988733043","0.943563531848565","1.00108044561752","0"
"Not disabled","1984","direct migration background","higher vocational","47","0.917850688315596","0.843217086249393","0.992484290381799","0"
"Not disabled","1984","direct migration background","higher education","115","0.924672719727282","0.877841190235418","0.971504249219145","0"
"Not disabled","1984","indirect migration background","in school","8","","","","0"
"Not disabled","1984","indirect migration background","inadequately","3","","","","0"
"Not disabled","1984","indirect migration background","general elemantary","52","0.962615442590386","0.911543463186175","1.0136874219946","0"
"Not disabled","1984","indirect migration background","middle vocational","51","0.862194385624663","0.770258034667387","0.954130736581939","0"
"Not disabled","1984","indirect migration background","vocational + Abi","1","","","","0"
"Not disabled","1984","indirect migration background","higher vocational","4","","","","0"
"Not disabled","1984","indirect migration background","higher education","3","","","","0"
"Disabled","1985","indirect migration background","general elemantary","","","","","1"
"Disabled","1985","indirect migration background","inadequately","1","","","","1"
"Disabled","1985","indirect migration background","in school","","","","","1"
"Disabled","1985","indirect migration background","higher vocational","1","","","","1"
"Disabled","1985","indirect migration background","higher education","","","","","1"
"Disabled","1985","no migration background","higher vocational","74","0.148328623431325","0.119099053054681","0.177558193807968","1"
"Disabled","1985","indirect migration background","middle vocational","2","","","","1"
"Disabled","1985","indirect migration background","vocational + Abi","","","","","1"
"Disabled","1985","no migration background","higher education","51","0.0908010559661105","0.0685232420074521","0.113078869924769","1"
"Disabled","1985","direct migration background","middle vocational","45","0.095201125577341","0.0761112879617796","0.114290963192902","1"
"Disabled","1985","no migration background","middle vocational","440","0.118280101141882","0.108529711075765","0.128030491208","1"
"Disabled","1985","direct migration background","vocational + Abi","3","","","","1"
"Disabled","1985","direct migration background","higher vocational","7","","","","1"
"Disabled","1985","direct migration background","higher education","5","","","","1"
"Disabled","1985","no migration background","inadequately","20","","","","1"
"Disabled","1985","no migration background","general elemantary","204","0.106045254038568","0.0928324703645717","0.119258037712565","1"
"Disabled","1985","no migration background","vocational + Abi","17","","","","1"
"Disabled","1985","no migration background","in school","1","","","","1"
"Disabled","1985","direct migration background","in school","","","","","1"
"Disabled","1985","direct migration background","inadequately","33","0.0559401532548484","0.0395696609361864","0.0723106455735105","1"
"Disabled","1985","direct migration background","general elemantary","24","","","","1"
"Not disabled","1985","no migration background","in school","154","0.996962361022117","0.988298934395192","1.00562578764904","0"
"Not disabled","1985","no migration background","inadequately","64","0.755116291241542","0.663157063596676","0.847075518886408","0"
"Not disabled","1985","no migration background","general elemantary","1882","0.893954745961432","0.880741962287435","0.907167529635428","0"
"Not disabled","1985","no migration background","middle vocational","3774","0.881719898858118","0.871969508792001","0.891470288924235","0"
"Not disabled","1985","no migration background","vocational + Abi","159","0.899689383960751","0.855306910312985","0.944071857608517","0"
"Not disabled","1985","no migration background","higher vocational","494","0.851671376568675","0.822441806192032","0.880900946945319","0"
"Not disabled","1985","no migration background","higher education","588","0.90919894403389","0.886921130075231","0.931476757992548","0"
"Not disabled","1985","direct migration background","in school","22","","","","0"
"Not disabled","1985","direct migration background","inadequately","724","0.944059846745152","0.927689354426489","0.960430339063814","0"
"Not disabled","1985","direct migration background","general elemantary","896","0.952943736437443","0.939260257529389","0.966627215345497","0"
"Not disabled","1985","direct migration background","middle vocational","863","0.904798874422659","0.885709036807098","0.92388871203822","0"
"Not disabled","1985","direct migration background","vocational + Abi","100","0.976072289000715","0.946558766430671","1.00558581157076","0"
"Not disabled","1985","direct migration background","higher vocational","41","0.864164884411654","0.767240777498011","0.961088991325297","0"
"Not disabled","1985","direct migration background","higher education","105","0.916703950955173","0.865064870384875","0.968343031525471","0"
"Not disabled","1985","indirect migration background","in school","10","","","","0"
"Not disabled","1985","indirect migration background","inadequately","4","","","","0"
"Not disabled","1985","indirect migration background","general elemantary","60","1","1","1","0"
"Not disabled","1985","indirect migration background","middle vocational","55","0.933528072810165","0.868859468273216","0.998196677347114","0"
"Not disabled","1985","indirect migration background","vocational + Abi","","","","","0"
"Not disabled","1985","indirect migration background","higher vocational","3","","","","0"
"Not disabled","1985","indirect migration background","higher education","4","","","","0"
"Disabled","1986","indirect migration background","in school","","","","","1"
"Disabled","1986","indirect migration background","inadequately","","","","","1"
"Disabled","1986","indirect migration background","general elemantary","","","","","1"
"Disabled","1986","indirect migration background","vocational + Abi","","","","","1"
"Disabled","1986","indirect migration background","higher vocational","","","","","1"
"Disabled","1986","indirect migration background","higher education","","","","","1"
"Disabled","1986","no migration background","higher education","","","","","1"
"Disabled","1986","indirect migration background","middle vocational","","","","","1"
"Disabled","1986","no migration background","general elemantary","2","","","","1"
"Disabled","1986","no migration background","middle vocational","3","","","","1"
"Disabled","1986","no migration background","higher vocational","","","","","1"
"Disabled","1986","direct migration background","higher education","","","","","1"
