"m11124","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1985","Urban Area","East Germany","","","","","1"
"Disabled","1985","Rural Area","East Germany","","","","","1"
"Disabled","1985","Urban Area","West Germany","765","0.115545470809241","0.108856054191256","0.122234887427226","1"
"Disabled","1985","Rural Area","West Germany","169","0.0903454748880266","0.0785576039522795","0.102133345823774","1"
"Not disabled","1985","Urban Area","West Germany","8008","0.884454529190759","0.877765112572774","0.891143945808744","0"
"Not disabled","1985","Urban Area","East Germany","","","","","0"
"Not disabled","1985","Rural Area","West Germany","2103","0.909654525111973","0.897866654176226","0.921442396047721","0"
"Not disabled","1985","Rural Area","East Germany","","","","","0"
"Disabled","1986","Urban Area","East Germany","","","","","1"
"Disabled","1986","Rural Area","East Germany","","","","","1"
"Disabled","1986","Urban Area","West Germany","5","","","","1"
"Disabled","1986","Rural Area","West Germany","3","","","","1"
"Not disabled","1986","Urban Area","West Germany","8453","0.999762568509808","0.999434222422048","1.00009091459757","0"
"Not disabled","1986","Urban Area","East Germany","","","","","0"
"Not disabled","1986","Rural Area","West Germany","2182","0.999486982682107","0.998537522066868","1.00043644329734","0"
"Not disabled","1986","Rural Area","East Germany","","","","","0"
"Disabled","1987","Urban Area","East Germany","","","","","1"
"Disabled","1987","Rural Area","East Germany","","","","","1"
"Disabled","1987","Urban Area","West Germany","730","0.115629168135079","0.108755414114487","0.122502922155671","1"
"Disabled","1987","Rural Area","West Germany","166","0.0941633110704848","0.0818210792362009","0.106505542904769","1"
"Not disabled","1987","Urban Area","East Germany","","","","","0"
"Not disabled","1987","Rural Area","West Germany","1985","0.905836688929515","0.893494457095231","0.918178920763799","0"
"Not disabled","1987","Rural Area","East Germany","","","","","0"
"Not disabled","1987","Urban Area","West Germany","7584","0.884370831864921","0.877497077844329","0.891244585885513","0"
"Disabled","1988","Urban Area","East Germany","","","","","1"
"Disabled","1988","Rural Area","East Germany","","","","","1"
"Disabled","1988","Urban Area","West Germany","784","0.12867137658634","0.121316608743928","0.136026144428751","1"
"Disabled","1988","Rural Area","West Germany","171","0.100959643683431","0.0878116756375309","0.114107611729331","1"
"Not disabled","1988","Urban Area","East Germany","","","","","0"
