"m11124","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","in school","Male","94","0.994524142457224","0.979684616626022","1.00936366828843"
"Not disabled","1984","in school","Female","91","0.985187417291219","0.960502652140272","1.00987218244217"
"Not disabled","1984","inadequately","Male","396","0.875446315404289","0.844089182925007","0.906803447883571"
"Not disabled","1984","inadequately","Female","562","0.921165366260405","0.899457628555842","0.942873103964968"
"Not disabled","1984","general elemantary","Male","1044","0.857250129205763","0.837058327205808","0.877441931205718"
"Not disabled","1984","general elemantary","Female","2134","0.900800333924703","0.888596901502884","0.913003766346522"
"Not disabled","1984","middle vocational","Male","2795","0.856827095856382","0.844628746352724","0.86902544536004"
"Not disabled","1984","middle vocational","Female","2357","0.911414289120469","0.900361891657887","0.922466686583052"
"Not disabled","1984","vocational + Abi","Male","178","0.892938410790001","0.84942983959734","0.936446981982663"
"Not disabled","1984","vocational + Abi","Female","112","0.962279305062044","0.927757334672094","0.996801275451994"
"Not disabled","1984","higher vocational","Male","324","0.833143770646375","0.795851943105397","0.870435598187352"
"Not disabled","1984","higher vocational","Female","254","0.901262657156631","0.866069360022498","0.936455954290764"
"Not disabled","1984","higher education","Male","484","0.887310101829243","0.86054025400865","0.914079949649836"
"Not disabled","1984","higher education","Female","244","0.943173126764913","0.914813487795209","0.971532765734617"
"Disabled","1984","in school","Male","1","","",""
"Disabled","1984","in school","Female","1","","",""
"Disabled","1984","inadequately","Male","30","0.124553684595711","0.0931965521164293","0.155910817074993"
"Disabled","1984","inadequately","Female","30","0.0788346337395949","0.0571268960350319","0.100542371444158"
"Disabled","1984","general elemantary","Male","109","0.142749870794237","0.122558068794282","0.162941672794192"
"Disabled","1984","general elemantary","Female","171","0.0991996660752966","0.0869962336534777","0.111403098497116"
"Disabled","1984","middle vocational","Male","372","0.143172904143618","0.130974554639959","0.155371253647276"
"Disabled","1984","middle vocational","Female","182","0.0885857108795307","0.0775333134169481","0.0996381083421132"
"Disabled","1984","vocational + Abi","Male","16","","",""
"Disabled","1984","vocational + Abi","Female","5","","",""
"Disabled","1984","higher vocational","Male","60","0.166856229353625","0.129564401812648","0.204148056894603"
"Disabled","1984","higher vocational","Female","22","","",""
"Disabled","1984","higher education","Male","52","0.112689898170757","0.085920050350164","0.13945974599135"
"Disabled","1984","higher education","Female","12","","",""
"Not disabled","1985","in school","Male","111","0.995293932153333","0.982619052340795","1.00796881196587"
"Not disabled","1985","in school","Female","75","1","1","1"
"Not disabled","1985","inadequately","Male","324","0.810625414836447","0.769925448770995","0.851325380901899"
"Not disabled","1985","inadequately","Female","468","0.92305705678433","0.899460495292755","0.946653618275906"
"Not disabled","1985","general elemantary","Male","941","0.863692975189341","0.842769359087791","0.884616591290892"
"Not disabled","1985","general elemantary","Female","1897","0.913443326297033","0.901220532516321","0.925666120077745"
"Not disabled","1985","middle vocational","Male","2514","0.856113246599023","0.843209611611544","0.869016881586502"
"Not disabled","1985","middle vocational","Female","2178","0.914866032008157","0.903551178795582","0.926180885220732"
