"m11124","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Not Employed","general elemantary","214","0.146919883056823","0.130333019828419","0.163506746285227","1"
"Disabled","1984","Not Employed","middle vocational","317","0.19285742112551","0.175018112969258","0.210696729281761","1"
"Disabled","1984","Employed","higher vocational","41","0.0934628842187135","0.0672586601354598","0.119667108301967","1"
"Disabled","1984","Employed","higher education","33","0.0621828074069635","0.0433556909171591","0.0810099238967679","1"
"Disabled","1984","Not Employed","inadequately","30","0.121210381860863","0.0883524023433216","0.154068361378405","1"
"Disabled","1984","Not Employed","vocational + Abi","12","","","","1"
"Disabled","1984","Employed","vocational + Abi","9","","","","1"
"Disabled","1984","Not Employed","higher vocational","41","0.234601728722065","0.1737040187646","0.295499438679529","1"
"Disabled","1984","Not Employed","in school","2","","","","1"
"Disabled","1984","Employed","middle vocational","237","0.0722417009700774","0.0640395026577879","0.0804438992823668","1"
"Disabled","1984","Not Employed","higher education","31","0.202948752748031","0.140629187369725","0.265268318126337","1"
"Disabled","1984","Employed","in school","","","","","1"
"Disabled","1984","Employed","inadequately","30","0.0811488557261158","0.0599768773224161","0.102320834129816","1"
"Disabled","1984","Employed","general elemantary","66","0.0546458841502706","0.0438668425988167","0.0654249257017245","1"
"Not disabled","1984","Not Employed","in school","176","0.989329031199437","0.974234821069701","1.00442324132917","0"
"Not disabled","1984","Not Employed","inadequately","349","0.878789618139137","0.845931638621595","0.911647597656678","0"
"Not disabled","1984","Not Employed","general elemantary","1536","0.853080116943177","0.836493253714773","0.869666980171581","0"
"Not disabled","1984","Not Employed","middle vocational","1562","0.80714257887449","0.789303270718239","0.824981887030742","0"
"Not disabled","1984","Not Employed","vocational + Abi","69","0.85474950975692","0.778016220482791","0.93148279903105","0"
"Not disabled","1984","Not Employed","higher vocational","145","0.765398271277935","0.704500561320471","0.8262959812354","0"
"Not disabled","1984","Not Employed","higher education","129","0.797051247251969","0.734731681873663","0.859370812630275","0"
"Not disabled","1984","Employed","in school","9","","","","0"
"Not disabled","1984","Employed","inadequately","609","0.918851144273884","0.897679165870184","0.940023122677584","0"
"Not disabled","1984","Employed","general elemantary","1642","0.945354115849729","0.934575074298275","0.956133157401183","0"
"Not disabled","1984","Employed","middle vocational","3590","0.927758299029923","0.919556100717633","0.935960497342212","0"
"Not disabled","1984","Employed","vocational + Abi","221","0.950603777906402","0.922599085409864","0.978608470402941","0"
"Not disabled","1984","Employed","higher vocational","433","0.906537115781286","0.880332891698033","0.93274133986454","0"
"Not disabled","1984","Employed","higher education","599","0.937817192593037","0.918990076103232","0.956644309082841","0"
"Disabled","1985","Not Employed","vocational + Abi","13","","","","1"
"Disabled","1985","Not Employed","higher vocational","44","0.275883635542779","0.208297035221715","0.343470235863843","1"
"Disabled","1985","Not Employed","middle vocational","293","0.197717990502474","0.178857367670597","0.216578613334351","1"
"Disabled","1985","Not Employed","general elemantary","166","0.128863485794285","0.112069553626052","0.145657417962518","1"
"Disabled","1985","Not Employed","inadequately","36","0.203924251138827","0.161096993349773","0.246751508927881","1"
"Disabled","1985","Not Employed","in school","1","","","","1"
"Disabled","1985","Employed","vocational + Abi","7","","","","1"
"Disabled","1985","Employed","higher vocational","38","0.0923843328149127","0.0656893879012897","0.119079277728536","1"
"Disabled","1985","Employed","middle vocational","194","0.0662173538757572","0.0579390260244768","0.0744956817270376","1"
"Disabled","1985","Employed","higher education","33","0.0640277419353009","0.044553106937179","0.0835023769334229","1"
"Disabled","1985","Not Employed","higher education","23","","","","1"
"Disabled","1985","Employed","in school","","","","","1"
"Disabled","1985","Employed","inadequately","18","","","","1"
"Disabled","1985","Employed","general elemantary","62","0.0556883674987275","0.044223974362653","0.0671527606348021","1"
"Not disabled","1985","Not Employed","in school","179","0.997012842344582","0.98904040184228","1.00498528284688","0"
"Not disabled","1985","Not Employed","inadequately","304","0.796075748861173","0.753248491072119","0.838903006650227","0"
"Not disabled","1985","Not Employed","general elemantary","1363","0.871136514205715","0.854342582037482","0.887930446373948","0"
"Not disabled","1985","Not Employed","middle vocational","1420","0.802282009497526","0.783421386665649","0.821142632329403","0"
"Not disabled","1985","Not Employed","vocational + Abi","66","0.830104030934553","0.747292208117662","0.912915853751444","0"
"Not disabled","1985","Not Employed","higher vocational","124","0.724116364457221","0.656529764136157","0.791702964778285","0"
"Not disabled","1985","Not Employed","higher education","123","0.821266648043729","0.759120164995075","0.883413131092383","0"
"Not disabled","1985","Employed","in school","7","","","","0"
"Not disabled","1985","Employed","inadequately","488","0.942236149626488","0.921908798881336","0.96256350037164","0"
"Not disabled","1985","Employed","general elemantary","1475","0.944311632501272","0.932847239365198","0.955776025637347","0"
"Not disabled","1985","Employed","middle vocational","3272","0.933782646124243","0.925504318272962","0.942060973975523","0"
"Not disabled","1985","Employed","vocational + Abi","193","0.953346731996923","0.924118700293917","0.982574763699929","0"
"Not disabled","1985","Employed","higher vocational","414","0.907615667185087","0.880920722271464","0.93431061209871","0"
"Not disabled","1985","Employed","higher education","574","0.935972258064699","0.916497623066577","0.955446893062821","0"
"Disabled","1986","Not Employed","inadequately","2","","","","1"
"Disabled","1986","Not Employed","general elemantary","2","","","","1"
"Disabled","1986","Employed","higher education","","","","","1"
"Disabled","1986","Not Employed","middle vocational","","","","","1"
"Disabled","1986","Employed","vocational + Abi","","","","","1"
"Disabled","1986","Not Employed","vocational + Abi","","","","","1"
"Disabled","1986","Not Employed","higher vocational","","","","","1"
"Disabled","1986","Employed","higher vocational","","","","","1"
"Disabled","1986","Not Employed","in school","1","","","","1"
"Disabled","1986","Employed","middle vocational","3","","","","1"
"Disabled","1986","Not Employed","higher education","","","","","1"
"Disabled","1986","Employed","in school","","","","","1"
"Disabled","1986","Employed","inadequately","","","","","1"
"Disabled","1986","Employed","general elemantary","","","","","1"
"Not disabled","1986","Not Employed","in school","182","0.996055366123367","0.986973655993223","1.00513707625351","0"
"Not disabled","1986","Not Employed","inadequately","322","0.993921856829764","0.985458606842092","1.00238510681744","0"
"Not disabled","1986","Not Employed","general elemantary","1379","0.999590389599374","0.998523184785677","1.00065759441307","0"
"Not disabled","1986","Not Employed","middle vocational","1637","1","1","1","0"
"Not disabled","1986","Not Employed","vocational + Abi","73","1","1","1","0"
"Not disabled","1986","Not Employed","higher vocational","165","1","1","1","0"
"Not disabled","1986","Not Employed","higher education","144","1","1","1","0"
"Not disabled","1986","Employed","in school","5","","","","0"
"Not disabled","1986","Employed","inadequately","466","1","1","1","0"
"Not disabled","1986","Employed","general elemantary","1543","1","1","1","0"
"Not disabled","1986","Employed","middle vocational","3375","0.99964515053539","0.999010019584178","1.0002802814866","0"
"Not disabled","1986","Employed","vocational + Abi","205","1","1","1","0"
"Not disabled","1986","Employed","higher vocational","418","1","1","1","0"
