"m11124","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","no migration background","Male","3580","0.856855321214874","0.846153509629778","0.86755713279997"
"Not disabled","1984","no migration background","Female","4162","0.904088843043625","0.895529789686972","0.912647896400278"
"Not disabled","1984","direct migration background","Male","1707","0.907106341453881","0.893744345857748","0.920468337050014"
"Not disabled","1984","direct migration background","Female","1557","0.963807313147133","0.954647193334106","0.97296743296016"
"Not disabled","1984","indirect migration background","Male","57","0.795789585165878","0.695445837862866","0.89613333246889"
"Not disabled","1984","indirect migration background","Female","65","0.996998845783567","0.983802077010536","1.0101956145566"
"Disabled","1984","no migration background","Male","534","0.143144678785126","0.13244286720003","0.153846490370221"
"Disabled","1984","no migration background","Female","385","0.095911156956375","0.0873521035997224","0.104470210313028"
"Disabled","1984","direct migration background","Male","106","0.0928936585461192","0.0795316629499863","0.106255654142252"
"Disabled","1984","direct migration background","Female","40","0.0361926868528671","0.0270325670398403","0.045352806665894"
"Disabled","1984","indirect migration background","Male","5","","",""
"Disabled","1984","indirect migration background","Female","1","","",""
"Not disabled","1985","no migration background","Male","3325","0.859270716038894","0.848224490730328","0.870316941347459"
"Not disabled","1985","no migration background","Female","3830","0.909573427345831","0.900858408249404","0.918288446442257"
"Not disabled","1985","direct migration background","Male","1478","0.900338486610155","0.885488185880669","0.91518878733964"
"Not disabled","1985","direct migration background","Female","1339","0.958438283855329","0.94787355936213","0.969003008348528"
"Not disabled","1985","indirect migration background","Male","63","0.913411854171167","0.845563601902442","0.981260106439891"
"Not disabled","1985","indirect migration background","Female","76","0.948391923145137","0.89929508199808","0.997488764292195"
"Disabled","1985","no migration background","Male","482","0.140729283961106","0.129683058652541","0.151775509269672"
"Disabled","1985","no migration background","Female","330","0.0904265726541692","0.0817115535577429","0.0991415917505956"
"Disabled","1985","direct migration background","Male","85","0.0996615133898453","0.0848112126603595","0.114511814119331"
"Disabled","1985","direct migration background","Female","32","0.0415617161446711","0.0309969916514722","0.0521264406378699"
"Disabled","1985","indirect migration background","Male","3","","",""
"Disabled","1985","indirect migration background","Female","2","","",""
"Not disabled","1986","no migration background","Male","3650","0.9995971407873","0.998946482490598","1.000247799084"
"Not disabled","1986","no migration background","Female","3974","0.999739253512555","0.999237462473894","1.00024104455122"
"Not disabled","1986","direct migration background","Male","1539","1","1","1"
"Not disabled","1986","direct migration background","Female","1316","0.999812884852127","0.999074183248574","1.00055158645568"
"Not disabled","1986","indirect migration background","Male","73","1","1","1"
"Not disabled","1986","indirect migration background","Female","83","1","1","1"
"Disabled","1986","no migration background","Male","4","","",""
"Disabled","1986","no migration background","Female","3","","",""
"Disabled","1986","direct migration background","Male","","","",""
"Disabled","1986","direct migration background","Female","1","","",""
"Disabled","1986","indirect migration background","Male","","","",""
"Disabled","1986","indirect migration background","Female","","","",""
"Not disabled","1987","no migration background","Male","3157","0.864650086063439","0.853458012697886","0.875842159428991"
"Not disabled","1987","no migration background","Female","3559","0.905956292504115","0.896762410817781","0.91515017419045"
"Not disabled","1987","direct migration background","Male","1414","0.881568652133465","0.865303433861724","0.897833870405206"
"Not disabled","1987","direct migration background","Female","1270","0.944113777681894","0.931684504934698","0.956543050429089"
"Not disabled","1987","indirect migration background","Male","79","0.874251441440859","0.802920372688989","0.945582510192729"
"Not disabled","1987","indirect migration background","Female","90","0.920260123243101","0.865204751606334","0.975315494879869"
"Disabled","1987","no migration background","Male","432","0.135349913936561","0.124157840571009","0.146541987302114"
"Disabled","1987","no migration background","Female","313","0.0940437074958846","0.0848498258095499","0.103237589182219"
"Disabled","1987","direct migration background","Male","102","0.118431347866535","0.102166129594794","0.134696566138276"
"Disabled","1987","direct migration background","Female","42","0.0558862223181065","0.043456949570911","0.0683154950653021"
"Disabled","1987","indirect migration background","Male","4","","",""
"Disabled","1987","indirect migration background","Female","3","","",""
"Not disabled","1988","no migration background","Male","2970","0.853931038769248","0.842085819424392","0.865776258114105"
"Not disabled","1988","no migration background","Female","3339","0.894719597481611","0.884776429152889","0.904662765810332"
"Not disabled","1988","direct migration background","Male","1292","0.86412828636313","0.846262149881673","0.881994422844587"
"Not disabled","1988","direct migration background","Female","1210","0.927092426355258","0.912782536087936","0.941402316622581"
"Not disabled","1988","indirect migration background","Male","104","0.887752626908627","0.827940357852723","0.94756489596453"
"Not disabled","1988","indirect migration background","Female","109","0.909301071670257","0.857040515694412","0.961561627646101"
"Disabled","1988","no migration background","Male","445","0.146068961230751","0.134223741885895","0.157914180575608"
"Disabled","1988","no migration background","Female","321","0.10528040251839","0.095337234189668","0.115223570847111"
"Disabled","1988","direct migration background","Male","121","0.13587171363687","0.118005577155413","0.153737850118327"
"Disabled","1988","direct migration background","Female","58","0.0729075736447415","0.0585976833774187","0.0872174639120643"
"Disabled","1988","indirect migration background","Male","3","","",""
"Disabled","1988","indirect migration background","Female","7","","",""
"Not disabled","1989","no migration background","Male","2849","0.847612789351744","0.835324616215365","0.859900962488123"
"Not disabled","1989","no migration background","Female","3194","0.886927857794032","0.876472182218958","0.897383533369106"
"Not disabled","1989","direct migration background","Male","1239","0.871488592728012","0.853656558633954","0.889320626822071"
"Not disabled","1989","direct migration background","Female","1187","0.933070626173025","0.91918378269051","0.94695746965554"
"Not disabled","1989","indirect migration background","Male","120","0.906715279512076","0.855318458283471","0.958112100740681"
"Not disabled","1989","indirect migration background","Female","131","0.916200734921571","0.869802310813248","0.962599159029893"
"Disabled","1989","no migration background","Male","437","0.152387210648256","0.140099037511877","0.164675383784635"
"Disabled","1989","no migration background","Female","330","0.113072142205968","0.102616466630894","0.123527817781042"
"Disabled","1989","direct migration background","Male","114","0.128511407271988","0.110679373177929","0.146343441366046"
"Disabled","1989","direct migration background","Female","57","0.0669293738269753","0.0530425303444601","0.0808162173094905"
"Disabled","1989","indirect migration background","Male","3","","",""
"Disabled","1989","indirect migration background","Female","6","","",""
"Not disabled","1990","no migration background","Male","","","",""
"Not disabled","1990","no migration background","Female","","","",""
"Not disabled","1990","direct migration background","Male","","","",""
"Not disabled","1990","direct migration background","Female","","","",""
"Not disabled","1990","indirect migration background","Male","","","",""
"Not disabled","1990","indirect migration background","Female","","","",""
"Disabled","1990","no migration background","Male","","","",""
"Disabled","1990","no migration background","Female","","","",""
"Disabled","1990","direct migration background","Male","","","",""
"Disabled","1990","direct migration background","Female","","","",""
"Disabled","1990","indirect migration background","Male","","","",""
"Disabled","1990","indirect migration background","Female","","","",""
"Not disabled","1991","no migration background","Male","4654","0.878803396542551","0.869837777369296","0.887769015715807"
"Not disabled","1991","no migration background","Female","5221","0.91028815739579","0.902769244332416","0.917807070459165"
"Not disabled","1991","direct migration background","Male","1242","0.870033933001376","0.852253685232171","0.88781418077058"
"Not disabled","1991","direct migration background","Female","1204","0.93113740002845","0.917166737344002","0.945108062712897"
"Not disabled","1991","indirect migration background","Male","173","0.936252109097688","0.900159267792064","0.972344950403313"
"Not disabled","1991","indirect migration background","Female","170","0.953858316911275","0.922775689819937","0.984940944002614"
"Disabled","1991","no migration background","Male","436","0.121196603457449","0.112230984284193","0.130162222630704"
"Disabled","1991","no migration background","Female","328","0.0897118426042099","0.0821929295408354","0.0972307556675844"
"Disabled","1991","direct migration background","Male","132","0.129966066998624","0.112185819229419","0.147746314767829"
"Disabled","1991","direct migration background","Female","58","0.0688625999715503","0.0548919372871027","0.0828332626559979"
"Disabled","1991","indirect migration background","Male","3","","",""
"Disabled","1991","indirect migration background","Female","5","","",""
"Not disabled","1992","no migration background","Male","4362","0.861978709679918","0.852329918973652","0.871627500386183"
"Not disabled","1992","no migration background","Female","4991","0.893261173160123","0.885037625677605","0.901484720642641"
