"m11124","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","1-pers.-HH","in school","1","","",""
"Not disabled","1984","1-pers.-HH","inadequately","66","0.946056522696169","0.893135639630478","0.99897740576186"
"Not disabled","1984","1-pers.-HH","general elemantary","324","0.823674730240855","0.785852168790689","0.861497291691021"
"Not disabled","1984","1-pers.-HH","middle vocational","533","0.836845651520469","0.807736819825095","0.865954483215843"
"Not disabled","1984","1-pers.-HH","vocational + Abi","45","0.974098833900028","0.928196967416979","1.02000070038308"
"Not disabled","1984","1-pers.-HH","higher vocational","69","0.827955701975573","0.746266461650716","0.90964494230043"
"Not disabled","1984","1-pers.-HH","higher education","111","0.948122473658274","0.907936267266126","0.988308680050422"
"Not disabled","1984","(Married) couple without C. ","in school","2","","",""
"Not disabled","1984","(Married) couple without C. ","inadequately","116","0.94441949781987","0.904728975725664","0.984110019914075"
"Not disabled","1984","(Married) couple without C. ","general elemantary","599","0.839434979797104","0.812179696382726","0.866690263211482"
"Not disabled","1984","(Married) couple without C. ","middle vocational","1168","0.801004674364822","0.780180408231036","0.821828940498607"
"Not disabled","1984","(Married) couple without C. ","vocational + Abi","73","0.818552962871943","0.736624093600671","0.900481832143215"
"Not disabled","1984","(Married) couple without C. ","higher vocational","128","0.776916064593377","0.712609345523679","0.841222783663074"
"Not disabled","1984","(Married) couple without C. ","higher education","171","0.807450201678732","0.753208977856756","0.861691425500707"
"Not disabled","1984","Single parent ","in school","16","","",""
"Not disabled","1984","Single parent ","inadequately","43","0.709045198464279","0.583148942915621","0.834941454012937"
"Not disabled","1984","Single parent ","general elemantary","185","0.906101684226693","0.86567664376405","0.946526724689335"
"Not disabled","1984","Single parent ","middle vocational","240","0.917469154878058","0.883892137121585","0.951046172634532"
"Not disabled","1984","Single parent ","vocational + Abi","8","","",""
"Not disabled","1984","Single parent ","higher vocational","24","","",""
"Not disabled","1984","Single parent ","higher education","17","","",""
"Not disabled","1984","Couple + C. LE 16 ","in school","","","",""
"Not disabled","1984","Couple + C. LE 16 ","inadequately","314","0.966942513746265","0.94732301126504","0.986562016227491"
"Not disabled","1984","Couple + C. LE 16 ","general elemantary","642","0.946077907409733","0.928898393525356","0.96325742129411"
"Not disabled","1984","Couple + C. LE 16 ","middle vocational","1446","0.956484022607622","0.946183608238845","0.966784436976398"
"Not disabled","1984","Couple + C. LE 16 ","vocational + Abi","81","0.978081839465319","0.946770755894015","1.00939292303662"
"Not disabled","1984","Couple + C. LE 16 ","higher vocational","196","0.940952499897071","0.908841966020781","0.973063033773361"
"Not disabled","1984","Couple + C. LE 16 ","higher education","263","0.984679533336131","0.969919384887743","0.999439681784518"
"Not disabled","1984","Couple + C. GT 16 ","in school","79","1","1","1"
"Not disabled","1984","Couple + C. GT 16 ","inadequately","132","0.86057555081044","0.804388578079358","0.916762523541521"
"Not disabled","1984","Couple + C. GT 16 ","general elemantary","554","0.925477343353235","0.904286455889954","0.946668230816516"
"Not disabled","1984","Couple + C. GT 16 ","middle vocational","856","0.905820678108992","0.887089135362032","0.924552220855952"
"Not disabled","1984","Couple + C. GT 16 ","vocational + Abi","35","0.959204311255583","0.896308896036906","1.02209972647426"
"Not disabled","1984","Couple + C. GT 16 ","higher vocational","78","0.807254650061086","0.728348708437659","0.886160591684512"
"Not disabled","1984","Couple + C. GT 16 ","higher education","84","0.861617700285064","0.792901394788334","0.930334005781794"
"Not disabled","1984","Couple + C. LE and GT 16","in school","78","1","1","1"
"Not disabled","1984","Couple + C. LE and GT 16","inadequately","213","0.927562797951559","0.893388118585288","0.96173747731783"
"Not disabled","1984","Couple + C. LE and GT 16","general elemantary","581","0.974888200868277","0.96231615578802","0.987460245948535"
"Not disabled","1984","Couple + C. LE and GT 16","middle vocational","641","0.942108777335627","0.924568703344974","0.959648851326279"
"Not disabled","1984","Couple + C. LE and GT 16","vocational + Abi","23","","",""
"Not disabled","1984","Couple + C. LE and GT 16","higher vocational","43","0.910627323902091","0.829068325841707","0.992186321962475"
"Not disabled","1984","Couple + C. LE and GT 16","higher education","54","0.905358858811853","0.830667141108469","0.980050576515238"
"Disabled","1984","1-pers.-HH","in school","","","",""
"Disabled","1984","1-pers.-HH","inadequately","4","","",""
"Disabled","1984","1-pers.-HH","general elemantary","66","0.176325269759145","0.138502708308979","0.214147831209311"
"Disabled","1984","1-pers.-HH","middle vocational","86","0.163154348479531","0.134045516784157","0.192263180174905"
"Disabled","1984","1-pers.-HH","vocational + Abi","1","","",""
"Disabled","1984","1-pers.-HH","higher vocational","13","","",""
"Disabled","1984","1-pers.-HH","higher education","6","","",""
"Disabled","1984","(Married) couple without C. ","in school","","","",""
"Disabled","1984","(Married) couple without C. ","inadequately","12","","",""
"Disabled","1984","(Married) couple without C. ","general elemantary","98","0.160565020202896","0.133309736788518","0.187820303617274"
"Disabled","1984","(Married) couple without C. ","middle vocational","244","0.198995325635178","0.178171059501393","0.219819591768964"
"Disabled","1984","(Married) couple without C. ","vocational + Abi","12","","",""
"Disabled","1984","(Married) couple without C. ","higher vocational","33","0.223083935406623","0.158777216336926","0.287390654476321"
"Disabled","1984","(Married) couple without C. ","higher education","32","0.192549798321268","0.138308574499293","0.246791022143244"
"Disabled","1984","Single parent ","in school","1","","",""
"Disabled","1984","Single parent ","inadequately","7","","",""
"Disabled","1984","Single parent ","general elemantary","15","","",""
"Disabled","1984","Single parent ","middle vocational","18","","",""
"Disabled","1984","Single parent ","vocational + Abi","","","",""
"Disabled","1984","Single parent ","higher vocational","2","","",""
"Disabled","1984","Single parent ","higher education","","","",""
"Disabled","1984","Couple + C. LE 16 ","in school","","","",""
"Disabled","1984","Couple + C. LE 16 ","inadequately","5","","",""
"Disabled","1984","Couple + C. LE 16 ","general elemantary","22","","",""
"Disabled","1984","Couple + C. LE 16 ","middle vocational","61","0.0435159773923783","0.0332155630236017","0.0538163917611549"
"Disabled","1984","Couple + C. LE 16 ","vocational + Abi","3","","",""
"Disabled","1984","Couple + C. LE 16 ","higher vocational","11","","",""
"Disabled","1984","Couple + C. LE 16 ","higher education","3","","",""
"Disabled","1984","Couple + C. GT 16 ","in school","","","",""
"Disabled","1984","Couple + C. GT 16 ","inadequately","14","","",""
"Disabled","1984","Couple + C. GT 16 ","general elemantary","36","0.0745226566467647","0.0533317691834839","0.0957135441100456"
"Disabled","1984","Couple + C. GT 16 ","middle vocational","78","0.0941793218910082","0.0754477791440485","0.112910864637968"
"Disabled","1984","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Disabled","1984","Couple + C. GT 16 ","higher vocational","18","","",""
"Disabled","1984","Couple + C. GT 16 ","higher education","13","","",""
"Disabled","1984","Couple + C. LE and GT 16","in school","","","",""
"Disabled","1984","Couple + C. LE and GT 16","inadequately","8","","",""
"Disabled","1984","Couple + C. LE and GT 16","general elemantary","14","","",""
"Disabled","1984","Couple + C. LE and GT 16","middle vocational","40","0.0578912226643734","0.0403511486737207","0.075431296655026"
"Disabled","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Disabled","1984","Couple + C. LE and GT 16","higher vocational","4","","",""
"Disabled","1984","Couple + C. LE and GT 16","higher education","5","","",""
"Not disabled","1985","1-pers.-HH","in school","","","",""
"Not disabled","1985","1-pers.-HH","inadequately","53","0.921862476980217","0.850932529999497","0.992792423960936"
"Not disabled","1985","1-pers.-HH","general elemantary","295","0.873172111359454","0.837642500574775","0.908701722144132"
"Not disabled","1985","1-pers.-HH","middle vocational","481","0.854815283610229","0.825426937788625","0.884203629431832"
"Not disabled","1985","1-pers.-HH","vocational + Abi","38","0.947257659749667","0.877989786065287","1.01652553343405"
"Not disabled","1985","1-pers.-HH","higher vocational","65","0.782943003324462","0.693167561721214","0.872718444927711"
"Not disabled","1985","1-pers.-HH","higher education","100","0.937528227320402","0.891457056487142","0.983599398153661"
"Not disabled","1985","(Married) couple without C. ","in school","","","",""
"Not disabled","1985","(Married) couple without C. ","inadequately","89","0.938717159235349","0.891470912198465","0.985963406272233"
"Not disabled","1985","(Married) couple without C. ","general elemantary","505","0.828653077861008","0.798375987574673","0.858930168147343"
"Not disabled","1985","(Married) couple without C. ","middle vocational","1059","0.799985986390155","0.778140507904578","0.821831464875731"
"Not disabled","1985","(Married) couple without C. ","vocational + Abi","64","0.806862213948719","0.718110937478337","0.8956134904191"
"Not disabled","1985","(Married) couple without C. ","higher vocational","125","0.791136702283881","0.72714272929519","0.855130675272571"
"Not disabled","1985","(Married) couple without C. ","higher education","163","0.819534261210052","0.765136826989456","0.873931695430647"
"Not disabled","1985","Single parent ","in school","19","","",""
"Not disabled","1985","Single parent ","inadequately","37","0.786638206638626","0.66273878178178","0.910537631495471"
"Not disabled","1985","Single parent ","general elemantary","182","0.932378784568592","0.896861876231822","0.967895692905363"
