"m11124","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","1-pers.-HH","no migration background","919","0.838724680173684","0.816830579175342","0.860618781172026"
"Not disabled","1984","1-pers.-HH","direct migration background","227","0.944091077693419","0.914902890719636","0.973279264667203"
"Not disabled","1984","1-pers.-HH","indirect migration background","5","","",""
"Not disabled","1984","(Married) couple without C. ","no migration background","1826","0.807263731203019","0.790866602567866","0.823660859838172"
"Not disabled","1984","(Married) couple without C. ","direct migration background","430","0.883614362570079","0.854435377707269","0.912793347432889"
"Not disabled","1984","(Married) couple without C. ","indirect migration background","9","","",""
"Not disabled","1984","Single parent ","no migration background","403","0.904060085376307","0.876573100226685","0.931547070525928"
"Not disabled","1984","Single parent ","direct migration background","123","0.932769027705525","0.889386499206438","0.976151556204611"
"Not disabled","1984","Single parent ","indirect migration background","8","","",""
"Not disabled","1984","Couple + C. LE 16 ","no migration background","1793","0.957238447599407","0.948061194049641","0.966415701149173"
"Not disabled","1984","Couple + C. LE 16 ","direct migration background","1158","0.956080143158297","0.944432588132264","0.967727698184331"
"Not disabled","1984","Couple + C. LE 16 ","indirect migration background","20","","",""
"Not disabled","1984","Couple + C. GT 16 ","no migration background","1337","0.907247279596642","0.892402997481789","0.922091561711495"
"Not disabled","1984","Couple + C. GT 16 ","direct migration background","446","0.911049020405736","0.885502300768326","0.936595740043147"
"Not disabled","1984","Couple + C. GT 16 ","indirect migration background","43","0.837474179796194","0.730859729636495","0.944088629955893"
"Not disabled","1984","Couple + C. LE and GT 16","no migration background","955","0.951875873086916","0.938636944916436","0.965114801257395"
"Not disabled","1984","Couple + C. LE and GT 16","direct migration background","655","0.96575114829031","0.95206160787562","0.979440688704999"
"Not disabled","1984","Couple + C. LE and GT 16","indirect migration background","33","0.942187895583542","0.863739009383681","1.0206367817834"
"Disabled","1984","1-pers.-HH","no migration background","165","0.161275319826316","0.139381218827974","0.183169420824658"
"Disabled","1984","1-pers.-HH","direct migration background","11","","",""
"Disabled","1984","1-pers.-HH","indirect migration background","1","","",""
"Disabled","1984","(Married) couple without C. ","no migration background","397","0.192736268796981","0.176339140161828","0.209133397432134"
"Disabled","1984","(Married) couple without C. ","direct migration background","34","0.116385637429921","0.0872066525671108","0.145564622292731"
"Disabled","1984","(Married) couple without C. ","indirect migration background","1","","",""
"Disabled","1984","Single parent ","no migration background","38","0.0959399146236933","0.0684529294740716","0.123426899773315"
"Disabled","1984","Single parent ","direct migration background","5","","",""
"Disabled","1984","Single parent ","indirect migration background","","","",""
"Disabled","1984","Couple + C. LE 16 ","no migration background","74","0.042761552400593","0.0335842988508266","0.0519388059503594"
"Disabled","1984","Couple + C. LE 16 ","direct migration background","31","0.0439198568417026","0.0322723018156692","0.0555674118677359"
"Disabled","1984","Couple + C. LE 16 ","indirect migration background","","","",""
"Disabled","1984","Couple + C. GT 16 ","no migration background","130","0.0927527204033577","0.0779084382885048","0.107597002518211"
"Disabled","1984","Couple + C. GT 16 ","direct migration background","31","0.0889509795942636","0.0634042599568529","0.114497699231674"
"Disabled","1984","Couple + C. GT 16 ","indirect migration background","3","","",""
"Disabled","1984","Couple + C. LE and GT 16","no migration background","49","0.0481241269130843","0.0348851987426045","0.0613630550835641"
"Disabled","1984","Couple + C. LE and GT 16","direct migration background","23","","",""
"Disabled","1984","Couple + C. LE and GT 16","indirect migration background","1","","",""
"Not disabled","1985","1-pers.-HH","no migration background","836","0.859121002440782","0.837205031961409","0.881036972920155"
"Not disabled","1985","1-pers.-HH","direct migration background","193","0.946530225839233","0.915351776512639","0.977708675165827"
"Not disabled","1985","1-pers.-HH","indirect migration background","7","","",""
"Not disabled","1985","(Married) couple without C. ","no migration background","1646","0.806512293105931","0.78922979216074","0.823794794051123"
"Not disabled","1985","(Married) couple without C. ","direct migration background","366","0.857007018288035","0.822871464033092","0.891142572542978"
"Not disabled","1985","(Married) couple without C. ","indirect migration background","8","","",""
"Not disabled","1985","Single parent ","no migration background","384","0.928357829863866","0.903425133462825","0.953290526264906"
"Not disabled","1985","Single parent ","direct migration background","114","0.953624501276026","0.915518958064369","0.991730044487682"
"Not disabled","1985","Single parent ","indirect migration background","13","","",""
"Not disabled","1985","Couple + C. LE 16 ","no migration background","1617","0.954911854733991","0.945010300342132","0.96481340912585"
"Not disabled","1985","Couple + C. LE 16 ","direct migration background","952","0.960929640714067","0.948761110915524","0.97309817051261"
"Not disabled","1985","Couple + C. LE 16 ","indirect migration background","17","","",""
"Not disabled","1985","Couple + C. GT 16 ","no migration background","1419","0.908845031333995","0.894539039064482","0.923151023603508"
"Not disabled","1985","Couple + C. GT 16 ","direct migration background","400","0.904913164918687","0.877025170977021","0.932801158860354"
"Not disabled","1985","Couple + C. GT 16 ","indirect migration background","41","0.972110030885313","0.922312802125224","1.0219072596454"
"Not disabled","1985","Couple + C. LE and GT 16","no migration background","782","0.957339626765479","0.943490678832027","0.97118857469893"
"Not disabled","1985","Couple + C. LE and GT 16","direct migration background","607","0.96109852628901","0.945890625396564","0.976306427181455"
"Not disabled","1985","Couple + C. LE and GT 16","indirect migration background","48","0.962652322351276","0.910095436857059","1.01520920784549"
"Disabled","1985","1-pers.-HH","no migration background","132","0.140878997559218","0.118963027079845","0.162794968038591"
"Disabled","1985","1-pers.-HH","direct migration background","7","","",""
"Disabled","1985","1-pers.-HH","indirect migration background","1","","",""
"Disabled","1985","(Married) couple without C. ","no migration background","361","0.193487706894069","0.176205205948877","0.21077020783926"
"Disabled","1985","(Married) couple without C. ","direct migration background","38","0.142992981711965","0.108857427457022","0.177128535966908"
"Disabled","1985","(Married) couple without C. ","indirect migration background","1","","",""
"Disabled","1985","Single parent ","no migration background","27","","",""
"Disabled","1985","Single parent ","direct migration background","3","","",""
"Disabled","1985","Single parent ","indirect migration background","","","",""
"Disabled","1985","Couple + C. LE 16 ","no migration background","70","0.0450881452660088","0.0351865908741499","0.0549896996578677"
"Disabled","1985","Couple + C. LE 16 ","direct migration background","22","","",""
"Disabled","1985","Couple + C. LE 16 ","indirect migration background","","","",""
"Disabled","1985","Couple + C. GT 16 ","no migration background","136","0.0911549686660049","0.0768489763964916","0.105460960935518"
"Disabled","1985","Couple + C. GT 16 ","direct migration background","25","","",""
"Disabled","1985","Couple + C. GT 16 ","indirect migration background","1","","",""
"Disabled","1985","Couple + C. LE and GT 16","no migration background","36","0.0426603732345214","0.0288114253010699","0.0565093211679728"
"Disabled","1985","Couple + C. LE and GT 16","direct migration background","14","","",""
"Disabled","1985","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Not disabled","1986","1-pers.-HH","no migration background","924","1","1","1"
"Not disabled","1986","1-pers.-HH","direct migration background","187","1","1","1"
"Not disabled","1986","1-pers.-HH","indirect migration background","11","","",""
"Not disabled","1986","(Married) couple without C. ","no migration background","1984","0.999702507672473","0.998944049309302","1.00046096603564"
"Not disabled","1986","(Married) couple without C. ","direct migration background","390","1","1","1"
"Not disabled","1986","(Married) couple without C. ","indirect migration background","12","","",""
"Not disabled","1986","Single parent ","no migration background","392","1","1","1"
"Not disabled","1986","Single parent ","direct migration background","105","1","1","1"
"Not disabled","1986","Single parent ","indirect migration background","14","","",""
"Not disabled","1986","Couple + C. LE 16 ","no migration background","1503","0.999708599422763","0.99884600610257","1.00057119274296"
"Not disabled","1986","Couple + C. LE 16 ","direct migration background","891","1","1","1"
"Not disabled","1986","Couple + C. LE 16 ","indirect migration background","16","","",""
"Not disabled","1986","Couple + C. GT 16 ","no migration background","1564","0.999481236678461","0.998353457256275","1.00060901610065"
"Not disabled","1986","Couple + C. GT 16 ","direct migration background","493","1","1","1"
"Not disabled","1986","Couple + C. GT 16 ","indirect migration background","48","1","1","1"
"Not disabled","1986","Couple + C. LE and GT 16","no migration background","768","0.999263016085757","0.997344992989457","1.00118103918206"
"Not disabled","1986","Couple + C. LE and GT 16","direct migration background","585","1","1","1"
"Not disabled","1986","Couple + C. LE and GT 16","indirect migration background","49","1","1","1"
"Disabled","1986","1-pers.-HH","no migration background","","","",""
"Disabled","1986","1-pers.-HH","direct migration background","","","",""
"Disabled","1986","1-pers.-HH","indirect migration background","","","",""
"Disabled","1986","(Married) couple without C. ","no migration background","2","","",""
"Disabled","1986","(Married) couple without C. ","direct migration background","","","",""
"Disabled","1986","(Married) couple without C. ","indirect migration background","","","",""
"Disabled","1986","Single parent ","no migration background","","","",""
"Disabled","1986","Single parent ","direct migration background","","","",""
"Disabled","1986","Single parent ","indirect migration background","","","",""
"Disabled","1986","Couple + C. LE 16 ","no migration background","1","","",""
"Disabled","1986","Couple + C. LE 16 ","direct migration background","","","",""
"Disabled","1986","Couple + C. LE 16 ","indirect migration background","","","",""
"Disabled","1986","Couple + C. GT 16 ","no migration background","2","","",""
"Disabled","1986","Couple + C. GT 16 ","direct migration background","","","",""
"Disabled","1986","Couple + C. GT 16 ","indirect migration background","","","",""
"Disabled","1986","Couple + C. LE and GT 16","no migration background","1","","",""
"Disabled","1986","Couple + C. LE and GT 16","direct migration background","","","",""
"Disabled","1986","Couple + C. LE and GT 16","indirect migration background","","","",""
"Not disabled","1987","1-pers.-HH","no migration background","799","0.863359765667975","0.841129296669739","0.88559023466621"
"Not disabled","1987","1-pers.-HH","direct migration background","176","0.927912845364009","0.890440999977323","0.965384690750696"
"Not disabled","1987","1-pers.-HH","indirect migration background","11","","",""
"Not disabled","1987","(Married) couple without C. ","no migration background","1628","0.817726260459974","0.800599540025142","0.834852980894806"
"Not disabled","1987","(Married) couple without C. ","direct migration background","340","0.835141006650079","0.797784632869491","0.872497380430667"
"Not disabled","1987","(Married) couple without C. ","indirect migration background","11","","",""
