"m11124","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1985","general elemantary","Rural Area","49","0.0839513985522142","0.0636104027175882","0.10429239438684","1"
"Disabled","1985","in school","Rural Area","","","","","1"
"Disabled","1985","general elemantary","Urban Area","179","0.105374980246242","0.0929664968092911","0.117783463683193","1"
"Disabled","1985","inadequately","Rural Area","11","","","","1"
"Disabled","1985","inadequately","Urban Area","43","0.10459023225106","0.0825263287528822","0.126654135749238","1"
"Disabled","1985","in school","Urban Area","1","","","","1"
"Disabled","1985","higher vocational","Rural Area","9","","","","1"
"Disabled","1985","higher education","Urban Area","46","0.0869138507609243","0.0650373050504632","0.108790396471385","1"
"Disabled","1985","higher vocational","Urban Area","73","0.167092472631368","0.134094733765213","0.200090211497524","1"
"Disabled","1985","higher education","Rural Area","10","","","","1"
"Disabled","1985","middle vocational","Urban Area","403","0.124365514382931","0.114226034918372","0.134504993847491","1"
"Disabled","1985","middle vocational","Rural Area","84","0.0898058105542166","0.072986590624675","0.106625030483758","1"
"Disabled","1985","vocational + Abi","Urban Area","15","","","","1"
"Disabled","1985","vocational + Abi","Rural Area","5","","","","1"
"Not disabled","1985","in school","Urban Area","150","0.996347300957679","0.986725155073442","1.00596944684191","0"
"Not disabled","1985","in school","Rural Area","36","1","1","1","0"
"Not disabled","1985","inadequately","Urban Area","696","0.89540976774894","0.873345864250762","0.917473671247118","0"
"Not disabled","1985","inadequately","Rural Area","96","0.778050443632956","0.699311928564132","0.856788958701779","0"
"Not disabled","1985","general elemantary","Urban Area","2173","0.894625019753758","0.882216536316807","0.907033503190709","0"
"Not disabled","1985","general elemantary","Rural Area","665","0.916048601447786","0.89570760561316","0.936389597282412","0"
"Not disabled","1985","middle vocational","Urban Area","3666","0.875634485617069","0.865495006152509","0.885773965081628","0"
"Not disabled","1985","middle vocational","Rural Area","1026","0.910194189445783","0.893374969516242","0.927013409375325","0"
"Not disabled","1985","vocational + Abi","Urban Area","220","0.917880732382332","0.882778897389056","0.952982567375607","0"
"Not disabled","1985","vocational + Abi","Rural Area","39","0.873593836868413","0.775405329493692","0.971782344243134","0"
"Not disabled","1985","higher vocational","Urban Area","418","0.832907527368631","0.799909788502476","0.865905266234787","0"
"Not disabled","1985","higher vocational","Rural Area","120","0.915484810880806","0.867484263353381","0.963485358408232","0"
"Not disabled","1985","higher education","Urban Area","591","0.913086149239076","0.891209603528615","0.934962694949537","0"
"Not disabled","1985","higher education","Rural Area","106","0.897958437092039","0.842873131255593","0.953043742928485","0"
"Disabled","1986","inadequately","Urban Area","2","","","","1"
"Disabled","1986","in school","Rural Area","1","","","","1"
"Disabled","1986","inadequately","Rural Area","","","","","1"
"Disabled","1986","higher education","Rural Area","","","","","1"
"Disabled","1986","general elemantary","Rural Area","2","","","","1"
"Disabled","1986","general elemantary","Urban Area","","","","","1"
"Disabled","1986","higher vocational","Rural Area","","","","","1"
"Disabled","1986","higher education","Urban Area","","","","","1"
"Disabled","1986","in school","Urban Area","","","","","1"
"Disabled","1986","higher vocational","Urban Area","","","","","1"
"Disabled","1986","middle vocational","Urban Area","3","","","","1"
"Disabled","1986","middle vocational","Rural Area","","","","","1"
"Disabled","1986","vocational + Abi","Urban Area","","","","","1"
"Disabled","1986","vocational + Abi","Rural Area","","","","","1"
"Not disabled","1986","in school","Urban Area","165","1","1","1","0"
"Not disabled","1986","in school","Rural Area","22","","","","0"
"Not disabled","1986","inadequately","Urban Area","683","0.996330625355857","0.991802686297485","1.00085856441423","0"
"Not disabled","1986","inadequately","Rural Area","105","1","1","1","0"
"Not disabled","1986","general elemantary","Urban Area","2238","1","1","1","0"
"Not disabled","1986","general elemantary","Rural Area","684","0.999124981590136","0.996912373289293","1.00133758989098","0"
"Not disabled","1986","middle vocational","Urban Area","3945","0.999717123485542","0.999192561843039","1.00024168512804","0"
"Not disabled","1986","middle vocational","Rural Area","1067","1","1","1","0"
"Not disabled","1986","vocational + Abi","Urban Area","232","1","1","1","0"
"Not disabled","1986","vocational + Abi","Rural Area","46","1","1","1","0"
"Not disabled","1986","higher vocational","Urban Area","462","1","1","1","0"
"Not disabled","1986","higher vocational","Rural Area","121","1","1","1","0"
"Not disabled","1986","higher education","Urban Area","631","1","1","1","0"
"Not disabled","1986","higher education","Rural Area","120","1","1","1","0"
"Disabled","1987","inadequately","Urban Area","50","0.125302673494375","0.099987875017152","0.150617471971598","1"
"Disabled","1987","in school","Rural Area","1","","","","1"
"Disabled","1987","higher education","Rural Area","10","","","","1"
"Disabled","1987","higher vocational","Rural Area","9","","","","1"
"Disabled","1987","inadequately","Rural Area","9","","","","1"
"Disabled","1987","general elemantary","Urban Area","164","0.107374712699979","0.0944115043102568","0.1203379210897","1"
"Disabled","1987","general elemantary","Rural Area","50","0.0865672835901724","0.0650323955938639","0.108102171586481","1"
"Disabled","1987","higher education","Urban Area","44","0.0821475077768389","0.0605508805179341","0.103744135035744","1"
"Disabled","1987","in school","Urban Area","2","","","","1"
"Disabled","1987","higher vocational","Urban Area","64","0.161773253266757","0.127787731884059","0.195758774649455","1"
"Disabled","1987","middle vocational","Urban Area","382","0.123475778012315","0.113133560501574","0.133817995523057","1"
"Disabled","1987","middle vocational","Rural Area","83","0.0951116357190115","0.0775745192556281","0.112648752182395","1"
"Disabled","1987","vocational + Abi","Urban Area","16","","","","1"
"Disabled","1987","vocational + Abi","Rural Area","4","","","","1"
"Not disabled","1987","in school","Urban Area","162","0.991197148769058","0.976901039129553","1.00549325840856","0"
"Not disabled","1987","in school","Rural Area","25","","","","0"
"Not disabled","1987","inadequately","Urban Area","607","0.874697326505625","0.849382528028402","0.900012124982848","0"
"Not disabled","1987","inadequately","Rural Area","91","0.790732912533204","0.711004436318669","0.870461388747738","0"
"Not disabled","1987","general elemantary","Urban Area","2027","0.892625287300022","0.8796620789103","0.905588495689743","0"
"Not disabled","1987","general elemantary","Rural Area","605","0.913432716409828","0.891897828413519","0.934967604406136","0"
"Not disabled","1987","middle vocational","Urban Area","3505","0.876524221987685","0.866182004476943","0.886866439498426","0"
"Not disabled","1987","middle vocational","Rural Area","992","0.904888364280989","0.887351247817605","0.922425480744372","0"
"Not disabled","1987","vocational + Abi","Urban Area","220","0.921443572105529","0.88711803627114","0.955769107939918","0"
"Not disabled","1987","vocational + Abi","Rural Area","38","0.899746965705223","0.808916319449631","0.990577611960815","0"
"Not disabled","1987","higher vocational","Urban Area","387","0.838226746733243","0.804241225350545","0.872212268115941","0"
