"m11124","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","16-34 y.","Not Employed","1457","0.980158585554148","0.973063369425653","0.987253801682643"
"Not disabled","1984","16-34 y.","Employed","3066","0.977938894412794","0.97278494335444","0.983092845471149"
"Not disabled","1984","35-65 y.","Not Employed","1582","0.779283055516937","0.760861318866914","0.797704792166961"
"Not disabled","1984","35-65 y.","Employed","4019","0.899838418156908","0.890940442663252","0.908736393650563"
"Not disabled","1984","66 and older","Not Employed","950","0.792229532625404","0.769379151834674","0.815079913416133"
"Not disabled","1984","66 and older","Employed","54","0.845529451354171","0.756988268760891","0.93407063394745"
"Disabled","1984","16-34 y.","Not Employed","27","","",""
"Disabled","1984","16-34 y.","Employed","54","0.0220611055872055","0.0169071545288514","0.0272150566455595"
"Disabled","1984","35-65 y.","Not Employed","365","0.220716944483063","0.202295207833039","0.239138681133086"
"Disabled","1984","35-65 y.","Employed","354","0.100161581843092","0.0912636063494369","0.109059557336748"
"Disabled","1984","66 and older","Not Employed","261","0.207770467374596","0.184920086583867","0.230620848165326"
"Disabled","1984","66 and older","Employed","10","","",""
"Not disabled","1985","16-34 y.","Not Employed","1325","0.974042385794378","0.965579089200631","0.982505682388125"
"Not disabled","1985","16-34 y.","Employed","2780","0.981626608170908","0.976672557077512","0.986580659264304"
"Not disabled","1985","35-65 y.","Not Employed","1451","0.775821742576311","0.756437004800967","0.795206480351655"
"Not disabled","1985","35-65 y.","Employed","3668","0.902167389664292","0.892928306972177","0.911406472356407"
"Not disabled","1985","66 and older","Not Employed","849","0.806652129479951","0.783000220744352","0.83030403821555"
"Not disabled","1985","66 and older","Employed","38","0.845546517209667","0.739959763036832","0.951133271382502"
"Disabled","1985","16-34 y.","Not Employed","31","0.025957614205622","0.0174943176118753","0.0344209107993686"
"Disabled","1985","16-34 y.","Employed","43","0.0183733918290921","0.0134193407356961","0.023327442922488"
"Disabled","1985","35-65 y.","Not Employed","327","0.224178257423689","0.204793519648345","0.243562995199033"
"Disabled","1985","35-65 y.","Employed","304","0.097832610335708","0.0885935276435932","0.107071693027823"
"Disabled","1985","66 and older","Not Employed","222","0.193347870520049","0.16969596178445","0.216999779255648"
"Disabled","1985","66 and older","Employed","7","","",""
"Not disabled","1986","16-34 y.","Not Employed","1244","0.998670478142116","0.996648047153828","1.0006929091304"
"Not disabled","1986","16-34 y.","Employed","2850","0.999872219642405","0.999457309756213","1.0002871295286"
"Not disabled","1986","35-65 y.","Not Employed","1693","1","1","1"
"Not disabled","1986","35-65 y.","Employed","3803","0.999744955766721","0.999237587704971","1.00025232382847"
"Not disabled","1986","66 and older","Not Employed","1003","0.999626597045801","0.998432133674804","1.0008210604168"
"Not disabled","1986","66 and older","Employed","42","1","1","1"
"Disabled","1986","16-34 y.","Not Employed","3","","",""
"Disabled","1986","16-34 y.","Employed","1","","",""
"Disabled","1986","35-65 y.","Not Employed","","","",""
"Disabled","1986","35-65 y.","Employed","2","","",""
"Disabled","1986","66 and older","Not Employed","2","","",""
"Disabled","1986","66 and older","Employed","","","",""
"Not disabled","1987","16-34 y.","Not Employed","1107","0.977029605300178","0.968310344771857","0.985748865828499"
"Not disabled","1987","16-34 y.","Employed","2848","0.981069109047627","0.976106510192996","0.986031707902258"
"Not disabled","1987","35-65 y.","Not Employed","1300","0.772812060804234","0.752306318716056","0.793317802892411"
"Not disabled","1987","35-65 y.","Employed","3477","0.910822195752415","0.901702888125186","0.919941503379644"
"Not disabled","1987","66 and older","Not Employed","803","0.78576944142317","0.76078575668967","0.810753126156671"
"Not disabled","1987","66 and older","Employed","34","0.808383787207049","0.689355997405318","0.927411577008779"
"Disabled","1987","16-34 y.","Not Employed","27","","",""
"Disabled","1987","16-34 y.","Employed","49","0.0189308909523731","0.013968292097742","0.0238934898070043"
"Disabled","1987","35-65 y.","Not Employed","304","0.227187939195766","0.206682197107589","0.247693681283944"
"Disabled","1987","35-65 y.","Employed","275","0.0891778042475853","0.0800584966203566","0.0982971118748141"
"Disabled","1987","66 and older","Not Employed","233","0.21423055857683","0.18924687384333","0.23921424331033"
"Disabled","1987","66 and older","Employed","8","","",""
"Not disabled","1988","16-34 y.","Not Employed","1023","0.968227604977508","0.957653970225392","0.978801239729624"
"Not disabled","1988","16-34 y.","Employed","2741","0.982052249226372","0.977125978196926","0.986978520255818"
"Not disabled","1988","35-65 y.","Not Employed","1179","0.748809380280278","0.726810248871449","0.770808511689106"
"Not disabled","1988","35-65 y.","Employed","3313","0.91110845556069","0.901801766772448","0.920415144348933"
"Not disabled","1988","66 and older","Not Employed","731","0.742323084259782","0.715202465938103","0.76944370258146"
"Not disabled","1988","66 and older","Employed","37","0.757298835349481","0.63601664072874","0.878581029970223"
"Disabled","1988","16-34 y.","Not Employed","34","0.031772395022492","0.021198760270376","0.0423460297746079"
"Disabled","1988","16-34 y.","Employed","49","0.0179477507736281","0.013021479744182","0.0228740218030742"
"Disabled","1988","35-65 y.","Not Employed","314","0.251190619719722","0.229191488310894","0.27318975112855"
"Disabled","1988","35-65 y.","Employed","279","0.0888915444393097","0.079584855651067","0.0981982332275525"
"Disabled","1988","66 and older","Not Employed","268","0.257676915740218","0.23055629741854","0.284797534061897"
"Disabled","1988","66 and older","Employed","11","","",""
"Not disabled","1989","16-34 y.","Not Employed","977","0.967102233179462","0.956090967864421","0.978113498494502"
"Not disabled","1989","16-34 y.","Employed","2711","0.983403591357966","0.978632265498597","0.988174917217335"
"Not disabled","1989","35-65 y.","Not Employed","1113","0.733099833238345","0.710181435239897","0.756018231236792"
"Not disabled","1989","35-65 y.","Employed","3196","0.915353536960307","0.906069248150698","0.924637825769915"
"Not disabled","1989","66 and older","Not Employed","688","0.715713653154966","0.687385630246561","0.744041676063371"
"Not disabled","1989","66 and older","Employed","35","0.720428200561675","0.592123905400024","0.848732495723327"
"Disabled","1989","16-34 y.","Not Employed","31","0.0328977668205383","0.021886501505498","0.0439090321355785"
"Disabled","1989","16-34 y.","Employed","43","0.0165964086420339","0.0118250827826653","0.0213677345014024"
"Disabled","1989","35-65 y.","Not Employed","318","0.266900166761655","0.243981768763208","0.289818564760103"
"Disabled","1989","35-65 y.","Employed","257","0.0846464630396934","0.0753621742300853","0.0939307518493014"
"Disabled","1989","66 and older","Not Employed","286","0.284286346845034","0.255958323936629","0.31261436975344"
"Disabled","1989","66 and older","Employed","12","","",""
"Not disabled","1990","16-34 y.","Not Employed","","","",""
"Not disabled","1990","16-34 y.","Employed","","","",""
"Not disabled","1990","35-65 y.","Not Employed","","","",""
"Not disabled","1990","35-65 y.","Employed","","","",""
"Not disabled","1990","66 and older","Not Employed","","","",""
"Not disabled","1990","66 and older","Employed","","","",""
"Disabled","1990","16-34 y.","Not Employed","","","",""
"Disabled","1990","16-34 y.","Employed","","","",""
"Disabled","1990","35-65 y.","Not Employed","","","",""
"Disabled","1990","35-65 y.","Employed","","","",""
"Disabled","1990","66 and older","Not Employed","","","",""
"Disabled","1990","66 and older","Employed","","","",""
"Not disabled","1991","16-34 y.","Not Employed","860","0.957060146584348","0.943786385974983","0.970333907193714"
"Not disabled","1991","16-34 y.","Employed","2669","0.982874036236234","0.97799381381522","0.987754258657248"
"Not disabled","1991","35-65 y.","Not Employed","1015","0.728344103662063","0.704384370844758","0.752303836479368"
"Not disabled","1991","35-65 y.","Employed","3172","0.916562830273452","0.907300033929214","0.92582562661769"
"Not disabled","1991","66 and older","Not Employed","717","0.703749649187842","0.675796889513287","0.731702408862396"
"Not disabled","1991","66 and older","Employed","29","","",""
"Disabled","1991","16-34 y.","Not Employed","36","0.0429398534156516","0.0296660928062858","0.0562136140250175"
"Disabled","1991","16-34 y.","Employed","46","0.0171259637637663","0.0122457413427523","0.0220061861847804"
"Disabled","1991","35-65 y.","Not Employed","309","0.271655896337937","0.247696163520632","0.295615629155242"
"Disabled","1991","35-65 y.","Employed","252","0.0834371697265476","0.0741743733823097","0.0926999660707855"
"Disabled","1991","66 and older","Not Employed","308","0.296250350812158","0.268297591137603","0.324203110486713"
"Disabled","1991","66 and older","Employed","11","","",""
"Not disabled","1992","16-34 y.","Not Employed","1114","0.969557878641139","0.959615490617245","0.979500266665032"
"Not disabled","1992","16-34 y.","Employed","3784","0.984736279131047","0.980858087973726","0.988614470288367"
"Not disabled","1992","35-65 y.","Not Employed","1273","0.744923721460706","0.723839748390541","0.766007694530871"
"Not disabled","1992","35-65 y.","Employed","4863","0.922879533931951","0.915631919946358","0.930127147917543"
"Not disabled","1992","66 and older","Not Employed","1033","0.715532731762972","0.692075219299064","0.73899024422688"
"Not disabled","1992","66 and older","Employed","25","","",""
"Disabled","1992","16-34 y.","Not Employed","33","0.0304421213588614","0.0204997333349681","0.0403845093827546"
"Disabled","1992","16-34 y.","Employed","55","0.0152637208689534","0.0113855297116326","0.0191419120262741"
"Disabled","1992","35-65 y.","Not Employed","369","0.255076278539294","0.233992305469129","0.276160251609459"
"Disabled","1992","35-65 y.","Employed","342","0.0771204660680494","0.0698728520824572","0.0843680800536415"
"Disabled","1992","66 and older","Not Employed","388","0.284467268237028","0.26100975577312","0.307924780700936"
"Disabled","1992","66 and older","Employed","12","","",""
"Not disabled","1993","16-34 y.","Not Employed","","","",""
"Not disabled","1993","16-34 y.","Employed","","","",""
"Not disabled","1993","35-65 y.","Not Employed","","","",""
"Not disabled","1993","35-65 y.","Employed","","","",""
"Not disabled","1993","66 and older","Not Employed","","","",""
"Not disabled","1993","66 and older","Employed","","","",""
"Disabled","1993","16-34 y.","Not Employed","","","",""
"Disabled","1993","16-34 y.","Employed","","","",""
"Disabled","1993","35-65 y.","Not Employed","","","",""
"Disabled","1993","35-65 y.","Employed","","","",""
"Disabled","1993","66 and older","Not Employed","","","",""
"Disabled","1993","66 and older","Employed","","","",""
"Not disabled","1994","16-34 y.","Not Employed","1190","0.975760522208811","0.967130708376712","0.984390336040911"
"Not disabled","1994","16-34 y.","Employed","3540","0.986434684068148","0.982650166851351","0.990219201284945"
"Not disabled","1994","35-65 y.","Not Employed","1490","0.776863843988735","0.757922249561133","0.795805438416338"
"Not disabled","1994","35-65 y.","Employed","4397","0.922695788042422","0.915067719381424","0.930323856703419"
"Not disabled","1994","66 and older","Not Employed","1073","0.719779171537345","0.696813082877218","0.742745260197471"
"Not disabled","1994","66 and older","Employed","32","0.727313767022602","0.589303751197166","0.865323782848038"
"Disabled","1994","16-34 y.","Not Employed","30","0.0242394777911885","0.0156096639590891","0.0328692916232879"
"Disabled","1994","16-34 y.","Employed","49","0.0135653159318523","0.00978079871505518","0.0173498331486495"
"Disabled","1994","35-65 y.","Not Employed","366","0.223136156011265","0.204194561583662","0.242077750438867"
"Disabled","1994","35-65 y.","Employed","312","0.0773042119575782","0.0696761432965807","0.0849322806185758"
"Disabled","1994","66 and older","Not Employed","396","0.280220828462655","0.257254739802529","0.303186917122782"
"Disabled","1994","66 and older","Employed","8","","",""
"Not disabled","1995","16-34 y.","Not Employed","1326","0.973440133309198","0.964907001088626","0.981973265529769"
"Not disabled","1995","16-34 y.","Employed","3527","0.986431632595996","0.982640881967346","0.990222383224647"
"Not disabled","1995","35-65 y.","Not Employed","1543","0.781649528632156","0.763194453135602","0.800104604128709"
"Not disabled","1995","35-65 y.","Employed","4515","0.921278280095337","0.913694447690234","0.928862112500439"
"Not disabled","1995","66 and older","Not Employed","1069","0.692496571592038","0.669128332942922","0.715864810241154"
"Not disabled","1995","66 and older","Employed","34","0.728774457350029","0.594316871117696","0.863232043582363"
"Disabled","1995","16-34 y.","Not Employed","38","0.0265598666908025","0.0180267344702307","0.0350929989113742"
"Disabled","1995","16-34 y.","Employed","51","0.0135683674040035","0.00977761677535329","0.0173591180326537"
"Disabled","1995","35-65 y.","Not Employed","382","0.218350471367845","0.199895395871291","0.236805546864398"
"Disabled","1995","35-65 y.","Employed","329","0.0787217199046633","0.0711378874995607","0.0863055523097659"
"Disabled","1995","66 and older","Not Employed","429","0.307503428407962","0.284135189758846","0.330871667057078"
"Disabled","1995","66 and older","Employed","8","","",""
