"m11124","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Not disabled","1985","no migration background","Urban Area","5403","0.879203414324358","0.870996284247486","0.887410544401229"
"Not disabled","1985","no migration background","Rural Area","1752","0.907278890882903","0.894271472197215","0.92028630956859"
"Not disabled","1985","direct migration background","Urban Area","2483","0.926065181278292","0.915985951411673","0.936144411144912"
"Not disabled","1985","direct migration background","Rural Area","334","0.943767589713859","0.91945873922581","0.968076440201908"
"Not disabled","1985","indirect migration background","Urban Area","122","0.92159055082833","0.874838632171901","0.968342469484758"
"Not disabled","1985","indirect migration background","Rural Area","17","","",""
"Disabled","1985","no migration background","Urban Area","654","0.120796585675642","0.112589455598771","0.129003715752514"
"Disabled","1985","no migration background","Rural Area","158","0.0927211091170973","0.0797136904314096","0.105728527802785"
"Disabled","1985","direct migration background","Urban Area","106","0.0739348187217076","0.0638555888550881","0.0840140485883272"
"Disabled","1985","direct migration background","Rural Area","11","","",""
"Disabled","1985","indirect migration background","Urban Area","5","","",""
"Disabled","1985","indirect migration background","Rural Area","","","",""
"Not disabled","1986","no migration background","Urban Area","5818","0.999744317859265","0.999333634921886","1.00015500079664"
"Not disabled","1986","no migration background","Rural Area","1806","0.999449838537626","0.998369264841452","1.0005304122338"
"Not disabled","1986","direct migration background","Urban Area","2498","0.999894014552224","0.999490401625851","1.0002976274786"
"Not disabled","1986","direct migration background","Rural Area","357","1","1","1"
"Not disabled","1986","indirect migration background","Urban Area","137","1","1","1"
"Not disabled","1986","indirect migration background","Rural Area","19","","",""
"Disabled","1986","no migration background","Urban Area","4","","",""
"Disabled","1986","no migration background","Rural Area","3","","",""
"Disabled","1986","direct migration background","Urban Area","1","","",""
"Disabled","1986","direct migration background","Rural Area","","","",""
"Disabled","1986","indirect migration background","Urban Area","","","",""
"Disabled","1986","indirect migration background","Rural Area","","","",""
"Not disabled","1987","no migration background","Urban Area","5098","0.881095634414254","0.872686988398799","0.889504280429709"
"Not disabled","1987","no migration background","Rural Area","1618","0.903983183147733","0.890254211684361","0.917712154611106"
"Not disabled","1987","direct migration background","Urban Area","2338","0.909206325135717","0.897868688403903","0.920543961867532"
"Not disabled","1987","direct migration background","Rural Area","346","0.926293888363629","0.899340048758168","0.953247727969091"
"Not disabled","1987","indirect migration background","Urban Area","148","0.884474371282629","0.834151659193387","0.934797083371872"
"Not disabled","1987","indirect migration background","Rural Area","21","","",""
"Disabled","1987","no migration background","Urban Area","594","0.118904365585746","0.110495719570291","0.127313011601201"
"Disabled","1987","no migration background","Rural Area","151","0.0960168168522667","0.0822878453888941","0.109745788315639"
"Disabled","1987","direct migration background","Urban Area","129","0.0907936748642826","0.0794560381324681","0.102131311596097"
"Disabled","1987","direct migration background","Rural Area","15","","",""
"Disabled","1987","indirect migration background","Urban Area","7","","",""
"Disabled","1987","indirect migration background","Rural Area","","","",""
"Not disabled","1988","no migration background","Urban Area","4806","0.868039318199612","0.859029825009824","0.8770488113894"
"Not disabled","1988","no migration background","Rural Area","1503","0.899263610058813","0.884758633219088","0.913768586898538"
"Not disabled","1988","direct migration background","Urban Area","2188","0.896124764343799","0.883781449782579","0.908468078905019"
"Not disabled","1988","direct migration background","Rural Area","314","0.887573364302987","0.853695845467302","0.921450883138672"
"Not disabled","1988","indirect migration background","Urban Area","184","0.882063840846693","0.836677964501722","0.927449717191665"
"Not disabled","1988","indirect migration background","Rural Area","29","","",""
"Disabled","1988","no migration background","Urban Area","615","0.131960681800388","0.1229511886106","0.140970174990175"
"Disabled","1988","no migration background","Rural Area","151","0.100736389941187","0.0862314131014615","0.115241366780912"
"Disabled","1988","direct migration background","Urban Area","159","0.103875235656201","0.0915319210949814","0.116218550217421"
"Disabled","1988","direct migration background","Rural Area","20","","",""
"Disabled","1988","indirect migration background","Urban Area","10","","",""
"Disabled","1988","indirect migration background","Rural Area","","","",""
"Not disabled","1989","no migration background","Urban Area","4638","0.864395276612345","0.855128891392575","0.873661661832115"
"Not disabled","1989","no migration background","Rural Area","1405","0.881372536156814","0.865357622859251","0.897387449454377"
"Not disabled","1989","direct migration background","Urban Area","2130","0.902400279942866","0.890224012803797","0.914576547081935"
"Not disabled","1989","direct migration background","Rural Area","296","0.899875434563303","0.866727663221487","0.933023205905119"
"Not disabled","1989","indirect migration background","Urban Area","219","0.896663540152774","0.85715215886062","0.936174921444928"
