"m11124","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","1-pers.-HH","Male","58","0.140643948017034","0.11134874224553","0.169939153788538","1"
"Disabled","1984","1-pers.-HH","Female","119","0.15838808961047","0.132880000727476","0.183896178493464","1"
"Disabled","1984","Couple + C. LE 16 ","Female","26","","","","1"
"Disabled","1984","(Married) couple without C. ","Female","135","0.113300176831738","0.0963799278387355","0.130220425824741","1"
"Disabled","1984","(Married) couple without C. ","Male","297","0.26082298486095","0.237392068515166","0.284253901206735","1"
"Disabled","1984","Single parent ","Male","14","","","","1"
"Disabled","1984","Single parent ","Female","29","","","","1"
"Disabled","1984","Couple + C. LE 16 ","Male","79","0.0633826172185852","0.0512096914949685","0.075555542942202","1"
"Disabled","1984","Couple + C. GT 16 ","Male","111","0.11467635088571","0.0957083563858809","0.133644345385539","1"
"Disabled","1984","Couple + C. GT 16 ","Female","53","0.0662806940896776","0.0500817880889404","0.0824796000904148","1"
"Disabled","1984","Couple + C. LE and GT 16","Male","53","0.0623280586903076","0.0467404546295245","0.0779156627510908","1"
"Disabled","1984","Couple + C. LE and GT 16","Female","20","","","","1"
"Not disabled","1984","1-pers.-HH","Male","483","0.859356051982966","0.830060846211462","0.88865125775447","0"
"Not disabled","1984","1-pers.-HH","Female","668","0.84161191038953","0.816103821506536","0.867119999272524","0"
"Not disabled","1984","(Married) couple without C. ","Male","1052","0.73917701513905","0.715746098793265","0.762607931484834","0"
"Not disabled","1984","(Married) couple without C. ","Female","1213","0.886699823168262","0.869779574175259","0.903620072161264","0"
"Not disabled","1984","Single parent ","Male","184","0.911838747491945","0.872346359669043","0.951331135314848","0"
"Not disabled","1984","Single parent ","Female","350","0.905002658602753","0.875483148949114","0.934522168256392","0"
"Not disabled","1984","Couple + C. LE 16 ","Male","1460","0.936617382781415","0.924444457057798","0.948790308505031","0"
"Not disabled","1984","Couple + C. LE 16 ","Female","1511","0.978781464231434","0.971576833421418","0.98598609504145","0"
