"m11124","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","West Germany","Male","5344","0.861861051596533","0.853122335409128","0.870599767783939"
"Not disabled","1984","West Germany","Female","5784","0.909731424304624","0.902604089105213","0.916858759504035"
"Not disabled","1984","East Germany","Male","","","",""
"Not disabled","1984","East Germany","Female","","","",""
"Disabled","1984","West Germany","Male","645","0.138138948403467","0.129400232216061","0.146877664590872"
"Disabled","1984","West Germany","Female","426","0.0902685756953758","0.0831412404959649","0.0973959108947867"
"Disabled","1984","East Germany","Male","","","",""
"Disabled","1984","East Germany","Female","","","",""
"Not disabled","1985","West Germany","Male","4866","0.863780274860681","0.854661636168811","0.872898913552551"
"Not disabled","1985","West Germany","Female","5245","0.914051003602201","0.906715819965669","0.921386187238734"
"Not disabled","1985","East Germany","Male","","","",""
"Not disabled","1985","East Germany","Female","","","",""
"Disabled","1985","West Germany","Male","570","0.136219725139319","0.127101086447449","0.145338363831189"
"Disabled","1985","West Germany","Female","364","0.0859489963977986","0.0786138127612661","0.093284180034331"
"Disabled","1985","East Germany","Male","","","",""
"Disabled","1985","East Germany","Female","","","",""
"Not disabled","1986","West Germany","Male","5262","0.999643269045679","0.999133233335286","1.00015330475607"
"Not disabled","1986","West Germany","Female","5373","0.999747683411736","0.999323165344936","1.00017220147854"
"Not disabled","1986","East Germany","Male","","","",""
"Not disabled","1986","East Germany","Female","","","",""
"Disabled","1986","West Germany","Male","4","","",""
"Disabled","1986","West Germany","Female","4","","",""
"Disabled","1986","East Germany","Male","","","",""
"Disabled","1986","East Germany","Female","","","",""
"Not disabled","1987","West Germany","Male","4650","0.866631174289157","0.85738009454394","0.875882254034374"
"Not disabled","1987","West Germany","Female","4919","0.909685409304594","0.901951855391982","0.917418963217207"
"Not disabled","1987","East Germany","Male","","","",""
"Not disabled","1987","East Germany","Female","","","",""
"Disabled","1987","West Germany","Male","538","0.133368825710843","0.124117745965626","0.14261990545606"
"Disabled","1987","West Germany","Female","358","0.0903145906954058","0.0825810367827932","0.0980481446080185"
"Disabled","1987","East Germany","Male","","","",""
"Disabled","1987","East Germany","Female","","","",""
"Not disabled","1988","West Germany","Male","4366","0.855281364644126","0.845465665319579","0.865097063968673"
"Not disabled","1988","West Germany","Female","4658","0.897908390703654","0.889552907088251","0.906263874319057"
"Not disabled","1988","East Germany","Male","","","",""
"Not disabled","1988","East Germany","Female","","","",""
"Disabled","1988","West Germany","Male","569","0.144718635355874","0.134902936031327","0.154534334680421"
"Disabled","1988","West Germany","Female","386","0.102091609296346","0.0937361256809427","0.110447092911749"
"Disabled","1988","East Germany","Male","","","",""
"Disabled","1988","East Germany","Female","","","",""
"Not disabled","1989","West Germany","Male","4208","0.85085218758651","0.840734322146941","0.860970053026078"
"Not disabled","1989","West Germany","Female","4512","0.891908371880879","0.883219073021491","0.900597670740268"
"Not disabled","1989","East Germany","Male","","","",""
"Not disabled","1989","East Germany","Female","","","",""
"Disabled","1989","West Germany","Male","554","0.14914781241349","0.139029946973922","0.159265677853059"
"Disabled","1989","West Germany","Female","393","0.108091628119121","0.0994023292597324","0.116780926978509"
"Disabled","1989","East Germany","Male","","","",""
"Disabled","1989","East Germany","Female","","","",""
"Not disabled","1990","West Germany","Male","","","",""
"Not disabled","1990","West Germany","Female","","","",""
"Not disabled","1990","East Germany","Male","","","",""
"Not disabled","1990","East Germany","Female","","","",""
"Disabled","1990","West Germany","Male","","","",""
"Disabled","1990","West Germany","Female","","","",""
"Disabled","1990","East Germany","Male","","","",""
"Disabled","1990","East Germany","Female","","","",""
"Not disabled","1991","West Germany","Male","4087","0.847107264355408","0.836772252536131","0.857442276174685"
"Not disabled","1991","West Germany","Female","4414","0.890395930428167","0.881562969323515","0.899228891532819"
"Not disabled","1991","East Germany","Male","1982","1","1","1"
"Not disabled","1991","East Germany","Female","2181","1","1","1"
"Disabled","1991","West Germany","Male","571","0.152892735644592","0.142557723825315","0.163227747463869"
"Disabled","1991","West Germany","Female","391","0.109604069571833","0.100771108467181","0.118437030676485"
"Disabled","1991","East Germany","Male","","","",""
"Disabled","1991","East Germany","Female","","","",""
"Not disabled","1992","West Germany","Male","4005","0.847248552782007","0.836817320973895","0.857679784590119"
"Not disabled","1992","West Germany","Female","4371","0.883728003451346","0.874650274569558","0.892805732333134"
"Not disabled","1992","East Germany","Male","1747","0.921725960883575","0.909558360127167","0.933893561639984"
"Not disabled","1992","East Germany","Female","1969","0.947057882582538","0.937388396428409","0.956727368736667"
"Disabled","1992","West Germany","Male","564","0.152751447217993","0.142320215409881","0.163182679026105"
"Disabled","1992","West Germany","Female","419","0.116271996548654","0.107194267666866","0.125349725430442"
"Disabled","1992","East Germany","Male","125","0.0782740391164247","0.066106438360016","0.0904416398728334"
"Disabled","1992","East Germany","Female","91","0.0529421174174622","0.0432726312633333","0.0626116035715911"
"Not disabled","1993","West Germany","Male","","","",""
"Not disabled","1993","West Germany","Female","","","",""
"Not disabled","1993","East Germany","Male","","","",""
"Not disabled","1993","East Germany","Female","","","",""
"Disabled","1993","West Germany","Male","","","",""
"Disabled","1993","West Germany","Female","","","",""
"Disabled","1993","East Germany","Male","","","",""
"Disabled","1993","East Germany","Female","","","",""
"Not disabled","1994","West Germany","Male","3891","0.853659023542865","0.843247398436619","0.864070648649111"
"Not disabled","1994","West Germany","Female","4291","0.884866037004622","0.875738952431922","0.893993121577321"
"Not disabled","1994","East Germany","Male","1678","0.925554127405365","0.913393869139162","0.937714385671569"
"Not disabled","1994","East Germany","Female","1862","0.933878339147514","0.922899597333057","0.944857080961972"
"Disabled","1994","West Germany","Male","536","0.146340976457135","0.135929351350889","0.156752601563381"
"Disabled","1994","West Germany","Female","407","0.115133962995378","0.106006878422679","0.124261047568077"
"Disabled","1994","East Germany","Male","112","0.0744458725946347","0.0622856143284312","0.0866061308608381"
"Disabled","1994","East Germany","Female","106","0.0661216608524855","0.0551429190380284","0.0771004026669426"
"Not disabled","1995","West Germany","Male","4080","0.851109096239333","0.840858629518618","0.861359562960048"
"Not disabled","1995","West Germany","Female","4499","0.875983147819345","0.866791004109574","0.885175291529116"
"Not disabled","1995","East Germany","Male","1617","0.915243040780459","0.902152602078784","0.928333479482135"
"Not disabled","1995","East Germany","Female","1818","0.921488624504471","0.909519606829892","0.933457642179049"
"Disabled","1995","West Germany","Male","553","0.148890903760667","0.138640437039952","0.159141370481382"
"Disabled","1995","West Germany","Female","440","0.124016852180655","0.114824708470884","0.133208995890426"
"Disabled","1995","East Germany","Male","122","0.0847569592195406","0.0716665205178652","0.097847397921216"
"Disabled","1995","East Germany","Female","122","0.0785113754955293","0.0665423578209507","0.0904803931701079"
"Not disabled","1996","West Germany","Male","3995","0.84482816393581","0.834303117598658","0.855353210272962"
"Not disabled","1996","West Germany","Female","4416","0.879667058217185","0.870517176692989","0.888816939741382"
"Not disabled","1996","East Germany","Male","1623","0.9055203188754","0.891816318053069","0.91922431969773"
"Not disabled","1996","East Germany","Female","1794","0.919584867376598","0.90743075498232","0.931738979770877"
"Disabled","1996","West Germany","Male","551","0.15517183606419","0.144646789727038","0.165696882401342"
"Disabled","1996","West Germany","Female","441","0.120332941782815","0.111183060258618","0.129482823307011"
"Disabled","1996","East Germany","Male","127","0.0944796811246002","0.0807756803022697","0.108183681946931"
"Disabled","1996","East Germany","Female","129","0.0804151326234015","0.0682610202291229","0.0925692450176801"
"Not disabled","1997","West Germany","Male","3932","0.846054475573475","0.835474686076257","0.856634265070692"
"Not disabled","1997","West Germany","Female","4328","0.881299449991116","0.872112166544222","0.890486733438011"
"Not disabled","1997","East Germany","Male","1615","0.913208006356139","0.899972276566319","0.926443736145959"
"Not disabled","1997","East Germany","Female","1750","0.917275879241628","0.904833913600899","0.929717844882357"
"Disabled","1997","West Germany","Male","538","0.153945524426525","0.143365734929308","0.164525313923743"
"Disabled","1997","West Germany","Female","433","0.118700550008884","0.109513266561989","0.127887833455778"
"Disabled","1997","East Germany","Male","123","0.0867919936438609","0.073556263854041","0.100027723433681"
"Disabled","1997","East Germany","Female","133","0.0827241207583717","0.0702821551176428","0.0951660863991006"
"Not disabled","1998","West Germany","Male","4397","0.848538939191119","0.838632734036609","0.85844514434563"
"Not disabled","1998","West Germany","Female","4880","0.876405734458396","0.86762351809686","0.885187950819933"
"Not disabled","1998","East Germany","Male","1727","0.919036533889593","0.906649920068679","0.931423147710507"
"Not disabled","1998","East Germany","Female","1842","0.917984185543911","0.905925579686689","0.930042791401133"
"Disabled","1998","West Germany","Male","634","0.151461060808881","0.14155485565437","0.161367265963391"
"Disabled","1998","West Germany","Female","515","0.123594265541604","0.114812049180067","0.13237648190314"
"Disabled","1998","East Germany","Male","136","0.0809634661104074","0.0685768522894933","0.0933500799313215"
"Disabled","1998","East Germany","Female","147","0.0820158144560893","0.0699572085988671","0.0940744203133116"
"Not disabled","1999","West Germany","Male","4213","0.845170367933406","0.834954884124967","0.855385851741845"
"Not disabled","1999","West Germany","Female","4629","0.869438376273275","0.860224067581906","0.878652684964644"
"Not disabled","1999","East Germany","Male","1684","0.917856960051087","0.905231607457023","0.930482312645151"
"Not disabled","1999","East Germany","Female","1808","0.908826746357121","0.896121914776511","0.92153157793773"
"Disabled","1999","West Germany","Male","604","0.154829632066594","0.144614148258155","0.165045115875033"
"Disabled","1999","West Germany","Female","507","0.130561623726725","0.121347315035356","0.139775932418094"
"Disabled","1999","East Germany","Male","133","0.0821430399489131","0.0695176873548492","0.0947683925429769"
"Disabled","1999","East Germany","Female","164","0.0911732536428793","0.0784684220622696","0.103878085223489"
"Not disabled","2000","West Germany","Male","7720","0.860745732760865","0.853522486368767","0.867968979152962"
"Not disabled","2000","West Germany","Female","8671","0.895491564426293","0.889347654775552","0.901635474077033"
"Not disabled","2000","East Germany","Male","2567","0.908400660129088","0.897718073358656","0.919083246899519"
"Not disabled","2000","East Germany","Female","2806","0.908017219049128","0.897775834761571","0.918258603336686"
"Disabled","2000","West Germany","Male","1105","0.139254267239135","0.132031020847038","0.146477513631233"
"Disabled","2000","West Germany","Female","853","0.104508435573707","0.0983645259229667","0.110652345224448"
"Disabled","2000","East Germany","Male","234","0.0915993398709122","0.0809167531004805","0.102281926641344"
"Disabled","2000","East Germany","Female","253","0.0919827809508716","0.0817413966633138","0.102224165238429"
"Not disabled","2001","West Germany","Male","6947","0.861047380099639","0.85343673412769","0.868658026071589"
"Not disabled","2001","West Germany","Female","7841","0.891908094634522","0.885358357666253","0.898457831602791"
"Not disabled","2001","East Germany","Male","2418","0.915103386657235","0.904434674165434","0.925772099149037"
"Not disabled","2001","East Germany","Female","2575","0.908494257381302","0.897835589343458","0.919152925419146"
"Disabled","2001","West Germany","Male","988","0.138952619900361","0.131341973928411","0.14656326587231"
"Disabled","2001","West Germany","Female","792","0.108091905365478","0.101542168397209","0.114641642333747"
"Disabled","2001","East Germany","Male","204","0.0848966133427645","0.0742279008509628","0.0955653258345661"
"Disabled","2001","East Germany","Female","236","0.091505742618698","0.0808470745808538","0.102164410656542"
"Not disabled","2002","West Germany","Male","7477","0.85358689355015","0.846082514820782","0.861091272279519"
"Not disabled","2002","West Germany","Female","8298","0.884676409562859","0.878131007727161","0.891221811398557"
"Not disabled","2002","East Germany","Male","2397","0.900769302680814","0.889345321544047","0.91219328381758"
"Not disabled","2002","East Germany","Female","2547","0.888900950653548","0.877269310899551","0.900532590407545"
"Disabled","2002","West Germany","Male","1048","0.14641310644985","0.138908727720481","0.153917485179218"
"Disabled","2002","West Germany","Female","850","0.115323590437141","0.108778188601443","0.121868992272839"
"Disabled","2002","East Germany","Male","234","0.0992306973191863","0.08780671618242","0.110654678455953"
"Disabled","2002","East Germany","Female","257","0.111099049346452","0.0994674095924554","0.122730689100449"
"Not disabled","2003","West Germany","Male","7106","0.855904825281505","0.848269625284167","0.863540025278843"
"Not disabled","2003","West Germany","Female","7941","0.884294681082318","0.87760162530524","0.890987736859395"
"Not disabled","2003","East Germany","Male","2348","0.899727023057858","0.888152657006103","0.911301389109613"
"Not disabled","2003","East Germany","Female","2516","0.896163704997115","0.884797596989186","0.907529813005044"
