"m11124","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","66 and older","higher vocational","20","","","","1"
"Disabled","1984","66 and older","higher education","11","","","","1"
"Disabled","1984","66 and older","general elemantary","98","0.182112049513825","0.148844633780634","0.215379465247016","1"
"Disabled","1984","66 and older","inadequately","3","","","","1"
"Disabled","1984","66 and older","in school","","","","","1"
"Disabled","1984","66 and older","middle vocational","134","0.228947015118404","0.194605158318437","0.263288871918372","1"
"Disabled","1984","66 and older","vocational + Abi","4","","","","1"
"Disabled","1984","16-34 y.","higher vocational","3","","","","1"
"Disabled","1984","16-34 y.","higher education","4","","","","1"
"Disabled","1984","16-34 y.","inadequately","14","","","","1"
"Disabled","1984","16-34 y.","general elemantary","16","","","","1"
"Disabled","1984","16-34 y.","in school","2","","","","1"
"Disabled","1984","16-34 y.","middle vocational","39","0.020504162371061","0.0145565511547415","0.0264517735873805","1"
"Disabled","1984","16-34 y.","vocational + Abi","1","","","","1"
"Disabled","1984","35-65 y.","in school","","","","","1"
"Disabled","1984","35-65 y.","inadequately","43","0.0880252425985704","0.0669455933638544","0.109104891833286","1"
"Disabled","1984","35-65 y.","general elemantary","166","0.127778834426497","0.111704625510742","0.143853043342251","1"
"Disabled","1984","35-65 y.","middle vocational","381","0.149061135697367","0.13620920202326","0.161913069371473","1"
"Disabled","1984","35-65 y.","vocational + Abi","16","","","","1"
"Disabled","1984","35-65 y.","higher vocational","59","0.173596021238845","0.13479227716444","0.212399765313251","1"
"Disabled","1984","35-65 y.","higher education","49","0.117320001435996","0.0885617004028908","0.146078302469101","1"
"Not disabled","1984","16-34 y.","in school","185","0.989938684862288","0.975634641705545","1.00424272801903","0"
"Not disabled","1984","16-34 y.","inadequately","295","0.892167131255307","0.85758374299201","0.926750519518603","0"
"Not disabled","1984","16-34 y.","general elemantary","1268","0.982673203683583","0.975535980607518","0.989810426759647","0"
"Not disabled","1984","16-34 y.","middle vocational","2142","0.979495837628939","0.97354822641262","0.985443448845259","0"
"Not disabled","1984","16-34 y.","vocational + Abi","163","0.993285005656193","0.980785698733768","1.00578431257862","0"
"Not disabled","1984","16-34 y.","higher vocational","208","0.983535583186773","0.966365394099971","1.00070577227358","0"
"Not disabled","1984","16-34 y.","higher education","244","0.981615729627166","0.964896502241281","0.998334957013051","0"
"Not disabled","1984","35-65 y.","in school","","","","","0"
"Not disabled","1984","35-65 y.","inadequately","651","0.91197475740143","0.890895108166714","0.933054406636146","0"
"Not disabled","1984","35-65 y.","general elemantary","1491","0.872221165573503","0.856146956657749","0.888295374489258","0"
"Not disabled","1984","35-65 y.","middle vocational","2569","0.850938864302633","0.838086930628527","0.86379079797674","0"
"Not disabled","1984","35-65 y.","vocational + Abi","111","0.83905606667454","0.775144564265554","0.902967569083526","0"
"Not disabled","1984","35-65 y.","higher vocational","307","0.826403978761155","0.787600234686749","0.86520772283556","0"
"Not disabled","1984","35-65 y.","higher education","432","0.882679998564004","0.853921697530899","0.911438299597109","0"
"Not disabled","1984","66 and older","in school","","","","","0"
"Not disabled","1984","66 and older","inadequately","12","","","","0"
"Not disabled","1984","66 and older","general elemantary","419","0.817887950486175","0.784620534752984","0.851155366219366","0"
"Not disabled","1984","66 and older","middle vocational","441","0.771052984881595","0.736711128081628","0.805394841681563","0"
"Not disabled","1984","66 and older","vocational + Abi","16","","","","0"
"Not disabled","1984","66 and older","higher vocational","63","0.767108266244171","0.676176754117329","0.858039778371012","0"
"Not disabled","1984","66 and older","higher education","52","0.840939845080129","0.750628776262731","0.931250913897526","0"
"Disabled","1985","66 and older","general elemantary","65","0.141278095275463","0.10824130550859","0.174314885042336","1"
"Disabled","1985","66 and older","inadequately","4","","","","1"
"Disabled","1985","66 and older","in school","","","","","1"
"Disabled","1985","66 and older","higher vocational","23","","","","1"
"Disabled","1985","66 and older","higher education","10","","","","1"
"Disabled","1985","16-34 y.","higher vocational","3","","","","1"
"Disabled","1985","66 and older","middle vocational","121","0.221215293207587","0.185506046137102","0.256924540278072","1"
"Disabled","1985","66 and older","vocational + Abi","4","","","","1"
"Disabled","1985","16-34 y.","higher education","4","","","","1"
"Disabled","1985","35-65 y.","middle vocational","337","0.14766720864795","0.134300304733716","0.161034112562184","1"
"Disabled","1985","16-34 y.","middle vocational","29","","","","1"
"Disabled","1985","35-65 y.","vocational + Abi","14","","","","1"
"Disabled","1985","35-65 y.","higher vocational","56","0.17896373720381","0.138456505941889","0.219470968465731","1"
"Disabled","1985","35-65 y.","higher education","42","0.110223121824164","0.0815422556127823","0.138903988035545","1"
"Disabled","1985","16-34 y.","inadequately","18","","","","1"
"Disabled","1985","16-34 y.","general elemantary","15","","","","1"
"Disabled","1985","16-34 y.","vocational + Abi","2","","","","1"
"Disabled","1985","16-34 y.","in school","1","","","","1"
"Disabled","1985","35-65 y.","in school","","","","","1"
"Disabled","1985","35-65 y.","inadequately","32","0.078115803991121","0.0564805504496886","0.0997510575325533","1"
"Disabled","1985","35-65 y.","general elemantary","148","0.130179734798842","0.113127993059024","0.14723147653866","1"
"Not disabled","1985","16-34 y.","in school","186","0.997142235879674","0.989491221231984","1.00479325052736","0"
"Not disabled","1985","16-34 y.","inadequately","223","0.844276328352817","0.798498077609916","0.890054579095717","0"
"Not disabled","1985","16-34 y.","general elemantary","1128","0.984945042642291","0.977885594699601","0.992004490584981","0"
"Not disabled","1985","16-34 y.","middle vocational","1925","0.982906394520007","0.977159162507848","0.988653626532167","0"
"Not disabled","1985","16-34 y.","vocational + Abi","149","0.981505999887239","0.960016736707805","1.00299526306667","0"
"Not disabled","1985","16-34 y.","higher vocational","193","0.982026519656541","0.963427170217286","1.0006258690958","0"
"Not disabled","1985","16-34 y.","higher education","235","0.982925506589716","0.966501339422095","0.999349673757337","0"
"Not disabled","1985","35-65 y.","in school","","","","","0"
"Not disabled","1985","35-65 y.","inadequately","559","0.921884196008879","0.900248942467447","0.943519449550311","0"
"Not disabled","1985","35-65 y.","general elemantary","1348","0.869820265201158","0.85276852346134","0.886872006940976","0"
"Not disabled","1985","35-65 y.","middle vocational","2369","0.85233279135205","0.838965887437816","0.865699695266285","0"
"Not disabled","1985","35-65 y.","vocational + Abi","96","0.822421023723957","0.751005171301431","0.893836876146482","0"
"Not disabled","1985","35-65 y.","higher vocational","288","0.82103626279619","0.780529031534269","0.861543494058111","0"
"Not disabled","1985","35-65 y.","higher education","416","0.889776878175837","0.861096011964455","0.918457744387218","0"
"Not disabled","1985","66 and older","in school","","","","","0"
"Not disabled","1985","66 and older","inadequately","10","","","","0"
"Not disabled","1985","66 and older","general elemantary","362","0.858721904724537","0.825685114957664","0.89175869449141","0"
