"m11124","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","16-34 y.","1-pers.-HH","342","0.961108113306761","0.940967991741161","0.98124823487236"
"Not disabled","1984","16-34 y.","(Married) couple without C. ","635","0.980824049468439","0.970248429519486","0.991399669417391"
"Not disabled","1984","16-34 y.","Single parent ","279","0.96933807057401","0.949392589420033","0.989283551727986"
"Not disabled","1984","16-34 y.","Couple + C. LE 16 ","1489","0.981317193460074","0.974485486435049","0.9881489004851"
"Not disabled","1984","16-34 y.","Couple + C. GT 16 ","780","0.979277519285234","0.969375168859397","0.989179869711071"
"Not disabled","1984","16-34 y.","Couple + C. LE and GT 16","701","0.991787075735823","0.985134397552373","0.998439753919274"
"Not disabled","1984","35-65 y.","1-pers.-HH","432","0.803464473602698","0.769077553396325","0.837851393809071"
"Not disabled","1984","35-65 y.","(Married) couple without C. ","1192","0.778081547209899","0.756875420761714","0.799287673658084"
"Not disabled","1984","35-65 y.","Single parent ","231","0.853002023259419","0.810124651705089","0.895879394813749"
"Not disabled","1984","35-65 y.","Couple + C. LE 16 ","1481","0.937174725966196","0.925149113718543","0.949200338213849"
"Not disabled","1984","35-65 y.","Couple + C. GT 16 ","1012","0.869731822566675","0.850252303470787","0.889211341662563"
"Not disabled","1984","35-65 y.","Couple + C. LE and GT 16","942","0.926182762026363","0.91004921904871","0.942316305004016"
"Not disabled","1984","66 and older","1-pers.-HH","377","0.825106541486796","0.79042970852651","0.859783374447083"
"Not disabled","1984","66 and older","(Married) couple without C. ","438","0.758818123754199","0.723881733390501","0.793754514117898"
"Not disabled","1984","66 and older","Single parent ","24","","",""
"Not disabled","1984","66 and older","Couple + C. LE 16 ","1","","",""
"Not disabled","1984","66 and older","Couple + C. GT 16 ","34","0.710188376363186","0.581845386517079","0.838531366209292"
"Not disabled","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Disabled","1984","16-34 y.","1-pers.-HH","12","","",""
"Disabled","1984","16-34 y.","(Married) couple without C. ","11","","",""
"Disabled","1984","16-34 y.","Single parent ","8","","",""
"Disabled","1984","16-34 y.","Couple + C. LE 16 ","20","","",""
"Disabled","1984","16-34 y.","Couple + C. GT 16 ","15","","",""
"Disabled","1984","16-34 y.","Couple + C. LE and GT 16","6","","",""
"Disabled","1984","35-65 y.","1-pers.-HH","81","0.196535526397302","0.162148606190929","0.230922446603675"
"Disabled","1984","35-65 y.","(Married) couple without C. ","283","0.221918452790101","0.200712326341916","0.243124579238286"
"Disabled","1984","35-65 y.","Single parent ","31","0.146997976740581","0.104120605186251","0.189875348294911"
"Disabled","1984","35-65 y.","Couple + C. LE 16 ","83","0.0628252740338042","0.0507996617861511","0.0748508862814573"
"Disabled","1984","35-65 y.","Couple + C. GT 16 ","135","0.130268177433325","0.110788658337437","0.149747696529213"
"Disabled","1984","35-65 y.","Couple + C. LE and GT 16","67","0.0738172379736374","0.0576836949959845","0.0899507809512904"
"Disabled","1984","66 and older","1-pers.-HH","84","0.174893458513204","0.140216625552917","0.20957029147349"
"Disabled","1984","66 and older","(Married) couple without C. ","138","0.241181876245801","0.206245485882102","0.276118266609499"
"Disabled","1984","66 and older","Single parent ","4","","",""
"Disabled","1984","66 and older","Couple + C. LE 16 ","2","","",""
"Disabled","1984","66 and older","Couple + C. GT 16 ","14","","",""
"Disabled","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Not disabled","1985","16-34 y.","1-pers.-HH","319","0.974079898556401","0.956857649962972","0.991302147149829"
"Not disabled","1985","16-34 y.","(Married) couple without C. ","580","0.979423200855918","0.967968171984969","0.990878229726867"
"Not disabled","1985","16-34 y.","Single parent ","274","0.982509155439213","0.967126911918119","0.997891398960307"
"Not disabled","1985","16-34 y.","Couple + C. LE 16 ","1231","0.981338244890203","0.973833214120165","0.98884327566024"
"Not disabled","1985","16-34 y.","Couple + C. GT 16 ","818","0.975985347848579","0.965613762128792","0.986356933568367"
"Not disabled","1985","16-34 y.","Couple + C. LE and GT 16","620","0.988705104764888","0.980433518329509","0.996976691200267"
"Not disabled","1985","35-65 y.","1-pers.-HH","372","0.790341287564745","0.752562809859143","0.828119765270348"
