"m11124","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","16-34 y.","Male","2220","0.974548342461365","0.968069537717567","0.981027147205163"
"Not disabled","1984","16-34 y.","Female","2303","0.98275353282713","0.977471877637657","0.988035188016603"
"Not disabled","1984","35-65 y.","Male","2769","0.825845481762878","0.812728173950171","0.838962789575584"
"Not disabled","1984","35-65 y.","Female","2832","0.890080371572396","0.87908550488887","0.901075238255921"
"Not disabled","1984","66 and older","Male","355","0.701761650738186","0.661979084540956","0.741544216935417"
"Not disabled","1984","66 and older","Female","649","0.846841743434651","0.821354565855707","0.872328921013594"
"Disabled","1984","16-34 y.","Male","50","0.0254516575386349","0.0189728527948365","0.0319304622824333"
"Disabled","1984","16-34 y.","Female","31","0.01724646717287","0.0119648119833969","0.022528122362343"
"Disabled","1984","35-65 y.","Male","442","0.174154518237122","0.161037210424416","0.187271826049829"
"Disabled","1984","35-65 y.","Female","277","0.109919628427604","0.0989247617440788","0.12091449511113"
"Disabled","1984","66 and older","Male","153","0.298238349261814","0.258455783064583","0.338020915459044"
"Disabled","1984","66 and older","Female","118","0.153158256565349","0.127671078986406","0.178645434144293"
"Not disabled","1985","16-34 y.","Male","2057","0.977281339821702","0.970908403124556","0.983654276518848"
"Not disabled","1985","16-34 y.","Female","2048","0.981469292917554","0.975672267559033","0.987266318276074"
"Not disabled","1985","35-65 y.","Male","2502","0.827044696041562","0.813255764911167","0.840833627171957"
"Not disabled","1985","35-65 y.","Female","2617","0.8894172119312","0.877923465626226","0.900910958236175"
"Not disabled","1985","66 and older","Male","307","0.696650624517053","0.653986805375132","0.739314443658974"
"Not disabled","1985","66 and older","Female","580","0.870567658300671","0.845150127503155","0.895985189098186"
"Disabled","1985","16-34 y.","Male","43","0.0227186601782979","0.0163457234811521","0.0290915968754438"
"Disabled","1985","16-34 y.","Female","31","0.0185307070824464","0.0127336817239257","0.024327732440967"
"Disabled","1985","35-65 y.","Male","388","0.172955303958438","0.159166372828043","0.186744235088833"
"Disabled","1985","35-65 y.","Female","243","0.1105827880688","0.0990890417638253","0.122076534373774"
"Disabled","1985","66 and older","Male","139","0.303349375482947","0.260685556341026","0.346013194624868"
"Disabled","1985","66 and older","Female","90","0.129432341699329","0.104014810901814","0.154849872496845"
"Not disabled","1986","16-34 y.","Male","2082","0.999495802094606","0.99853199473224","1.00045960945697"
"Not disabled","1986","16-34 y.","Female","2012","0.999578232715726","0.998681499621929","1.00047496580952"
