"m11124","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Full Time","West Germany","303","0.0681103119704645","0.0615532852246292","0.0746673387162998","1"
"Disabled","1984","Part Time","West Germany","115","0.0719142200303093","0.0602547531439468","0.0835736869166718","1"
"Disabled","1984","Full Time","East Germany","","","","","1"
"Disabled","1984","Part Time","East Germany","","","","","1"
"Disabled","1984","Not Working","West Germany","653","0.168767664821012","0.157993059812393","0.17954226982963","1"
"Disabled","1984","Not Working","East Germany","","","","","1"
"Not disabled","1984","Full Time","West Germany","5368","0.931889688029535","0.9253326612837","0.938446714775371","0"
"Not disabled","1984","Full Time","East Germany","","","","","0"
"Not disabled","1984","Part Time","West Germany","1771","0.928085779969691","0.916426313083328","0.939745246856053","0"
"Not disabled","1984","Part Time","East Germany","","","","","0"
"Not disabled","1984","Not Working","West Germany","3989","0.831232335178988","0.82045773017037","0.842006940187607","0"
"Not disabled","1984","Not Working","East Germany","","","","","0"
"Disabled","1985","Full Time","West Germany","254","0.066261787892249","0.0593526928181288","0.0731708829663692","1"
"Disabled","1985","Full Time","East Germany","","","","","1"
"Disabled","1985","Part Time","West Germany","100","0.0631840647995429","0.0521304119741817","0.074237717624904","1"
"Disabled","1985","Part Time","East Germany","","","","","1"
"Disabled","1985","Not Working","West Germany","580","0.166458887842243","0.155200347254158","0.177717428430328","1"
"Disabled","1985","Not Working","East Germany","","","","","1"
"Not disabled","1985","Full Time","West Germany","4725","0.933738212107751","0.926829117033631","0.940647307181871","0"
"Not disabled","1985","Full Time","East Germany","","","","","0"
"Not disabled","1985","Part Time","West Germany","1761","0.936815935200457","0.925762282375096","0.947869588025818","0"
"Not disabled","1985","Part Time","East Germany","","","","","0"
"Not disabled","1985","Not Working","West Germany","3625","0.833541112157757","0.822282571569672","0.844799652745842","0"
"Not disabled","1985","Not Working","East Germany","","","","","0"
"Disabled","1986","Full Time","East Germany","","","","","1"
"Disabled","1986","Full Time","West Germany","3","","","","1"
"Disabled","1986","Part Time","East Germany","","","","","1"
"Disabled","1986","Part Time","West Germany","","","","","1"
"Disabled","1986","Not Working","West Germany","5","","","","1"
"Disabled","1986","Not Working","East Germany","","","","","1"
"Not disabled","1986","Full Time","West Germany","4862","0.999722296232319","0.999254089942421","1.00019050252222","0"
"Not disabled","1986","Full Time","East Germany","","","","","0"
"Not disabled","1986","Part Time","West Germany","1833","1","1","1","0"
"Not disabled","1986","Part Time","East Germany","","","","","0"
"Not disabled","1986","Not Working","West Germany","3940","0.999561972989129","0.998909023034449","1.00021492294381","0"
"Not disabled","1986","Not Working","East Germany","","","","","0"
"Disabled","1987","Full Time","West Germany","249","0.0617108963957431","0.054964432735284","0.0684573600562022","1"
"Disabled","1987","Full Time","East Germany","","","","","1"
"Disabled","1987","Part Time","East Germany","","","","","1"
"Disabled","1987","Part Time","West Germany","83","0.0557454295408974","0.0451582810261068","0.0663325780556881","1"
