"m11124","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1985","Full Time","Urban Area","224","0.0742937006511887","0.0661697383149254","0.082417662987452","1"
"Disabled","1985","Full Time","Rural Area","30","0.0384634359355179","0.0263983582509529","0.0505285136200829","1"
"Disabled","1985","Part Time","Urban Area","83","0.0650029480301597","0.0524259625447954","0.0775799335155241","1"
"Disabled","1985","Part Time","Rural Area","17","","","","1"
"Disabled","1985","Not Working","Urban Area","458","0.173476082247199","0.160545031705277","0.186407132789121","1"
"Disabled","1985","Not Working","Rural Area","122","0.145000532978947","0.122136300682466","0.167864765275429","1"
"Not disabled","1985","Full Time","Urban Area","3779","0.925706299348811","0.917582337012548","0.933830261685075","0"
"Not disabled","1985","Full Time","Rural Area","946","0.961536564064482","0.949471486379917","0.973601641749047","0"
"Not disabled","1985","Part Time","Urban Area","1393","0.93499705196984","0.922420066484476","0.947574037455205","0"
"Not disabled","1985","Part Time","Rural Area","368","0.94289145632439","0.919712220220903","0.966070692427876","0"
"Not disabled","1985","Not Working","Urban Area","2836","0.826523917752801","0.813592867210879","0.839454968294723","0"
"Not disabled","1985","Not Working","Rural Area","789","0.854999467021053","0.832135234724571","0.877863699317534","0"
"Disabled","1986","Full Time","Rural Area","","","","","1"
"Disabled","1986","Full Time","Urban Area","3","","","","1"
"Disabled","1986","Part Time","Rural Area","","","","","1"
"Disabled","1986","Part Time","Urban Area","","","","","1"
"Disabled","1986","Not Working","Urban Area","2","","","","1"
"Disabled","1986","Not Working","Rural Area","3","","","","1"
"Not disabled","1986","Full Time","Urban Area","3885","0.999640261630352","0.999044187582556","1.00023633567815","0"
"Not disabled","1986","Full Time","Rural Area","977","1","1","1","0"
"Not disabled","1986","Part Time","Urban Area","1439","1","1","1","0"
"Not disabled","1986","Part Time","Rural Area","394","1","1","1","0"
"Not disabled","1986","Not Working","Urban Area","3129","0.999790953166232","0.999284565690908","1.00029734064156","0"
"Not disabled","1986","Not Working","Rural Area","811","0.998806155503636","0.99643396056748","1.00117835043979","0"
"Disabled","1987","Full Time","Urban Area","209","0.0647871912663311","0.0570727587848363","0.072501623747826","1"
"Disabled","1987","Full Time","Rural Area","40","0.0509891864033868","0.0371885916302518","0.0647897811765218","1"
"Disabled","1987","Part Time","Rural Area","16","","","","1"
"Disabled","1987","Part Time","Urban Area","67","0.0591101631672535","0.0467302621604739","0.0714900641740332","1"
"Disabled","1987","Not Working","Urban Area","454","0.189041014758166","0.175051119526921","0.203030909989411","1"
"Disabled","1987","Not Working","Rural Area","110","0.157685974549419","0.131860344658817","0.18351160444002","1"
"Not disabled","1987","Full Time","Urban Area","3702","0.935212808733669","0.927498376252174","0.942927241215164","0"
"Not disabled","1987","Full Time","Rural Area","936","0.949010813596613","0.935210218823478","0.962811408369748","0"
