"m11124","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Not disabled","1985","Not Employed","Urban Area","2836","0.826523917752801","0.813592867210879","0.839454968294723"
"Not disabled","1985","Not Employed","Rural Area","789","0.854999467021053","0.832135234724571","0.877863699317534"
"Not disabled","1985","Employed","Urban Area","5172","0.928365915313539","0.921537547723593","0.935194282903485"
"Not disabled","1985","Employed","Rural Area","1314","0.956062832843216","0.945174076688291","0.966951588998142"
"Disabled","1985","Not Employed","Urban Area","458","0.173476082247199","0.160545031705277","0.186407132789121"
"Disabled","1985","Not Employed","Rural Area","122","0.145000532978947","0.122136300682466","0.167864765275429"
"Disabled","1985","Employed","Urban Area","307","0.071634084686461","0.0648057170965154","0.0784624522764066"
"Disabled","1985","Employed","Rural Area","47","0.0439371671567838","0.0330484110018581","0.0548259233117095"
"Not disabled","1986","Not Employed","Urban Area","3129","0.999790953166232","0.999284565690908","1.00029734064156"
"Not disabled","1986","Not Employed","Rural Area","811","0.998806155503636","0.99643396056748","1.00117835043979"
"Not disabled","1986","Employed","Urban Area","5324","0.9997410647689","0.99930900275972","1.00017312677808"
"Not disabled","1986","Employed","Rural Area","1371","1","1","1"
"Disabled","1986","Not Employed","Urban Area","2","","",""
"Disabled","1986","Not Employed","Rural Area","3","","",""
"Disabled","1986","Employed","Urban Area","3","","",""
"Disabled","1986","Employed","Rural Area","","","",""
"Not disabled","1987","Not Employed","Urban Area","2555","0.810958985241834","0.796969090010589","0.824948880473079"
"Not disabled","1987","Not Employed","Rural Area","655","0.842314025450581","0.81648839555998","0.868139655341183"
"Not disabled","1987","Employed","Urban Area","5029","0.936773362720809","0.930224397175002","0.943322328266617"
"Not disabled","1987","Employed","Rural Area","1330","0.950635229136565","0.939230578368194","0.962039879904936"
"Disabled","1987","Not Employed","Urban Area","454","0.189041014758166","0.175051119526921","0.203030909989411"
"Disabled","1987","Not Employed","Rural Area","110","0.157685974549419","0.131860344658817","0.18351160444002"
"Disabled","1987","Employed","Urban Area","276","0.0632266372791906","0.0566776717333832","0.069775602824998"
"Disabled","1987","Employed","Rural Area","56","0.0493647708634351","0.0379601200950643","0.0607694216318059"
"Not disabled","1988","Not Employed","Urban Area","2349","0.77976569896461","0.764548791131695","0.794982606797524"
"Not disabled","1988","Not Employed","Rural Area","584","0.823927985365571","0.79571241297772","0.852143557753422"
"Not disabled","1988","Employed","Urban Area","4829","0.935866346357178","0.92915112859104","0.942581564123316"
"Not disabled","1988","Employed","Rural Area","1262","0.9505060543477","0.938791960856766","0.962220147838633"
"Disabled","1988","Not Employed","Urban Area","500","0.22023430103539","0.205017393202476","0.235451208868305"
"Disabled","1988","Not Employed","Rural Area","116","0.176072014634428","0.147856442246578","0.204287587022279"
"Disabled","1988","Employed","Urban Area","284","0.0641336536428218","0.0574184358766839","0.0708488714089597"
"Disabled","1988","Employed","Rural Area","55","0.0494939456523004","0.0377798521613667","0.0612080391432341"
"Not disabled","1989","Not Employed","Urban Area","2243","0.769950637563006","0.754215096330894","0.785686178795118"
"Not disabled","1989","Not Employed","Rural Area","535","0.785033334041865","0.753810891300873","0.816255776782858"
"Not disabled","1989","Employed","Urban Area","4744","0.938033267875031","0.931354580946487","0.944711954803576"
"Not disabled","1989","Employed","Rural Area","1198","0.953415406462186","0.941723023367083","0.96510778955729"
"Disabled","1989","Not Employed","Urban Area","505","0.230049362436994","0.214313821204882","0.245784903669106"
"Disabled","1989","Not Employed","Rural Area","130","0.214966665958135","0.183744223217142","0.246189108699127"
"Disabled","1989","Employed","Urban Area","262","0.0619667321249685","0.0552880451964241","0.0686454190535129"
"Disabled","1989","Employed","Rural Area","50","0.0465845935378138","0.0348922104427101","0.0582769766329175"
"Not disabled","1990","Not Employed","Urban Area","","","",""
"Not disabled","1990","Not Employed","Rural Area","","","",""
"Not disabled","1990","Employed","Urban Area","","","",""
"Not disabled","1990","Employed","Rural Area","","","",""
"Disabled","1990","Not Employed","Urban Area","","","",""
"Disabled","1990","Not Employed","Rural Area","","","",""
"Disabled","1990","Employed","Urban Area","","","",""
"Disabled","1990","Employed","Rural Area","","","",""
"Not disabled","1991","Not Employed","Urban Area","2058","0.753492641242103","0.736862624368634","0.770122658115572"
"Not disabled","1991","Not Employed","Rural Area","534","0.776186488802513","0.744508072780859","0.807864904824166"
"Not disabled","1991","Employed","Urban Area","4646","0.937460077405151","0.930683917502693","0.944236237307608"
"Not disabled","1991","Employed","Rural Area","1224","0.956605452947957","0.94541758368071","0.967793322215203"
"Disabled","1991","Not Employed","Urban Area","522","0.246507358757897","0.229877341884428","0.263137375631366"
"Disabled","1991","Not Employed","Rural Area","131","0.223813511197487","0.192135095175834","0.255491927219141"
"Disabled","1991","Employed","Urban Area","259","0.0625399225948494","0.0557637626923922","0.0693160824973065"
"Disabled","1991","Employed","Rural Area","50","0.0433945470520433","0.0322066777847965","0.05458241631929"
"Not disabled","1992","Not Employed","Urban Area","2314","0.757550792945104","0.741901571918986","0.773200013971221"
"Not disabled","1992","Not Employed","Rural Area","1086","0.80667303729419","0.785230761994122","0.828115312594258"
"Not disabled","1992","Employed","Urban Area","5599","0.938738089039379","0.932623104865525","0.944853073213233"
"Not disabled","1992","Employed","Rural Area","2983","0.961054032325268","0.954222668840298","0.967885395810237"
"Disabled","1992","Not Employed","Urban Area","567","0.242449207054896","0.226799986028779","0.258098428081013"
"Disabled","1992","Not Employed","Rural Area","217","0.19332696270581","0.171884687405742","0.214769238005878"
"Disabled","1992","Employed","Urban Area","309","0.0612619109606214","0.0551469267867675","0.0673768951344753"
"Disabled","1992","Employed","Rural Area","98","0.0389459676747324","0.0321146041897632","0.0457773311597017"
"Not disabled","1993","Not Employed","Urban Area","","","",""
"Not disabled","1993","Not Employed","Rural Area","","","",""
"Not disabled","1993","Employed","Urban Area","","","",""
"Not disabled","1993","Employed","Rural Area","","","",""
"Disabled","1993","Not Employed","Urban Area","","","",""
"Disabled","1993","Not Employed","Rural Area","","","",""
"Disabled","1993","Employed","Urban Area","","","",""
"Disabled","1993","Employed","Rural Area","","","",""
"Not disabled","1994","Not Employed","Urban Area","2493","0.770705652636873","0.755811070484705","0.78560023478904"
"Not disabled","1994","Not Employed","Rural Area","1260","0.828101787444772","0.808912342823192","0.847291232066352"
"Not disabled","1994","Employed","Urban Area","5261","0.941107470858466","0.934908167026646","0.947306774690285"
"Not disabled","1994","Employed","Rural Area","2708","0.958081181298286","0.95065560938182","0.965506753214752"
"Disabled","1994","Not Employed","Urban Area","567","0.229294347363127","0.21439976521096","0.244188929515295"
"Disabled","1994","Not Employed","Rural Area","225","0.171898212555228","0.152708767933648","0.191087657176808"
"Disabled","1994","Employed","Urban Area","279","0.0588925291415345","0.0526932253097152","0.0650918329733537"
"Disabled","1994","Employed","Rural Area","90","0.041918818701714","0.0344932467852483","0.0493443906181796"
"Not disabled","1995","Not Employed","Urban Area","2617","0.763851241009127","0.74918622467433","0.778516257343924"
"Not disabled","1995","Not Employed","Rural Area","1321","0.811213853779613","0.791825378375097","0.830602329184128"
"Not disabled","1995","Employed","Urban Area","5302","0.94142376568553","0.935265054963866","0.947582476407195"
"Not disabled","1995","Employed","Rural Area","2774","0.950458650305884","0.942532217369457","0.958385083242311"
