"m11124","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1984","Lower Saxony","Single parent ","3","","","","1"
"Disabled","1984","North Rhine-Westphalia","1-pers.-HH","66","0.210798739956029","0.16940624873119","0.252191231180868","1"
"Disabled","1984","Schleswig-Holstein","Single parent ","2","","","","1"
"Disabled","1984","Bremen","(Married) couple without C. ","9","","","","1"
"Disabled","1984","Schleswig-Holstein","(Married) couple without C. ","9","","","","1"
"Disabled","1984","Hamburg","Single parent ","","","","","1"
"Disabled","1984","Bremen","Couple + C. GT 16 ","","","","","1"
"Disabled","1984","Bremen","Couple + C. LE and GT 16","","","","","1"
"Disabled","1984","Lower Saxony","(Married) couple without C. ","50","0.203219143515355","0.156086605199511","0.250351681831199","1"
"Disabled","1984","Lower Saxony","Couple + C. LE 16 ","14","","","","1"
"Disabled","1984","Schleswig-Holstein","Couple + C. LE 16 ","2","","","","1"
"Disabled","1984","Lower Saxony","Couple + C. LE and GT 16","7","","","","1"
"Disabled","1984","Bremen","1-pers.-HH","6","","","","1"
"Disabled","1984","Bremen","Single parent ","","","","","1"
"Disabled","1984","Bremen","Couple + C. LE 16 ","2","","","","1"
"Disabled","1984","Hesse","Single parent ","5","","","","1"
"Disabled","1984","Hesse","Couple + C. LE 16 ","9","","","","1"
"Disabled","1984","Schleswig-Holstein","1-pers.-HH","2","","","","1"
"Disabled","1984","Hesse","Couple + C. LE and GT 16","4","","","","1"
"Disabled","1984","Lower Saxony","Couple + C. GT 16 ","14","","","","1"
"Disabled","1984","North Rhine-Westphalia","Single parent ","18","","","","1"
"Disabled","1984","North Rhine-Westphalia","Couple + C. LE 16 ","35","0.0524021088969393","0.0374742461239163","0.0673299716699624","1"
"Disabled","1984","North Rhine-Westphalia","Couple + C. GT 16 ","44","0.104365320303189","0.077805033779647","0.130925606826731","1"
"Disabled","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","24","","","","1"
"Disabled","1984","Hesse","1-pers.-HH","13","","","","1"
"Disabled","1984","Hesse","(Married) couple without C. ","41","0.172544826029188","0.128676721519665","0.216412930538711","1"
"Disabled","1984","Hamburg","Couple + C. LE and GT 16","1","","","","1"
"Disabled","1984","Lower Saxony","1-pers.-HH","14","","","","1"
"Disabled","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","10","","","","1"
"Disabled","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","33","0.177117536439833","0.124600554848441","0.229634518031224","1"
