"m11124","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","Not Employed","West Germany","3989","0.831232335178988","0.82045773017037","0.842006940187607"
"Not disabled","1984","Not Employed","East Germany","","","",""
"Not disabled","1984","Employed","West Germany","7139","0.930865864569756","0.925146296930274","0.936585432209238"
"Not disabled","1984","Employed","East Germany","","","",""
"Disabled","1984","Not Employed","West Germany","653","0.168767664821012","0.157993059812393","0.17954226982963"
"Disabled","1984","Not Employed","East Germany","","","",""
"Disabled","1984","Employed","West Germany","418","0.069134135430244","0.0634145677907624","0.0748537030697256"
"Disabled","1984","Employed","East Germany","","","",""
"Not disabled","1985","Not Employed","West Germany","3625","0.833541112157757","0.822282571569672","0.844799652745842"
"Not disabled","1985","Not Employed","East Germany","","","",""
"Not disabled","1985","Employed","West Germany","6486","0.934624339639087","0.928766376589842","0.940482302688332"
"Not disabled","1985","Employed","East Germany","","","",""
"Disabled","1985","Not Employed","West Germany","580","0.166458887842243","0.155200347254158","0.177717428430328"
"Disabled","1985","Not Employed","East Germany","","","",""
"Disabled","1985","Employed","West Germany","354","0.065375660360913","0.0595176973116683","0.0712336234101577"
"Disabled","1985","Employed","East Germany","","","",""
"Not disabled","1986","Not Employed","West Germany","3940","0.999561972989129","0.998909023034449","1.00021492294381"
"Not disabled","1986","Not Employed","East Germany","","","",""
"Not disabled","1986","Employed","West Germany","6695","0.999801519898968","0.99946416198553","1.00013887781241"
"Not disabled","1986","Employed","East Germany","","","",""
"Disabled","1986","Not Employed","West Germany","5","","",""
"Disabled","1986","Not Employed","East Germany","","","",""
"Disabled","1986","Employed","West Germany","3","","",""
"Disabled","1986","Employed","East Germany","","","",""
"Not disabled","1987","Not Employed","West Germany","3210","0.81812846325306","0.805821801549464","0.830435124956655"
"Not disabled","1987","Not Employed","East Germany","","","",""
"Not disabled","1987","Employed","West Germany","6359","0.939972600868028","0.934280993450359","0.945664208285698"
"Not disabled","1987","Employed","East Germany","","","",""
"Disabled","1987","Not Employed","West Germany","564","0.18187153674694","0.169564875043345","0.194178198450536"
"Disabled","1987","Not Employed","East Germany","","","",""
"Disabled","1987","Employed","West Germany","332","0.0600273991319717","0.0543357917143024","0.065719006549641"
"Disabled","1987","Employed","East Germany","","","",""
"Not disabled","1988","Not Employed","West Germany","2933","0.789659360505042","0.776250972148973","0.803067748861112"
"Not disabled","1988","Not Employed","East Germany","","","",""
"Not disabled","1988","Employed","West Germany","6091","0.9392186422175","0.933378664966538","0.945058619468463"
"Not disabled","1988","Employed","East Germany","","","",""
"Disabled","1988","Not Employed","West Germany","616","0.210340639494958","0.196932251138888","0.223749027851027"
"Disabled","1988","Not Employed","East Germany","","","",""
"Disabled","1988","Employed","West Germany","339","0.0607813577824996","0.0549413805315375","0.0666213350334618"
"Disabled","1988","Employed","East Germany","","","",""
"Not disabled","1989","Not Employed","West Germany","2778","0.773342231900946","0.759296282014618","0.787388181787273"
"Not disabled","1989","Not Employed","East Germany","","","",""
"Not disabled","1989","Employed","West Germany","5942","0.941423782399771","0.935603790265995","0.947243774533546"
"Not disabled","1989","Employed","East Germany","","","",""
"Disabled","1989","Not Employed","West Germany","635","0.226657768099054","0.212611818212727","0.240703717985382"
"Disabled","1989","Not Employed","East Germany","","","",""
"Disabled","1989","Employed","West Germany","312","0.0585762176002295","0.0527562254664544","0.0643962097340045"
"Disabled","1989","Employed","East Germany","","","",""
"Not disabled","1990","Not Employed","West Germany","","","",""
"Not disabled","1990","Not Employed","East Germany","","","",""
"Not disabled","1990","Employed","West Germany","","","",""
"Not disabled","1990","Employed","East Germany","","","",""
"Disabled","1990","Not Employed","West Germany","","","",""
"Disabled","1990","Not Employed","East Germany","","","",""
"Disabled","1990","Employed","West Germany","","","",""
"Disabled","1990","Employed","East Germany","","","",""
"Not disabled","1991","Not Employed","West Germany","2592","0.758771755867183","0.744051668197589","0.773491843536778"
"Not disabled","1991","Not Employed","East Germany","","","",""
"Not disabled","1991","Employed","West Germany","5870","0.941818151586931","0.935981466273752","0.94765483690011"
"Not disabled","1991","Employed","East Germany","","","",""
"Disabled","1991","Not Employed","West Germany","653","0.241228244132817","0.226508156463222","0.255948331802411"
"Disabled","1991","Not Employed","East Germany","","","",""
"Disabled","1991","Employed","West Germany","309","0.0581818484130689","0.0523451630998897","0.0640185337262481"
"Disabled","1991","Employed","East Germany","","","",""
"Not disabled","1992","Not Employed","West Germany","2559","0.754453450922366","0.739573267077725","0.769333634767006"
"Not disabled","1992","Not Employed","East Germany","861","0.860040094262926","0.838493452478327","0.881586736047525"
"Not disabled","1992","Employed","West Germany","5817","0.93927446703727","0.933303164527639","0.945245769546901"
"Not disabled","1992","Employed","East Germany","2855","0.969500346827161","0.963280330850982","0.97572036280334"
"Disabled","1992","Not Employed","West Germany","655","0.245546549077634","0.230666365232994","0.260426732922275"
"Disabled","1992","Not Employed","East Germany","135","0.139959905737074","0.118413263952475","0.161506547521673"
"Disabled","1992","Employed","West Germany","328","0.0607255329627303","0.0547542304530995","0.0666968354723611"
"Disabled","1992","Employed","East Germany","81","0.0304996531728389","0.0242796371966598","0.036719669149018"
"Not disabled","1993","Not Employed","West Germany","","","",""
"Not disabled","1993","Not Employed","East Germany","","","",""
"Not disabled","1993","Employed","West Germany","","","",""
"Not disabled","1993","Employed","East Germany","","","",""
"Disabled","1993","Not Employed","West Germany","","","",""
"Disabled","1993","Not Employed","East Germany","","","",""
"Disabled","1993","Employed","West Germany","","","",""
"Disabled","1993","Employed","East Germany","","","",""
"Not disabled","1994","Not Employed","West Germany","2606","0.767232777679563","0.752674794019875","0.781790761339251"
