"m11124","year","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","11128","0.887206775569822","0.881593195697904","0.89282035544174"
"Disabled","1984","1071","0.112793224430178","0.10717964455826","0.118406804302096"
"Not disabled","1985","10111","0.890374535232162","0.884548041010977","0.896201029453347"
"Disabled","1985","934","0.109625464767838","0.103798970546653","0.115451958989023"
"Not disabled","1986","10635","0.999698339932235","0.999368419313908","1.00002826055056"
"Disabled","1986","8","","",""
"Not disabled","1987","9569","0.889305929594432","0.883294659422407","0.895317199766456"
"Disabled","1987","896","0.110694070405569","0.104682800233544","0.116705340577593"
"Not disabled","1988","9024","0.877617659044064","0.871187575220556","0.884047742867571"
"Disabled","1988","955","0.122382340955936","0.115952257132429","0.128812424779444"
"Not disabled","1989","8720","0.87236191471425","0.865710091160972","0.879013738267527"
"Disabled","1989","947","0.12763808528575","0.120986261732473","0.134289908839028"
"Not disabled","1990","","","",""
"Disabled","1990","","","",""
"Not disabled","1991","12664","0.896442309891455","0.891326478186447","0.901558141596462"
"Disabled","1991","962","0.103557690108545","0.0984418584035378","0.108673521813553"
"Not disabled","1992","12092","0.879932796402918","0.874406855801336","0.8854587370045"
"Disabled","1992","1199","0.120067203597082","0.1145412629955","0.125593144198664"
"Not disabled","1993","","","",""
"Disabled","1993","","","",""
"Not disabled","1994","11722","0.881693804088595","0.876116783765725","0.887270824411464"
"Disabled","1994","1161","0.118306195911405","0.112729175588536","0.123883216234275"
"Not disabled","1995","12014","0.87459069738033","0.868951840560406","0.880229554200255"
"Disabled","1995","1237","0.12540930261967","0.119770445799745","0.131048159439594"
"Not disabled","1996","11828","0.872431246916181","0.866713191022334","0.878149302810028"
"Disabled","1996","1248","0.127568753083819","0.121850697189972","0.133286808977666"
"Not disabled","1997","11625","0.87407033229485","0.868334453692317","0.879806210897384"
"Disabled","1997","1227","0.125929667705149","0.120193789102616","0.131665546307683"
"Not disabled","1998","12846","0.873575778722813","0.868124732837137","0.879026824608489"
"Disabled","1998","1432","0.126424221277187","0.120973175391511","0.131875267162863"
"Not disabled","1999","12334","0.868116497370089","0.862459221461147","0.873773773279031"
"Disabled","1999","1408","0.131883502629911","0.126226226720969","0.137540778538853"
"Not disabled","2000","21764","0.884272530017669","0.880242846285365","0.888302213749973"
"Disabled","2000","2445","0.115727469982331","0.111697786250027","0.119757153714635"
"Not disabled","2001","19781","0.88348205374433","0.879242480359166","0.887721627129495"
"Disabled","2001","2220","0.11651794625567","0.112278372870506","0.120757519640834"
"Not disabled","2002","20719","0.874361779397818","0.870088381001903","0.878635177793732"
"Disabled","2002","2389","0.125638220602182","0.121364822206268","0.129911618998097"
"Not disabled","2003","19911","0.875671034189472","0.87133601579765","0.880006052581295"
"Disabled","2003","2344","0.124328965810528","0.119993947418705","0.12866398420235"
"Not disabled","2004","19326","0.870340944850912","0.865870771069764","0.87481111863206"
"Disabled","2004","2368","0.129659055149088","0.12518888136794","0.134129228930236"
"Not disabled","2005","18453","0.873428620071358","0.86890725584133","0.877949984301386"
"Disabled","2005","2321","0.126571379928642","0.122050015698614","0.13109274415867"
"Not disabled","2006","19470","0.86904776188678","0.864593358341984","0.873502165431577"
"Disabled","2006","2563","0.130952238113219","0.126497834568423","0.135406641658016"
"Not disabled","2007","18161","0.869510249376071","0.864908650505081","0.874111848247061"
"Disabled","2007","2423","0.130489750623929","0.125888151752939","0.135091349494919"
"Not disabled","2008","17114","0.870963619574626","0.866245361565338","0.875681877583913"
"Disabled","2008","2279","0.129036380425375","0.124318122416087","0.133754638434662"
"Not disabled","2009","15921","0.871451241956049","0.866573483270943","0.876329000641156"
"Disabled","2009","2166","0.128548758043951","0.123670999358844","0.133426516729057"
"Not disabled","2010","21742","0.872037646436811","0.867811523277691","0.876263769595931"
"Disabled","2010","2259","0.127962353563189","0.123736230404069","0.132188476722309"
"Not disabled","2011","25546","0.873501906690915","0.869639703811203","0.877364109570627"
"Disabled","2011","2910","0.126498093309085","0.122635890429373","0.130360296188797"
"Not disabled","2012","24665","0.869058813630499","0.865086034274916","0.873031592986082"
"Disabled","2012","3032","0.130941186369501","0.126968407013918","0.134913965725083"
"Not disabled","2013","27638","0.868421298920213","0.86464089737793","0.872201700462497"
"Disabled","2013","3076","0.131578701079787","0.127798299537503","0.13535910262207"
"Not disabled","2014","24173","0.862136740688518","0.858036932130765","0.866236549246272"
"Disabled","2014","2991","0.137863259311482","0.133763450753728","0.141963067869235"
"Not disabled","2015","24131","0.866817978679895","0.862757824151343","0.870878133208447"
"Disabled","2015","2771","0.133182021320105","0.129121866791553","0.137242175848657"
"Not disabled","2016","21760","0.866912778809193","0.862648374364822","0.871177183253564"
"Disabled","2016","2612","0.133087221190807","0.128822816746436","0.137351625635178"
"Not disabled","2017","23794","0.869141644330711","0.865093804625555","0.873189484035868"
"Disabled","2017","2871","0.130858355669289","0.126810515964132","0.134906195374446"
"Not disabled","2018","22792","0.868571383785667","0.86444328000331","0.872699487568024"
"Disabled","2018","2941","0.131428616214333","0.127300512431976","0.13555671999669"
"Not disabled","2019","22980","0.870944450901073","0.866855345424589","0.875033556377557"
"Disabled","2019","2843","0.129055549098927","0.124966443622443","0.133144654575411"
