"m11124","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","Full Time","no migration background","3451","0.929210761079401","0.92094121623705","0.937480305921752"
"Not disabled","1984","Full Time","direct migration background","1867","0.951067779046506","0.941428406719","0.960707151374012"
"Not disabled","1984","Full Time","indirect migration background","50","0.97016383586352","0.92392142651358","1.01640624521346"
"Not disabled","1984","Part Time","no migration background","1287","0.926458379146485","0.912681669246612","0.940235089046358"
"Not disabled","1984","Part Time","direct migration background","467","0.946251897406554","0.926263470708454","0.966240324104655"
"Not disabled","1984","Part Time","indirect migration background","17","","",""
"Not disabled","1984","Not Working","no migration background","3004","0.825054008685316","0.812621018527894","0.837486998842737"
"Not disabled","1984","Not Working","direct migration background","930","0.904957511116669","0.886753231118977","0.92316179111436"
"Not disabled","1984","Not Working","indirect migration background","55","0.899699490816665","0.822389717392607","0.977009264240723"
"Disabled","1984","Full Time","no migration background","244","0.0707892389205987","0.0625196940782479","0.0790587837629496"
"Disabled","1984","Full Time","direct migration background","57","0.0489322209534939","0.039292848625988","0.0585715932809997"
"Disabled","1984","Full Time","indirect migration background","2","","",""
"Disabled","1984","Part Time","no migration background","92","0.0735416208535152","0.059764910953642","0.0873183307533884"
"Disabled","1984","Part Time","direct migration background","22","","",""
"Disabled","1984","Part Time","indirect migration background","1","","",""
"Disabled","1984","Not Working","no migration background","583","0.174945991314684","0.162513001157263","0.187378981472106"
"Disabled","1984","Not Working","direct migration background","67","0.0950424888833315","0.0768382088856399","0.113246768881023"
"Disabled","1984","Not Working","indirect migration background","3","","",""
"Not disabled","1985","Full Time","no migration background","3122","0.929904911279801","0.92124650574177","0.938563316817832"
"Not disabled","1985","Full Time","direct migration background","1552","0.961512852760356","0.952051390757106","0.970974314763606"
"Not disabled","1985","Full Time","indirect migration background","51","1","1","1"
"Not disabled","1985","Part Time","no migration background","1301","0.935975823027106","0.923060274207362","0.948891371846849"
