"m11124","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","Not Employed","1-pers.-HH","519","0.801386120986996","0.770739450289272","0.832032791684719"
"Not disabled","1984","Not Employed","(Married) couple without C. ","910","0.744664776126937","0.720044646309362","0.769284905944512"
"Not disabled","1984","Not Employed","Single parent ","199","0.848685433118187","0.802170284696795","0.89520058153958"
"Not disabled","1984","Not Employed","Couple + C. LE 16 ","857","0.95557594063831","0.942024566624874","0.969127314651747"
"Not disabled","1984","Not Employed","Couple + C. GT 16 ","605","0.861844573820559","0.836097848786629","0.88759129885449"
"Not disabled","1984","Not Employed","Couple + C. LE and GT 16","583","0.96578827350455","0.951291943020634","0.980284603988466"
"Not disabled","1984","Employed","1-pers.-HH","632","0.916067278944416","0.895179940992836","0.936954616895997"
"Not disabled","1984","Employed","(Married) couple without C. ","1355","0.885525280701643","0.869369834581027","0.901680726822259"
"Not disabled","1984","Employed","Single parent ","335","0.951160704803499","0.928548285941006","0.973773123665991"
"Not disabled","1984","Employed","Couple + C. LE 16 ","2114","0.957922657837726","0.94951037618616","0.966334939489293"
"Not disabled","1984","Employed","Couple + C. GT 16 ","1221","0.93315919638515","0.919583093629588","0.946735299140712"
"Not disabled","1984","Employed","Couple + C. LE and GT 16","1060","0.947066951751296","0.933907145643072","0.96022675785952"
"Disabled","1984","Not Employed","1-pers.-HH","132","0.198613879013004","0.167967208315281","0.229260549710728"
"Disabled","1984","Not Employed","(Married) couple without C. ","295","0.255335223873063","0.230715094055488","0.279955353690638"
"Disabled","1984","Not Employed","Single parent ","29","","",""
"Disabled","1984","Not Employed","Couple + C. LE 16 ","31","0.0444240593616898","0.0308726853482535","0.0579754333751262"
"Disabled","1984","Not Employed","Couple + C. GT 16 ","85","0.138155426179441","0.11240870114551","0.163902151213371"
"Disabled","1984","Not Employed","Couple + C. LE and GT 16","21","","",""
"Disabled","1984","Employed","1-pers.-HH","45","0.0839327210555839","0.0630453831040035","0.104820059007164"
"Disabled","1984","Employed","(Married) couple without C. ","137","0.114474719298357","0.0983192731777411","0.130630165418973"
"Disabled","1984","Employed","Single parent ","14","","",""
"Disabled","1984","Employed","Couple + C. LE 16 ","74","0.0420773421622736","0.0336650605107069","0.0504896238138403"
"Disabled","1984","Employed","Couple + C. GT 16 ","79","0.0668408036148498","0.0532647008592879","0.0804169063704118"
"Disabled","1984","Employed","Couple + C. LE and GT 16","52","0.0529330482487037","0.0397732421404796","0.0660928543569278"
"Not disabled","1985","Not Employed","1-pers.-HH","468","0.829309206198076","0.798395202813505","0.860223209582648"
"Not disabled","1985","Not Employed","(Married) couple without C. ","801","0.731634784895322","0.705232303529427","0.758037266261218"
"Not disabled","1985","Not Employed","Single parent ","188","0.879293735725808","0.835125826441417","0.9234616450102"
"Not disabled","1985","Not Employed","Couple + C. LE 16 ","739","0.944450259602545","0.928324217038638","0.960576302166452"
"Not disabled","1985","Not Employed","Couple + C. GT 16 ","607","0.865451141713661","0.839934059754969","0.890968223672353"
"Not disabled","1985","Not Employed","Couple + C. LE and GT 16","514","0.96917330825188","0.954457831447043","0.983888785056716"
"Not disabled","1985","Employed","1-pers.-HH","568","0.918780677289581","0.897049194823075","0.940512159756087"
"Not disabled","1985","Employed","(Married) couple without C. ","1219","0.894666274521025","0.878217471877149","0.9111150771649"
"Not disabled","1985","Employed","Single parent ","323","0.967041477294337","0.947837752716839","0.986245201871835"
"Not disabled","1985","Employed","Couple + C. LE 16 ","1847","0.960677641827918","0.951945167533416","0.96941011612242"
"Not disabled","1985","Employed","Couple + C. GT 16 ","1253","0.93330451631413","0.919921088676094","0.946687943952166"
"Not disabled","1985","Employed","Couple + C. LE and GT 16","923","0.952015469360574","0.93848816020295","0.965542778518198"
"Disabled","1985","Not Employed","1-pers.-HH","101","0.170690793801924","0.139776790417352","0.201604797186495"
"Disabled","1985","Not Employed","(Married) couple without C. ","281","0.268365215104678","0.241962733738782","0.294767696470573"
"Disabled","1985","Not Employed","Single parent ","21","","",""
"Disabled","1985","Not Employed","Couple + C. LE 16 ","36","0.0555497403974552","0.0394236978335485","0.0716757829613618"
"Disabled","1985","Not Employed","Couple + C. GT 16 ","80","0.134548858286339","0.109031776327647","0.160065940245031"
"Disabled","1985","Not Employed","Couple + C. LE and GT 16","16","","",""
"Disabled","1985","Employed","1-pers.-HH","39","0.0812193227104188","0.0594878402439129","0.102950805176925"
"Disabled","1985","Employed","(Married) couple without C. ","119","0.105333725478975","0.0888849228350994","0.121782528122851"
"Disabled","1985","Employed","Single parent ","9","","",""
"Disabled","1985","Employed","Couple + C. LE 16 ","56","0.0393223581720823","0.0305898838775803","0.0480548324665843"
"Disabled","1985","Employed","Couple + C. GT 16 ","82","0.06669548368587","0.0533120560478337","0.0800789113239063"
"Disabled","1985","Employed","Couple + C. LE and GT 16","36","0.0479845306394259","0.0344572214818017","0.0615118397970502"
"Not disabled","1986","Not Employed","1-pers.-HH","540","1","1","1"
"Not disabled","1986","Not Employed","(Married) couple without C. ","1008","1","1","1"
"Not disabled","1986","Not Employed","Single parent ","197","1","1","1"
"Not disabled","1986","Not Employed","Couple + C. LE 16 ","676","1","1","1"
"Not disabled","1986","Not Employed","Couple + C. GT 16 ","692","0.99861160484509","0.995841327790804","1.00138188189938"
"Not disabled","1986","Not Employed","Couple + C. LE and GT 16","498","0.998169295471958","0.994418623791699","1.00191996715222"
"Not disabled","1986","Employed","1-pers.-HH","582","1","1","1"
"Not disabled","1986","Employed","(Married) couple without C. ","1378","0.999450268889905","0.998213569063246","1.00068696871656"
"Not disabled","1986","Employed","Single parent ","314","1","1","1"
"Not disabled","1986","Employed","Couple + C. LE 16 ","1734","0.999658680557069","0.99878951054032","1.00052785057382"
"Not disabled","1986","Employed","Couple + C. GT 16 ","1413","1","1","1"
"Not disabled","1986","Employed","Couple + C. LE and GT 16","904","1","1","1"
"Disabled","1986","Not Employed","1-pers.-HH","","","",""
"Disabled","1986","Not Employed","(Married) couple without C. ","","","",""
"Disabled","1986","Not Employed","Single parent ","","","",""
"Disabled","1986","Not Employed","Couple + C. LE 16 ","","","",""
"Disabled","1986","Not Employed","Couple + C. GT 16 ","2","","",""
"Disabled","1986","Not Employed","Couple + C. LE and GT 16","1","","",""
"Disabled","1986","Employed","1-pers.-HH","","","",""
"Disabled","1986","Employed","(Married) couple without C. ","2","","",""
"Disabled","1986","Employed","Single parent ","","","",""
"Disabled","1986","Employed","Couple + C. LE 16 ","1","","",""
"Disabled","1986","Employed","Couple + C. GT 16 ","","","",""
"Disabled","1986","Employed","Couple + C. LE and GT 16","","","",""
"Not disabled","1987","Not Employed","1-pers.-HH","427","0.809788699481072","0.776312577383025","0.843264821579119"
"Not disabled","1987","Not Employed","(Married) couple without C. ","724","0.725342026480018","0.697482280010726","0.75320177294931"
"Not disabled","1987","Not Employed","Single parent ","164","0.868579908111393","0.819894591392746","0.91726522483004"
"Not disabled","1987","Not Employed","Couple + C. LE 16 ","611","0.959678882303417","0.94431832168555","0.975039442921284"
"Not disabled","1987","Not Employed","Couple + C. GT 16 ","611","0.844114689365351","0.817356971768513","0.870872406962188"
"Not disabled","1987","Not Employed","Couple + C. LE and GT 16","397","0.916130866713905","0.889715433182253","0.942546300245558"
"Not disabled","1987","Employed","1-pers.-HH","559","0.948632277168468","0.930728866527823","0.966535687809113"
"Not disabled","1987","Employed","(Married) couple without C. ","1255","0.910570619550721","0.895393298055882","0.925747941045561"
"Not disabled","1987","Employed","Single parent ","327","0.969010445367811","0.950481515010437","0.987539375725185"
"Not disabled","1987","Employed","Couple + C. LE 16 ","1676","0.963561603261566","0.954726826202616","0.972396380320517"
"Not disabled","1987","Employed","Couple + C. GT 16 ","1362","0.933869826370536","0.921061070515156","0.946678582225916"
"Not disabled","1987","Employed","Couple + C. LE and GT 16","791","0.934917653342165","0.918166532471403","0.951668774212927"
"Disabled","1987","Not Employed","1-pers.-HH","101","0.190211300518928","0.156735178420881","0.223687422616975"
"Disabled","1987","Not Employed","(Married) couple without C. ","262","0.274657973519982","0.24679822705069","0.302517719989274"
"Disabled","1987","Not Employed","Single parent ","21","","",""
"Disabled","1987","Not Employed","Couple + C. LE 16 ","19","","",""
"Disabled","1987","Not Employed","Couple + C. GT 16 ","95","0.155885310634649","0.129127593037812","0.182643028231487"
"Disabled","1987","Not Employed","Couple + C. LE and GT 16","26","","",""
"Disabled","1987","Employed","1-pers.-HH","25","","",""
"Disabled","1987","Employed","(Married) couple without C. ","103","0.0894293804492785","0.0742520589544386","0.104606701944118"
"Disabled","1987","Employed","Single parent ","9","","",""
"Disabled","1987","Employed","Couple + C. LE 16 ","52","0.0364383967384335","0.0276036196794825","0.0452731737973845"
"Disabled","1987","Employed","Couple + C. GT 16 ","84","0.066130173629464","0.0533214177740841","0.0789389294848439"
"Disabled","1987","Employed","Couple + C. LE and GT 16","42","0.0650823466578348","0.0483312257870727","0.0818334675285969"
"Not disabled","1988","Not Employed","1-pers.-HH","404","0.777021876938148","0.74134843636013","0.812695317516166"
"Not disabled","1988","Not Employed","(Married) couple without C. ","659","0.687243561399683","0.657605988607299","0.716881134192067"
"Not disabled","1988","Not Employed","Single parent ","148","0.855060761264915","0.802296299503719","0.907825223026112"
"Not disabled","1988","Not Employed","Couple + C. LE 16 ","551","0.959072807398553","0.942850876522755","0.975294738274351"
"Not disabled","1988","Not Employed","Couple + C. GT 16 ","609","0.823411446016866","0.79555847239834","0.851264419635391"
"Not disabled","1988","Not Employed","Couple + C. LE and GT 16","338","0.905786384914421","0.875817444569006","0.935755325259836"
"Not disabled","1988","Employed","1-pers.-HH","519","0.955638731273237","0.938304790892964","0.972972671653511"
"Not disabled","1988","Employed","(Married) couple without C. ","1220","0.901268003277428","0.885290322533419","0.917245684021437"
"Not disabled","1988","Employed","Single parent ","330","0.979843343199154","0.96481655980582","0.994870126592488"
"Not disabled","1988","Employed","Couple + C. LE 16 ","1607","0.964082372006448","0.955122584047641","0.973042159965254"
"Not disabled","1988","Employed","Couple + C. GT 16 ","1382","0.925722674233014","0.912372326755845","0.939073021710182"
"Not disabled","1988","Employed","Couple + C. LE and GT 16","697","0.958883169883237","0.94437961363459","0.973386726131885"
"Disabled","1988","Not Employed","1-pers.-HH","119","0.222978123061852","0.187304682483834","0.25865156363987"
"Disabled","1988","Not Employed","(Married) couple without C. ","281","0.312756438600317","0.283118865807933","0.342394011392701"
"Disabled","1988","Not Employed","Single parent ","23","","",""
"Disabled","1988","Not Employed","Couple + C. LE 16 ","22","","",""
"Disabled","1988","Not Employed","Couple + C. GT 16 ","111","0.176588553983134","0.148735580364609","0.20444152760166"
"Disabled","1988","Not Employed","Couple + C. LE and GT 16","27","","",""
"Disabled","1988","Employed","1-pers.-HH","23","","",""
"Disabled","1988","Employed","(Married) couple without C. ","119","0.0987319967225723","0.0827543159785633","0.114709677466581"
"Disabled","1988","Employed","Single parent ","6","","",""
"Disabled","1988","Employed","Couple + C. LE 16 ","50","0.0359176279935524","0.0269578400347457","0.0448774159523592"
"Disabled","1988","Employed","Couple + C. GT 16 ","100","0.0742773257669863","0.0609269782898178","0.0876276732441548"
"Disabled","1988","Employed","Couple + C. LE and GT 16","23","","",""
"Not disabled","1989","Not Employed","1-pers.-HH","383","0.748595293254058","0.711054827485559","0.786135759022558"
"Not disabled","1989","Not Employed","(Married) couple without C. ","599","0.654511515027527","0.623478765468083","0.685544264586972"
"Not disabled","1989","Not Employed","Single parent ","148","0.846186041678026","0.791793977374933","0.900578105981119"
"Not disabled","1989","Not Employed","Couple + C. LE 16 ","530","0.946688950836755","0.927948034534529","0.965429867138981"
"Not disabled","1989","Not Employed","Couple + C. GT 16 ","587","0.831544453854785","0.803739071986636","0.859349835722933"
"Not disabled","1989","Not Employed","Couple + C. LE and GT 16","309","0.947285269503461","0.923138639400232","0.97143189960669"
"Not disabled","1989","Employed","1-pers.-HH","520","0.946597048258035","0.927772567057781","0.965421529458289"
"Not disabled","1989","Employed","(Married) couple without C. ","1240","0.907403258125232","0.89196363202387","0.922842884226595"
"Not disabled","1989","Employed","Single parent ","292","0.964157899847212","0.943226533289442","0.985089266404983"
"Not disabled","1989","Employed","Couple + C. LE 16 ","1552","0.969414101798689","0.960947650232104","0.977880553365275"
"Not disabled","1989","Employed","Couple + C. GT 16 ","1361","0.935814775841657","0.923160753969353","0.94846879771396"
"Not disabled","1989","Employed","Couple + C. LE and GT 16","626","0.951029170066013","0.934502205646783","0.967556134485243"
"Disabled","1989","Not Employed","1-pers.-HH","130","0.251404706745942","0.213864240977442","0.288945172514441"
"Disabled","1989","Not Employed","(Married) couple without C. ","303","0.345488484972473","0.314455735413028","0.376521234531917"
"Disabled","1989","Not Employed","Single parent ","21","","",""
"Disabled","1989","Not Employed","Couple + C. LE 16 ","22","","",""
"Disabled","1989","Not Employed","Couple + C. GT 16 ","109","0.168455546145215","0.140650164277067","0.196260928013364"
"Disabled","1989","Not Employed","Couple + C. LE and GT 16","20","","",""
"Disabled","1989","Employed","1-pers.-HH","28","","",""
"Disabled","1989","Employed","(Married) couple without C. ","114","0.0925967418747677","0.0771571157734056","0.10803636797613"
"Disabled","1989","Employed","Single parent ","11","","",""
"Disabled","1989","Employed","Couple + C. LE 16 ","37","0.0305858982013105","0.0221194466347246","0.0390523497678963"
"Disabled","1989","Employed","Couple + C. GT 16 ","80","0.0641852241583431","0.0515312022860395","0.0768392460306467"
"Disabled","1989","Employed","Couple + C. LE and GT 16","29","","",""
"Not disabled","1990","Not Employed","1-pers.-HH","","","",""
"Not disabled","1990","Not Employed","(Married) couple without C. ","","","",""
"Not disabled","1990","Not Employed","Single parent ","","","",""
"Not disabled","1990","Not Employed","Couple + C. LE 16 ","","","",""
"Not disabled","1990","Not Employed","Couple + C. GT 16 ","","","",""
"Not disabled","1990","Not Employed","Couple + C. LE and GT 16","","","",""
"Not disabled","1990","Employed","1-pers.-HH","","","",""
"Not disabled","1990","Employed","(Married) couple without C. ","","","",""
"Not disabled","1990","Employed","Single parent ","","","",""
"Not disabled","1990","Employed","Couple + C. LE 16 ","","","",""
"Not disabled","1990","Employed","Couple + C. GT 16 ","","","",""
"Not disabled","1990","Employed","Couple + C. LE and GT 16","","","",""
"Disabled","1990","Not Employed","1-pers.-HH","","","",""
"Disabled","1990","Not Employed","(Married) couple without C. ","","","",""
"Disabled","1990","Not Employed","Single parent ","","","",""
"Disabled","1990","Not Employed","Couple + C. LE 16 ","","","",""
"Disabled","1990","Not Employed","Couple + C. GT 16 ","","","",""
"Disabled","1990","Not Employed","Couple + C. LE and GT 16","","","",""
"Disabled","1990","Employed","1-pers.-HH","","","",""
"Disabled","1990","Employed","(Married) couple without C. ","","","",""
"Disabled","1990","Employed","Single parent ","","","",""
