"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","1.35","1","1285","1","1","1","2","7","1.29","1.41","0","14","1","1"
"1985","1.45","1","1178","1","1","1","2","10","1.35","1.55","0","30","1","1"
"1986","1.59","1","1198","1","1","1","2","10","1.43","1.75","0","51","1","1"
"1987","1.54","1","1162","1","1","1","2","13","1.41","1.67","0","35","1","1"
"1988","1.57","1","1122","1","1","1","2","14","1.43","1.71","0","35","1","1"
"1989","1.58","1","1050","1","1","1","2","11","1.37","1.79","1","90","1","1"
"1990","","","","","","","","","","","","","",""
"1991","1.59","1","1089","1","1","1","2","10","1.48","1.7","1","30","1","1"
"1992","1.48","1","1378","1","1","1","2","8","1.35","1.61","1","65","1","1"
"1993","","","","","","","","","","","","","",""
"1994","1.47","1","1406","1","1","1","2","8","1.37","1.57","1","50","1","1"
"1995","1.5","1","1479","1","1","2","2","7","1.41","1.59","0","35","1","1"
"1996","1.63","1","1512","1","1","1","2","14","1.53","1.73","1","35","1","1"
"1997","1.62","1","1483","1","1","1","2","12","1.51","1.73","1","36","1","1"
"1998","1.52","1","1667","1","1","1","2","7","1.42","1.62","1","64","1","1"
"1999","1.54","1","1628","1","1","2","2","10","1.47","1.61","1","30","1","1"
"2000","1.62","1","2808","1","1","2","2","10","1.55","1.69","1","45","1","1"
"2001","1.38","1","2607","1","1","2","2","5","1.34","1.42","1","12","1","1"
"2002","1.38","1","2689","1","1","1","2","5","1.33","1.43","1","48","1","1"
"2003","1.43","1","2599","1","1","2","2","6","1.39","1.47","1","15","1","1"
"2004","1.43","1","2562","1","1","2","2","5","1.39","1.47","1","13","1","1"
"2005","1.41","1","2265","1","1","2","2","5","1.37","1.45","1","15","1","1"
"2006","1.4","1","2540","1","1","1","2","5","1.35","1.45","1","30","1","1"
"2007","1.45","1","2426","1","1","2","2","5","1.4","1.5","1","23","1","1"
"2008","1.42","1","2215","1","1","2","2","5","1.37","1.47","1","42","1","1"
"2009","1.46","1","2266","1","1","2","2","6","1.41","1.51","1","28","1","1"
"2010","1.45","1","3246","1","1","1","2","5","1.41","1.49","1","20","1","1"
"2011","1.43","1","3852","1","1","2","2","5","1.4","1.46","1","30","1","1"
"2012","1.45","1","3687","1","1","2","2","6","1.41","1.49","1","26","1","1"
"2013","1.42","1","3417","1","1","2","2","5","1.38","1.46","1","26","1","1"
"2014","1.4","1","2969","1","1","1","2","5","1.37","1.43","1","17","1","1"
"2015","1.44","1","3306","1","1","1","2","6","1.39","1.49","1","50","1","1"
"2016","1.48","1","3160","1","1","2","2","6","1.43","1.53","1","48","1","1"
"2017","1.43","1","3523","1","1","2","2","5","1.4","1.46","1","30","1","1"
"2018","1.42","1","3389","1","1","1","2","5","1.33","1.51","1","100","1","1"
"2019","1.43","1","3423","1","1","1","2","6","1.38","1.48","1","50","1","1"
