"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","1.52","1","260","1","1","1","2","14","1.29","1.75","0","16","1","1"
"1985","Urban Area","1.43","1","918","1","1","1","2","10","1.32","1.54","1","30","1","1"
"1986","Rural Area","1.76","1","232","1","1","1","2","48","1.16","2.36","1","51","1","1"
"1986","Urban Area","1.55","1","966","1","1","1","2","10","1.41","1.69","0","40","1","1"
"1987","Rural Area","1.92","1","245","1","1","1","3","28","1.44","2.4","0","35","1","1"
"1987","Urban Area","1.42","1","917","1","1","1","2","12","1.33","1.51","0","16","1","1"
"1988","Rural Area","1.78","1","211","1","1","1","3","16","1.39","2.17","1","30","1","1"
"1988","Urban Area","1.52","1","911","1","1","1","2","10","1.38","1.66","0","35","1","1"
"1989","Rural Area","1.76","1","221","1","1","1","2","14","0.93","2.59","1","90","1","1"
"1989","Urban Area","1.52","1","829","1","1","1","2","10","1.37","1.67","1","40","1","1"
"1990","Rural Area","","","","","","","","","","","","","",""
"1990","Urban Area","","","","","","","","","","","","","",""
"1991","Rural Area","1.74","1","225","1","1","2","3","10","1.4","2.08","1","27","1","1"
"1991","Urban Area","1.55","1","864","1","1","1","2","10","1.44","1.66","1","30","1","1"
"1992","Rural Area","1.52","1","431","1","1","2","2","7","1.19","1.85","1","65","1","1"
"1992","Urban Area","1.46","1","929","1","1","1","2","10","1.35","1.57","1","30","1","1"
"1993","Rural Area","","","","","","","","","","","","","",""
"1993","Urban Area","","","","","","","","","","","","","",""
"1994","Rural Area","1.55","1","452","1","1","1","2","14","1.37","1.73","1","21","1","1"
"1994","Urban Area","1.44","1","954","1","1","1","2","7","1.31","1.57","1","50","1","1"
"1995","Rural Area","1.5","1","525","1","1","1","2","11","1.36","1.64","0","21","1","1"
"1995","Urban Area","1.5","1","954","1","1","2","2","7","1.39","1.61","0","35","1","1"
"1996","Rural Area","1.9","1","527","1","1","2","3","15","1.71","2.09","1","35","1","1"
"1996","Urban Area","1.51","1","985","1","1","1","2","10","1.4","1.62","1","30","1","1"
"1997","Rural Area","1.7","1","500","1","1","1","2","14","1.51","1.89","1","30","1","1"
"1997","Urban Area","1.59","1","983","1","1","1","2","12","1.47","1.71","1","36","1","1"
"1998","Rural Area","1.38","1","606","1","1","2","2","4","1.29","1.47","1","14","1","1"
"1998","Urban Area","1.59","1","1061","1","1","1","2","8","1.44","1.74","1","64","1","1"
"1999","Rural Area","1.56","1","574","1","1","2","2","7","1.45","1.67","1","19","1","1"
"1999","Urban Area","1.53","1","1054","1","1","1","2","10","1.44","1.62","1","30","1","1"
"2000","Rural Area","1.56","1","1017","1","1","2","2","9","1.43","1.69","1","45","1","1"
"2000","Urban Area","1.65","1","1791","1","1","2","3","12","1.57","1.73","1","30","1","1"
"2001","Rural Area","1.38","1","948","1","1","2","2","5","1.32","1.44","1","12","1","1"
"2001","Urban Area","1.38","1","1659","1","1","1","2","5","1.34","1.42","1","12","1","1"
"2002","Rural Area","1.4","1","937","1","1","2","2","5","1.29","1.51","1","48","1","1"
"2002","Urban Area","1.36","1","1752","1","1","1","2","5","1.32","1.4","1","18","1","1"
"2003","Rural Area","1.4","1","884","1","1","1","2","5","1.34","1.46","1","12","1","1"
"2003","Urban Area","1.44","1","1715","1","1","2","2","6","1.39","1.49","1","15","1","1"
"2004","Rural Area","1.42","1","883","1","1","2","2","5","1.35","1.49","1","10","1","1"
"2004","Urban Area","1.43","1","1679","1","1","2","2","6","1.38","1.48","1","13","1","1"
"2005","Rural Area","1.39","1","816","1","1","1","2","6","1.33","1.45","1","10","1","1"
"2005","Urban Area","1.43","1","1449","1","1","2","2","5","1.38","1.48","1","15","1","1"
"2006","Rural Area","1.4","1","898","1","1","1","2","5","1.32","1.48","1","19","1","1"
"2006","Urban Area","1.41","1","1642","1","1","2","2","4","1.35","1.47","1","30","1","1"
"2007","Rural Area","1.47","1","871","1","1","2","2","5","1.39","1.55","1","18","1","1"
"2007","Urban Area","1.44","1","1555","1","1","2","2","5","1.39","1.49","1","23","1","1"
"2008","Rural Area","1.42","1","824","1","1","2","2","7","1.36","1.48","1","10","1","1"
"2008","Urban Area","1.42","1","1391","1","1","2","2","5","1.35","1.49","1","42","1","1"
"2009","Rural Area","1.53","1","840","1","1","2","2","10","1.43","1.63","1","28","1","1"
"2009","Urban Area","1.43","1","1426","1","1","2","2","5","1.38","1.48","1","11","1","1"
"2010","Rural Area","1.42","1","1125","1","1","2","2","5","1.36","1.48","1","20","1","1"
"2010","Urban Area","1.46","1","2121","1","1","1","2","6","1.41","1.51","1","20","1","1"
"2011","Rural Area","1.39","1","1409","1","1","2","2","4","1.34","1.44","1","10","1","1"
